Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
658814,2018-01-09,0.003464,0.003549,0.003311,0.003386,7,-,9COIN,-0.0225173210161663
658815,2018-01-08,0.00456,0.004577,0.003207,0.0034729999999999995,62,-,9COIN,-0.23837719298245602
658816,2018-01-07,0.003785,0.004731,0.00373,0.004566,377,-,9COIN,0.20634081902245702
658817,2018-01-06,0.0037359999999999997,0.0037979999999999997,0.0036,0.0037869999999999996,55,-,9COIN,0.0136509635974304
658818,2018-01-05,0.0034920000000000003,0.0039759999999999995,0.00344,0.0037329999999999998,51,-,9COIN,0.0690148911798397
658819,2018-01-04,0.0036509999999999997,0.0037090000000000005,0.003196,0.0034909999999999997,147,-,9COIN,-0.0438236099698713
658820,2018-01-03,0.0037090000000000005,0.003829,0.00331,0.003631,162,-,9COIN,-0.0210299272040981
658821,2018-01-02,0.003375,0.0038,0.003259,0.003722,15,-,9COIN,0.102814814814815
658822,2018-01-01,0.003635,0.003638,0.003276,0.0033759999999999997,21,-,9COIN,-0.0712517193947731
658823,2017-12-31,0.002924,0.003703,0.002895,0.003621,211,-,9COIN,0.23837209302325602
658824,2017-12-30,0.003189,0.0031899999999999997,0.0028,0.002956,22,-,9COIN,-0.0730636563185952
658825,2017-12-29,0.004051,0.0042,0.00317,0.0031969999999999998,103,-,9COIN,-0.210812145149346
658826,2017-12-28,0.003879,0.004009,0.0032700000000000003,0.004009,159,-,9COIN,0.0335137922144884
658827,2017-12-27,0.003326,0.0045,0.0032649999999999997,0.003887,328,-,9COIN,0.16867107636801001
658828,2017-12-26,0.003065,0.0033729999999999997,0.002834,0.0033229999999999996,76,-,9COIN,0.0841761827079935
658829,2017-12-25,0.002817,0.003085,0.002653,0.003068,468,-,9COIN,0.0891018814341498
658830,2017-12-24,0.002921,0.002921,0.002513,0.002788,299,-,9COIN,-0.04553235193426901
658831,2017-12-23,0.002758,0.0031320000000000002,0.002719,0.002889,310,-,9COIN,0.0474981870920957
658832,2017-12-22,0.003143,0.0031739999999999997,0.0022890000000000002,0.002732,293,-,9COIN,-0.130766783328031
658833,2017-12-21,0.003297,0.0034770000000000005,0.003029,0.0031320000000000002,336,-,9COIN,-0.0500454959053686
658834,2017-12-20,0.0035240000000000002,0.0035670000000000003,0.003153,0.003288,353,-,9COIN,-0.0669693530079454
658835,2017-12-19,0.0032530000000000002,0.004576,0.0031829999999999996,0.003527,378,-,9COIN,0.0842299415923764
658836,2017-12-18,0.004209,0.004438,0.002459,0.00325,917,-,9COIN,-0.227845093846519
658837,2017-12-17,0.003311,0.004446,0.0032450000000000005,0.004196,139,-,9COIN,0.267290848686198
658838,2017-12-16,0.004941,0.0052369999999999995,0.0033020000000000002,0.003311,"1,032",-,9COIN,-0.329892734264319
658839,2017-12-15,0.004147,0.005965,0.004146,0.004934,345,-,9COIN,0.18977574149988
658840,2017-12-14,0.0039299999999999995,0.005071,0.0039030000000000002,0.004141,399,-,9COIN,0.0536895674300253
