Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
585568,2018-01-10,141.39,504.19,91.96,129.71,"55,783",-,ABC,-0.08260838814626201
585569,2018-01-09,103.73,171.18,76.3,141.35,"9,654",-,ABC,0.362672322375398
585570,2018-01-08,68.4,419.78,58.97,104.0,"18,882",-,ABC,0.52046783625731
585571,2018-01-07,77.03,90.28,57.63,68.49,"1,166",-,ABC,-0.110865896403999
585572,2018-01-06,54.01,83.46,53.42,77.11,"5,217",-,ABC,0.427698574338086
585573,2018-01-05,42.1,53.84,34.33,53.84,"4,433",-,ABC,0.278859857482185
585574,2018-01-04,42.14,43.36,32.75,42.09,"3,599",-,ABC,-0.0011865211200758699
585575,2018-01-03,40.41,43.88,31.64,41.91,781,-,ABC,0.0371195248700817
585576,2018-01-02,42.16,44.44,29.78,40.55,"1,364",-,ABC,-0.0381878557874763
585577,2018-01-01,48.09,48.09,28.71,42.17,994,-,ABC,-0.12310251611561698
585578,2017-12-31,42.44,49.28,34.79,47.9,940,-,ABC,0.12865221489161202
585579,2017-12-30,45.58,45.59,30.76,42.9,"1,385",-,ABC,-0.0587977182974989
585580,2017-12-29,74.85,76.84,37.82,45.69,663,-,ABC,-0.38957915831663303
585581,2017-12-28,73.12,74.09,47.6,74.09,"1,461",-,ABC,0.0132658643326039
585582,2017-12-27,90.26,98.69,69.5,73.28,"2,054",-,ABC,-0.188123199645469
585583,2017-12-26,64.86,93.05,49.09,90.2,"1,769",-,ABC,0.39068763490595104
585584,2017-12-25,50.33,65.3,48.65,64.93,586,-,ABC,0.29008543612159804
585585,2017-12-24,60.61,62.16,47.71,49.94,704,-,ABC,-0.176043557168784
585586,2017-12-23,50.63,64.04,50.37,60.22,342,-,ABC,0.18941339126999804
585587,2017-12-22,64.83,65.39,47.44,50.28,605,-,ABC,-0.22443313280888502
585588,2017-12-21,67.81,70.94,55.87,64.64,960,-,ABC,-0.0467482672172246
585589,2017-12-20,77.85,89.74,62.22,67.66,958,-,ABC,-0.130892742453436
585590,2017-12-19,84.56,100.37,75.46,77.93,"2,615",-,ABC,-0.0784058656575212
585591,2017-12-18,98.75,102.96,71.96,84.46,"2,455",-,ABC,-0.14470886075949402
585592,2017-12-17,150.57,152.68,99.69,106.0,"12,729",-,ABC,-0.296008501029422
585593,2017-12-16,137.93,370.94,111.49,150.55,"76,011",-,ABC,0.0914956862176467
585594,2017-12-15,26.19,520.01,22.02,137.75,"69,570",-,ABC,4.25964108438335
585595,2017-12-14,20.96,26.2,20.3,26.15,363,-,ABC,0.24761450381679398
585596,2017-12-13,26.94,27.29,20.88,21.03,"1,709",-,ABC,-0.219376391982183
585597,2017-12-12,26.26,27.68,25.66,26.92,"2,299",-,ABC,0.0251332825590251
585598,2017-12-11,23.18,27.29,23.08,26.18,"2,236",-,ABC,0.129421915444349
585599,2017-12-10,23.56,24.18,14.41,23.35,"2,171",-,ABC,-0.00891341256366712
585600,2017-12-09,16.26,25.79,16.17,23.47,"2,839",-,ABC,0.44341943419434204
585601,2017-12-08,17.86,25.61,14.49,16.28,"2,176",-,ABC,-0.0884658454647256
585602,2017-12-07,21.98,27.33,13.95,17.82,"2,674",-,ABC,-0.18926296633303002
585603,2017-12-06,11.7,22.05,11.7,22.01,"1,484",-,ABC,0.881196581196581
585604,2017-12-05,18.63,19.05,11.72,11.73,122,-,ABC,-0.37037037037037
585605,2017-12-04,20.79,21.11,17.39,18.59,"1,268",-,ABC,-0.10582010582010601
585606,2017-12-03,18.45,21.94,18.33,20.72,"1,461",-,ABC,0.123035230352304
585607,2017-12-02,17.43,18.83,15.19,18.43,207,-,ABC,0.057372346528973
585608,2017-12-01,15.99,17.8,15.14,17.44,"1,774",-,ABC,0.0906816760475298
585609,2017-11-30,15.7,17.09,14.4,16.07,"1,088",-,ABC,0.0235668789808918
585610,2017-11-29,13.91,16.47,13.71,15.46,"1,056",-,ABC,0.11143062544931699
585611,2017-11-28,16.09,16.69,13.85,13.92,"1,076",-,ABC,-0.13486637663144802
585612,2017-11-27,15.37,16.08,15.37,16.05,"1,019",-,ABC,0.0442420299284321
585613,2017-11-26,14.61,15.7,14.59,15.37,3,-,ABC,0.0520191649555099
585614,2017-11-25,11.52,14.63,11.46,14.61,942,-,ABC,0.26822916666666696
585615,2017-11-24,11.26,11.69,11.05,11.54,"1,926",-,ABC,0.0248667850799289
585616,2017-11-23,11.53,11.61,11.28,11.28,"1,873",-,ABC,-0.0216825672159584
585617,2017-11-22,13.77,14.08,11.27,11.54,"1,938",-,ABC,-0.161946259985476
585618,2017-11-21,13.99,14.16,11.52,13.74,"1,583",-,ABC,-0.0178699070764832
585619,2017-11-20,11.3,14.07,11.16,13.99,"2,022",-,ABC,0.23805309734513302
585620,2017-11-19,13.23,13.3,10.79,11.3,51,-,ABC,-0.145880574452003
585621,2017-11-18,13.17,13.36,10.83,13.26,948,-,ABC,0.00683371298405466
585622,2017-11-17,13.33,16.24,13.02,13.22,"2,918",-,ABC,-0.0082520630157539
585623,2017-11-16,13.87,14.58,13.01,13.35,"2,867",-,ABC,-0.0374909877433309
585624,2017-11-15,12.6,13.91,12.6,13.8,"1,513",-,ABC,0.0952380952380953
585625,2017-11-14,13.1,14.56,9.92,12.59,"2,185",-,ABC,-0.0389312977099237
585626,2017-11-13,12.12,14.07,9.13,13.07,"2,753",-,ABC,0.0783828382838285
585627,2017-11-12,9.67,14.31,7.36,12.1,45,-,ABC,0.25129265770424
585628,2017-11-11,13.21,13.68,9.39,9.68,137,-,ABC,-0.267221801665405
585629,2017-11-10,14.19,15.7,7.45,13.25,"2,888",-,ABC,-0.0662438336856941
585630,2017-11-09,14.97,16.41,14.1,14.15,"2,867",-,ABC,-0.0547762191048764
585631,2017-11-08,14.99,17.04,14.36,14.98,"3,149",-,ABC,-0.000667111407605056
585632,2017-11-07,15.45,16.3,14.72,15.04,"2,978",-,ABC,-0.026537216828479
585633,2017-11-06,10.61,16.49,10.02,15.48,"2,851",-,ABC,0.45900094250706897
585634,2017-11-05,15.49,16.47,10.23,10.59,242,-,ABC,-0.31633311814073606
585635,2017-11-04,15.77,16.35,10.35,15.52,"2,986",-,ABC,-0.015852885225111
585636,2017-11-03,15.45,16.43,15.34,15.81,"2,912",-,ABC,0.0233009708737865
585637,2017-11-02,14.13,15.61,9.6,15.47,"3,068",-,ABC,0.0948336871903751
585638,2017-11-01,16.56,16.57,13.7,14.11,111,-,ABC,-0.147946859903382
585639,2017-10-31,15.87,16.62,15.65,16.58,"2,755",-,ABC,0.0447385003150598
585640,2017-10-30,12.55,16.1,12.51,15.93,"2,588",-,ABC,0.269322709163346
585641,2017-10-29,14.85,15.56,11.92,12.62,63,-,ABC,-0.15016835016835
585642,2017-10-28,14.98,15.26,9.35,14.87,"2,445",-,ABC,-0.00734312416555415
585643,2017-10-27,9.43,15.98,8.56,14.94,"2,398",-,ABC,0.584305408271474
585644,2017-10-26,12.74,16.78,9.17,9.42,"2,504",-,ABC,-0.260596546310832
585645,2017-10-25,12.26,12.77,11.96,12.74,67,-,ABC,0.0391517128874389
585646,2017-10-24,16.35,18.03,9.59,12.26,"36,128",-,ABC,-0.250152905198777
585647,2017-10-23,18.77,18.98,16.19,16.39,109,-,ABC,-0.126798082045818
585648,2017-10-22,18.88,19.04,14.74,18.8,"1,327",-,ABC,-0.00423728813559313
585649,2017-10-21,18.8,19.3,16.45,18.87,"1,280",-,ABC,0.00372340425531916
585650,2017-10-20,17.83,19.16,12.48,18.84,736,-,ABC,0.0566461020751543
585651,2017-10-19,11.53,17.94,11.11,17.83,"1,962",-,ABC,0.5464006938421511
585652,2017-10-18,12.46,17.81,11.34,11.52,"1,103",-,ABC,-0.0754414125200643
585653,2017-10-17,18.61,18.66,9.69,12.46,"1,739",-,ABC,-0.330467490596453
585654,2017-10-16,9.77,18.7,9.74,18.6,"1,224",-,ABC,0.9037871033776871
585655,2017-10-15,8.12,18.69,7.72,9.76,244,-,ABC,0.201970443349754
585656,2017-10-14,12.84,16.47,7.97,8.11,"1,585",-,ABC,-0.36838006230529596
585657,2017-10-13,15.4,16.63,12.76,12.84,1,-,ABC,-0.16623376623376598
585658,2017-10-12,15.59,15.65,9.67,15.35,24,-,ABC,-0.0153944836433611
585659,2017-10-11,13.63,15.8,10.85,15.58,"1,011",-,ABC,0.143066764490095
585660,2017-10-10,12.0,14.1,11.96,13.63,2,-,ABC,0.135833333333333
585661,2017-10-09,14.85,14.94,11.56,12.0,"1,148",-,ABC,-0.191919191919192
585662,2017-10-08,14.19,14.89,14.19,14.85,"1,048",-,ABC,0.0465116279069768
585663,2017-10-07,11.91,14.26,11.89,14.23,317,-,ABC,0.194794290512175
585664,2017-10-06,14.04,14.35,14.01,14.13,898,-,ABC,0.00641025641025653
585665,2017-10-05,13.68,14.17,10.4,14.04,962,-,ABC,0.0263157894736842
585666,2017-10-04,10.81,13.73,10.5,13.67,"1,249",-,ABC,0.264569842738205
585667,2017-10-03,11.2,14.11,10.69,10.79,"1,168",-,ABC,-0.0366071428571429
585668,2017-10-02,10.99,11.25,10.93,11.2,51,-,ABC,0.019108280254777
585669,2017-10-01,12.59,12.64,10.04,10.99,"1,110",-,ABC,-0.127084988085782
585670,2017-09-30,15.88,16.01,11.83,12.58,"1,149",-,ABC,-0.207808564231738
585671,2017-09-29,13.58,31.47,12.81,15.88,"1,104",-,ABC,0.169366715758468
585672,2017-09-28,12.67,14.44,9.54,13.59,"1,032",-,ABC,0.0726124704025257
585673,2017-09-27,11.81,12.78,11.81,12.67,816,-,ABC,0.0728196443691786
585674,2017-09-26,12.76,12.83,8.51,11.84,"1,041",-,ABC,-0.0721003134796238
585675,2017-09-25,8.77,12.87,8.43,12.76,797,-,ABC,0.454960091220068
585676,2017-09-24,12.43,12.43,8.37,8.78,195,-,ABC,-0.29364440868865604
585677,2017-09-23,10.73,12.37,9.52,12.37,"1,037",-,ABC,0.152842497670084
585678,2017-09-22,10.71,11.12,10.48,10.85,279,-,ABC,0.0130718954248365
585679,2017-09-21,9.88,13.7,9.06,10.72,986,-,ABC,0.0850202429149797
585680,2017-09-20,15.95,19.77,9.93,9.93,"1,390",-,ABC,-0.377429467084639
585681,2017-09-19,16.28,16.37,15.34,15.97,136,-,ABC,-0.0190417690417691
585682,2017-09-18,14.37,16.39,9.64,16.24,"1,057",-,ABC,0.130132219902575
