Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
267071,2018-01-10,0.24607199999999999,0.31203800000000004,0.173599,0.30248800000000003,"9,124","5,775,870",ADL,0.229266231021815
267072,2018-01-09,0.19123199999999999,0.280283,0.188631,0.24690900000000002,"1,143","4,488,630",ADL,0.291148970883534
267073,2018-01-08,0.188554,0.196115,0.149586,0.191651,"2,318","4,425,790",ADL,0.0164250029169362
267074,2018-01-07,0.24461,0.289323,0.18690299999999999,0.188904,"3,578","5,741,540",ADL,-0.227733943828952
267075,2018-01-06,0.23702600000000001,0.308766,0.22093800000000002,0.24290599999999998,"3,248","5,563,530",ADL,0.0248074050947998
267076,2018-01-05,0.435384,0.472948,0.161578,0.23671999999999999,"3,241","10,219,400",ADL,-0.456296051301839
267077,2018-01-04,0.391036,0.46629499999999996,0.35807,0.43441499999999994,449,"9,178,480",ADL,0.1109335201874
267078,2018-01-03,0.14527,0.42563500000000004,0.090312,0.39724699999999996,616,"3,409,810",ADL,1.7345425758931599
267079,2018-01-02,0.338983,0.354283,0.144022,0.145812,6,"7,956,680",ADL,-0.5698545354781801
267080,2018-01-01,0.13883399999999999,0.355093,0.118967,0.339335,364,"3,258,750",ADL,1.44417793912154
267081,2017-12-31,0.12896300000000002,0.175913,0.125752,0.138299,14,"3,027,050",ADL,0.0723928568659229
267082,2017-12-30,0.40424099999999996,0.426579,0.093929,0.131096,6,"9,488,440",ADL,-0.6756984076330699
267083,2017-12-29,0.13180999999999998,0.523839,0.10263499999999999,0.406405,20,"3,093,870",ADL,2.08326378878689
267084,2017-12-28,0.183782,0.854826,0.11732100000000001,0.129767,"19,994","4,313,770",ADL,-0.293907999695291
267085,2017-12-27,0.093304,0.23468000000000003,0.088149,0.185342,"15,966","2,190,050",ADL,0.986431449884249
267086,2017-12-26,0.154729,0.165959,0.073264,0.093598,26,"3,631,830",ADL,-0.3950843086945561
267087,2017-12-25,0.138254,0.158341,0.11838699999999999,0.15473199999999998,916,"3,245,120",ADL,0.11918642498589599
267088,2017-12-24,0.156092,0.17000099999999999,0.12434400000000001,0.136551,"1,484","3,663,820",ADL,-0.125188991107808
267089,2017-12-23,0.130412,0.18294000000000002,0.129752,0.156219,"4,695","3,061,050",ADL,0.197888231144373
267090,2017-12-22,0.256843,0.264836,0.088429,0.129911,"1,167","6,028,680",ADL,-0.494200737415464
267091,2017-12-21,0.157946,0.281841,0.15476600000000001,0.253864,"8,184","3,707,340",ADL,0.6072835019563649
267092,2017-12-20,0.12826400000000002,0.16330999999999998,0.116774,0.157399,946,"3,010,650",ADL,0.227148693320028
267093,2017-12-19,0.15774200000000002,0.163983,0.124135,0.128391,738,"3,702,570",ADL,-0.18606965804922
267094,2017-12-18,0.08494600000000001,0.16226400000000002,0.081136,0.158022,93,"1,993,860",ADL,0.8602641678242651
267095,2017-12-17,0.138285,0.138285,0.083776,0.084689,647,"3,245,850",ADL,-0.38757638210941203
267096,2017-12-16,0.114748,0.13935899999999998,0.078613,0.138267,278,"2,693,390",ADL,0.20496217799003003
267097,2017-12-15,0.0668,0.116193,0.0668,0.11459100000000001,849,"1,567,950",ADL,0.7154341317365269
267098,2017-12-13,0.085499,0.094606,0.077312,0.077312,424,"2,006,860",ADL,-0.0957555059123498
267099,2017-12-12,0.07241399999999999,0.119538,0.07082999999999999,0.0848,536,"1,699,710",ADL,0.171044273206838
