Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
470617,2018-01-10,0.030266,0.035786,0.028657,0.033703,"35,941","243,034",ASAFE2,0.11355977003898701
470618,2018-01-09,0.027147000000000004,0.033413,0.027094999999999998,0.030233999999999997,"28,489","217,988",ASAFE2,0.113714222566029
470619,2018-01-08,0.024958,0.028475,0.022313,0.027188999999999998,"24,037","200,412",ASAFE2,0.0893901754948313
470620,2018-01-07,0.022425999999999998,0.027572000000000003,0.017783,0.024982,"2,411","180,084",ASAFE2,0.11397485061981599
470621,2018-01-06,0.018658,0.022475,0.016954,0.022438999999999997,"1,017","149,824",ASAFE2,0.20264765784114003
470622,2018-01-05,0.013075,0.018861000000000003,0.012977,0.018646,"1,144","104,990",ASAFE2,0.42608030592734203
470623,2018-01-04,0.013528,0.014413999999999998,0.011904000000000001,0.013071000000000001,"1,157","108,630",ASAFE2,-0.0337817859254879
470624,2018-01-03,0.011168,0.013491999999999999,0.011165000000000001,0.013472999999999999,"1,194","89,677",ASAFE2,0.20639326647564502
470625,2018-01-02,0.01082,0.011696,0.009835,0.011184,430,"86,887",ASAFE2,0.0336414048059149
470626,2018-01-01,0.011065,0.011096,0.009548000000000001,0.010820999999999999,65,"88,852",ASAFE2,-0.0220515137821961
470627,2017-12-31,0.009084,0.011262999999999999,0.008578,0.011025,205,"72,943",ASAFE2,0.213672391017173
470628,2017-12-30,0.010261,0.011345000000000001,0.008984,0.009125,68,"82,396",ASAFE2,-0.110710457070461
470629,2017-12-29,0.010768999999999999,0.011229000000000001,0.009353,0.010274,40,"86,475",ASAFE2,-0.0459652706843719
470630,2017-12-28,0.010001000000000001,0.011258,0.008709,0.010669,341,"80,310",ASAFE2,0.0667933206679332
470631,2017-12-27,0.009616,0.012317,0.009555,0.010011,690,"77,219",ASAFE2,0.041077371048253
470632,2017-12-26,0.007648,0.009781,0.0076170000000000005,0.009613,681,"61,414",ASAFE2,0.256929916317992
470633,2017-12-25,0.016858,0.017536000000000003,0.007453,0.0076560000000000005,95,"135,370",ASAFE2,-0.5458536006643729
470634,2017-12-24,0.010676999999999999,0.016796000000000002,0.007653,0.016796000000000002,82,"85,739",ASAFE2,0.573101058349723
470635,2017-12-23,0.008463,0.010918,0.00842,0.010641,32,"67,958",ASAFE2,0.257355547678128
470636,2017-12-22,0.009545999999999999,0.009758,0.007511,0.008424,866,"76,652",ASAFE2,-0.117536140791955
470637,2017-12-21,0.010137,0.01696,0.009237,0.009517,"3,537","81,399",ASAFE2,-0.0611620795107034
470638,2017-12-20,0.010043999999999999,0.012863999999999999,0.008582,0.010125,347,"80,655",ASAFE2,0.00806451612903221
470639,2017-12-19,0.011032,0.012598,0.008408,0.010048999999999999,766,"88,590",ASAFE2,-0.0891044234952864
470640,2017-12-18,0.00997,0.012574,0.009606,0.011022,313,"80,056",ASAFE2,0.105516549648947
470641,2017-12-17,0.010362,0.014450999999999999,0.009431,0.009956999999999999,989,"83,204",ASAFE2,-0.039085118702952996
470642,2017-12-16,0.009766,0.013682,0.008863,0.010361,465,"78,424",ASAFE2,0.0609256604546385
470643,2017-12-15,0.008628,0.009804,0.008083,0.009759,120,"69,287",ASAFE2,0.131084840055633
470644,2017-12-14,0.009113,0.011757,0.008416,0.008620000000000001,94,"73,181",ASAFE2,-0.0540985405464721
470645,2017-12-13,0.011423,0.012319,0.009082,0.009128,374,"91,729",ASAFE2,-0.20091044384137302
470646,2017-12-12,0.0122,0.014221000000000001,0.009315,0.011413,485,"97,962",ASAFE2,-0.0645081967213116
470647,2017-12-11,0.01015,0.015611000000000002,0.009207,0.01217,"1,630","81,502",ASAFE2,0.19901477832512302
