Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
634232,2018-01-10,0.160357,0.160711,0.118425,0.120887,187,-,BITCF,-0.24613830390940197
634233,2018-01-09,0.200597,0.204725,0.115649,0.160147,"1,022",-,BITCF,-0.20164808047976798
634234,2018-01-08,0.159918,0.20719,0.13986600000000002,0.20114500000000002,458,-,BITCF,0.257800872947385
634235,2018-01-07,0.169101,0.169101,0.155879,0.160142,238,-,BITCF,-0.0529801716134144
634236,2018-01-06,0.166953,0.169679,0.160519,0.169225,28,-,BITCF,0.0136086203901697
634237,2018-01-05,0.149079,0.168233,0.146796,0.16682,703,-,BITCF,0.11900401800387699
634238,2018-01-04,0.139026,0.28696,0.13586099999999998,0.149049,684,-,BITCF,0.0720944283803028
634239,2018-01-03,0.11705399999999999,0.14645899999999998,0.11698299999999999,0.138269,573,-,BITCF,0.181241136569447
634240,2018-01-02,0.130424,0.143795,0.116349,0.117471,295,-,BITCF,-0.0993145433355824
634241,2018-01-01,0.162043,0.162043,0.12962100000000001,0.130434,261,-,BITCF,-0.195065507303617
634242,2017-12-31,0.09955399999999999,0.16506600000000002,0.098565,0.161419,28,-,BITCF,0.6214215400687061
634243,2017-12-30,0.136405,0.13659300000000002,0.095318,0.100641,431,-,BITCF,-0.262189802426597
634244,2017-12-29,0.184027,0.184027,0.107135,0.136749,601,-,BITCF,-0.256907953724182
634245,2017-12-28,0.11667999999999999,0.306861,0.098096,0.182141,"1,457",-,BITCF,0.561030167980802
634246,2017-12-27,0.305496,0.35601900000000003,0.106767,0.116925,"1,986",-,BITCF,-0.6172617644748211
634247,2017-12-26,0.129025,0.306253,0.128255,0.305275,"2,387",-,BITCF,1.3660143383065302
634248,2017-12-25,0.091424,0.094085,0.086099,0.08951100000000001,24,-,BITCF,-0.0209244837241863
634249,2017-12-24,0.094796,0.094796,0.081558,0.09048400000000001,24,-,BITCF,-0.0454871513565974
634250,2017-12-23,0.089495,0.10162,0.088237,0.09376,25,-,BITCF,0.0476562936476897
634251,2017-12-22,0.101978,0.10298199999999999,0.074284,0.088658,23,-,BITCF,-0.13061640746043301
634252,2017-12-21,0.106976,0.11283900000000001,0.098303,0.101625,27,-,BITCF,-0.0500205653604548
634253,2017-12-20,0.114346,0.115752,0.102311,0.106697,28,-,BITCF,-0.0668934636978994
634254,2017-12-19,0.13259500000000002,0.133071,0.085774,0.11445799999999999,30,-,BITCF,-0.13678494664203
634255,2017-12-18,0.114791,0.132483,0.088555,0.132483,"1,764",-,BITCF,0.15412358111698599
634256,2017-12-17,0.116665,0.11929200000000001,0.090002,0.114445,214,-,BITCF,-0.0190288432691896
634257,2017-12-16,0.102352,0.117572,0.092296,0.11665,"1,011",-,BITCF,0.13969438799437198
634258,2017-12-15,0.100023,0.10899,0.100004,0.10220800000000001,"1,840",-,BITCF,0.0218449756555991
634259,2017-12-14,0.097925,0.10204099999999999,0.073658,0.099873,862,-,BITCF,0.0198927750829717
634260,2017-12-13,0.134235,0.136016,0.09754700000000001,0.098241,"1,173",-,BITCF,-0.26814169180914105
634261,2017-12-12,0.130821,0.137985,0.127754,0.134122,"3,632",-,BITCF,0.0252329518961023
634262,2017-12-11,0.118469,0.136008,0.117951,0.130402,"3,531",-,BITCF,0.100726772404595
634263,2017-12-10,0.117744,0.12309400000000001,0.103655,0.11933099999999999,"3,231",-,BITCF,0.013478393803506
634264,2017-12-09,0.09433,0.158379,0.078421,0.11726900000000001,"2,232",-,BITCF,0.24317820417682603
634265,2017-12-08,0.17285999999999999,0.175438,0.081393,0.094425,766,-,BITCF,-0.45374869836862197
634266,2017-12-07,0.070877,0.172454,0.070242,0.172454,"6,219",-,BITCF,1.43314474371094
634267,2017-12-06,0.116774,0.11923199999999999,0.06894700000000001,0.070999,"1,792",-,BITCF,-0.391996506071557
634268,2017-12-05,0.1119,0.118431,0.086201,0.117033,"1,413",-,BITCF,0.0458713136729222
634269,2017-12-04,0.134676,0.13675,0.071362,0.11168099999999999,"2,121",-,BITCF,-0.170743116813686
634270,2017-12-03,0.09816699999999999,0.134348,0.06649400000000001,0.134231,"1,781",-,BITCF,0.367373964774313
634271,2017-12-02,0.08740099999999999,0.116469,0.055401,0.09807300000000001,"1,516",-,BITCF,0.122103866088489
634272,2017-12-01,0.10113,0.12302,0.07336799999999999,0.087476,"1,277",-,BITCF,-0.13501433798081697
634273,2017-11-30,0.06703200000000001,0.102576,0.039632,0.101634,"3,700",-,BITCF,0.516201217329037
