Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
326438,2018-01-10,0.049352999999999994,0.057673,0.033716,0.036855,"9,283","3,701,470",BPC,-0.25323688529572697
326439,2018-01-09,0.029202999999999996,0.062659,0.025771,0.052425,"14,830","2,190,230",BPC,0.795192274766291
326440,2018-01-08,0.024881999999999998,0.02945,0.021338,0.029283,"3,593","1,866,110",BPC,0.176874849288642
326441,2018-01-07,0.017745,0.028005000000000002,0.016331000000000002,0.024916,"2,886","1,330,840",BPC,0.40411383488306607
326442,2018-01-06,0.014440999999999999,0.024204,0.011708,0.017758000000000003,"1,892","1,083,060",BPC,0.22969323454054397
326443,2018-01-05,0.011488,0.014496,0.009873,0.014419,"1,375","861,585",BPC,0.255135793871866
326444,2018-01-04,0.019416,0.034398000000000005,0.011026000000000001,0.011487,419,"1,456,170",BPC,-0.408374536464771
326445,2018-01-03,0.010858,0.019556,0.010738,0.019374000000000002,507,"814,374",BPC,0.784306502118254
326446,2018-01-02,0.010126000000000001,0.011073999999999999,0.008445000000000001,0.010886,222,"759,454",BPC,0.0750543156231484
326447,2018-01-01,0.010626,0.010626,0.007876000000000001,0.010126999999999999,87,"796,935",BPC,-0.0469602860907208
326448,2017-12-31,0.008948999999999999,0.010824,0.008860999999999999,0.010584999999999999,6,"671,211",BPC,0.182813722203598
326449,2017-12-30,0.010489,0.010541,0.008823000000000001,0.009046,130,"786,660",BPC,-0.1375726952045
326450,2017-12-29,0.010056,0.010754999999999999,0.009819,0.010513,57,"754,222",BPC,0.0454455051710421
326451,2017-12-28,0.010860999999999999,0.010907,0.008265999999999999,0.009954000000000001,437,"814,586",BPC,-0.0835098057269129
326452,2017-12-27,0.011086,0.011590999999999999,0.009713,0.010884,167,"831,442",BPC,-0.0182211798664984
326453,2017-12-26,0.010634999999999999,0.011692000000000001,0.00909,0.011078,342,"797,650",BPC,0.041654913023037005
326454,2017-12-25,0.008655,0.010812,0.0064930000000000005,0.010646,756,"649,124",BPC,0.23004043905257102
326455,2017-12-24,0.010955,0.010955,0.008047,0.008569,174,"821,611",BPC,-0.21780009128251898
326456,2017-12-23,0.009364,0.012186,0.009364,0.010835,222,"702,272",BPC,0.157090986757796
326457,2017-12-22,0.009273,0.010242,0.007429000000000001,0.009276000000000001,164,"695,445",BPC,0.000323519896473583
326458,2017-12-21,0.0077469999999999995,0.011788,0.007137999999999999,0.009241,216,"581,034",BPC,0.192848844714083
326459,2017-12-20,0.010329999999999999,0.010329999999999999,0.006323,0.0077269999999999995,195,"774,756",BPC,-0.25198451113262305
326460,2017-12-19,0.013888999999999999,0.016354,0.006691,0.010337,372,"1,041,660",BPC,-0.255741954064367
326461,2017-12-18,0.009566,0.014086000000000001,0.009137000000000001,0.014086000000000001,138,"717,446",BPC,0.47250679489859904
326462,2017-12-17,0.010907,0.012442,0.009434,0.009537,227,"818,021",BPC,-0.12560740808655002
326463,2017-12-16,0.009706000000000001,0.011835,0.009583,0.010906,97,"727,933",BPC,0.12363486503193902
326464,2017-12-15,0.010948000000000001,0.011644,0.008803,0.009692000000000001,68,"821,088",BPC,-0.114724150529777
326465,2017-12-14,0.009825,0.012408,0.009714,0.010931,937,"736,896",BPC,0.11256997455470698
326466,2017-12-13,0.01192,0.016630000000000002,0.009720999999999999,0.009857,499,"894,033",BPC,-0.173070469798658
326467,2017-12-12,0.008794,0.012431000000000001,0.008581,0.011909999999999999,59,"659,581",BPC,0.35433249943143097
326468,2017-12-11,0.007562,0.012364,0.007529000000000001,0.008765,123,"567,168",BPC,0.159084898175086
326469,2017-12-10,0.010584,0.010584,0.007252,0.007618000000000001,190,"793,766",BPC,-0.280234315948602
326470,2017-12-09,0.010491,0.016977000000000003,0.008059,0.010541,276,"786,822",BPC,0.00476598989610139
326471,2017-12-08,0.015912,0.019819,0.009405,0.010501,917,"1,193,380",BPC,-0.340057817998994
326472,2017-12-07,0.014813,0.021394999999999997,0.014531,0.015875,"2,889","1,110,950",BPC,0.0716937824883549
326473,2017-12-06,0.007723000000000001,0.017691,0.0064540000000000005,0.014837999999999999,"2,584","579,188",BPC,0.9212741162760592
326474,2017-12-05,0.01084,0.010941,0.006573999999999999,0.00774,714,"813,024",BPC,-0.285977859778598
326475,2017-12-04,0.009668000000000001,0.010819,0.00642,0.010819,89,"725,094",BPC,0.119052544476624
326476,2017-12-03,0.010167,0.012145,0.0055060000000000005,0.009636,836,"762,485",BPC,-0.0522277958099735
326477,2017-12-02,0.010451,0.010639000000000001,0.006984000000000001,0.010157,330,"783,805",BPC,-0.028131279303416
326478,2017-12-01,0.0096,0.010520999999999999,0.005547,0.010459999999999999,"1,008","719,969",BPC,0.0895833333333335
326479,2017-11-30,0.009632,0.010490000000000001,0.008551999999999999,0.009645,20,"722,408",BPC,0.00134966777408647
326480,2017-11-29,0.01077,0.012384000000000001,0.008911,0.009486,609,"807,741",BPC,-0.119220055710306
326481,2017-11-28,0.012699,0.0127,0.008172,0.01078,829,"952,404",BPC,-0.15111426096543
326482,2017-11-27,0.012855000000000002,0.013319,0.009696,0.012671,130,"964,128",BPC,-0.0143134966938934
326483,2017-11-26,0.012071,0.012955000000000001,0.011674,0.012853,385,"905,302",BPC,0.0647833650898848
326484,2017-11-25,0.010161,0.012074,0.009399,0.012074,173,"762,091",BPC,0.188268871174097
326485,2017-11-24,0.012235,0.012268000000000001,0.009959,0.010177,484,"917,634",BPC,-0.168205966489579
326486,2017-11-23,0.015875,0.015879,0.009323,0.012261,391,"1,190,600",BPC,-0.227653543307087
326487,2017-11-22,0.017445,0.01914,0.012234,0.015880000000000002,556,"1,308,400",BPC,-0.0897105187732875
326488,2017-11-21,0.013846,0.017571,0.011511,0.017403000000000002,517,"1,038,420",BPC,0.256897298858876
326489,2017-11-20,0.011663,0.015981,0.006774,0.00824,377,"874,719",BPC,-0.293492240418417
326490,2017-11-19,0.015962999999999998,0.018211,0.011563,0.011668000000000001,350,"1,197,240",BPC,-0.26905970055753897
326491,2017-11-18,0.015758,0.019814,0.015283000000000001,0.015993,977,"1,181,830",BPC,0.0149130600329991
326492,2017-11-17,0.010433,0.023961,0.009988,0.015818000000000002,"4,861","782,507",BPC,0.516150675740439
326493,2017-11-16,0.00891,0.010484,0.002433,0.01045,180,"668,229",BPC,0.172839506172839
326494,2017-11-15,0.007339,0.008935,0.007339,0.008863,404,"550,416",BPC,0.207657719035291
