Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
366034,2018-01-10,0.0842,0.238736,0.061078999999999994,0.10793299999999999,"1,393","1,790,770",BRIT,0.28186460807601
366035,2018-01-09,0.106205,0.109115,0.043967,0.08409,"1,283","2,258,780",BRIT,-0.208229367732216
366036,2018-01-08,0.090627,0.10636500000000002,0.045978,0.10636500000000002,955,"1,927,460",BRIT,0.173656857227978
366037,2018-01-07,0.106476,0.14484,0.070559,0.090757,"1,033","2,264,540",BRIT,-0.147629512754048
366038,2018-01-06,0.11375899999999999,0.121644,0.103726,0.106554,327,"2,419,450",BRIT,-0.0633356481684966
366039,2018-01-05,0.08040499999999999,0.12149000000000001,0.079842,0.113669,272,"1,710,070",BRIT,0.41370561532243
366040,2018-01-04,0.082554,0.098868,0.07345700000000001,0.080389,"2,560","1,755,760",BRIT,-0.0262252586186012
366041,2018-01-03,0.089706,0.10582000000000001,0.077481,0.082104,"1,039","1,907,870",BRIT,-0.0847434954183666
366042,2018-01-02,0.09451699999999999,0.220664,0.07822,0.089914,"9,934","2,010,190",BRIT,-0.048700233820370996
366043,2018-01-01,0.095073,0.096137,0.08702,0.094524,"7,750","2,022,020",BRIT,-0.00577451011328146
366044,2017-12-31,0.09210499999999999,0.09994700000000001,0.08937,0.094706,436,"1,958,900",BRIT,0.0282395092557406
366045,2017-12-30,0.079435,0.09962,0.072895,0.093111,"2,062","1,689,440",BRIT,0.172165921822874
366046,2017-12-29,0.046296,0.105501,0.04565,0.079636,"7,695","984,630",BRIT,0.720148608951097
366047,2017-12-28,0.11348,0.113829,0.044397000000000006,0.045822,20,"2,413,510",BRIT,-0.596210786041593
366048,2017-12-27,0.115452,0.17963099999999999,0.108948,0.11368699999999998,"5,444","2,455,440",BRIT,-0.0152877386273083
366049,2017-12-26,0.10363699999999999,0.11855299999999999,0.10321199999999998,0.11536800000000001,"9,210","2,204,150",BRIT,0.11319316460337499
366050,2017-12-25,0.069253,0.104341,0.065224,0.103743,158,"1,472,880",BRIT,0.49802896625417004
366051,2017-12-24,0.074098,0.09969299999999999,0.061774,0.06854099999999999,"9,339","1,575,920",BRIT,-0.0749952765256821
366052,2017-12-23,0.10242899999999999,0.11123800000000002,0.07295499999999999,0.07328899999999999,902,"2,178,480",BRIT,-0.28448974411543604
366053,2017-12-22,0.140456,0.14540899999999998,0.085766,0.101471,"8,978","2,987,230",BRIT,-0.277560232385943
366054,2017-12-21,0.12343499999999999,0.14017000000000002,0.079144,0.14017000000000002,"1,940","2,625,220",BRIT,0.135577429416292
366055,2017-12-20,0.131117,0.131117,0.104556,0.123231,"24,586","2,788,600",BRIT,-0.0601447562101026
366056,2017-12-19,0.171548,0.17216199999999998,0.112291,0.131246,"1,055","3,648,490",BRIT,-0.23493133117261603
366057,2017-12-18,0.10033099999999999,0.171405,0.083892,0.171405,"16,184","2,133,840",BRIT,0.7083952118487808
366058,2017-12-17,0.137218,0.146629,0.076028,0.098596,"14,292","2,918,360",BRIT,-0.281464530892449
366059,2017-12-16,0.146093,0.14663099999999998,0.035214999999999996,0.1372,"10,416","3,107,130",BRIT,-0.0608721841566674
366060,2017-12-15,0.084768,0.14940499999999998,0.084756,0.14589000000000002,"27,360","1,802,860",BRIT,0.721050396375991
366061,2017-12-14,0.12719,0.13856500000000002,0.069816,0.084648,"11,013","2,705,080",BRIT,-0.33447598081610197
366062,2017-12-13,0.04531,0.129842,0.034464999999999996,0.127599,"3,738","963,655",BRIT,1.8161333039064198
366063,2017-12-12,0.046862,0.0653,0.045247,0.045272,"3,391","996,664",BRIT,-0.0339294097563058
366064,2017-12-11,0.03312,0.048253,0.032967,0.046712000000000004,"2,026","704,390",BRIT,0.41038647342995205
366065,2017-12-10,0.043135,0.056266,0.024686000000000003,0.033339,"1,330","917,391",BRIT,-0.22710096209574598
366066,2017-12-09,0.042834,0.055697,0.027462,0.041897000000000004,199,"911,005",BRIT,-0.0218751459121259
366067,2017-12-08,0.038846,0.049887,0.024472,0.04988,"2,628","826,179",BRIT,0.28404468928589804
366068,2017-12-07,0.030683999999999996,0.038755,0.026256,0.038755,"1,030","652,593",BRIT,0.26303611002476895
366069,2017-12-06,0.008887,0.058602,0.008887,0.030737,"8,872","189,013",BRIT,2.4586474625858
366070,2017-12-05,0.011826,0.016581,0.008875,0.008907,75,"251,508",BRIT,-0.24682902080162397
366071,2017-12-04,0.008405,0.012153,0.005536999999999999,0.011802,47,"178,759",BRIT,0.4041641879833429
366072,2017-12-03,0.016395,0.020137000000000002,0.008190000000000001,0.008376999999999999,388,"348,690",BRIT,-0.48905154010369
366073,2017-12-02,0.006422,0.01781,0.006409999999999999,0.016378999999999998,86,"136,589",BRIT,1.55045157271878
366074,2017-12-01,0.009978,0.014763,0.006325,0.006428,511,"212,210",BRIT,-0.35578272198837496
366075,2017-11-30,0.014639,0.015881,0.009478,0.010027,135,"311,338",BRIT,-0.315048842134026
366076,2017-11-29,0.014197999999999999,0.017916,0.011876000000000001,0.014417,999,"301,961",BRIT,0.0154247077053105
366077,2017-11-28,0.015609,0.024783000000000003,0.014197999999999999,0.014212,49,"331,965",BRIT,-0.0894996476391825
366078,2017-11-27,0.016212999999999998,0.016890000000000002,0.015064,0.015568,17,"344,815",BRIT,-0.0397828902732376
366079,2017-11-26,0.013637,0.016557,0.013622,0.01621,2,"290,038",BRIT,0.188677861699787
366080,2017-11-25,0.012657,0.013642,0.012584999999999999,0.013642,135,"269,181",BRIT,0.0778225487872323
366081,2017-11-24,0.012903,0.013362,0.012587000000000001,0.012681999999999999,267,"274,423",BRIT,-0.0171277997364953
366082,2017-11-23,0.013696999999999999,0.021837,0.012654,0.012921,541,"291,312",BRIT,-0.0566547419142878
366083,2017-11-22,0.021204,0.021613,0.01345,0.013702,245,"450,976",BRIT,-0.35380116959064295
366084,2017-11-21,0.015659,0.021236,0.012006000000000001,0.021153,170,"333,031",BRIT,0.35085254486238004
366085,2017-11-20,0.013406,0.017294999999999998,0.013378,0.015656,20,"285,118",BRIT,0.167835297627928
366086,2017-11-19,0.02009,0.020191,0.01075,0.013412,320,"427,281",BRIT,-0.33240418118466897
366087,2017-11-18,0.015726,0.020442,0.010156,0.020127000000000003,165,"334,455",BRIT,0.279855017169019
366088,2017-11-17,0.019962,0.020472999999999998,0.014209999999999999,0.015786,51,"424,554",BRIT,-0.209197475202885
366089,2017-11-16,0.009654000000000001,0.019906999999999998,0.004932,0.019661,"2,713","205,332",BRIT,1.03656515434017
366090,2017-11-15,0.017498,0.024640000000000002,0.017498,0.024396,128,"372,143",BRIT,0.394216481883644
366091,2017-11-14,0.016736,0.020811,0.015693000000000002,0.017486,25,"355,944",BRIT,0.0448135755258127
366092,2017-11-13,0.024165,0.024350999999999998,0.016541,0.016701,77,"513,934",BRIT,-0.308876474239603
366093,2017-11-12,0.010306000000000001,0.010849,0.006836,0.006883,75,"219,179",BRIT,-0.332136619444983
366094,2017-11-11,0.014136000000000001,0.014641999999999999,0.008721,0.010313,245,"300,645",BRIT,-0.27044425580079196
366095,2017-11-10,0.017105000000000002,0.017599,0.012965,0.014186,194,"363,800",BRIT,-0.170651856182403
366096,2017-11-09,0.015983,0.022222,0.015602000000000001,0.017055,100,"339,923",BRIT,0.0670712632171682
366097,2017-11-08,0.015449000000000001,0.016913,0.005063000000000001,0.015999,"3,452","328,574",BRIT,0.0356010097740954
366098,2017-11-07,0.021822,0.022976,0.015397,0.015498,752,"464,106",BRIT,-0.28979928512510306
366099,2017-11-06,0.027476,0.036241,0.021777,0.021856999999999998,234,"584,368",BRIT,-0.20450575047314004
366100,2017-11-05,0.029475,0.029475,0.013188,0.027415,170,"626,872",BRIT,-0.0698897370653097
366101,2017-11-04,0.026448000000000003,0.035269999999999996,0.026448000000000003,0.029531,126,"562,510",BRIT,0.11656836055656401
366102,2017-11-03,0.015509,0.026606,0.015336,0.026517000000000002,228,"329,851",BRIT,0.709781417241602
366103,2017-11-02,0.021262,0.031011,0.01547,0.015529,391,"452,211",BRIT,-0.269635970275609
366104,2017-11-01,0.019912,0.021278000000000002,0.019683000000000003,0.021238999999999997,11,"423,485",BRIT,0.06664323021293701
366105,2017-10-31,0.013202,0.040972,0.012903999999999999,0.019926,60,"280,788",BRIT,0.509316770186335
366106,2017-10-30,0.020638999999999998,0.020638999999999998,0.012209999999999999,0.013235,657,"438,953",BRIT,-0.35873831096467895
366107,2017-10-29,0.018615,0.021408,0.018594,0.02076,68,"395,913",BRIT,0.11522965350523802
366108,2017-10-28,0.020395,0.020658000000000003,0.018068999999999998,0.018641,106,"433,759",BRIT,-0.0860014709487619
366109,2017-10-27,0.026068,0.026751999999999998,0.018295,0.020339,162,"554,416",BRIT,-0.219771367193494
366110,2017-10-26,0.025527,0.028419999999999997,0.023038999999999997,0.026085,848,"542,918",BRIT,0.0218592078975203
366111,2017-10-25,0.038783,0.038865,0.009581999999999999,0.02553,"78,657","824,842",BRIT,-0.34172188845628204
366112,2017-10-24,0.046357,0.046438,0.019484,0.038764,"1,360","985,916",BRIT,-0.163794033263585
366113,2017-10-23,0.051212,0.051789999999999996,0.040654,0.046345,167,"1,089,180",BRIT,-0.0950363196125909
366114,2017-10-22,0.036202,0.051374,0.012131,0.051284,"1,689","769,957",BRIT,0.41660681730291205
366115,2017-10-21,0.029710000000000004,0.058380999999999995,0.028941,0.036192,41,"631,876",BRIT,0.21817569841804102
366116,2017-10-20,0.05545599999999999,0.063591,0.029082999999999998,0.029769999999999998,478,"1,179,440",BRIT,-0.463178015002885
366117,2017-10-19,0.027469999999999998,0.05574400000000001,0.022938,0.055457000000000006,996,"584,223",BRIT,1.0188205314889
366118,2017-10-18,0.042622,0.042623,0.027029,0.027455,26,"906,480",BRIT,-0.355849092018207
366119,2017-10-17,0.046178,0.046310000000000004,0.029644,0.042619,237,"982,119",BRIT,-0.0770713326692364
366120,2017-10-16,0.03474,0.051022000000000005,0.028651999999999997,0.046171,732,"738,858",BRIT,0.329044329303397
366121,2017-10-15,0.026425999999999998,0.035088,0.024884,0.034736,168,"562,025",BRIT,0.314463028835238
366122,2017-10-14,0.048388,0.048589,0.026064999999999998,0.026394,"1,060","1,029,120",BRIT,-0.4545341820286021
366123,2017-10-13,0.045961,0.050293,0.045667,0.048387,"1,270","977,493",BRIT,0.0527838819869019
366124,2017-10-12,0.065737,0.06892899999999999,0.044335,0.045819,897,"1,398,110",BRIT,-0.302995269026576
366125,2017-10-11,0.040955,0.067969,0.015468,0.065682,"5,117","871,030",BRIT,0.603760224636797
366126,2017-10-10,0.043703,0.046784,0.029706,0.040938999999999996,"1,041","929,488",BRIT,-0.0632450861496921
366127,2017-10-09,0.028183999999999997,0.044108,0.027268,0.043709,"2,761","599,409",BRIT,0.5508444507522
366128,2017-10-08,0.056034,0.056208,0.025387,0.028165,979,"1,191,740",BRIT,-0.497358746475354
366129,2017-10-07,0.034456,0.056247000000000005,0.029912,0.056139999999999995,"4,520","732,814",BRIT,0.629324355700023
366130,2017-10-06,0.042457,0.05037,0.02992,0.034449,"2,526","902,972",BRIT,-0.188614362767035
366131,2017-10-05,0.027579000000000003,0.042881,0.027568000000000002,0.042468,471,"586,556",BRIT,0.539867290329599
366132,2017-10-04,0.022864,0.031016000000000002,0.017144,0.027554000000000002,994,"486,275",BRIT,0.20512596221133703
366133,2017-10-03,0.034886,0.035085000000000005,0.019208000000000003,0.023068,"2,980","741,961",BRIT,-0.33876053431175795
366134,2017-10-02,0.033312,0.036903,0.033312,0.034875,593,"708,481",BRIT,0.0469200288184439
366135,2017-10-01,0.033672,0.035319,0.031708,0.033309,"1,036","716,148",BRIT,-0.0107804704205275
366136,2017-09-30,0.035948,0.043689,0.033532,0.033654,32,"764,534",BRIT,-0.0638143985757204
366137,2017-09-29,0.038299,0.044154,0.034595,0.035936,259,"814,555",BRIT,-0.0616987388704665
366138,2017-09-28,0.039927,0.040305,0.038364999999999996,0.038364999999999996,921,"849,168",BRIT,-0.0391213965487012
366139,2017-09-27,0.036201,0.040017000000000004,0.024499,0.039951,"1,370","769,930",BRIT,0.103588298665783
366140,2017-09-26,0.02595,0.037189,0.02595,0.036267,708,"551,911",BRIT,0.39757225433526
366141,2017-09-25,0.029342,0.031550999999999996,0.023577,0.025851,71,"624,053",BRIT,-0.118976211573853
366142,2017-09-24,0.034623,0.034623,0.018302000000000002,0.029372000000000002,220,"736,358",BRIT,-0.15166218987378302
366143,2017-09-23,0.032072,0.036657999999999996,0.025247,0.034626,410,"682,113",BRIT,0.0796333250187077
