Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
310519,2018-01-10,67.29,93.56,63.58,91.55,"16,894","2,405,150",BTB,0.36052905335116603
310520,2018-01-09,59.7,75.8,59.04,67.2,"3,918","2,132,940",BTB,0.125628140703518
310521,2018-01-08,47.89,63.02,44.99,59.86,"11,152","1,710,390",BTB,0.249947797034872
310522,2018-01-07,52.09,56.51,44.57,47.95,"4,141","1,860,050",BTB,-0.0794778268381647
310523,2018-01-06,44.61,52.16,43.67,52.15,"1,163","1,591,420",BTB,0.169020399013674
310524,2018-01-05,45.41,49.5,39.95,44.62,"2,108","1,619,680",BTB,-0.0173970491081259
310525,2018-01-04,40.68,46.68,37.69,45.4,"2,105","1,450,220",BTB,0.11602753195673499
310526,2018-01-03,36.83,46.62,36.74,40.51,"2,291","1,312,580",BTB,0.0999185446646755
310527,2018-01-02,34.56,45.33,33.64,36.95,"2,183","1,231,390",BTB,0.0691550925925926
310528,2018-01-01,39.22,41.72,32.42,34.46,"1,752","1,396,910",BTB,-0.121366649668536
310529,2017-12-31,33.78,39.56,33.42,39.25,"1,969","1,200,560",BTB,0.16193013617525198
310530,2017-12-30,41.91,42.85,34.12,34.12,"3,029","1,489,470",BTB,-0.185874492961107
310531,2017-12-29,38.02,184.12,33.1,42.01,"7,440","1,351,210",BTB,0.104944765912677
310532,2017-12-28,38.98,41.34,30.65,37.63,738,"1,385,490",BTB,-0.0346331452026679
310533,2017-12-27,34.71,41.4,31.9,39.05,"2,708","1,233,670",BTB,0.125036012676462
310534,2017-12-26,34.92,38.6,32.95,34.68,"1,281","1,241,140",BTB,-0.00687285223367703
310535,2017-12-25,34.48,38.85,32.83,34.94,411,"1,225,610",BTB,0.0133410672853829
310536,2017-12-24,36.94,44.34,28.66,34.18,"2,010","1,312,600",BTB,-0.0747157552788305
310537,2017-12-23,30.67,50.83,30.4,36.52,"2,574","1,089,430",BTB,0.190740136941637
310538,2017-12-22,37.85,38.17,26.46,30.39,"2,771","1,344,010",BTB,-0.197093791281374
310539,2017-12-21,38.47,41.4,34.15,37.73,901,"1,365,630",BTB,-0.0192357681310112
310540,2017-12-20,46.17,46.17,30.93,38.38,"4,428","1,638,570",BTB,-0.168724279835391
310541,2017-12-19,46.89,49.77,34.23,43.02,"4,746","1,663,960",BTB,-0.0825335892514395
310542,2017-12-18,122.82,264.57,45.64,46.86,"2,827","4,357,300",BTB,-0.618466047874939
310543,2017-12-17,193.44,193.49,111.97,123.09,"5,023","6,862,040",BTB,-0.363678660049628
310544,2017-12-16,42.23,208.97,41.92,193.08,"2,536","1,498,140",BTB,3.5721051385271094
310545,2017-12-15,38.56,70.53,38.55,42.2,"3,281","1,366,740",BTB,0.0943983402489627
310546,2017-12-14,38.5,48.19,34.29,40.78,"2,548","1,364,300",BTB,0.0592207792207793
310547,2017-12-13,39.32,43.4,34.85,38.62,"4,385","1,392,920",BTB,-0.0178026449643948
310548,2017-12-12,41.49,62.7,36.82,39.27,"3,852","1,469,630",BTB,-0.0535068691250904
310549,2017-12-11,37.76,42.61,33.7,41.35,"1,145","1,337,290",BTB,0.095074152542373
310550,2017-12-10,30.28,38.99,26.63,38.04,"1,137","1,071,930",BTB,0.256274768824306
310551,2017-12-09,29.05,37.05,26.63,30.16,"6,610","1,027,970",BTB,0.038209982788295994
310552,2017-12-08,36.08,36.63,24.1,29.07,"1,334","1,276,680",BTB,-0.194290465631929
310553,2017-12-07,27.51,36.0,23.13,36.0,"3,818","972,859",BTB,0.308615049073064
310554,2017-12-06,24.69,30.55,24.69,27.54,"5,072","872,533",BTB,0.11543134872418
310555,2017-12-05,24.46,26.86,24.29,24.74,"1,406","864,043",BTB,0.0114472608340146
310556,2017-12-04,24.13,25.73,22.97,24.41,523,"851,704",BTB,0.0116038126813096
310557,2017-12-03,24.82,25.41,22.72,24.05,760,"875,876",BTB,-0.0310233682514101
310558,2017-12-02,27.19,27.64,22.65,24.8,"1,756","959,161",BTB,-0.0878999632217727
310559,2017-12-01,21.19,27.22,19.78,27.22,"2,842","747,118",BTB,0.284568192543653
310560,2017-11-30,20.65,22.47,18.98,21.29,680,"727,977",BTB,0.0309927360774819
310561,2017-11-29,18.88,23.32,18.84,20.34,513,"665,309",BTB,0.0773305084745763
310562,2017-11-28,19.89,28.77,18.62,18.89,"1,725","700,790",BTB,-0.0502765208647562
310563,2017-11-27,21.76,22.66,19.07,19.84,"1,912","766,306",BTB,-0.0882352941176471
310564,2017-11-26,19.54,21.76,17.93,21.76,847,"687,856",BTB,0.11361310133060401
310565,2017-11-25,18.85,19.87,18.28,19.55,933,"663,435",BTB,0.0371352785145888
310566,2017-11-24,17.71,24.44,17.71,18.84,"1,378","622,860",BTB,0.0638057594579333
310567,2017-11-23,19.88,24.3,17.78,17.78,"1,289","699,144",BTB,-0.105633802816901
310568,2017-11-22,18.07,19.93,17.66,19.93,489,"635,236",BTB,0.102933038184837
310569,2017-11-21,16.72,24.71,15.89,18.03,"1,981","587,590",BTB,0.0783492822966509
310570,2017-11-20,18.29,18.3,16.56,16.72,168,"642,427",BTB,-0.0858392564242756
310571,2017-11-19,20.07,20.08,17.48,18.3,472,"704,986",BTB,-0.0881913303437967
310572,2017-11-18,18.5,23.35,16.9,20.12,"1,052","649,565",BTB,0.0875675675675676
310573,2017-11-17,18.82,24.85,15.55,19.53,"4,845","660,785",BTB,0.0377258235919235
310574,2017-11-16,22.57,24.69,17.85,18.86,713,"791,928",BTB,-0.16437749224634501
310575,2017-11-15,14.49,23.27,14.49,22.44,740,"508,290",BTB,0.548654244306418
310576,2017-11-14,14.46,16.93,14.05,14.41,772,"506,963",BTB,-0.0034578146611342103
310577,2017-11-13,12.34,16.7,12.29,14.43,"1,226","432,406",BTB,0.16936790923825
310578,2017-11-12,13.04,14.83,11.68,12.32,"1,490","456,867",BTB,-0.0552147239263803
310579,2017-11-11,14.22,14.74,12.83,13.11,"2,327","498,292",BTB,-0.0780590717299579
310580,2017-11-10,14.83,15.5,13.8,14.12,189,"519,192",BTB,-0.047875927174646
310581,2017-11-09,15.77,16.19,14.91,14.94,188,"552,250",BTB,-0.0526315789473684
310582,2017-11-08,15.66,17.33,15.57,15.79,632,"548,296",BTB,0.00830140485312893
310583,2017-11-07,14.63,21.53,14.63,15.71,656,"511,812",BTB,0.0738209159261791
310584,2017-11-06,17.39,17.65,14.6,14.65,209,"608,236",BTB,-0.157561817136285
310585,2017-11-05,18.12,18.3,15.43,17.39,372,"633,784",BTB,-0.0402869757174393
310586,2017-11-04,20.44,22.18,15.73,18.13,586,"714,611",BTB,-0.113013698630137
310587,2017-11-03,18.64,22.77,17.11,20.49,696,"651,669",BTB,0.0992489270386265
310588,2017-11-02,18.3,23.45,17.99,18.67,418,"639,421",BTB,0.0202185792349727
310589,2017-11-01,16.61,28.2,16.32,18.28,185,"580,418",BTB,0.100541842263697
310590,2017-10-31,24.2,34.02,16.26,18.26,510,"845,276",BTB,-0.245454545454545
310591,2017-10-30,18.46,31.7,14.04,24.38,"1,685","644,486",BTB,0.32069339111592604
310592,2017-10-29,15.67,18.66,15.64,18.57,320,"546,710",BTB,0.18506700701978304
310593,2017-10-28,15.73,17.1,15.64,15.68,734,"548,713",BTB,-0.00317863954227595
310594,2017-10-27,18.53,30.7,15.48,15.69,"2,107","646,193",BTB,-0.153264975715057
310595,2017-10-26,13.96,27.98,13.01,17.49,483,"486,677",BTB,0.252865329512894
310596,2017-10-25,10.85,30.34,10.07,30.29,"8,209","377,850",BTB,1.79170506912442
310597,2017-10-24,12.79,14.23,9.89,10.84,346,"445,462",BTB,-0.152462861610633
310598,2017-10-23,9.96,17.14,9.88,12.81,505,"346,827",BTB,0.286144578313253
310599,2017-10-22,11.83,11.94,9.74,9.98,105,"411,496",BTB,-0.15638207945900304
310600,2017-10-21,12.78,13.62,11.38,11.83,613,"443,729",BTB,-0.0743348982785602
310601,2017-10-20,11.37,14.01,11.37,12.81,96,"394,816",BTB,0.126649076517151
310602,2017-10-19,11.74,14.39,11.11,11.37,162,"407,523",BTB,-0.0315161839863715
310603,2017-10-18,11.19,11.79,10.27,11.74,296,"388,169",BTB,0.0491510277033066
310604,2017-10-17,16.27,16.32,11.05,11.19,598,"564,398",BTB,-0.312231100184388
310605,2017-10-16,12.07,18.98,11.22,16.27,382,"418,229",BTB,0.34797017398508695
310606,2017-10-15,11.09,13.15,10.19,12.06,155,"384,331",BTB,0.0874661857529306
310607,2017-10-14,12.33,13.64,11.21,11.59,"1,127","426,954",BTB,-0.0600162206001622
310608,2017-10-13,11.96,13.6,11.05,11.31,116,"414,208",BTB,-0.0543478260869565
310609,2017-10-12,8.25,11.92,8.23,11.92,423,"285,619",BTB,0.444848484848485
310610,2017-10-11,8.0,14.76,7.94,8.25,281,"276,890",BTB,0.03125
310611,2017-10-10,7.89,13.91,7.89,8.0,269,"273,000",BTB,0.0139416983523448
310612,2017-10-09,8.01,13.34,6.78,7.89,426,"276,765",BTB,-0.0149812734082397
310613,2017-10-08,8.4,8.46,8.0,8.0,50,"290,281",BTB,-0.0476190476190477
310614,2017-10-07,8.75,12.55,8.41,8.42,127,"302,287",BTB,-0.0377142857142857
310615,2017-10-06,8.65,8.85,8.63,8.74,60,"298,698",BTB,0.0104046242774566
310616,2017-10-05,8.07,13.73,7.81,8.65,321,"278,632",BTB,0.0718711276332094
310617,2017-10-04,9.29,9.58,8.04,8.06,587,"320,518",BTB,-0.132400430570506
310618,2017-10-03,9.54,11.09,9.18,9.27,83,"328,954",BTB,-0.0283018867924528
310619,2017-10-02,10.79,11.08,9.49,9.54,151,"371,969",BTB,-0.11584800741427198
310620,2017-10-01,11.81,12.58,10.47,10.8,3,"407,049",BTB,-0.0855207451312447
310621,2017-09-30,13.45,13.63,10.3,11.81,254,"463,353",BTB,-0.121933085501859
310622,2017-09-29,15.96,15.97,6.76,13.44,39,"550,115",BTB,-0.157894736842105
310623,2017-09-28,14.63,15.97,14.5,15.96,10,"503,424",BTB,0.0909090909090909
310624,2017-09-27,14.35,16.61,13.77,14.64,188,"493,679",BTB,0.0202090592334495
310625,2017-09-26,14.86,15.29,13.55,14.39,18,"510,818",BTB,-0.0316285329744279
310626,2017-09-25,11.9,15.45,11.89,14.86,424,"408,941",BTB,0.24873949579831897
310627,2017-09-24,12.22,12.22,7.41,11.91,"1,122","419,925",BTB,-0.0253682487725041
310628,2017-09-23,9.02,13.08,8.98,12.22,57,"309,751",BTB,0.354767184035477
310629,2017-09-22,13.09,14.33,9.04,9.04,207,"449,559",BTB,-0.30939648586707397
310630,2017-09-21,13.98,14.94,11.18,13.11,443,"479,732",BTB,-0.0622317596566524
310631,2017-09-20,14.84,16.15,12.3,14.05,818,"509,155",BTB,-0.0532345013477088
310632,2017-09-19,13.23,16.13,12.22,14.86,868,"453,603",BTB,0.123204837490552
310633,2017-09-18,10.24,15.35,10.24,13.2,334,"351,068",BTB,0.2890625
310634,2017-09-17,12.83,13.74,9.93,10.26,109,"439,530",BTB,-0.200311769290725
310635,2017-09-16,11.11,12.84,8.89,12.84,"1,878","380,681",BTB,0.15571557155715599
310636,2017-09-15,7.77,11.32,6.4,11.14,"1,235","265,962",BTB,0.433719433719434
