Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
45017,2018-01-10,375.38,399.63,337.06,352.43,"1,265,720","483,814,000",BTCD,-0.0611380467792636
45018,2018-01-09,374.42,399.71,345.51,374.89,"1,113,940","482,580,000",BTCD,0.00125527482506268
45019,2018-01-08,358.84,376.41,312.9,373.04,"784,325","462,498,000",BTCD,0.0395719540742393
45020,2018-01-07,373.05,388.93,338.67,359.65,"840,741","480,804,000",BTCD,-0.035920117946656
45021,2018-01-06,341.32,382.47,316.14,378.3,"964,123","439,915,000",BTCD,0.108344075940466
45022,2018-01-05,363.18,378.95,322.15,341.02,"500,490","468,094,000",BTCD,-0.0610165758026324
45023,2018-01-04,375.4,378.71,328.29,363.09,"249,790","483,835,000",BTCD,-0.0327916888652105
45024,2018-01-03,351.06,376.6,338.82,373.47,"299,922","452,466,000",BTCD,0.063835241839002
45025,2018-01-02,313.17,356.4,304.93,352.4,"511,037","403,634,000",BTCD,0.12526742663728999
45026,2018-01-01,327.05,327.49,303.69,316.84,"198,190","421,521,000",BTCD,-0.0312184681241401
45027,2017-12-31,264.63,337.71,261.61,322.87,"596,913","341,076,000",BTCD,0.22008086762649695
45028,2017-12-30,310.69,314.93,257.68,265.99,"386,578","400,442,000",BTCD,-0.143873314236055
45029,2017-12-29,320.98,325.12,299.86,313.16,"681,527","413,692,000",BTCD,-0.0243628886534986
45030,2017-12-28,283.96,325.58,252.03,317.71,"1,289,870","365,991,000",BTCD,0.118854768277222
45031,2017-12-27,286.16,305.63,269.53,283.86,"466,169","368,821,000",BTCD,-0.00803746155996649
45032,2017-12-26,300.22,332.96,283.01,285.02,"709,660","386,938,000",BTCD,-0.0506295383385519
45033,2017-12-25,304.92,318.35,287.13,300.48,"588,450","393,005,000",BTCD,-0.0145611963793782
45034,2017-12-24,331.36,331.54,271.83,301.25,"598,821","427,075,000",BTCD,-0.0908679381941092
45035,2017-12-23,302.33,385.85,302.33,325.39,"2,073,500","389,660,000",BTCD,0.0762742698375947
45036,2017-12-22,251.57,372.13,205.28,301.68,"6,028,350","324,235,000",BTCD,0.19918909249910602
45037,2017-12-21,278.9,318.88,241.02,252.71,"1,119,500","359,463,000",BTCD,-0.0939046253137324
45038,2017-12-20,207.17,282.32,187.41,278.23,"984,073","267,009,000",BTCD,0.34300333059806
45039,2017-12-19,212.62,239.38,201.2,207.94,"618,114","274,031,000",BTCD,-0.0220110996143355
45040,2017-12-18,186.14,221.75,175.73,215.31,"744,442","239,903,000",BTCD,0.15671000322338
45041,2017-12-17,182.9,203.13,175.42,184.28,"338,678","235,733,000",BTCD,0.00754510661563693
45042,2017-12-16,163.66,186.89,161.45,182.9,"237,533","210,938,000",BTCD,0.117560796773799
45043,2017-12-15,156.93,166.72,150.66,163.41,"309,809","202,257,000",BTCD,0.0412922959281208
45044,2017-12-14,147.23,155.8,146.21,154.61,"158,660","189,761,000",BTCD,0.0501256537390479
45045,2017-12-13,145.29,161.19,138.99,146.77,"211,410","187,265,000",BTCD,0.0101865235047148
45046,2017-12-12,141.31,157.55,130.81,145.16,"266,784","182,132,000",BTCD,0.0272450640435921
45047,2017-12-11,134.09,152.31,133.4,138.81,"193,733","172,819,000",BTCD,0.0352002386456857
45048,2017-12-10,151.91,151.91,126.79,134.22,"61,735","195,790,000",BTCD,-0.11645052991903099
45049,2017-12-09,140.41,168.73,140.04,151.88,"250,999","180,973,000",BTCD,0.0816893383662132
45050,2017-12-08,176.73,176.73,121.69,140.53,"316,186","227,782,000",BTCD,-0.20483222995529898
45051,2017-12-07,134.98,189.83,129.88,173.83,"477,348","173,973,000",BTCD,0.28782041783968
45052,2017-12-06,147.22,150.44,128.87,136.54,"216,513","189,741,000",BTCD,-0.0725444912376036
45053,2017-12-05,151.02,153.26,142.74,148.74,"139,206","194,639,000",BTCD,-0.0150973381009138
45054,2017-12-04,129.06,150.5,128.36,149.1,"307,496","166,342,000",BTCD,0.155276615527661
45055,2017-12-03,128.98,142.18,121.5,129.89,"100,042","166,234,000",BTCD,0.00705535741975497
45056,2017-12-02,129.25,133.94,122.25,129.45,"94,273","166,587,000",BTCD,0.00154738878143125
45057,2017-12-01,111.32,132.9,106.27,129.36,"115,651","143,477,000",BTCD,0.16205533596838
45058,2017-11-30,113.29,125.95,104.8,111.9,"99,073","146,017,000",BTCD,-0.0122693971224292
45059,2017-11-29,135.62,145.52,107.91,111.59,"199,208","174,797,000",BTCD,-0.177186255714496
45060,2017-11-28,139.47,140.32,133.06,135.73,"132,245","179,757,000",BTCD,-0.0268158026815803
45061,2017-11-27,136.75,144.4,134.95,139.12,"202,692","176,251,000",BTCD,0.0173308957952468
45062,2017-11-26,122.53,140.13,118.52,137.1,"218,584","157,921,000",BTCD,0.11890965477842201
45063,2017-11-25,118.8,124.3,115.78,122.57,"92,245","153,111,000",BTCD,0.0317340067340067
45064,2017-11-24,113.7,126.34,109.92,118.81,"182,891","146,546,000",BTCD,0.0449428320140721
45065,2017-11-23,111.8,120.27,110.17,114.89,"129,045","144,090,000",BTCD,0.0276386404293381
45066,2017-11-22,112.08,114.36,109.37,112.05,"96,648","144,457,000",BTCD,-0.000267665952890802
45067,2017-11-21,112.84,116.25,103.97,111.81,"57,835","145,434,000",BTCD,-0.00912796880538817
45068,2017-11-20,108.76,116.62,106.28,112.81,"101,612","140,175,000",BTCD,0.0372379551305627
45069,2017-11-19,114.01,120.33,105.64,108.81,"226,569","146,943,000",BTCD,-0.0456100342075257
45070,2017-11-18,105.93,130.09,101.38,113.6,"448,677","136,526,000",BTCD,0.0724063060511657
45071,2017-11-17,106.7,110.72,102.5,106.34,"60,285","137,524,000",BTCD,-0.00337394564198687
45072,2017-11-16,107.33,121.93,102.69,106.86,"318,931","138,327,000",BTCD,-0.00437901798192489
45073,2017-11-15,111.06,115.69,102.49,106.0,"127,238","143,145,000",BTCD,-0.0455609580406987
45074,2017-11-14,109.25,112.85,108.0,110.64,"41,560","140,803,000",BTCD,0.0127231121281465
45075,2017-11-13,101.3,116.67,99.44,109.01,"189,394","130,566,000",BTCD,0.0761105626850939
45076,2017-11-12,112.42,114.2,94.64,101.25,"159,577","144,890,000",BTCD,-0.09935954456502401
45077,2017-11-11,108.81,120.61,106.92,112.5,"223,755","140,242,000",BTCD,0.0339123242349049
45078,2017-11-10,134.77,140.18,103.05,110.18,"278,010","173,696,000",BTCD,-0.182459004229428
45079,2017-11-09,132.22,139.76,124.42,129.23,"179,166","170,414,000",BTCD,-0.0226138254424445
45080,2017-11-08,130.3,144.63,115.41,131.82,"352,872","167,942,000",BTCD,0.0116653875671526
45081,2017-11-07,117.73,131.51,117.73,130.46,"138,078","151,733,000",BTCD,0.108128769217702
45082,2017-11-06,113.29,132.26,106.4,118.15,"216,527","146,013,000",BTCD,0.0428987554064789
45083,2017-11-05,106.95,113.04,104.59,113.04,"78,108","137,841,000",BTCD,0.0569424964936887
45084,2017-11-04,108.92,113.44,105.84,107.14,"38,145","140,376,000",BTCD,-0.0163422695556372
45085,2017-11-03,105.54,110.44,100.45,109.18,"114,452","136,022,000",BTCD,0.0344892931589919
45086,2017-11-02,94.34,110.81,89.09,106.2,"189,843","121,587,000",BTCD,0.125715497138011
45087,2017-11-01,103.81,103.81,92.69,94.23,"60,098","133,790,000",BTCD,-0.09228398034871402
45088,2017-10-31,102.59,112.69,101.53,102.99,"204,122","132,227,000",BTCD,0.00389901549858652
45089,2017-10-30,96.28,102.75,93.43,102.66,"53,259","124,087,000",BTCD,0.0662650602409638
45090,2017-10-29,87.3,101.94,86.53,95.84,"100,048","112,515,000",BTCD,0.097823596792669
45091,2017-10-28,86.21,92.69,85.86,87.42,"125,362","111,111,000",BTCD,0.0140354947221901
45092,2017-10-27,83.22,86.52,81.91,85.98,"25,573","107,262,000",BTCD,0.0331651045421774
45093,2017-10-26,84.58,89.73,81.57,83.21,"30,567","109,018,000",BTCD,-0.0161976826672973
45094,2017-10-25,86.29,88.1,82.12,84.6,"49,788","111,222,000",BTCD,-0.0195851199443738
45095,2017-10-24,74.96,89.72,70.99,86.25,"68,714","96,618,400",BTCD,0.15061366061899698
45096,2017-10-23,86.0,87.0,72.98,75.12,"97,471","110,847,000",BTCD,-0.12651162790697698
45097,2017-10-22,78.07,86.41,75.94,85.56,"47,482","100,617,000",BTCD,0.0959395414371719
45098,2017-10-21,84.31,84.74,74.41,78.04,"77,610","108,670,000",BTCD,-0.0743684023247538
45099,2017-10-20,87.1,90.34,81.56,84.5,"126,334","112,260,000",BTCD,-0.0298507462686567
45100,2017-10-19,87.64,91.31,82.32,87.07,"96,586","112,950,000",BTCD,-0.006503879507074479
45101,2017-10-18,83.59,89.05,77.18,87.37,"97,885","107,736,000",BTCD,0.0452207201818399
45102,2017-10-17,86.6,88.79,82.3,83.24,"82,891","111,610,000",BTCD,-0.0387990762124711
45103,2017-10-16,87.25,92.71,83.4,86.53,"128,921","112,452,000",BTCD,-0.008252148997134659
45104,2017-10-15,85.96,98.93,81.48,87.22,"242,811","110,789,000",BTCD,0.0146579804560261
45105,2017-10-14,85.87,87.66,82.23,85.81,"66,400","110,670,000",BTCD,-0.000698730639338561
45106,2017-10-13,83.97,111.57,76.14,85.14,"573,952","108,219,000",BTCD,0.0139335476956056
45107,2017-10-12,87.82,88.43,81.97,83.71,"100,320","113,182,000",BTCD,-0.0468002732862674
45108,2017-10-11,79.39,90.26,78.02,88.92,"81,839","102,323,000",BTCD,0.120040307343494
45109,2017-10-10,75.54,82.84,75.54,78.35,"71,191","97,354,600",BTCD,0.0371988350542757
45110,2017-10-09,80.63,86.81,74.7,75.53,"303,592","103,919,000",BTCD,-0.0632518913555748
45111,2017-10-08,92.5,94.14,80.38,83.88,"415,576","119,220,000",BTCD,-0.0931891891891892
45112,2017-10-07,89.89,93.64,85.23,92.74,"65,994","115,860,000",BTCD,0.0317054177327845
45113,2017-10-06,91.68,93.89,88.5,89.87,"56,116","118,158,000",BTCD,-0.0197425828970332
45114,2017-10-05,93.36,94.36,89.27,91.67,"70,399","120,328,000",BTCD,-0.018101970865467
45115,2017-10-04,98.97,100.21,91.92,93.28,"46,068","127,554,000",BTCD,-0.0574921693442457
45116,2017-10-03,98.19,101.41,91.95,98.73,"88,860","126,550,000",BTCD,0.00549954170485799
45117,2017-10-02,108.75,110.1,97.93,98.19,"150,259","140,160,000",BTCD,-0.0971034482758621
45118,2017-10-01,113.46,114.11,99.43,108.7,"448,996","146,239,000",BTCD,-0.0419531112286268
45119,2017-09-30,93.89,151.02,93.38,114.07,"2,303,420","121,011,000",BTCD,0.21493236766428797
45120,2017-09-29,90.88,95.56,87.26,93.76,"116,231","117,131,000",BTCD,0.0316901408450705
