Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
203871,2018-01-10,0.001791,0.001883,0.001234,0.001592,"552,114","19,759,600",BUZZ,-0.111111111111111
203872,2018-01-09,0.001834,0.002508,0.0016309999999999999,0.001789,"1,067,590","20,229,800",BUZZ,-0.0245365321701199
203873,2018-01-08,0.001306,0.0021969999999999997,0.001196,0.0019010000000000001,"957,911","14,405,500",BUZZ,0.45558958652373605
203874,2018-01-07,0.001116,0.001582,0.001027,0.001308,"749,168","12,313,000",BUZZ,0.17204301075268802
203875,2018-01-06,0.0009279999999999999,0.001207,0.000739,0.0012050000000000001,"361,026","10,239,300",BUZZ,0.298491379310345
203876,2018-01-05,0.000784,0.00098,0.0005679999999999999,0.000927,"198,122","8,652,010",BUZZ,0.182397959183673
203877,2018-01-04,0.0007610000000000001,0.0009130000000000001,0.000659,0.000734,"215,770","8,389,520",BUZZ,-0.0354796320630749
203878,2018-01-03,0.000785,0.0009119999999999999,0.0006730000000000001,0.0007559999999999999,"422,292","8,656,440",BUZZ,-0.0369426751592356
203879,2018-01-02,0.000541,0.0009570000000000001,0.00043,0.000769,"716,471","5,972,210",BUZZ,0.42144177449168196
203880,2018-01-01,0.00044699999999999997,0.000662,0.0004,0.000541,"164,821","3,119,340",BUZZ,0.21029082774049201
203881,2017-12-31,0.000352,0.000518,0.000276,0.000424,"75,955","2,455,070",BUZZ,0.20454545454545497
203882,2017-12-30,0.00042,0.000463,0.00026000000000000003,0.000365,"74,513","2,926,770",BUZZ,-0.130952380952381
203883,2017-12-29,0.000434,0.000468,0.00028900000000000003,0.00042,"47,207","3,025,470",BUZZ,-0.0322580645161289
203884,2017-12-28,0.000334,0.000452,0.000276,0.000429,"32,019","2,330,510",BUZZ,0.28443113772455103
203885,2017-12-27,0.000314,0.000481,0.00019099999999999998,0.000217,"44,468","2,193,180",BUZZ,-0.308917197452229
203886,2017-12-26,0.000348,0.00044400000000000006,0.000251,0.000314,"53,852","2,428,510",BUZZ,-0.0977011494252874
203887,2017-12-25,0.00027400000000000005,0.00041799999999999997,0.000168,0.00034700000000000003,"65,072","1,910,700",BUZZ,0.266423357664234
203888,2017-12-24,0.000315,0.000315,0.00018899999999999999,0.000271,"7,148","2,197,130",BUZZ,-0.13968253968254
203889,2017-12-23,0.00025699999999999996,0.00032599999999999996,0.000168,0.00031,"11,132","1,794,010",BUZZ,0.20622568093385196
203890,2017-12-22,0.000213,0.000277,0.000143,0.00025499999999999996,"5,833","1,485,760",BUZZ,0.19718309859154898
203891,2017-12-21,0.00018600000000000002,0.00047400000000000003,0.000167,0.000212,"13,417","1,298,630",BUZZ,0.139784946236559
203892,2017-12-20,0.000307,0.000315,0.000169,0.00018600000000000002,"14,906","2,138,190",BUZZ,-0.39413680781759003
203893,2017-12-19,0.000367,0.000368,0.000182,0.000302,"6,814","2,558,770",BUZZ,-0.177111716621253
203894,2017-12-18,0.00037200000000000004,0.00038199999999999996,0.000195,0.000368,"23,187","2,594,650",BUZZ,-0.010752688172043001
203895,2017-12-17,0.00035099999999999997,0.001003,0.000225,0.000371,"6,604","2,445,250",BUZZ,0.056980056980056995
203896,2017-12-16,0.000354,0.00044800000000000005,0.00018999999999999998,0.00035,"23,066","2,471,360",BUZZ,-0.0112994350282486
203897,2017-12-15,0.00045,0.000519,0.000242,0.000354,"44,295","3,141,390",BUZZ,-0.21333333333333301
203898,2017-12-14,0.000455,0.000547,0.000332,0.00045,"16,364","3,173,750",BUZZ,-0.010989010989011
203899,2017-12-13,0.00036899999999999997,0.000665,0.000362,0.00045599999999999997,"38,124","2,575,800",BUZZ,0.235772357723577
203900,2017-12-12,0.00044,0.000526,0.00035,0.00036899999999999997,"18,681","3,071,440",BUZZ,-0.161363636363636
203901,2017-12-11,0.000455,0.000502,0.000349,0.000439,"10,689","3,170,520",BUZZ,-0.0351648351648352
203902,2017-12-10,0.00042199999999999996,0.000469,0.000288,0.000458,"25,451","2,946,860",BUZZ,0.0853080568720379
203903,2017-12-09,0.0005200000000000001,0.0006519999999999999,0.00036899999999999997,0.000421,"31,954","3,626,020",BUZZ,-0.19038461538461499
