Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
158067,2018-01-10,12.4,12.51,10.95,12.36,"852,117","34,840,800",CLAM,-0.00322580645161298
158068,2018-01-09,12.66,13.6,12.29,12.39,"1,827,800","35,546,200",CLAM,-0.0213270142180094
158069,2018-01-08,11.65,13.7,10.79,12.77,"4,545,570","32,694,300",CLAM,0.0961373390557939
158070,2018-01-07,11.68,12.34,11.28,11.72,"1,075,400","32,743,100",CLAM,0.00342465753424665
158071,2018-01-06,10.55,12.27,10.4,11.74,"738,453","29,564,700",CLAM,0.112796208530806
158072,2018-01-05,11.54,11.91,10.48,10.5,"1,290,090","32,311,500",CLAM,-0.0901213171577122
158073,2018-01-04,12.65,12.69,11.12,11.84,"1,467,330","35,398,800",CLAM,-0.0640316205533597
158074,2018-01-03,11.67,13.11,11.28,12.58,"2,819,270","32,641,100",CLAM,0.0779777206512425
158075,2018-01-02,10.77,13.58,10.38,11.58,"5,540,950","30,091,000",CLAM,0.0752089136490251
158076,2018-01-01,10.66,11.25,10.32,10.68,"2,415,120","29,772,300",CLAM,0.00187617260787988
158077,2017-12-31,8.82,11.05,8.77,10.56,"1,671,660","24,625,900",CLAM,0.197278911564626
158078,2017-12-30,10.28,10.28,8.79,8.92,"560,498","28,669,000",CLAM,-0.132295719844358
158079,2017-12-29,10.08,10.81,9.46,10.39,"1,023,280","28,092,900",CLAM,0.0307539682539683
158080,2017-12-28,10.41,11.0,9.27,9.95,"961,190","28,993,700",CLAM,-0.0441882804995198
158081,2017-12-27,10.02,10.47,9.62,10.43,"699,803","27,902,200",CLAM,0.0409181636726547
158082,2017-12-26,10.29,10.45,9.25,10.09,"1,168,310","28,629,800",CLAM,-0.0194363459669581
158083,2017-12-25,9.83,10.48,9.15,10.24,"1,027,260","27,335,000",CLAM,0.0417090539165819
158084,2017-12-24,9.78,9.78,8.09,9.72,"548,894","27,183,500",CLAM,-0.00613496932515324
158085,2017-12-23,8.33,10.74,8.06,9.72,"1,533,050","23,130,200",CLAM,0.16686674669867999
158086,2017-12-22,10.38,10.67,5.99,8.28,"2,183,780","28,794,200",CLAM,-0.202312138728324
158087,2017-12-21,10.85,12.13,9.71,10.4,"1,696,210","30,070,300",CLAM,-0.0414746543778801
158088,2017-12-20,10.47,11.43,9.41,10.91,"1,472,830","29,017,300",CLAM,0.0420248328557784
158089,2017-12-19,11.93,12.28,10.18,10.48,"1,451,970","33,025,800",CLAM,-0.12154233025984901
158090,2017-12-18,10.06,13.53,9.09,11.99,"5,425,100","27,831,500",CLAM,0.19184890656063602
158091,2017-12-17,8.29,10.5,8.14,10.09,"1,064,320","22,922,900",CLAM,0.217129071170085
158092,2017-12-16,7.81,8.6,7.54,8.29,"1,016,280","21,599,300",CLAM,0.0614596670934699
158093,2017-12-15,8.1,8.25,7.18,7.85,"729,944","22,363,400",CLAM,-0.0308641975308642
158094,2017-12-14,7.55,8.06,7.37,8.06,"566,740","20,845,800",CLAM,0.0675496688741723
158095,2017-12-13,7.5,8.29,7.24,7.58,"750,330","20,703,800",CLAM,0.0106666666666667
158096,2017-12-12,6.97,7.57,6.43,7.57,"736,241","19,213,700",CLAM,0.0860832137733143
158097,2017-12-11,6.66,7.35,6.4,6.88,"802,791","18,355,300",CLAM,0.033033033033032996
158098,2017-12-10,7.29,7.29,6.07,6.71,"276,044","20,075,300",CLAM,-0.0795610425240055
158099,2017-12-09,7.66,7.89,6.91,7.26,"261,463","21,082,400",CLAM,-0.0522193211488251
158100,2017-12-08,8.76,8.88,6.45,7.67,"1,583,250","24,099,400",CLAM,-0.124429223744292
158101,2017-12-07,8.63,9.56,8.01,8.74,"2,208,940","23,728,600",CLAM,0.0127462340672073
158102,2017-12-06,8.85,9.3,8.12,8.69,"1,099,510","24,318,200",CLAM,-0.0180790960451978
158103,2017-12-05,8.62,8.94,8.45,8.84,"358,896","23,654,100",CLAM,0.0255220417633411
158104,2017-12-04,8.32,8.59,8.07,8.59,"260,696","22,826,800",CLAM,0.032451923076922996
158105,2017-12-03,8.03,8.7,7.78,8.29,"376,071","22,011,900",CLAM,0.0323785803237858
158106,2017-12-02,8.08,8.25,7.74,7.96,"254,943","22,153,000",CLAM,-0.0148514851485149
158107,2017-12-01,7.74,8.14,7.22,8.01,"877,263","21,186,500",CLAM,0.0348837209302325
158108,2017-11-30,7.79,8.58,7.2,7.72,"742,921","21,332,000",CLAM,-0.00898587933247757
158109,2017-11-29,7.87,9.09,7.18,7.69,"906,414","21,528,200",CLAM,-0.0228716645489199
158110,2017-11-28,7.55,7.97,7.51,7.88,"724,244","20,630,400",CLAM,0.0437086092715232
158111,2017-11-27,7.13,7.76,7.13,7.56,"471,850","19,474,800",CLAM,0.0603085553997195
158112,2017-11-26,6.99,7.26,6.79,7.17,"324,341","19,081,300",CLAM,0.0257510729613733
158113,2017-11-25,6.64,7.14,6.36,6.99,"883,076","18,119,700",CLAM,0.0527108433734941
158114,2017-11-24,6.55,6.7,5.91,6.46,"766,430","17,849,700",CLAM,-0.0137404580152672
