Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
599040,2018-01-10,15.33,16.05,14.09,16.05,"13,841",-,CMP,0.0469667318982388
599041,2018-01-09,15.66,16.04,14.56,15.31,"9,415",-,CMP,-0.0223499361430396
599042,2018-01-08,16.61,16.67,14.79,15.7,"6,060",-,CMP,-0.0547862733293197
599043,2018-01-07,17.2,17.29,16.19,16.63,"12,800",-,CMP,-0.0331395348837209
599044,2018-01-06,16.14,17.26,15.94,17.22,"23,928",-,CMP,0.0669144981412638
599045,2018-01-05,14.88,16.27,14.63,16.12,"12,497",-,CMP,0.0833333333333333
599046,2018-01-04,14.91,15.15,14.08,14.87,44,-,CMP,-0.00268276324614359
599047,2018-01-03,14.48,15.15,13.94,14.83,"13,263",-,CMP,0.024171270718232003
599048,2018-01-02,12.76,14.84,12.33,14.53,"22,172",-,CMP,0.13871473354232
599049,2018-01-01,13.28,13.29,12.14,12.76,"5,064",-,CMP,-0.0391566265060241
599050,2017-12-31,11.44,13.58,11.33,13.23,"16,878",-,CMP,0.15646853146853199
599051,2017-12-30,13.34,13.34,10.96,11.57,"1,293",-,CMP,-0.132683658170915
599052,2017-12-29,13.34,13.87,12.97,13.37,"13,334",-,CMP,0.0022488755622188396
599053,2017-12-28,13.44,13.49,12.34,13.21,"38,765",-,CMP,-0.0171130952380951
599054,2017-12-27,13.95,14.59,12.75,13.46,"12,274",-,CMP,-0.0351254480286737
599055,2017-12-26,11.85,14.2,11.81,13.94,"16,841",-,CMP,0.17637130801687803
599056,2017-12-25,12.24,12.49,11.47,11.87,"12,557",-,CMP,-0.0302287581699347
599057,2017-12-24,12.29,12.29,10.69,12.12,"7,321",-,CMP,-0.0138323840520749
599058,2017-12-23,12.15,13.46,11.64,12.16,"9,325",-,CMP,0.000823045267489694
599059,2017-12-22,11.99,13.06,9.12,12.04,"37,897",-,CMP,0.0041701417848206
599060,2017-12-21,11.64,12.99,11.2,11.95,"24,552",-,CMP,0.0266323024054982
599061,2017-12-20,11.45,12.34,10.43,11.61,"12,389",-,CMP,0.0139737991266376
599062,2017-12-19,13.01,13.06,11.21,11.46,"21,306",-,CMP,-0.119139123750961
599063,2017-12-18,13.12,13.24,12.54,13.0,"27,835",-,CMP,-0.009146341463414571
599064,2017-12-17,13.07,13.51,12.7,13.08,"9,033",-,CMP,0.000765110941086441
599065,2017-12-16,11.47,13.17,11.16,13.07,"11,047",-,CMP,0.13949433304272
599066,2017-12-15,11.05,12.17,11.05,11.45,"35,524",-,CMP,0.0361990950226243
599067,2017-12-14,10.15,11.08,10.04,11.04,"2,380",-,CMP,0.0876847290640393
599068,2017-12-13,10.61,11.25,9.56,10.19,"15,943",-,CMP,-0.0395852968897267
599069,2017-12-12,10.02,11.28,9.91,10.6,"25,614",-,CMP,0.0578842315369262
599070,2017-12-11,10.15,10.73,9.51,9.99,"22,509","44,006,900",CMP,-0.0157635467980296
599071,2017-11-23,1.48,1.49,1.46,1.47,16,"6,409,900",CMP,-0.00675675675675676
599072,2017-11-22,1.87,2.2,1.46,1.48,"8,837","8,081,680",CMP,-0.20855614973262002
599073,2017-11-21,2.29,2.33,1.78,1.86,"7,617","9,914,280",CMP,-0.18777292576419197
599074,2017-11-20,2.57,2.57,1.9,2.29,"22,907","11,100,400",CMP,-0.108949416342412
599075,2017-11-19,2.34,2.58,2.06,2.41,"11,065","10,104,100",CMP,0.02991452991453
599076,2017-11-18,2.24,2.99,1.89,2.34,"19,129","9,672,890",CMP,0.044642857142857005
599077,2017-11-17,2.83,2.85,2.25,2.25,"4,051","12,243,700",CMP,-0.20494699646643103
599078,2017-11-16,2.71,3.19,2.47,2.76,"10,270","11,704,200",CMP,0.018450184501845
599079,2017-11-15,2.24,3.24,2.24,2.69,"15,925","9,659,080",CMP,0.20089285714285698
599080,2017-11-14,2.1,3.19,2.1,2.23,"8,840","9,053,730",CMP,0.0619047619047619
599081,2017-11-13,2.11,3.87,1.82,2.35,"13,850","9,107,100",CMP,0.113744075829384
599082,2017-11-12,2.16,3.12,1.72,2.11,"10,993","9,333,290",CMP,-0.0231481481481483
599083,2017-11-11,2.17,2.34,1.82,2.16,"24,802","9,367,080",CMP,-0.00460829493087548
599084,2017-11-10,2.0,2.42,1.97,2.18,"8,802","8,653,030",CMP,0.0900000000000001
599085,2017-11-09,2.1,2.5,1.59,2.0,"9,837","9,054,800",CMP,-0.0476190476190477
599086,2017-11-08,1.99,2.28,1.88,2.1,"1,966","8,603,510",CMP,0.0552763819095478
599087,2017-11-07,1.74,2.24,1.74,2.0,"3,597","7,503,280",CMP,0.149425287356322
599088,2017-11-06,2.9,2.9,1.78,1.78,"6,385","12,492,300",CMP,-0.386206896551724
599089,2017-11-05,2.51,4.51,1.26,2.89,"84,400","10,811,100",CMP,0.15139442231075698
599090,2017-11-04,2.54,2.75,2.17,2.51,"22,934","10,964,800",CMP,-0.0118110236220473
599091,2017-11-03,2.39,2.73,2.06,2.55,"25,717","10,289,400",CMP,0.0669456066945605
599092,2017-11-02,2.53,2.68,2.07,2.39,"17,799","10,916,500",CMP,-0.0553359683794465
599093,2017-11-01,2.13,2.54,2.12,2.53,"9,315","9,170,640",CMP,0.187793427230047
599094,2017-10-31,3.28,3.85,1.66,2.13,"265,184","14,118,500",CMP,-0.35060975609756106
599095,2017-10-30,4.37,5.2,1.22,3.29,"100,630","18,810,900",CMP,-0.24713958810068698
599096,2017-10-29,4.7,5.07,4.39,4.4,"41,976","20,210,400",CMP,-0.0638297872340425
599097,2017-10-28,4.27,5.24,4.17,4.7,"210,711","18,361,000",CMP,0.10070257611241198
599098,2017-10-27,4.79,5.85,4.09,4.26,"139,692","20,592,600",CMP,-0.11064718162839302
599099,2017-10-26,4.64,5.93,2.98,4.84,"129,868","19,967,900",CMP,0.0431034482758621
599100,2017-10-25,4.45,4.93,3.88,4.64,"48,691","19,119,500",CMP,0.042696629213482995
599101,2017-10-24,5.28,5.28,4.41,4.45,"76,762","22,682,300",CMP,-0.15719696969697
599102,2017-10-23,5.7,5.81,2.88,5.29,"52,084","24,490,000",CMP,-0.0719298245614035
599103,2017-10-22,6.03,6.12,5.47,5.83,"145,636","25,889,400",CMP,-0.033167495854063
599104,2017-10-21,5.85,6.25,5.68,6.03,"49,798","25,128,800",CMP,0.0307692307692309
599105,2017-10-20,5.62,6.18,5.08,5.86,"292,285","24,147,900",CMP,0.0427046263345196
599106,2017-10-19,5.76,5.98,4.7,5.68,"319,857","24,709,400",CMP,-0.0138888888888889
599107,2017-10-18,7.0,7.06,5.48,5.75,"287,203","30,040,700",CMP,-0.178571428571429
599108,2017-10-17,6.02,7.0,5.22,7.0,"210,478","25,829,700",CMP,0.162790697674419
599109,2017-10-16,5.99,6.3,5.64,6.02,"203,680","25,684,300",CMP,0.00500834724540891
599110,2017-10-15,6.01,6.37,5.47,5.99,"59,062","25,786,500",CMP,-0.00332778702163055
599111,2017-10-14,5.86,6.07,5.34,6.0,"159,787","25,116,200",CMP,0.0238907849829351
599112,2017-10-13,4.84,6.02,4.84,5.86,"179,564","20,743,700",CMP,0.21074380165289303
599113,2017-10-12,5.02,5.5,4.35,4.83,"294,935","21,499,100",CMP,-0.0378486055776891
