Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
118226,2018-01-10,0.016755000000000003,0.017004,0.014129,0.016522,"464,896","67,473,800",COLX,-0.0139062966278723
118227,2018-01-09,0.017667,0.018647999999999998,0.015199,0.016614,"195,595","71,143,800",COLX,-0.0596026490066224
118228,2018-01-08,0.018851,0.019155000000000002,0.016085,0.017702000000000002,"338,634","75,914,800",COLX,-0.0609516736512652
118229,2018-01-07,0.017391999999999998,0.022852,0.016944999999999998,0.018877,"1,181,150","70,036,900",COLX,0.0853840846366145
118230,2018-01-06,0.013305,0.017474,0.012739,0.017412999999999998,"510,030","53,578,700",COLX,0.30875610672679404
118231,2018-01-05,0.010806999999999999,0.013452,0.009885,0.012806,"572,201","43,522,100",COLX,0.184972702877764
118232,2018-01-04,0.012044,0.012461,0.009641,0.010801,"906,481","48,499,700",COLX,-0.10320491531052801
118233,2018-01-03,0.012087,0.012631,0.009637,0.012008,"1,599,630","48,673,800",COLX,-0.00653594771241838
118234,2018-01-02,0.010278,0.01321,0.008875,0.012048999999999999,"2,550,740","41,389,000",COLX,0.172309787896478
118235,2018-01-01,0.009283,0.010612,0.006661,0.010086,"1,484,440","37,382,700",COLX,0.0865022083378218
118236,2017-12-31,0.009429,0.009723,0.005635,0.009331,"2,452,560","37,969,500",COLX,-0.0103934669636228
118237,2017-12-30,0.010168,0.012342,0.008589,0.009531999999999999,"2,914,080","40,945,500",COLX,-0.0625491738788355
118238,2017-12-29,0.003878,0.012779,0.003607,0.010197,"4,028,900","15,618,600",COLX,1.6294481691593603
118239,2017-12-28,0.003988,0.004001,0.0031620000000000003,0.0038420000000000004,"255,131","16,058,300",COLX,-0.0366098294884655
118240,2017-12-27,0.0023769999999999998,0.004985,0.001982,0.003989,"1,561,260","9,574,200",COLX,0.6781657551535551
118241,2017-12-26,0.001285,0.002802,0.001282,0.002381,"1,271,840","5,175,290",COLX,0.8529182879377429
118242,2017-12-25,0.000768,0.0013,0.000567,0.001291,"393,967","3,092,440",COLX,0.680989583333333
118243,2017-12-24,0.00043799999999999997,0.001361,0.000307,0.0007599999999999999,"221,279","1,761,950",COLX,0.735159817351598
118244,2017-12-23,0.00022999999999999998,0.0005070000000000001,0.00021400000000000002,0.000433,"50,158","925,747",COLX,0.882608695652174
118245,2017-12-22,0.000267,0.00027400000000000005,0.000175,0.00022799999999999999,"36,809","1,075,910",COLX,-0.146067415730337
118246,2017-12-21,0.00031099999999999997,0.00031600000000000004,9.7e-05,0.000266,"22,686","1,252,040",COLX,-0.14469453376205801
118247,2017-12-20,0.000176,0.00034700000000000003,0.00013700000000000002,0.00031,"45,936","710,626",COLX,0.7613636363636359
118248,2017-12-19,0.000173,0.000226,0.000152,0.000177,"5,129","695,699",COLX,0.0231213872832369
118249,2017-12-18,0.000155,0.000174,8.499999999999999e-05,0.000173,"20,641","626,105",COLX,0.11612903225806501
118250,2017-12-17,0.000155,0.000184,0.000131,0.000155,"5,026","624,886",COLX,0.0
118251,2017-12-16,9.9e-05,0.000156,9.1e-05,0.000155,704,"399,249",COLX,0.565656565656566
118252,2017-12-15,8.8e-05,0.00013000000000000002,8.8e-05,9.9e-05,"3,462","352,828",COLX,0.125
118253,2017-12-14,0.000106,0.000133,8.1e-05,8.8e-05,"5,209","426,050",COLX,-0.169811320754717
118254,2017-12-13,0.000127,0.00017900000000000001,0.000105,0.000106,"10,441","510,669",COLX,-0.165354330708661
118255,2017-12-12,0.000145,0.000177,8.4e-05,0.00011200000000000001,"28,019","583,599",COLX,-0.22758620689655198
118256,2017-12-11,9.7e-05,0.000165,7.4e-05,0.000144,"10,561","388,649",COLX,0.484536082474227
118257,2017-12-10,0.000133,0.000133,7.2e-05,9.7e-05,"3,010","536,249",COLX,-0.270676691729323
118258,2017-12-09,0.000161,0.000164,8.1e-05,0.000133,"4,151","649,035",COLX,-0.17391304347826098
118259,2017-12-08,0.000301,0.000306,0.000121,0.000161,"7,475","1,212,160",COLX,-0.465116279069767
118260,2017-12-07,0.000113,0.0003,8.7e-05,0.0003,"25,337","455,014",COLX,1.65486725663717
118261,2017-12-06,0.000212,0.00022400000000000002,0.000109,0.000113,"5,395","854,728",COLX,-0.46698113207547204
118262,2017-12-05,9.4e-05,0.00022200000000000003,9.300000000000001e-05,0.000213,"14,466","378,961",COLX,1.26595744680851
118263,2017-12-04,0.000206,0.00020899999999999998,9e-05,9.4e-05,"10,098","829,741",COLX,-0.543689320388349
118264,2017-12-03,0.00018700000000000002,0.00020899999999999998,0.00011,0.000205,"14,620","753,739",COLX,0.0962566844919786
118265,2017-12-02,0.00021600000000000002,0.00022,0.00011100000000000001,0.00018700000000000002,"14,585","867,872",COLX,-0.13425925925925902
118266,2017-12-01,0.000176,0.000217,9.8e-05,0.00021600000000000002,"15,198","710,088",COLX,0.22727272727272702
118267,2017-11-30,9.8e-05,0.00017900000000000001,8.3e-05,0.000177,"13,501","396,119",COLX,0.8061224489795921
118268,2017-11-29,0.000106,0.000165,9.7e-05,9.7e-05,"6,559","187,351",COLX,-0.0849056603773585
118269,2017-11-28,0.000162,0.000171,9.9e-05,0.000106,"5,636","284,801",COLX,-0.34567901234567894
118270,2017-11-27,0.000132,0.000165,0.000103,0.000161,"24,786","626,344",COLX,0.21969696969696997
118271,2017-11-26,0.00023999999999999998,0.000395,9.9e-05,0.000132,"4,244","1,139,820",COLX,-0.45
118272,2017-11-25,0.000156,0.000696,0.000109,0.000239,"19,362","740,123",COLX,0.532051282051282
118273,2017-11-24,0.00010400000000000001,0.000157,9.9e-05,0.000156,711,"492,368",COLX,0.5
118274,2017-11-23,9.9e-05,0.00013700000000000002,9.9e-05,0.00010400000000000001,"3,297","471,637",COLX,0.0505050505050505
118275,2017-11-22,0.000121,0.00013000000000000002,0.0001,0.0001,827,"575,092",COLX,-0.17355371900826402
118276,2017-11-21,0.000145,0.000173,9.8e-05,0.000121,"21,064","686,827",COLX,-0.16551724137931
118277,2017-11-20,0.000134,0.000156,0.00010800000000000001,0.000146,"23,716","634,665",COLX,0.0895522388059701
118278,2017-11-19,0.000153,0.000162,0.000117,0.000134,"5,854","724,847",COLX,-0.124183006535948
118279,2017-11-18,0.00011499999999999999,0.000153,0.00011200000000000001,0.000153,"4,813","546,455",COLX,0.330434782608696
118280,2017-11-17,0.000127,0.00014199999999999998,9.9e-05,0.00011599999999999999,"18,240","603,557",COLX,-0.0866141732283464
118281,2017-11-16,0.000118,0.000139,0.000105,0.000128,"4,166","558,657",COLX,0.0847457627118644
118282,2017-11-15,0.00010800000000000001,0.000126,0.000105,0.000117,"15,621","510,980",COLX,0.0833333333333334
118283,2017-11-14,0.00011100000000000001,0.00011999999999999999,8.6e-05,0.00010800000000000001,"20,564","525,665",COLX,-0.0270270270270271
118284,2017-11-13,0.0001,0.00011399999999999999,6.500000000000001e-05,0.00011100000000000001,"30,753","472,592",COLX,0.11
118285,2017-11-12,0.000101,0.00011999999999999999,6.8e-05,0.0001,"26,077","477,846",COLX,-0.00990099009900987
118286,2017-11-11,0.00013700000000000002,0.000146,5.4000000000000005e-05,0.000101,"9,364","649,248",COLX,-0.262773722627737
118287,2017-11-10,6.7e-05,0.000143,6.7e-05,0.000139,"14,038","315,702",COLX,1.07462686567164
118288,2017-11-09,7.8e-05,9.7e-05,6.6e-05,6.7e-05,"20,864","368,696",COLX,-0.141025641025641
118289,2017-11-08,7.4e-05,0.00010700000000000001,6.7e-05,7.8e-05,"12,522","352,554",COLX,0.0540540540540541
118290,2017-11-07,0.00011,0.00011200000000000001,6.1e-05,7.4e-05,"30,844","523,068",COLX,-0.327272727272727
118291,2017-11-06,6.9e-05,0.000128,6.8e-05,0.00011,"40,183","328,667",COLX,0.594202898550725
118292,2017-11-05,7.8e-05,7.900000000000001e-05,6.9e-05,6.9e-05,"17,119","370,511",COLX,-0.115384615384615
118293,2017-11-04,8.6e-05,8.8e-05,7.5e-05,7.8e-05,"20,174","405,525",COLX,-0.0930232558139535
118294,2017-11-03,6.6e-05,8.7e-05,6.4e-05,8.6e-05,"24,573","311,036",COLX,0.303030303030303
118295,2017-11-02,6.8e-05,8.8e-05,6.500000000000001e-05,6.500000000000001e-05,"30,498","322,290",COLX,-0.0441176470588236
118296,2017-11-01,7.7e-05,9.6e-05,5.9e-05,6.8e-05,"13,079","363,227",COLX,-0.11688311688311699
118297,2017-10-31,0.00010700000000000001,0.000117,7.7e-05,7.7e-05,"72,627","505,892",COLX,-0.28037383177570097
118298,2017-10-30,0.000143,0.000149,6.3e-05,0.000105,"61,371","677,798",COLX,-0.265734265734266
118299,2017-10-29,0.00013000000000000002,0.000157,0.00013000000000000002,0.000143,"36,303","615,501",COLX,0.1
118300,2017-10-28,0.000161,0.000161,0.000121,0.00013000000000000002,"44,461","761,668",COLX,-0.192546583850932
118301,2017-10-27,0.000118,0.00019099999999999998,0.000118,0.00016,"48,881","561,000",COLX,0.35593220338983095
118302,2017-10-26,0.00011599999999999999,0.000128,0.00011499999999999999,0.000118,"19,206","548,134",COLX,0.0172413793103448
118303,2017-10-25,0.000122,0.000133,0.0001,0.00011599999999999999,"17,032","578,354",COLX,-0.0491803278688524
118304,2017-10-24,0.000166,0.000171,0.00011200000000000001,0.000122,"26,217","785,796",COLX,-0.265060240963855
118305,2017-10-23,0.00016,0.000166,7.3e-05,0.000166,"34,314","758,101",COLX,0.0374999999999999
118306,2017-10-22,0.000118,0.000168,0.00011399999999999999,0.00016,"44,933","557,909",COLX,0.35593220338983095
118307,2017-10-21,0.000126,0.000154,0.000102,0.000118,"46,651","598,287",COLX,-0.0634920634920635
118308,2017-10-20,0.00011599999999999999,0.000169,0.00011200000000000001,0.000126,"37,868","548,229",COLX,0.0862068965517241
118309,2017-10-19,0.00011599999999999999,0.000162,0.00011200000000000001,0.00011599999999999999,"45,665","552,135",COLX,0.0
118310,2017-10-18,0.00015,0.00015,0.00010700000000000001,0.000117,"15,564","709,904",COLX,-0.22
118311,2017-10-17,0.000165,0.000165,0.00013000000000000002,0.00015,651,"782,033",COLX,-0.09090909090909101
118312,2017-10-16,0.000177,0.00017900000000000001,0.000125,0.000165,"10,333",-,COLX,-0.0677966101694915
118313,2017-10-15,0.000175,0.000185,0.000122,0.000177,"3,873",-,COLX,0.0114285714285714
118314,2017-10-14,0.000174,0.000177,0.000118,0.000175,"7,948",-,COLX,0.00574712643678159
118315,2017-10-13,0.00011,0.000176,0.000109,0.000174,"14,807",-,COLX,0.581818181818182
118316,2017-10-12,0.000145,0.000162,9.9e-05,0.000109,"1,916",-,COLX,-0.248275862068965
118317,2017-10-11,0.000146,0.00019099999999999998,9.8e-05,0.000147,"3,628",-,COLX,0.0068493150684931295
118318,2017-10-10,0.000143,0.000192,0.0001,0.000154,"13,360",-,COLX,0.0769230769230769
118319,2017-10-09,0.00014099999999999998,0.00022999999999999998,9.4e-05,0.000143,"38,250",-,COLX,0.0141843971631205
118320,2017-10-08,0.00022200000000000003,0.000268,0.00014099999999999998,0.00014099999999999998,"59,523",-,COLX,-0.364864864864865
118321,2017-10-07,0.000176,0.000223,0.000131,0.000223,"13,455",-,COLX,0.267045454545455
118322,2017-10-06,0.000173,0.000261,0.000173,0.000176,"19,546",-,COLX,0.0173410404624277
118323,2017-10-05,0.00021099999999999998,0.000254,0.000167,0.000173,"5,983",-,COLX,-0.180094786729858
118324,2017-10-04,0.000173,0.00026000000000000003,0.000169,0.00021099999999999998,"31,356",-,COLX,0.219653179190751
118325,2017-10-03,8.8e-05,0.00025699999999999996,8.6e-05,0.000173,"18,715",-,COLX,0.9659090909090909
118326,2017-10-02,0.000133,0.00017900000000000001,8.8e-05,0.000131,"22,508",-,COLX,-0.0150375939849624
118327,2017-10-01,0.000261,0.000261,0.00013000000000000002,0.000176,"15,628",-,COLX,-0.32567049808429105
118328,2017-09-30,0.00020899999999999998,0.000261,0.000168,0.000261,"13,627",-,COLX,0.24880382775119603
118329,2017-09-29,0.00020899999999999998,0.00021,0.00020800000000000001,0.00020899999999999998,"26,524",-,COLX,0.0
