Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
561547,2018-01-10,0.701014,0.7199220000000001,0.657077,0.7199220000000001,30,"55,570",CRT,0.0269723571854484
561548,2018-01-09,0.722873,0.7405649999999999,0.69026,0.700096,29,"57,302",CRT,-0.0315089925892929
561549,2018-01-08,0.781678,0.784608,0.683661,0.7248479999999999,30,"61,964",CRT,-0.0727025706237094
561550,2018-01-07,0.825722,0.825722,0.762712,0.7827729999999999,33,"65,455",CRT,-0.0520138739188249
561551,2018-01-06,0.815231,0.8285459999999999,0.785413,0.8263290000000001,34,"64,624",CRT,0.0136133194149878
561552,2018-01-05,0.728696,0.8214819999999999,0.716808,0.8145819999999999,34,"57,764",CRT,0.117862592905684
561553,2018-01-04,0.730117,0.741865,0.689623,0.7285510000000001,30,"57,877",CRT,-0.0021448617139445698
561554,2018-01-03,0.712116,0.742169,0.704254,0.72614,30,"56,450",CRT,0.0196934207348242
561555,2018-01-02,0.648068,0.729615,0.6257010000000001,0.714653,30,"51,373",CRT,0.102743847867816
561556,2018-01-01,0.671103,0.671562,0.6197560000000001,0.6481180000000001,27,"53,199",CRT,-0.0342495861291039
561557,2017-12-31,0.610295,0.683621,0.604229,0.668517,28,"48,378",CRT,0.0953997656870857
561558,2017-12-30,0.6957979999999999,0.6960310000000001,0.5843229999999999,0.616958,26,"55,156",CRT,-0.11330874765377302
561559,2017-12-29,0.694441,0.7260300000000001,0.678072,0.6975520000000001,29,"55,049",CRT,0.00447986222011658
561560,2017-12-28,0.744764,0.747919,0.654048,0.687326,29,"59,038",CRT,-0.0771224173026623
561561,2017-12-27,0.7601760000000001,0.794833,0.7066279999999999,0.74633,31,"60,259",CRT,-0.0182142030266674
561562,2017-12-26,0.668623,0.774696,0.665887,0.759626,32,"53,002",CRT,0.136105099585267
561563,2017-12-25,0.676172,0.695854,0.636791,0.669307,28,"53,600",CRT,-0.0101527422016883
561564,2017-12-24,0.701108,0.701108,0.603204,0.669222,28,"55,577",CRT,-0.0454794411132093
