Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
175013,2018-01-10,1.19,1.2,0.9676389999999999,1.08,"307,891","28,261,600",CURE,-0.0924369747899159
175014,2018-01-09,1.09,1.22,1.02,1.18,"504,555","25,986,300",CURE,0.0825688073394494
175015,2018-01-08,1.22,1.28,1.02,1.06,"320,113","29,098,100",CURE,-0.131147540983606
175016,2018-01-07,1.13,1.39,1.09,1.22,"811,758","26,871,700",CURE,0.0796460176991151
175017,2018-01-06,1.1,1.23,1.07,1.13,"395,266","26,288,800",CURE,0.0272727272727271
175018,2018-01-05,0.9754010000000001,1.31,0.89345,1.1,"2,785,900","23,244,200",CURE,0.127741308446475
175019,2018-01-04,0.8531049999999999,1.03,0.8116479999999999,0.9565950000000001,"861,214","20,329,700",CURE,0.121309803599791
175020,2018-01-03,0.755774,0.9226040000000001,0.744247,0.8610209999999999,"421,257","18,010,000",CURE,0.139257238274934
175021,2018-01-02,0.7394189999999999,0.858555,0.7165189999999999,0.7780560000000001,"280,869","17,619,600",CURE,0.0522531879759648
175022,2018-01-01,0.782871,0.782871,0.7046319999999999,0.737219,"150,658","18,654,500",CURE,-0.058313566347457005
175023,2017-12-31,0.667407,0.8248409999999999,0.653874,0.781468,"279,629","15,902,300",CURE,0.17090171364699497
175024,2017-12-30,0.773595,0.775404,0.6312220000000001,0.6751520000000001,"144,134","18,431,300",CURE,-0.127253924857322
175025,2017-12-29,0.789506,0.832867,0.705453,0.777235,"379,162","18,809,800",CURE,-0.0155426304549934
175026,2017-12-28,0.876869,0.887343,0.6790229999999999,0.780564,"362,642","20,890,500",CURE,-0.10982826397101499
175027,2017-12-27,0.6984520000000001,0.9008790000000001,0.664323,0.9002530000000001,"761,929","16,639,400",CURE,0.288926082250462
175028,2017-12-26,0.789087,0.8648899999999999,0.664597,0.690767,"528,904","18,798,100",CURE,-0.12459969559757
175029,2017-12-25,0.631606,0.870398,0.592956,0.793575,"1,176,050","15,045,200",CURE,0.256439932489558
175030,2017-12-24,0.5303680000000001,0.626087,0.488051,0.626087,"320,036","12,633,100",CURE,0.18047657475564102
175031,2017-12-23,0.481678,0.570493,0.442892,0.524405,"151,590","11,473,000",CURE,0.0887044872300583
175032,2017-12-22,0.605421,0.611009,0.38896,0.47699300000000006,"154,580","14,420,100",CURE,-0.212130071470927
175033,2017-12-21,0.58926,0.6454880000000001,0.572395,0.603334,"354,896","14,034,600",CURE,0.0238841937345145
175034,2017-12-20,0.617386,0.620697,0.547081,0.585779,"160,870","14,703,800",CURE,-0.051194876463022995
175035,2017-12-19,0.706148,0.7328859999999999,0.5891109999999999,0.616089,"430,608","16,817,600",CURE,-0.127535587440593
175036,2017-12-18,0.622988,0.71502,0.5892069999999999,0.6895859999999999,"460,208","14,836,800",CURE,0.10690093549153401
175037,2017-12-17,0.588553,0.650095,0.577249,0.62043,"163,141","14,016,600",CURE,0.0541616472942964
175038,2017-12-16,0.512447,0.592695,0.51159,0.5900569999999999,"116,533","12,203,700",CURE,0.15144980846799802
175039,2017-12-15,0.5158699999999999,0.542569,0.486729,0.51126,"153,250","12,285,100",CURE,-0.008936359935642709
175040,2017-12-14,0.483778,0.5258079999999999,0.47717,0.514442,"149,979","11,520,800",CURE,0.0633844449313527
175041,2017-12-13,0.481683,0.508976,0.46263699999999996,0.484311,"100,837","11,470,800",CURE,0.0054558703545693294
175042,2017-12-12,0.500042,0.530404,0.475818,0.48293800000000003,"128,048","11,907,900",CURE,-0.0342051267693514
175043,2017-12-11,0.45951800000000004,0.523297,0.45751099999999995,0.501841,"113,853","10,942,900",CURE,0.09210302969633401
175044,2017-12-10,0.454971,0.471826,0.398005,0.45496000000000003,"80,926","10,834,300",CURE,-2.41773651508311e-05
175045,2017-12-09,0.49321000000000004,0.49903800000000004,0.42206099999999996,0.46185699999999996,"114,899","11,744,900",CURE,-0.0635692706960523
175046,2017-12-08,0.514201,0.520171,0.406777,0.49528199999999994,"126,402","12,244,700",CURE,-0.0367930050700018
175047,2017-12-07,0.450533,0.533126,0.438722,0.515311,"229,326","10,728,300",CURE,0.143780810728626
175048,2017-12-06,0.43501000000000006,0.48026199999999997,0.390422,0.457546,"308,037","10,358,500",CURE,0.0518057056159629
175049,2017-12-05,0.46709799999999996,0.48582200000000003,0.434992,0.43681400000000004,"178,586","11,122,400",CURE,-0.0648343602413199
175050,2017-12-04,0.392348,0.468679,0.391916,0.459822,"439,043","9,342,310",CURE,0.171974879443759
175051,2017-12-03,0.392384,0.428666,0.369976,0.387867,"137,885","9,342,870",CURE,-0.0115116824335345
175052,2017-12-02,0.368404,0.400408,0.358188,0.390644,"96,420","8,771,820",CURE,0.0603685084852498
175053,2017-12-01,0.365731,0.376102,0.332919,0.368935,"77,428","8,708,080",CURE,0.00876053711607723
175054,2017-11-30,0.362807,0.390024,0.324773,0.360793,"317,750","8,638,120",CURE,-0.00555116081001749
175055,2017-11-29,0.322357,0.37448899999999996,0.28175300000000003,0.30566,"110,282","7,674,420",CURE,-0.0517966105901222
175056,2017-11-28,0.321681,0.329285,0.310672,0.319712,"86,215","7,658,080",CURE,-0.0061209707753955
175057,2017-11-27,0.321889,0.33411,0.31394,0.31809,"90,355","7,662,890",CURE,-0.011802205107972
175058,2017-11-26,0.290632,0.326792,0.290263,0.320952,"110,084","6,918,630",CURE,0.10432436896143599
175059,2017-11-25,0.278507,0.293858,0.271916,0.290502,"66,522","6,629,830",CURE,0.0430689354307072
175060,2017-11-24,0.26121300000000003,0.28108099999999997,0.259092,0.27784699999999996,"73,887","6,218,050",CURE,0.0636798321676181
175061,2017-11-23,0.263245,0.283631,0.261536,0.264257,"125,349","6,266,240",CURE,0.0038443275275884202
175062,2017-11-22,0.268721,0.289783,0.261054,0.26266799999999996,"227,801","6,396,350",CURE,-0.0225252213262081
175063,2017-11-21,0.28271199999999996,0.29785500000000004,0.263801,0.27107600000000004,"133,392","6,729,280",CURE,-0.0411584934491639
175064,2017-11-20,0.296567,0.301058,0.277479,0.288781,"104,287","7,059,000",CURE,-0.0262537639049524
175065,2017-11-19,0.28811,0.296774,0.278489,0.294662,"78,500","6,857,580",CURE,0.0227413140814272
175066,2017-11-18,0.27832399999999996,0.299659,0.27215900000000004,0.288892,"124,713","6,624,400",CURE,0.0379701355255025
175067,2017-11-17,0.321073,0.34600000000000003,0.279498,0.286339,"497,642","7,641,760",CURE,-0.10818100556571199
175068,2017-11-16,0.252307,0.36461,0.240027,0.331705,"698,396","6,004,980",CURE,0.31468805859528304
175069,2017-11-15,0.243519,0.265283,0.243519,0.252896,"67,865","5,795,690",CURE,0.0385062356530702
175070,2017-11-14,0.231719,0.24623499999999998,0.231323,0.243067,"64,992","5,514,710",CURE,0.0489731096716281
175071,2017-11-13,0.207277,0.25254699999999997,0.207277,0.230753,"75,323","4,932,930",CURE,0.11325906878235399
175072,2017-11-12,0.257904,0.257904,0.200986,0.206983,"141,065","6,137,680",CURE,-0.197441683727278
175073,2017-11-11,0.273802,0.292443,0.255637,0.258835,"90,646","6,515,880",CURE,-0.0546635890168808
175074,2017-11-10,0.341725,0.359699,0.261563,0.27505799999999997,"207,637","8,132,140",CURE,-0.195089618845563
175075,2017-11-09,0.334374,0.364307,0.30951300000000004,0.341414,"220,825","7,956,820",CURE,0.0210542685735135
175076,2017-11-08,0.328876,0.340116,0.296151,0.334108,"180,391","7,825,860",CURE,0.015908731558399
175077,2017-11-07,0.396973,0.404146,0.3065,0.326815,"401,156","9,446,180",CURE,-0.176732422608087
175078,2017-11-06,0.535667,0.54951,0.380405,0.39764,"2,030,340","12,746,300",CURE,-0.257673143949506
175079,2017-11-05,0.214439,0.9120159999999999,0.214439,0.532663,"12,658,800","5,102,420",CURE,1.48398379026203
175080,2017-11-04,0.21741999999999997,0.22678,0.208905,0.214846,"37,041","5,173,290",CURE,-0.0118388372734799
175081,2017-11-03,0.236294,0.2509,0.21443099999999998,0.217986,"44,326","5,622,370",CURE,-0.0774797498032112
175082,2017-11-02,0.243705,0.259307,0.232146,0.236644,"48,889","5,798,630",CURE,-0.0289735540920376
175083,2017-11-01,0.236749,0.261297,0.226752,0.251102,"45,659","5,632,980",CURE,0.06062538806922099
175084,2017-10-31,0.23963600000000002,0.257121,0.22852199999999998,0.23574299999999998,"74,184","5,701,610",CURE,-0.0162454722996544
175085,2017-10-30,0.24122399999999997,0.24546500000000002,0.230415,0.236276,"37,260","5,739,370",CURE,-0.020512055185222
175086,2017-10-29,0.21275700000000003,0.253044,0.210602,0.24297399999999997,"110,271","5,062,020",CURE,0.142025879289518
175087,2017-10-28,0.204821,0.217342,0.202303,0.215142,"41,624","4,872,990",CURE,0.0503903408341918
175088,2017-10-27,0.208078,0.222246,0.202516,0.20835,"74,330","4,950,400",CURE,0.00130720210690219
175089,2017-10-26,0.203532,0.252969,0.198696,0.207531,"125,956","4,842,150",CURE,0.0196480160367903
175090,2017-10-25,0.197492,0.260809,0.189798,0.205368,"235,714","4,698,200",CURE,0.0398800964089684
175091,2017-10-24,0.197706,0.20764899999999997,0.188752,0.197959,"40,873","4,703,130",CURE,0.00127967790557698
175092,2017-10-23,0.204234,0.207512,0.19246300000000002,0.198152,"30,933","4,858,340",CURE,-0.0297795665755947
175093,2017-10-22,0.195471,0.211736,0.18951800000000002,0.204628,"29,413","4,649,820",CURE,0.0468458236771695
175094,2017-10-21,0.21494499999999997,0.22261199999999998,0.192868,0.195131,"25,904","5,113,000",CURE,-0.0921817209053479
175095,2017-10-20,0.22164299999999998,0.23147399999999999,0.213427,0.21538400000000002,"43,550","5,272,050",CURE,-0.0282391052277763
175096,2017-10-19,0.220967,0.224661,0.21642600000000004,0.223073,"26,777","5,255,940",CURE,0.00953083492105155
175097,2017-10-18,0.220427,0.222831,0.203718,0.218599,"27,381","5,242,960",CURE,-0.00829299495978271
175098,2017-10-17,0.225735,0.232585,0.215927,0.219356,"39,381","5,369,160",CURE,-0.0282587990342658
175099,2017-10-16,0.21688200000000002,0.22654200000000002,0.208957,0.22536399999999998,"47,454","5,158,530",CURE,0.0391088241532263
175100,2017-10-15,0.213981,0.23646399999999998,0.202449,0.216981,"104,022","5,089,450",CURE,0.014019936349488997
175101,2017-10-14,0.215621,0.24165,0.206723,0.213823,"71,064","5,128,410",CURE,-0.008338705413665621
175102,2017-10-13,0.223262,0.244598,0.203702,0.216809,"39,354","5,309,960",CURE,-0.028903261638792005
175103,2017-10-12,0.202068,0.252197,0.200579,0.220817,"90,585","4,805,770",CURE,0.092785596927767
175104,2017-10-11,0.19404200000000002,0.208655,0.184109,0.200851,"38,492","4,614,840",CURE,0.0350903412663238
175105,2017-10-10,0.199235,0.205544,0.19269,0.19409,"30,110","4,738,220",CURE,-0.0258237759429818
