Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
289479,2018-01-10,0.010953000000000001,0.010976999999999999,0.007298000000000001,0.008999,"42,616","5,503,740",DAXX,-0.178398612252351
289480,2018-01-09,0.009637999999999999,0.011995,0.009170999999999999,0.010501,"130,658","4,841,400",DAXX,0.0895413986304212
289481,2018-01-08,0.010097,0.011099,0.008503,0.009665,"107,095","5,070,460",DAXX,-0.0427849856392988
289482,2018-01-07,0.010505,0.0116,0.008419,0.011089,"133,670","5,274,700",DAXX,0.0555925749643027
289483,2018-01-06,0.014535,0.014968,0.009396,0.010341,"115,050","7,296,770",DAXX,-0.288544891640867
289484,2018-01-05,0.004549,0.017446,0.004381,0.01432,"556,142","2,282,740",DAXX,2.1479446032095
289485,2018-01-04,0.00352,0.004727,0.002821,0.004386999999999999,"46,672","1,766,140",DAXX,0.246306818181818
289486,2018-01-03,0.003568,0.004007999999999999,0.0024129999999999998,0.0035020000000000003,"14,533","1,789,400",DAXX,-0.0184977578475337
289487,2018-01-02,0.003282,0.00379,0.002408,0.003578,"19,672","1,645,730",DAXX,0.0901889092017062
289488,2018-01-01,0.002283,0.003496,0.002215,0.003469,"8,038","1,144,400",DAXX,0.519491896627245
289489,2017-12-31,0.002547,0.003196,0.0021550000000000002,0.002278,"4,733","1,276,540",DAXX,-0.10561444837063198
289490,2017-12-30,0.00233,0.002739,0.001935,0.002573,"9,594","1,167,470",DAXX,0.104291845493562
289491,2017-12-29,0.002,0.002827,0.001866,0.002336,"8,712","1,001,500",DAXX,0.168
289492,2017-12-28,0.002241,0.002647,0.001656,0.00198,"6,430","1,122,070",DAXX,-0.116465863453815
289493,2017-12-27,0.001996,0.002927,0.001948,0.002245,"6,154","999,427",DAXX,0.124749498997996
289494,2017-12-26,0.002172,0.0024649999999999997,0.0015660000000000001,0.001994,"5,479","1,086,930",DAXX,-0.08195211786372
289495,2017-12-25,0.002782,0.002803,0.001864,0.002425,"4,490","1,392,070",DAXX,-0.128324946081955
289496,2017-12-24,0.00185,0.0027949999999999997,0.001738,0.002758,"22,186","925,170",DAXX,0.490810810810811
289497,2017-12-23,0.0009699999999999999,0.002935,0.0007059999999999999,0.0018280000000000002,"14,236","484,758",DAXX,0.8845360824742271
289498,2017-12-22,0.0011099999999999999,0.001184,0.000831,0.0009630000000000001,"2,980","554,968",DAXX,-0.13243243243243302
289499,2017-12-21,0.001021,0.001215,0.0008449999999999999,0.0011070000000000001,"2,321","510,024",DAXX,0.0842311459353574
289500,2017-12-20,0.0011949999999999999,0.00122,0.00081,0.001019,203,"597,121",DAXX,-0.14728033472803398
289501,2017-12-19,0.0013390000000000001,0.001344,0.001111,0.001196,382,"668,874",DAXX,-0.106796116504854
289502,2017-12-18,0.0011480000000000001,0.001344,0.001097,0.001338,330,"573,458",DAXX,0.165505226480836
289503,2017-12-17,0.001163,0.001188,0.000956,0.001145,599,"580,412",DAXX,-0.0154772141014617
