Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
101447,2018-01-10,0.00011899999999999999,0.000147,0.00011499999999999999,0.000147,"946,682","64,211,800",DIME,0.23529411764705901
101448,2018-01-09,0.00013700000000000002,0.00014199999999999998,0.00011399999999999999,0.00011899999999999999,"642,414","73,794,200",DIME,-0.131386861313869
101449,2018-01-08,0.000151,0.00015900000000000002,0.000125,0.00013700000000000002,"1,147,370","81,596,300",DIME,-0.0927152317880796
101450,2018-01-07,0.000149,0.000154,0.00011499999999999999,0.000151,"1,755,510","80,426,400",DIME,0.0134228187919465
101451,2018-01-06,4.7e-05,0.000151,4.7e-05,0.000151,"1,132,000","25,155,600",DIME,2.21276595744681
101452,2018-01-05,4.1e-05,4.7e-05,3.9e-05,4.7e-05,"439,026","21,951,600",DIME,0.146341463414634
101453,2018-01-04,3.8e-05,4.3e-05,3.5e-05,4.1e-05,"415,022","20,569,600",DIME,0.0789473684210526
101454,2018-01-03,3.1e-05,4e-05,2.9999999999999997e-05,3.9e-05,"203,918","16,442,600",DIME,0.258064516129032
101455,2018-01-02,2.5e-05,3.3e-05,2.4e-05,3.1e-05,"174,878","13,339,400",DIME,0.24
101456,2018-01-01,3.2e-05,3.2e-05,2.2e-05,2.5e-05,"120,479","16,983,700",DIME,-0.21875
101457,2017-12-31,2.4e-05,3.4e-05,2.3e-05,3.1e-05,"60,576","13,120,200",DIME,0.29166666666666696
101458,2017-12-30,2.5e-05,2.6000000000000002e-05,2.1e-05,2.5e-05,"65,959","13,669,700",DIME,0.0
101459,2017-12-29,2.6000000000000002e-05,3.4e-05,2.5e-05,3.2e-05,"125,244","14,024,600",DIME,0.23076923076923103
101460,2017-12-28,2.4e-05,2.6000000000000002e-05,2.1e-05,2.6000000000000002e-05,"257,054","13,057,700",DIME,0.0833333333333332
101461,2017-12-27,4e-05,4.3e-05,1.7e-05,2.4e-05,"204,670","21,322,200",DIME,-0.4
101462,2017-12-26,4.1e-05,5.9999999999999995e-05,3.2e-05,4e-05,"38,855","22,102,300",DIME,-0.024390243902439
101463,2017-12-25,2.8999999999999997e-05,4.9e-05,2e-05,4.2e-05,"60,791","15,546,400",DIME,0.4482758620689651
