Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
303472,2018-01-10,3.15,3.54,2.9,3.33,"40,175","3,193,820",DSR,0.0571428571428572
303473,2018-01-09,3.52,3.85,2.98,3.02,"35,100","3,566,870",DSR,-0.14204545454545497
303474,2018-01-08,3.97,4.5,2.84,3.53,"56,684","4,020,980",DSR,-0.11083123425692698
303475,2018-01-07,2.77,4.51,2.46,4.0,"66,163","2,809,490",DSR,0.44404332129963897
303476,2018-01-06,2.73,2.97,2.42,2.78,"33,726","2,765,710",DSR,0.0183150183150182
303477,2018-01-05,2.32,2.93,2.25,2.73,"32,518","2,346,350",DSR,0.176724137931035
303478,2018-01-04,2.99,3.02,2.28,2.32,"43,504","3,027,110",DSR,-0.224080267558529
303479,2018-01-03,2.11,3.0,1.99,2.97,"83,370","2,139,740",DSR,0.4075829383886261
303480,2018-01-02,1.76,2.12,1.48,2.12,"156,338","1,777,970",DSR,0.20454545454545497
303481,2018-01-01,1.6,1.92,1.41,1.81,"108,452","1,619,110",DSR,0.13125
303482,2017-12-31,1.66,1.81,1.4,1.57,"77,470","1,681,910",DSR,-0.0542168674698794
303483,2017-12-30,1.85,2.19,1.42,1.68,"125,787","1,869,750",DSR,-0.091891891891892
303484,2017-12-29,1.99,3.74,1.72,1.72,"212,509","2,012,920",DSR,-0.135678391959799
303485,2017-12-28,1.38,2.03,1.19,2.03,"107,127","1,396,940",DSR,0.471014492753623
303486,2017-12-27,1.24,1.48,0.857218,1.42,"121,243","1,258,030",DSR,0.145161290322581
303487,2017-12-26,0.7282069999999999,1.39,0.687585,1.24,"129,425","737,409",DSR,0.702812524460764
303488,2017-12-25,0.635532,0.943684,0.450151,0.715033,"82,380","643,563",DSR,0.12509362235103802
303489,2017-12-24,0.41156499999999996,0.850715,0.37850900000000004,0.704248,"68,013","416,766",DSR,0.711146477470144
303490,2017-12-23,0.315006,0.48878299999999997,0.294625,0.40707,"64,654","318,987",DSR,0.292261099788575
303491,2017-12-22,0.371212,0.43062799999999996,0.241302,0.31206100000000003,"49,449","375,903",DSR,-0.159345603051626
303492,2017-12-21,0.369809,0.39098099999999997,0.339047,0.352285,"42,155","374,482",DSR,-0.0473866239058541
303493,2017-12-20,0.407437,0.414517,0.33689,0.368253,"61,497",-,DSR,-0.0961719235121013
303494,2017-12-19,0.419469,0.429385,0.360236,0.388065,"69,983",-,DSR,-0.0748660806877266
303495,2017-12-18,0.433816,0.438899,0.26308899999999996,0.41903999999999997,"22,830",-,DSR,-0.0340605233555239
303496,2017-12-17,0.425392,0.44851800000000003,0.360137,0.43251000000000006,"46,352",-,DSR,0.0167328017452139
303497,2017-12-16,0.383758,0.453058,0.325407,0.42631499999999994,"72,783",-,DSR,0.11089540804361099
303498,2017-12-15,0.349662,0.43275699999999995,0.349595,0.38322,"40,321",-,DSR,0.0959726821902295
303499,2017-12-14,0.414271,0.481538,0.346402,0.349138,"71,712",-,DSR,-0.157223170340188
303500,2017-12-13,0.462484,0.46862600000000004,0.36586799999999997,0.416591,"28,172",-,DSR,-0.0992315409830394
303501,2017-12-12,0.357881,0.5364760000000001,0.35775100000000004,0.46209799999999995,"79,803",-,DSR,0.29120573598486604
303502,2017-12-11,0.362129,0.44194700000000003,0.319402,0.413724,"68,965",-,DSR,0.142476852171464
303503,2017-12-10,0.29789699999999997,0.42861499999999997,0.26226900000000003,0.364763,"54,128",-,DSR,0.22446013219334196
303504,2017-12-09,0.30756999999999995,0.340589,0.232513,0.296765,"57,627",-,DSR,-0.0351302142601684
303505,2017-12-08,0.247521,0.306553,0.156088,0.27976100000000004,"59,915",-,DSR,0.130251574613871
303506,2017-12-07,0.299824,0.33863499999999996,0.19973,0.246937,"70,919",-,DSR,-0.17639348417738396
303507,2017-12-06,0.26295100000000005,0.304852,0.243705,0.292416,"53,124",-,DSR,0.112055097717826
303508,2017-12-05,0.27705,0.280058,0.244916,0.260999,"47,268",-,DSR,-0.0579353907236962
303509,2017-12-04,0.283727,0.317749,0.23509000000000002,0.276501,"51,699",-,DSR,-0.0254681436733198
303510,2017-12-03,0.25805300000000003,0.356493,0.22914400000000001,0.282789,"49,731",-,DSR,0.0958562775863874
303511,2017-12-02,0.24584099999999998,0.289298,0.237445,0.257807,"45,549",-,DSR,0.0486737362766992
303512,2017-12-01,0.24547399999999997,0.26672399999999996,0.198821,0.246065,"49,508",-,DSR,0.00240758695421922
