Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
75757,2018-01-10,6.59,6.73,5.5,6.13,"18,163,800","149,055,000",EDO,-0.0698027314112291
75758,2018-01-09,6.59,6.94,6.17,6.59,"23,809,600","149,045,000",EDO,0.0
75759,2018-01-08,6.19,7.04,5.19,6.63,"34,322,400","140,096,000",EDO,0.0710823909531502
75760,2018-01-07,5.54,7.21,5.52,6.18,"46,187,800","125,341,000",EDO,0.115523465703971
75761,2018-01-06,5.02,5.66,5.02,5.56,"12,872,300","113,580,000",EDO,0.10756972111553802
75762,2018-01-05,5.11,6.1,4.9,5.04,"20,878,400","115,600,000",EDO,-0.0136986301369864
75763,2018-01-04,4.82,5.51,4.69,5.17,"18,180,100","108,951,000",EDO,0.0726141078838173
75764,2018-01-03,4.44,5.02,4.4,4.8,"11,988,300","100,385,000",EDO,0.0810810810810809
75765,2018-01-02,4.18,4.83,4.11,4.41,"12,304,500","94,484,400",EDO,0.0550239234449762
75766,2018-01-01,3.78,4.2,3.55,4.14,"7,619,580","85,498,400",EDO,0.0952380952380952
75767,2017-12-31,3.63,4.01,3.37,3.73,"5,891,160","82,025,100",EDO,0.0275482093663912
75768,2017-12-30,4.56,4.6,3.31,3.69,"9,058,170","103,124,000",EDO,-0.19078947368420998
75769,2017-12-29,3.77,4.76,3.77,4.65,"18,971,100","85,342,400",EDO,0.23342175066313003
75770,2017-12-28,3.63,3.78,3.17,3.74,"4,027,480","82,115,700",EDO,0.0303030303030304
75771,2017-12-27,3.76,3.92,3.38,3.63,"4,757,900","85,066,000",EDO,-0.0345744680851064
75772,2017-12-26,3.98,4.45,3.66,3.73,"11,470,600","90,047,600",EDO,-0.0628140703517588
75773,2017-12-25,2.76,4.69,2.74,3.98,"25,252,100","57,846,800",EDO,0.442028985507247
75774,2017-12-24,2.96,2.96,2.3,2.74,"3,602,260","62,188,000",EDO,-0.0743243243243242
75775,2017-12-23,2.5,3.19,2.41,3.01,"5,110,660","52,411,000",EDO,0.204
75776,2017-12-22,3.44,3.46,1.75,2.49,"7,329,470","72,103,500",EDO,-0.276162790697674
75777,2017-12-21,3.29,3.69,3.18,3.45,"4,224,550","69,096,200",EDO,0.0486322188449848
75778,2017-12-20,3.4,3.53,2.98,3.29,"3,588,290","71,310,400",EDO,-0.0323529411764705
75779,2017-12-19,3.46,3.89,3.22,3.38,"8,526,160","72,673,100",EDO,-0.023121387283237003
75780,2017-12-18,2.9,3.55,2.81,3.47,"6,182,850","60,918,300",EDO,0.196551724137931
75781,2017-12-17,2.86,3.44,2.84,2.94,"9,110,190","60,061,700",EDO,0.027972027972028
75782,2017-12-16,2.81,2.98,2.61,2.88,"2,995,790","59,043,100",EDO,0.0249110320284697
75783,2017-12-15,3.08,3.09,2.52,2.81,"2,834,110","64,627,000",EDO,-0.0876623376623377
75784,2017-12-14,2.61,3.09,2.46,3.05,"5,682,560","54,821,900",EDO,0.16858237547892702
75785,2017-12-13,2.48,2.74,2.34,2.59,"2,937,770","51,966,300",EDO,0.0443548387096774
75786,2017-12-12,2.32,2.49,2.27,2.48,"3,423,620","48,604,000",EDO,0.0689655172413794
75787,2017-12-11,2.24,2.48,2.17,2.3,"1,965,360","47,026,100",EDO,0.0267857142857141
75788,2017-12-10,2.47,2.47,2.09,2.24,"2,257,490","51,917,500",EDO,-0.0931174089068826
75789,2017-12-09,2.37,2.54,2.21,2.46,"2,453,420","49,724,900",EDO,0.0379746835443037
75790,2017-12-08,2.32,2.55,1.95,2.37,"2,633,960","48,771,400",EDO,0.0215517241379312
75791,2017-12-07,2.52,2.6,1.89,2.32,"4,076,520","52,844,100",EDO,-0.0793650793650794
75792,2017-12-06,2.35,3.28,2.26,2.5,"10,260,300","25,206,500",EDO,0.0638297872340425
75793,2017-12-05,2.18,2.44,2.14,2.36,"2,339,570","23,385,800",EDO,0.0825688073394494
75794,2017-12-04,2.21,2.24,2.07,2.19,"1,096,930","23,692,700",EDO,-0.00904977375565612
75795,2017-12-03,2.08,2.23,2.07,2.21,"1,088,680","22,325,100",EDO,0.0624999999999999
75796,2017-12-02,2.15,2.25,2.06,2.07,"774,942","22,995,700",EDO,-0.0372093023255814
75797,2017-12-01,2.21,2.22,2.06,2.13,"891,157","23,620,000",EDO,-0.0361990950226245
75798,2017-11-30,2.05,2.22,1.9,2.2,"1,867,660","21,918,500",EDO,0.0731707317073172
75799,2017-11-29,2.25,2.34,2.01,2.03,"2,889,330","24,129,000",EDO,-0.0977777777777779
75800,2017-11-28,2.35,2.45,2.2,2.25,"1,914,350","25,181,800",EDO,-0.0425531914893617
75801,2017-11-27,2.36,2.48,2.31,2.33,"2,097,190","25,226,000",EDO,-0.0127118644067796
75802,2017-11-26,2.3,2.74,2.26,2.36,"4,677,040","24,603,600",EDO,0.0260869565217392
75803,2017-11-25,2.21,2.3,2.16,2.3,"1,460,820","23,663,200",EDO,0.0407239819004524
75804,2017-11-24,2.24,2.27,2.14,2.17,"589,759","23,983,700",EDO,-0.0312500000000001
75805,2017-11-23,2.29,2.34,2.21,2.26,"806,052","24,479,900",EDO,-0.0131004366812228
75806,2017-11-22,2.29,2.34,2.22,2.29,"700,358","24,550,900",EDO,0.0
75807,2017-11-21,2.36,2.45,2.21,2.29,"1,576,700","25,325,100",EDO,-0.0296610169491525
75808,2017-11-20,2.15,2.44,2.13,2.38,"1,067,420","23,054,100",EDO,0.106976744186047
75809,2017-11-19,2.18,2.28,2.11,2.15,"783,320","23,380,900",EDO,-0.0137614678899084
75810,2017-11-18,2.07,2.18,2.03,2.18,"543,982","22,190,600",EDO,0.0531400966183576
75811,2017-11-17,2.07,2.15,2.0,2.09,"890,370","22,155,900",EDO,0.00966183574879228
75812,2017-11-16,2.24,2.25,2.01,2.07,"2,016,180","24,013,800",EDO,-0.0758928571428573
75813,2017-11-15,2.3,2.39,2.18,2.23,"1,888,740","24,664,300",EDO,-0.0304347826086956
75814,2017-11-14,2.05,2.3,2.03,2.3,"1,427,510","22,003,600",EDO,0.12195121951219501
75815,2017-11-13,1.93,2.12,1.93,2.04,"434,641","20,707,300",EDO,0.0569948186528498
75816,2017-11-12,1.99,2.14,1.84,1.95,"1,545,290","21,339,000",EDO,-0.0201005025125628
75817,2017-11-11,2.0,2.04,1.92,1.99,"869,358","21,395,200",EDO,-0.005
75818,2017-11-10,2.35,2.41,1.9,1.98,"1,687,520","25,197,900",EDO,-0.157446808510638
75819,2017-11-09,2.0,2.38,1.97,2.34,"2,494,020","21,394,900",EDO,0.17
75820,2017-11-08,1.94,2.11,1.91,1.98,"1,345,700","20,734,800",EDO,0.0206185567010309
75821,2017-11-07,1.75,2.1,1.75,1.94,"1,427,610","18,749,400",EDO,0.10857142857142899
75822,2017-11-06,1.87,1.88,1.75,1.75,"473,975","20,018,900",EDO,-0.0641711229946525
