Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
396738,2018-01-10,0.07196799999999999,0.090581,0.069874,0.090581,"11,334","806,690",EL,0.258628835037794
396739,2018-01-09,0.06356200000000001,0.077294,0.06193200000000001,0.0723,"3,541","712,458",EL,0.137472074509927
396740,2018-01-08,0.074062,0.076317,0.06278500000000001,0.06512000000000001,"2,524","830,154",EL,-0.12073668007885302
396741,2018-01-07,0.072696,0.078391,0.064813,0.074641,"4,617","814,843",EL,0.0267552547595466
396742,2018-01-06,0.064024,0.073229,0.06014,0.073024,"2,565","717,648",EL,0.140572285392978
396743,2018-01-05,0.071602,0.074205,0.06124299999999999,0.064568,"4,235","802,582",EL,-0.0982374794000167
396744,2018-01-04,0.084523,0.085458,0.069638,0.07256699999999999,"5,346","947,418",EL,-0.14145262236314401
396745,2018-01-03,0.079996,0.086675,0.055338,0.082558,"8,689","896,670",EL,0.0320266013300666
396746,2018-01-02,0.0694,0.083321,0.069337,0.079945,"4,160","777,907",EL,0.151945244956772
396747,2018-01-01,0.069366,0.074028,0.066416,0.069249,"3,969","777,521",EL,-0.0016867053023093802
396748,2017-12-31,0.065304,0.072543,0.06293,0.06978200000000001,"2,987","731,984",EL,0.0685716035771162
396749,2017-12-30,0.072251,0.073452,0.065579,0.065579,"2,712","809,857",EL,-0.0923447426333199
396750,2017-12-29,0.064774,0.075273,0.064774,0.071677,"2,569","726,045",EL,0.10657053756136699
396751,2017-12-28,0.065373,0.067116,0.056916999999999995,0.064532,"2,651","732,760",EL,-0.0128646383063343
396752,2017-12-27,0.062074000000000004,0.06897,0.062074000000000004,0.06786299999999999,"2,933","695,789",EL,0.0932596578277541
396753,2017-12-26,0.057603999999999995,0.063444,0.053908000000000005,0.062163,"3,341","645,684",EL,0.0791438094576766
396754,2017-12-25,0.056777999999999995,0.059447,0.052780999999999995,0.057694,"1,987","636,424",EL,0.0161330092641516
396755,2017-12-24,0.05407000000000001,0.059347000000000004,0.049279,0.05790599999999999,"4,161","606,072",EL,0.0709450712039948
396756,2017-12-23,0.053991,0.060660000000000006,0.046969,0.05391699999999999,"2,726","605,186",EL,-0.0013705988035042401
396757,2017-12-22,0.065961,0.066372,0.042298,0.053828999999999995,"4,001","739,357",EL,-0.18392686587529
396758,2017-12-21,0.061679,0.082349,0.059530999999999994,0.06580599999999999,"10,595","691,356",EL,0.0669109421358972
396759,2017-12-20,0.043261,0.063237,0.042114,0.0614,"5,873","484,906",EL,0.419292203139086
396760,2017-12-19,0.030389,0.043294,0.025624,0.042191,"3,066","340,629",EL,0.38836421073414706
396761,2017-12-18,0.032599,0.034166,0.029908999999999998,0.030505,"2,184","365,401",EL,-0.0642350992361729
396762,2017-12-17,0.034214,0.037271,0.031649000000000004,0.033317,"1,861","383,498",EL,-0.0262173379318408
396763,2017-12-16,0.035687,0.035849,0.031472,0.034151,"3,843","400,019",EL,-0.0430408832347915
396764,2017-12-15,0.031208999999999997,0.036422,0.028256,0.035676,"2,199","349,818",EL,0.14313178890704598
396765,2017-12-14,0.031391,0.0355,0.029988,0.031228,"1,083","351,861",EL,-0.00519257111911068
396766,2017-12-13,0.038826,0.039069,0.026289,0.030672,"2,273","435,196",EL,-0.210013908205841
396767,2017-12-12,0.038723,0.041432,0.037669,0.038808999999999996,"1,376","434,041",EL,0.00222090230612305
396768,2017-12-11,0.038629000000000004,0.042245,0.037277,0.038682,"1,335","432,991",EL,0.00137202619793431
396769,2017-12-10,0.038821,0.045669,0.036108,0.038652,532,"435,147",EL,-0.0043533139280287105
396770,2017-12-09,0.037742000000000005,0.042293,0.035206,0.038754000000000004,"1,532","423,054",EL,0.0268136293784113
396771,2017-12-08,0.044069,0.050178,0.035762999999999996,0.035762999999999996,"2,398","493,972",EL,-0.18847716081599303
396772,2017-12-07,0.037232999999999995,0.048783,0.035791,0.044028,"2,404","417,342",EL,0.18249939569736498
396773,2017-12-06,0.040445,0.043861000000000004,0.036507,0.039051999999999996,"2,332","453,342",EL,-0.0344418345901842
396774,2017-12-05,0.038208,0.042839999999999996,0.036446,0.041023000000000004,"2,118","428,278",EL,0.0736756700167504
396775,2017-12-04,0.045798,0.048568,0.036292000000000005,0.038758999999999995,"1,700","513,344",EL,-0.15369666797676698
396776,2017-12-03,0.046727,0.059752,0.032764999999999996,0.045849,"4,905","523,761",EL,-0.0187899929377019
396777,2017-12-02,0.033811,0.046761000000000004,0.032368,0.046659,"3,171","378,985",EL,0.3799946762887821
396778,2017-12-01,0.028089999999999997,0.036481,0.027571,0.033884,"5,287","314,856",EL,0.2062655749377
396779,2017-11-30,0.026824,0.032418999999999996,0.023883,0.028441,"4,247","300,672",EL,0.0602818371607516
396780,2017-11-29,0.024343,0.027722000000000004,0.024081,0.026137,"1,523","272,856",EL,0.0736967506059237
396781,2017-11-28,0.021547999999999998,0.024568,0.021415,0.024411000000000002,681,"241,531",EL,0.13286615927232198
396782,2017-11-27,0.023617,0.028657,0.020127000000000003,0.021431,"2,103","264,721",EL,-0.0925604437481476
396783,2017-11-26,0.015621000000000001,0.027786,0.015565,0.02453,"3,816","175,101",EL,0.5703220024326229
396784,2017-11-25,0.012778,0.016779,0.01105,0.015906,"1,105","143,234",EL,0.24479574268273604
396785,2017-11-24,0.013233000000000002,0.014858000000000001,0.011983,0.012634999999999999,681,"148,333",EL,-0.0451900551651175
396786,2017-11-23,0.011593000000000001,0.014249000000000001,0.011038,0.013247,874,"129,948",EL,0.142672302251359
396787,2017-11-22,0.013619,0.015016999999999999,0.010915000000000001,0.011585,594,"152,652",EL,-0.149350172553051
396788,2017-11-21,0.013369999999999998,0.016763999999999998,0.013158000000000001,0.013734999999999999,775,"149,866",EL,0.0272999252056844
396789,2017-11-20,0.017171000000000002,0.019033,0.009632,0.014227000000000002,"3,781","192,464",EL,-0.171451866519131
396790,2017-11-19,0.015408000000000002,0.018025,0.014465,0.017097,494,"172,705",EL,0.109618380062305
396791,2017-11-18,0.015524000000000001,0.016901,0.013241999999999999,0.015541,716,"174,008",EL,0.00109507858799276
396792,2017-11-17,0.017112,0.017497,0.015165000000000001,0.01581,554,"191,806",EL,-0.076086956521739
396793,2017-11-16,0.017605000000000003,0.021527,0.015563999999999998,0.016975,777,"197,329",EL,-0.0357852882703777
396794,2017-11-15,0.015679,0.019466,0.014399,0.017504,"2,399","175,741",EL,0.11639772944703099
396795,2017-11-14,0.015694999999999997,0.01799,0.014687,0.015764,855,"175,926",EL,0.004396304555590929
396796,2017-11-13,0.014759,0.016156,0.013954,0.015674,691,"165,434",EL,0.0619960701944577
396797,2017-11-12,0.016874,0.017115000000000002,0.014034999999999999,0.015115,590,"189,135",EL,-0.104243214412706
396798,2017-11-11,0.015978,0.018833000000000003,0.015244999999999998,0.016753999999999998,"1,050","179,102",EL,0.0485667793215673
396799,2017-11-10,0.019046,0.01966,0.016037,0.016087,986,"213,485",EL,-0.15536070565998097
396800,2017-11-09,0.018772,0.021363,0.016572999999999997,0.019044,986,"210,413",EL,0.0144896654591944
396801,2017-11-08,0.013576,0.021292,0.013218,0.018386000000000003,"2,471","152,174",EL,0.35430170889805496
396802,2017-11-07,0.014662,0.015987,0.01285,0.013588999999999999,729,"164,346",EL,-0.0731823762106124
396803,2017-11-06,0.013409,0.015174000000000002,0.012195999999999999,0.01469,480,"150,302",EL,0.0955328510701767
396804,2017-11-05,0.013115,0.015423,0.012793,0.013686000000000002,954,"147,009",EL,0.0435379336637438
396805,2017-11-04,0.011257,0.014468,0.010212,0.013544,927,"126,179",EL,0.203162476681176
396806,2017-11-03,0.010798,0.011975,0.009422,0.01069,438,"121,032",EL,-0.0100018521948509
396807,2017-11-02,0.010242,0.012198,0.010154,0.010731999999999998,808,"114,801",EL,0.0478422183167351
396808,2017-11-01,0.009498999999999999,0.010431000000000001,0.007894,0.009725,183,"106,471",EL,0.0237919781029581
396809,2017-10-31,0.011004,0.011119,0.00889,0.009664,527,"123,344",EL,-0.121773900399855
396810,2017-10-30,0.011658,0.011982,0.010756,0.011004,412,"130,676",EL,-0.05609881626351
396811,2017-10-29,0.010675,0.014165,0.009742,0.011675,169,"119,656",EL,0.0936768149882903
396812,2017-10-28,0.008804000000000001,0.011223,0.00773,0.010679000000000001,215,"98,687",EL,0.21297137664697896
396813,2017-10-27,0.01091,0.013567,0.00735,0.008782,355,"122,295",EL,-0.19505041246562801
396814,2017-10-26,0.009786,0.013057,0.007271,0.010916,104,"109,686",EL,0.11547108113631699
396815,2017-10-25,0.012129000000000001,0.012366,0.009496,0.009788,218,"135,948",EL,-0.193008492043862
396816,2017-10-24,0.01135,0.013041,0.011093,0.012125,460,"127,226",EL,0.0682819383259912
396817,2017-10-23,0.011929,0.013382,0.008126999999999999,0.011361,152,"133,716",EL,-0.0476150557465002
396818,2017-10-22,0.01187,0.014183000000000001,0.01075,0.011955,533,"133,054",EL,0.0071609098567818
396819,2017-10-21,0.013193999999999999,0.015636,0.010232999999999999,0.011864,317,"147,886",EL,-0.100803395482795
396820,2017-10-20,0.013738,0.015505000000000001,0.011997,0.013212999999999999,293,"153,992",EL,-0.0382151696025622
396821,2017-10-19,0.014254,0.015087999999999999,0.01316,0.013766,531,"159,773",EL,-0.0342360039287217
396822,2017-10-18,0.012687,0.015256,0.010194,0.014266,794,"142,205",EL,0.12445810672341802
396823,2017-10-17,0.014412000000000001,0.017093999999999998,0.012143000000000001,0.012924000000000001,"1,041","161,539",EL,-0.10324729392173199
396824,2017-10-16,0.016452,0.017,0.013813999999999998,0.01435,671,"184,412",EL,-0.12776562120107002
396825,2017-10-15,0.017317,0.018397999999999998,0.011484000000000001,0.016255000000000002,"1,529","194,107",EL,-0.0613270196916325
396826,2017-10-14,0.015515000000000001,0.019389,0.015366,0.017159999999999998,"1,056","173,906",EL,0.10602642603931699
396827,2017-10-13,0.018966999999999998,0.020156999999999998,0.015478,0.01555,742,"212,604",EL,-0.18015500606316198
396828,2017-10-12,0.016393,0.018974,0.015347,0.0182,"1,116","183,745",EL,0.110229976209358
396829,2017-10-11,0.014611,0.016301,0.014472,0.015874,820,"163,775",EL,0.0864417219902812
