Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
118532,2018-01-10,2.38,2.47,1.82,2.19,"1,805,580","72,945,700",ELIX,-0.0798319327731092
118533,2018-01-09,2.44,2.49,2.07,2.3,"2,029,700","74,403,600",ELIX,-0.0573770491803279
118534,2018-01-08,2.11,2.46,1.66,2.46,"2,680,790","64,027,000",ELIX,0.165876777251185
118535,2018-01-07,1.77,2.22,1.47,2.22,"2,283,480","53,524,000",ELIX,0.254237288135593
118536,2018-01-06,1.7,1.79,1.49,1.72,"2,183,210","51,308,000",ELIX,0.011764705882353
118537,2018-01-05,1.06,1.9,1.03,1.59,"4,362,650","31,796,100",ELIX,0.5
118538,2018-01-04,0.9557100000000001,1.08,0.851591,1.03,"1,160,040","28,743,300",ELIX,0.0777327850498583
118539,2018-01-03,1.31,1.33,0.7766569999999999,0.9736049999999999,"2,005,040","39,366,700",ELIX,-0.256790076335878
118540,2018-01-02,0.951577,1.32,0.945673,1.31,"1,870,530","27,973,300",ELIX,0.37666210931958205
118541,2018-01-01,0.949874,0.9765389999999999,0.733337,0.941943,"890,256","27,832,400",ELIX,-0.00834952846377522
118542,2017-12-31,0.806679,0.972283,0.771077,0.9526469999999999,"594,980","23,396,700",ELIX,0.180949299535503
118543,2017-12-30,0.741595,0.9012540000000001,0.628646,0.856474,"774,820","21,269,700",ELIX,0.154908002346294
118544,2017-12-29,0.48310200000000003,0.7453770000000001,0.449192,0.743257,"912,305","13,637,400",ELIX,0.538509465909891
118545,2017-12-28,0.548573,0.5492600000000001,0.438903,0.45788199999999996,"346,508","15,421,700",ELIX,-0.16532166183898903
118546,2017-12-27,0.5286069999999999,0.591065,0.478465,0.550751,"645,719","14,785,500",ELIX,0.0418912348871656
118547,2017-12-26,0.454079,0.578343,0.44430600000000003,0.534669,"578,008","12,600,900",ELIX,0.17748013010951802
118548,2017-12-25,0.375213,0.477653,0.343509,0.449004,"463,378","10,339,100",ELIX,0.196664294680621
118549,2017-12-24,0.365735,0.408573,0.294545,0.371529,"331,991","9,893,830",ELIX,0.0158420714451721
118550,2017-12-23,0.233531,0.418137,0.233531,0.361639,"467,383","6,264,340",ELIX,0.548569568922327
118551,2017-12-22,0.271294,0.27985,0.18665299999999999,0.231587,"232,873","7,236,830",ELIX,-0.14636151186535598
118552,2017-12-21,0.273054,0.316985,0.24928899999999998,0.269233,"223,139","7,256,430",ELIX,-0.0139935690376263
118553,2017-12-20,0.284817,0.288545,0.240441,0.272269,"204,899","7,544,910",ELIX,-0.0440563589954251
118554,2017-12-19,0.267556,0.309237,0.26164699999999996,0.29449899999999996,"296,348","7,076,360",ELIX,0.100700414118913
118555,2017-12-18,0.27502600000000005,0.288499,0.232631,0.271741,"252,465","7,271,990",ELIX,-0.0119443252637932
118556,2017-12-17,0.22177600000000003,0.28473699999999996,0.208677,0.282844,"227,913","5,860,870",ELIX,0.275358920712791
118557,2017-12-16,0.221181,0.243955,0.184711,0.221823,"147,130","5,835,730",ELIX,0.0029026001329228303
118558,2017-12-15,0.214869,0.24425700000000003,0.20917399999999997,0.220874,"213,341","5,654,080",ELIX,0.0279472608891929
118559,2017-12-14,0.24042800000000003,0.256767,0.17871800000000002,0.214515,"148,265","6,300,330",ELIX,-0.10777862811319802
118560,2017-12-13,0.250193,0.27618899999999996,0.208948,0.238472,"142,586","6,549,200",ELIX,-0.0468478334725592
118561,2017-12-12,0.23858000000000001,0.27760999999999997,0.223529,0.250289,"178,241","6,234,510",ELIX,0.04907787744152901
118562,2017-12-11,0.187328,0.260385,0.18657200000000002,0.23794899999999997,"127,251","4,887,890",ELIX,0.270226554492655
118563,2017-12-10,0.194615,0.24875100000000003,0.177343,0.188879,"96,761","5,078,040",ELIX,-0.0294735760347353
118564,2017-12-09,0.234452,0.263319,0.18578499999999998,0.19385,"87,508","6,110,280",ELIX,-0.173178305154147
118565,2017-12-08,0.213925,0.24430700000000002,0.181361,0.234663,"48,464","5,517,270",ELIX,0.0969405165361693
118566,2017-12-07,0.22269299999999997,0.25714899999999996,0.18599100000000002,0.213439,"138,475","5,743,280",ELIX,-0.0415549658049423
118567,2017-12-06,0.22701,0.261777,0.183513,0.223121,"177,184","5,849,850",ELIX,-0.0171314039029117
118568,2017-12-05,0.23702199999999998,0.277269,0.21639899999999998,0.233794,"222,560","6,079,760",ELIX,-0.0136189889546118
118569,2017-12-04,0.21184899999999998,0.237071,0.206364,0.23658099999999999,"155,096","5,406,260",ELIX,0.11674352958947198
118570,2017-12-03,0.159694,0.24670599999999998,0.150469,0.205722,"392,486","3,994,010",ELIX,0.288226232669981
118571,2017-12-02,0.142158,0.159557,0.118729,0.159557,"137,899","3,528,920",ELIX,0.12239198638135002
118572,2017-12-01,0.101412,0.152473,0.093641,0.142268,"194,396","2,505,880",ELIX,0.402871455054629
118573,2017-11-30,0.095001,0.11134000000000001,0.083092,0.109982,"37,498","2,340,870",ELIX,0.15769307691498
118574,2017-11-29,0.09008,0.134268,0.082886,0.09358999999999999,"119,156","2,210,600",ELIX,0.0389653641207817
118575,2017-11-28,0.072848,0.090778,0.072848,0.090125,"38,751","1,784,920",ELIX,0.237165056007028
118576,2017-11-27,0.062738,0.081195,0.062738,0.081075,"28,381","1,536,190",ELIX,0.292279001562052
118577,2017-11-26,0.058461,0.068375,0.057891,0.062735,"15,697","1,427,170",ELIX,0.0731085681052325
118578,2017-11-25,0.056502,0.063077,0.050158999999999995,0.058476,"22,211","1,378,510",ELIX,0.0349368163958799
118579,2017-11-24,0.058379999999999994,0.062999,0.050891000000000006,0.056586000000000004,"21,862","1,418,580",ELIX,-0.0307297019527236
118580,2017-11-23,0.058088,0.07001900000000001,0.058088,0.058522000000000005,"37,452","1,406,660",ELIX,0.0074714226690538
118581,2017-11-22,0.057551,0.062198,0.052272000000000006,0.058097,"97,837","1,391,280",ELIX,0.00948723740682186
118582,2017-11-21,0.052867,0.061507000000000006,0.050934,0.057420000000000006,"29,068","1,272,940",ELIX,0.0861217772901811
118583,2017-11-20,0.059132000000000004,0.059774,0.052864999999999995,0.052864999999999995,"41,635","1,423,790",ELIX,-0.10598322397348299
118584,2017-11-19,0.060583000000000005,0.06830900000000001,0.05875,0.059167,"14,455","1,451,810",ELIX,-0.0233728933859334
118585,2017-11-18,0.06402200000000001,0.069824,0.056126,0.060712,"26,722","1,527,320",ELIX,-0.051700977788885
118586,2017-11-17,0.055902999999999994,0.067286,0.050470999999999995,0.064231,"44,667","1,331,940",ELIX,0.148972327066526
118587,2017-11-16,0.066262,0.06771,0.055930999999999995,0.055992999999999994,"22,847","1,571,250",ELIX,-0.154975702514262
118588,2017-11-15,0.057628,0.073577,0.056750999999999996,0.065955,"24,312","1,362,560",ELIX,0.144495731241757
118589,2017-11-14,0.048523000000000004,0.058486,0.048523000000000004,0.057589999999999995,"19,332","1,146,630",ELIX,0.18685983966366498
118590,2017-11-13,0.058013,0.065924,0.047658,0.048451,"19,016","1,364,510",ELIX,-0.16482512540292701
118591,2017-11-12,0.063341,0.068345,0.0519,0.057926,"23,283","1,485,480",ELIX,-0.08548965125274299
118592,2017-11-11,0.072064,0.075145,0.061866,0.063374,"16,703","1,686,090",ELIX,-0.12058725577264698
118593,2017-11-10,0.075393,0.086505,0.06808600000000001,0.072339,"40,557","1,759,760",ELIX,-0.0405077394453066
118594,2017-11-09,0.07801,0.10629200000000001,0.072406,0.078605,"64,382","1,800,210",ELIX,0.007627227278554009
118595,2017-11-08,0.062501,0.07812000000000001,0.061747,0.07810399999999999,"40,037","1,437,190",ELIX,0.249644005695909
118596,2017-11-07,0.063248,0.06759,0.057037,0.062661,"20,677","1,449,360",ELIX,-0.00928092587907925
118597,2017-11-06,0.07197,0.078051,0.055799,0.063324,"32,710","1,642,740",ELIX,-0.120133388912047
118598,2017-11-05,0.051846,0.082057,0.049936,0.07181900000000001,"53,058","1,180,670",ELIX,0.38523704818115206
118599,2017-11-04,0.051620000000000006,0.061908000000000005,0.045157,0.051945000000000005,"26,891","1,168,490",ELIX,0.0062960092987214
118600,2017-11-03,0.041556,0.06300900000000001,0.028558,0.051751,"63,403","934,886",ELIX,0.245331600731543
118601,2017-11-02,0.05807999999999999,0.068062,0.040944,0.041602999999999994,"111,346","1,303,270",ELIX,-0.283694903581267
118602,2017-11-01,0.057133,0.071299,0.055158000000000006,0.058012,"50,313","1,279,690",ELIX,0.0153851539390544
118603,2017-10-31,0.053667999999999993,0.07032999999999999,0.053651,0.057179999999999995,"27,389","1,198,430",ELIX,0.0654393679660133
118604,2017-10-30,0.061596000000000005,0.068961,0.052761,0.053829999999999996,"33,768","1,372,210",ELIX,-0.126079615559452
118605,2017-10-29,0.075794,0.081951,0.060226,0.06192999999999999,"20,814","1,686,460",ELIX,-0.18291685357680001
118606,2017-10-28,0.07191399999999999,0.078789,0.06435199999999999,0.075864,"26,068","1,595,640",ELIX,0.0549267180243067
