Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
528259,2018-01-10,2.0,2.3,1.88,2.3,28,"421,874",FLY,0.15
528260,2018-01-09,2.31,2.34,1.61,2.0,21,"487,634",FLY,-0.134199134199134
528261,2018-01-08,1.99,2.32,1.74,2.32,294,"420,194",FLY,0.165829145728643
528262,2018-01-07,1.95,2.02,1.81,2.0,214,"410,689",FLY,0.0256410256410257
528263,2018-01-06,1.87,1.95,1.85,1.95,12,"395,087",FLY,0.0427807486631015
528264,2018-01-05,1.86,1.98,1.83,1.97,81,"391,650",FLY,0.0591397849462365
528265,2018-01-04,1.79,1.86,1.77,1.86,177,"377,845",FLY,0.0391061452513967
528266,2018-01-03,1.82,1.89,1.8,1.84,5,"382,707",FLY,0.010989010989011
528267,2018-01-02,1.82,1.83,1.8,1.82,5,"384,641",FLY,0.0
528268,2018-01-01,1.56,1.56,1.46,1.47,11,"329,512",FLY,-0.0576923076923077
528269,2017-12-31,1.42,1.59,1.41,1.56,13,"299,387",FLY,0.0985915492957747
528270,2017-12-30,1.58,1.58,1.44,1.44,84,"332,714",FLY,-0.0886075949367089
528271,2017-12-26,1.7,1.9,1.7,1.87,2,"359,392",FLY,0.1
528272,2017-12-25,1.72,1.77,1.62,1.71,2,"363,479",FLY,-0.0058139534883721
528273,2017-12-24,1.7,1.71,1.69,1.71,3,"358,705",FLY,0.00588235294117648
528274,2017-12-21,1.87,1.97,1.84,1.9,7,"393,343",FLY,0.016042780748663
528275,2017-12-20,1.98,2.02,1.78,1.86,6,"417,436",FLY,-0.0606060606060605
528276,2017-12-19,2.34,2.35,2.17,2.24,4,"493,655",FLY,-0.0427350427350426
528277,2017-12-18,2.34,2.36,2.24,2.34,16,"493,653",FLY,0.0
528278,2017-12-17,2.18,2.44,2.13,2.33,109,"458,617",FLY,0.0688073394495412
528279,2017-12-16,1.97,2.19,1.96,2.18,126,"415,530",FLY,0.106598984771574
528280,2017-12-15,1.79,2.02,1.79,1.97,41,"377,686",FLY,0.100558659217877
528281,2017-12-14,1.8,1.8,1.78,1.79,20,"378,892",FLY,-0.00555555555555556
528282,2017-12-12,1.9,1.95,1.86,1.95,23,"400,924",FLY,0.0263157894736842
528283,2017-12-11,1.88,1.98,1.85,1.9,23,"396,550",FLY,0.0106382978723404
528284,2017-12-08,1.97,2.0,1.6,1.72,2,"415,582",FLY,-0.126903553299492
528285,2017-12-07,1.52,1.97,1.48,1.97,169,"320,442",FLY,0.296052631578947
528286,2017-12-06,1.28,1.4,1.28,1.39,70,"269,154",FLY,0.0859374999999999
528287,2017-12-05,1.27,1.3,1.26,1.28,64,"268,671",FLY,0.0078740157480315
528288,2017-12-04,1.23,1.27,1.23,1.27,1,"258,762",FLY,0.0325203252032521
528289,2017-12-03,1.21,1.29,1.16,1.22,5,"256,082",FLY,0.008264462809917359
528290,2017-11-30,1.08,1.17,1.07,1.12,11,"227,085",FLY,0.0370370370370371
528291,2017-11-29,1.08,1.25,0.9965950000000001,1.06,11,"228,583",FLY,-0.0185185185185185
528292,2017-11-28,1.05,1.09,1.04,1.09,1,"222,203",FLY,0.0380952380952381
528293,2017-11-27,1.04,1.05,1.04,1.05,17,"218,954",FLY,0.009615384615384621
528294,2017-11-26,1.07,1.11,1.07,1.1,5,"225,732",FLY,0.0280373831775701
528295,2017-11-25,1.05,1.07,1.05,1.07,5,"221,206",FLY,0.0190476190476191
528296,2017-11-23,0.988667,0.993497,0.983031,0.9842780000000001,1,"208,416",FLY,-0.00443931070825665
528297,2017-11-22,0.9820979999999999,0.997635,0.973849,0.988983,1,"207,032",FLY,0.00701050200692794
528298,2017-11-20,1.1,1.13,1.09,1.12,1,"232,516",FLY,0.0181818181818182
528299,2017-11-19,1.1,1.11,1.09,1.1,1,"232,238",FLY,0.0
528300,2017-11-17,1.08,1.1,1.07,1.07,16,"226,772",FLY,-0.009259259259259271
528301,2017-11-16,0.9812850000000001,1.1,0.9810629999999999,1.08,17,"206,860",FLY,0.100597685687644
528302,2017-11-14,0.705333,0.725867,0.694072,0.7153189999999999,320,"148,688",FLY,0.0141578516814045
528303,2017-11-13,0.749996,0.848267,0.697104,0.703842,317,"158,103",FLY,-0.0615389948746394
528304,2017-11-12,0.8221229999999999,0.8221229999999999,0.723287,0.748905,2,"173,308",FLY,-0.0890596662543196
528305,2017-11-11,0.829155,0.858814,0.8281440000000001,0.8459549999999999,3,"174,791",FLY,0.0202615916203847
528306,2017-11-10,0.910969,0.912006,0.813606,0.832117,3,"192,037",FLY,-0.0865583790447315
528307,2017-11-08,0.9445950000000001,0.9870399999999999,0.9389790000000001,0.9800049999999999,12,"199,126",FLY,0.0374869653131766
528308,2017-11-07,0.9496100000000001,0.957607,0.927592,0.94757,12,"200,183",FLY,-0.00214825033434771
528309,2017-11-05,0.930436,0.960034,0.921216,0.959255,2,"196,141",FLY,0.0309736510625125
528310,2017-11-04,0.9320579999999999,0.952232,0.8830959999999999,0.9322010000000001,45,"196,483",FLY,0.00015342392855368799
528311,2017-11-03,0.91401,0.9710040000000001,0.9032020000000001,0.9344870000000001,4,"192,678",FLY,0.0224034747978687
528312,2017-11-02,0.9179790000000001,0.9179790000000001,0.911694,0.915208,141,"193,515",FLY,-0.0030185875711753398
528313,2017-11-01,0.8379040000000001,0.8379040000000001,0.831367,0.831367,126,"176,635",FLY,-0.00780160973094772
528314,2017-10-31,0.797751,0.838518,0.792574,0.838518,127,"168,170",FLY,0.0511024116547645
528315,2017-10-30,0.902912,0.9116850000000001,0.885124,0.893602,1,"190,339",FLY,-0.0103110823646159
528316,2017-10-29,0.8991030000000001,0.927191,0.8991030000000001,0.9081879999999999,1,"189,536",FLY,0.0101045152780049
528317,2017-10-27,0.861534,0.8775569999999999,0.838929,0.838929,21,"181,616",FLY,-0.0262380823043548
528318,2017-10-26,0.870461,0.8721979999999999,0.849002,0.861334,22,"183,498",FLY,-0.0104852486211329
528319,2017-10-24,0.835492,0.835492,0.792684,0.8081020000000001,3,"176,126",FLY,-0.0327830787129021
528320,2017-10-23,0.838715,0.8538379999999999,0.8068029999999999,0.837333,3,"176,806",FLY,-0.00164775877383854
528321,2017-10-22,1.09,1.1,0.8205680000000001,0.840068,119,"229,648",FLY,-0.229295412844037
528322,2017-10-21,1.09,1.16,1.07,1.09,17,"229,486",FLY,0.0
528323,2017-10-20,1.09,1.09,1.09,1.09,11,"230,481",FLY,0.0
528324,2017-10-18,1.01,1.01,0.950542,0.958425,15,"213,866",FLY,-0.0510643564356436
528325,2017-10-17,1.05,1.05,1.0,1.01,25,"220,638",FLY,-0.0380952380952381
528326,2017-10-16,1.32,1.33,1.01,1.05,6,"278,409",FLY,-0.20454545454545497
528327,2017-10-15,1.28,1.33,1.28,1.32,1,"269,694",FLY,0.03125
528328,2017-10-14,0.9092629999999999,0.9305969999999999,0.89931,0.923558,9,"191,678",FLY,0.0157215239155227
528329,2017-10-13,0.874864,0.9450219999999999,0.8692700000000001,0.909017,9,"184,426",FLY,0.0390380676310832
528330,2017-10-12,0.784576,0.8721770000000001,0.784576,0.8721770000000001,3,"165,393",FLY,0.111653937923158
528331,2017-10-10,1.06,1.09,1.06,1.09,5,"224,280",FLY,0.0283018867924529
528332,2017-10-09,1.06,1.08,1.05,1.06,139,"223,594",FLY,0.0
528333,2017-10-08,1.05,1.06,1.05,1.06,8,"221,826",FLY,0.00952380952380953
528334,2017-10-07,1.01,1.01,0.996865,1.0,1,"212,472",FLY,-0.00990099009900991
528335,2017-10-06,0.997999,1.01,0.9979549999999999,1.01,1,"210,384",FLY,0.0120250621493609
528336,2017-10-05,0.9727819999999999,0.977982,0.9564389999999999,0.960081,11,"205,068",FLY,-0.0130563682304978
528337,2017-10-04,1.04,1.05,0.9669969999999999,0.9719030000000001,12,"219,367",FLY,-0.0654778846153847
528338,2017-10-03,1.01,1.04,1.01,1.04,12,"213,881",FLY,0.0297029702970297
528339,2017-10-02,1.02,1.03,1.01,1.01,20,"214,542",FLY,-0.00980392156862746
528340,2017-10-01,1.01,1.01,0.99172,1.0,52,"212,996",FLY,-0.00990099009900991
528341,2017-09-30,1.01,1.01,1.0,1.01,53,"211,880",FLY,0.0
528342,2017-09-28,1.08,1.1,1.06,1.07,0,"227,400",FLY,-0.009259259259259271
528343,2017-09-27,1.0,1.08,1.0,1.08,0,"211,247",FLY,0.0800000000000001
528344,2017-09-26,1.01,1.01,1.0,1.0,1,"213,216",FLY,-0.00990099009900991
528345,2017-09-25,0.8461139999999999,0.9134200000000001,0.8458030000000001,0.902575,3,"178,365",FLY,0.0667297787295801
528346,2017-09-24,0.988801,0.988801,0.8409620000000001,0.846972,20,"208,445",FLY,-0.14343533228627403
528347,2017-09-23,0.9675799999999999,0.9955200000000001,0.965677,0.988885,11,"203,971",FLY,0.0220188511544265
528348,2017-09-22,0.8339209999999999,0.848325,0.833175,0.845403,42,"175,795",FLY,0.0137686903195866
528349,2017-09-21,0.8968440000000001,0.9028719999999999,0.8261850000000001,0.8348760000000001,42,"189,060",FLY,-0.0690956286712071
528350,2017-09-20,0.910301,1.07,0.8991469999999999,0.9012690000000001,11,"191,896",FLY,-0.009921992835336929
528351,2017-09-19,1.09,1.1,0.903192,0.911516,12,"229,956",FLY,-0.16374678899082598
528352,2017-09-18,1.03,1.1,1.03,1.09,2,"216,200",FLY,0.0582524271844661
528353,2017-09-16,0.8380049999999999,0.8767739999999999,0.803427,0.840042,1,"176,656",FLY,0.00243077308607939
528354,2017-09-15,0.873031,1.03,0.830161,0.840195,2,"184,040",FLY,-0.0376114937499355
528355,2017-09-14,1.05,1.05,0.8662790000000001,0.8662790000000001,9,"220,293",FLY,-0.17497238095238096
528356,2017-09-13,1.12,1.12,1.02,1.05,1,"235,663",FLY,-0.0625000000000001
528357,2017-09-12,1.13,1.13,1.12,1.12,5,"237,233",FLY,-0.00884955752212371
528358,2017-09-10,1.19,1.19,1.11,1.14,1,"250,096",FLY,-0.0420168067226891
528359,2017-09-09,0.562746,1.21,0.546794,1.19,3,"118,630",FLY,1.11463075703781
528360,2017-09-08,0.546374,0.565066,0.546374,0.561658,108,"115,179",FLY,0.0279735126488449
528361,2017-09-06,1.12,1.22,1.12,1.16,0,"236,221",FLY,0.0357142857142855
528362,2017-09-05,1.19,1.19,1.08,1.12,0,"251,256",FLY,-0.0588235294117646
528363,2017-09-04,1.17,1.23,1.09,1.19,1,"247,303",FLY,0.0170940170940171
528364,2017-09-03,1.28,1.31,1.13,1.17,2,"270,063",FLY,-0.0859375000000001
528365,2017-09-02,1.25,1.29,1.14,1.28,13,"263,233",FLY,0.024
528366,2017-09-01,1.23,1.25,1.21,1.25,4,"259,923",FLY,0.016260162601626
528367,2017-08-31,1.16,1.21,1.16,1.2,3,"244,742",FLY,0.0344827586206897
528368,2017-08-30,1.21,1.27,1.15,1.16,54,"255,313",FLY,-0.0413223140495868
528369,2017-08-29,1.3,1.32,1.17,1.21,6,"274,560",FLY,-0.0692307692307693
528370,2017-08-28,1.3,1.3,1.13,1.3,54,"273,128",FLY,0.0
528371,2017-08-27,1.09,1.31,1.08,1.3,1,"228,977",FLY,0.192660550458716
528372,2017-08-26,1.26,1.4,1.07,1.09,390,"265,773",FLY,-0.134920634920635
528373,2017-08-25,1.28,1.28,1.24,1.26,5,"270,439",FLY,-0.015625
528374,2017-08-24,1.94,1.99,1.92,1.98,2,"408,190",FLY,0.0206185567010309
528375,2017-08-23,1.29,1.95,1.17,1.94,100,"271,382",FLY,0.503875968992248
528376,2017-08-22,1.48,1.49,1.22,1.29,53,"311,213",FLY,-0.128378378378378
528377,2017-08-21,2.71,2.73,1.47,1.47,30,"571,247",FLY,-0.45756457564575603
528378,2017-08-20,1.43,2.77,1.4,2.72,33,"301,332",FLY,0.902097902097902
528379,2017-08-19,1.83,2.78,1.29,1.44,307,"385,130",FLY,-0.21311475409836103
528380,2017-08-18,1.83,1.83,1.82,1.83,1,"384,897",FLY,0.0
528381,2017-08-16,2.86,3.0,2.72,2.98,3,"603,753",FLY,0.041958041958042
