Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
511925,2018-01-09,0.00015,0.000285,0.00014,0.00014099999999999998,"29,737","7,002,720",FUNK,-0.0599999999999998
511926,2018-01-08,0.00016,0.000277,0.000147,0.000151,"52,762","7,436,840",FUNK,-0.05625
511927,2018-01-06,5.2000000000000004e-05,6.500000000000001e-05,5e-05,5e-05,5,"2,433,810",FUNK,-0.0384615384615384
511928,2018-01-05,5.9e-05,6.9e-05,4.7e-05,5.6000000000000006e-05,"14,808","2,735,480",FUNK,-0.0508474576271186
511929,2018-01-04,5.6000000000000006e-05,6.4e-05,4e-05,5.7999999999999994e-05,"23,525","2,608,080",FUNK,0.0357142857142857
511930,2018-01-03,3.3e-05,5.4000000000000005e-05,2.9999999999999997e-05,5.3e-05,"20,387","1,524,690",FUNK,0.606060606060606
511931,2018-01-02,2.6000000000000002e-05,3.9e-05,2.4e-05,3.3e-05,"10,860","1,216,560",FUNK,0.269230769230769
511932,2018-01-01,2.4e-05,3.2e-05,2e-05,2.5e-05,"3,486","1,131,900",FUNK,0.0416666666666667
511933,2017-12-31,1.9e-05,2.5e-05,1.8e-05,2.4e-05,"4,160","900,155",FUNK,0.263157894736842
511934,2017-12-30,2.4e-05,2.4e-05,1.8e-05,1.9e-05,"2,424","1,103,780",FUNK,-0.208333333333333
511935,2017-12-29,2.1e-05,2.4e-05,2e-05,2.4e-05,"3,255","990,220",FUNK,0.14285714285714302
511936,2017-12-28,2.1e-05,2.4e-05,1.9e-05,2.1e-05,"1,931","998,119",FUNK,0.0
511937,2017-12-27,1.6e-05,2.4e-05,1.4000000000000001e-05,2.1e-05,"6,881","725,512",FUNK,0.3125
511938,2017-12-26,1.6e-05,1.8e-05,1.3000000000000001e-05,1.7e-05,567,"746,730",FUNK,0.0625
511939,2017-12-25,1.3000000000000001e-05,1.8e-05,1.2e-05,1.6e-05,470,"624,848",FUNK,0.23076923076923103
511940,2017-12-24,1.4000000000000001e-05,1.4000000000000001e-05,1.2e-05,1.4000000000000001e-05,"1,473","640,190",FUNK,0.0
511941,2017-12-23,1.7e-05,1.9e-05,1.2e-05,1.4000000000000001e-05,"3,998","778,961",FUNK,-0.17647058823529396
511942,2017-12-22,1.4000000000000001e-05,1.8e-05,8e-06,1.7e-05,232,"671,001",FUNK,0.214285714285714
511943,2017-12-21,1.4999999999999999e-05,2e-05,1.3000000000000001e-05,1.4000000000000001e-05,609,"699,110",FUNK,-0.0666666666666667
511944,2017-12-20,1.6e-05,1.7e-05,1.2e-05,1.4999999999999999e-05,239,"720,399",FUNK,-0.0624999999999999
511945,2017-12-19,1.4999999999999999e-05,1.8e-05,1.2e-05,1.4999999999999999e-05,"1,424","682,582",FUNK,0.0
511946,2017-12-18,1.6e-05,1.6e-05,1.2e-05,1.4999999999999999e-05,618,"726,349",FUNK,-0.0624999999999999
511947,2017-12-17,1.6e-05,1.9e-05,1.2e-05,1.6e-05,608,"741,826",FUNK,0.0
511948,2017-12-16,1.2e-05,1.9e-05,1.2e-05,1.6e-05,650,"562,108",FUNK,0.33333333333333304
511949,2017-12-15,1.1e-05,1.6e-05,1e-05,1.2e-05,"1,380","516,143",FUNK,0.09090909090909101
511950,2017-12-14,1.4999999999999999e-05,1.7e-05,1.1e-05,1.1e-05,"1,600","710,954",FUNK,-0.266666666666667
511951,2017-12-13,1.8e-05,1.9e-05,1e-05,1.4999999999999999e-05,642,"835,232",FUNK,-0.166666666666667
511952,2017-12-12,1.2e-05,1.9e-05,1e-05,1.8e-05,"4,154","535,366",FUNK,0.5
511953,2017-12-11,9e-06,1.3000000000000001e-05,9e-06,1.1e-05,482,"425,417",FUNK,0.222222222222222
511954,2017-12-10,9e-06,1.1e-05,8e-06,9e-06,128,"428,100",FUNK,0.0
511955,2017-12-09,9e-06,1.2e-05,8e-06,9e-06,206,"415,295",FUNK,0.0
511956,2017-12-08,8e-06,9e-06,7.000000000000001e-06,9e-06,410,"357,616",FUNK,0.125
511957,2017-12-07,8e-06,8e-06,6e-06,8e-06,457,"365,357",FUNK,0.0
511958,2017-12-06,7.000000000000001e-06,8e-06,7.000000000000001e-06,8e-06,313,"325,687",FUNK,0.14285714285714302
511959,2017-12-05,6e-06,8e-06,6e-06,7.000000000000001e-06,634,"290,563",FUNK,0.166666666666667
511960,2017-12-04,6e-06,6e-06,5e-06,6e-06,138,"262,189",FUNK,0.0
511961,2017-12-03,6e-06,6e-06,5e-06,6e-06,22,"267,095",FUNK,0.0
511962,2017-12-02,5e-06,6e-06,5e-06,6e-06,46,"230,064",FUNK,0.2
511963,2017-12-01,4e-06,6e-06,4e-06,5e-06,124,"201,182",FUNK,0.25
511964,2017-11-30,5e-06,6e-06,4e-06,4e-06,626,"237,057",FUNK,-0.2
511965,2017-11-29,6e-06,7.000000000000001e-06,5e-06,5e-06,172,"297,331",FUNK,-0.166666666666667
511966,2017-11-28,6e-06,7.000000000000001e-06,5e-06,6e-06,115,"255,865",FUNK,0.0
511967,2017-11-27,5e-06,6e-06,5e-06,6e-06,61,"233,092",FUNK,0.2
511968,2017-11-26,5e-06,5e-06,5e-06,5e-06,139,"245,958",FUNK,0.0
511969,2017-11-25,6e-06,6e-06,5e-06,5e-06,276,"284,285",FUNK,-0.166666666666667
511970,2017-11-24,6e-06,6e-06,5e-06,6e-06,28,"265,193",FUNK,0.0
511971,2017-11-23,5e-06,6e-06,5e-06,6e-06,165,"243,242",FUNK,0.2
511972,2017-11-22,5e-06,6e-06,5e-06,5e-06,75,"248,946",FUNK,0.0
511973,2017-11-21,6e-06,6e-06,5e-06,5e-06,24,"266,461",FUNK,-0.166666666666667
511974,2017-11-20,6e-06,6e-06,4e-06,6e-06,367,"264,640",FUNK,0.0
511975,2017-11-19,6e-06,6e-06,5e-06,6e-06,195,"259,867",FUNK,0.0
511976,2017-11-18,5e-06,6e-06,5e-06,6e-06,15,"229,775",FUNK,0.2
511977,2017-11-17,5e-06,6e-06,4e-06,5e-06,84,"214,534",FUNK,0.0
511978,2017-11-16,5e-06,6e-06,4e-06,5e-06,55,"245,299",FUNK,0.0
511979,2017-11-15,5e-06,6e-06,5e-06,5e-06,24,"239,038",FUNK,0.0
511980,2017-11-14,5e-06,5e-06,5e-06,5e-06,43,"225,896",FUNK,0.0
511981,2017-11-13,4e-06,6e-06,4e-06,5e-06,396,"186,071",FUNK,0.25
511982,2017-11-12,4e-06,5e-06,4e-06,4e-06,140,"200,980",FUNK,0.0
511983,2017-11-11,4e-06,5e-06,4e-06,4e-06,82,"188,738",FUNK,0.0
511984,2017-11-10,4e-06,5e-06,3e-06,4e-06,212,"201,316",FUNK,0.0
511985,2017-11-09,4e-06,5e-06,4e-06,4e-06,11,"180,162",FUNK,0.0
511986,2017-11-08,4e-06,4e-06,4e-06,4e-06,285,"170,449",FUNK,0.0
511987,2017-11-07,3e-06,4e-06,3e-06,4e-06,265,"142,218",FUNK,0.33333333333333304
511988,2017-11-06,3e-06,4e-06,3e-06,3e-06,209,"136,023",FUNK,0.0
511989,2017-11-05,4e-06,4e-06,2e-06,3e-06,62,"169,847",FUNK,-0.25
511990,2017-11-04,4e-06,4e-06,3e-06,4e-06,10,"180,083",FUNK,0.0
511991,2017-11-03,3e-06,4e-06,3e-06,4e-06,39,"125,138",FUNK,0.33333333333333304
511992,2017-11-02,3e-06,4e-06,3e-06,3e-06,160,"160,187",FUNK,0.0
511993,2017-11-01,3e-06,4e-06,3e-06,3e-06,52,"156,058",FUNK,0.0
511994,2017-10-31,4e-06,4e-06,3e-06,3e-06,207,"174,608",FUNK,-0.25
511995,2017-10-30,4e-06,4e-06,4e-06,4e-06,87,"188,145",FUNK,0.0
511996,2017-10-29,4e-06,4e-06,3e-06,4e-06,13,"161,704",FUNK,0.0
511997,2017-10-28,4e-06,5e-06,3e-06,4e-06,7,"199,836",FUNK,0.0
511998,2017-10-27,3e-06,4e-06,3e-06,4e-06,132,"155,833",FUNK,0.33333333333333304
511999,2017-10-26,4e-06,5e-06,3e-06,3e-06,68,"173,619",FUNK,-0.25
512000,2017-10-25,3e-06,4e-06,3e-06,4e-06,25,"156,096",FUNK,0.33333333333333304
512001,2017-10-24,3e-06,4e-06,3e-06,3e-06,91,"152,397",FUNK,0.0
512002,2017-10-23,4e-06,4e-06,3e-06,3e-06,212,"177,745",FUNK,-0.25
512003,2017-10-22,4e-06,5e-06,4e-06,4e-06,3,"198,682",FUNK,0.0
512004,2017-10-21,4e-06,4e-06,4e-06,4e-06,15,"193,287",FUNK,0.0
512005,2017-10-20,5e-06,5e-06,4e-06,4e-06,101,"213,902",FUNK,-0.2
512006,2017-10-19,4e-06,5e-06,4e-06,5e-06,10,"179,121",FUNK,0.25
512007,2017-10-18,5e-06,5e-06,4e-06,4e-06,21,"214,862",FUNK,-0.2
512008,2017-10-17,5e-06,5e-06,4e-06,5e-06,355,"208,518",FUNK,0.0
512009,2017-10-16,5e-06,6e-06,4e-06,5e-06,267,"210,673",FUNK,0.0
512010,2017-10-15,4e-06,8e-06,4e-06,5e-06,200,"183,010",FUNK,0.25
512011,2017-10-14,4e-06,4e-06,4e-06,4e-06,7,"184,802",FUNK,0.0
512012,2017-10-13,4e-06,5e-06,4e-06,4e-06,31,"190,624",FUNK,0.0
512013,2017-10-12,4e-06,4e-06,4e-06,4e-06,58,"186,369",FUNK,0.0
512014,2017-10-11,3e-06,4e-06,3e-06,4e-06,170,"158,558",FUNK,0.33333333333333304
512015,2017-10-10,4e-06,4e-06,3e-06,3e-06,20,"183,479",FUNK,-0.25
512016,2017-10-09,4e-06,4e-06,3e-06,4e-06,"1,789","195,868",FUNK,0.0
512017,2017-10-08,4e-06,4e-06,4e-06,4e-06,4,"187,640",FUNK,0.0
512018,2017-10-07,4e-06,5e-06,4e-06,4e-06,63,"170,585",FUNK,0.0
512019,2017-10-06,4e-06,4e-06,4e-06,4e-06,93,"168,416",FUNK,0.0
512020,2017-10-05,4e-06,4e-06,3e-06,4e-06,64,"170,587",FUNK,0.0
512021,2017-10-04,5e-06,5e-06,4e-06,4e-06,79,"213,055",FUNK,-0.2
512022,2017-10-03,4e-06,5e-06,4e-06,5e-06,77,"175,346",FUNK,0.25
512023,2017-10-02,5e-06,5e-06,4e-06,4e-06,33,"234,993",FUNK,-0.2
512024,2017-10-01,4e-06,5e-06,4e-06,5e-06,120,"178,444",FUNK,0.25
512025,2017-09-30,4e-06,6e-06,3e-06,4e-06,723,"170,691",FUNK,0.0
512026,2017-09-29,5e-06,5e-06,3e-06,4e-06,842,"209,087",FUNK,-0.2
512027,2017-09-28,5e-06,5e-06,4e-06,5e-06,93,"210,349",FUNK,0.0
512028,2017-09-27,5e-06,6e-06,4e-06,5e-06,"1,074","237,251",FUNK,0.0
512029,2017-09-26,6e-06,7.000000000000001e-06,4e-06,5e-06,494,"263,028",FUNK,-0.166666666666667
512030,2017-09-25,5e-06,7.000000000000001e-06,5e-06,6e-06,200,"239,628",FUNK,0.2
512031,2017-09-24,6e-06,6e-06,4e-06,5e-06,864,"269,642",FUNK,-0.166666666666667
512032,2017-09-23,5e-06,6e-06,5e-06,6e-06,119,"242,482",FUNK,0.2
512033,2017-09-22,5e-06,6e-06,4e-06,5e-06,111,"233,220",FUNK,0.0
512034,2017-09-21,7.000000000000001e-06,8e-06,5e-06,5e-06,"1,051","331,872",FUNK,-0.28571428571428603
512035,2017-09-20,7.000000000000001e-06,1e-05,7.000000000000001e-06,7.000000000000001e-06,353,"337,322",FUNK,0.0
512036,2017-09-19,8e-06,9e-06,7.000000000000001e-06,7.000000000000001e-06,122,"384,923",FUNK,-0.125
512037,2017-09-18,8e-06,9e-06,7.000000000000001e-06,8e-06,275,"343,409",FUNK,0.0
