Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
568286,2018-01-10,0.00264,0.00264,0.00263,0.00263,0,"29,995",GBC,-0.0037878787878788
568287,2018-01-09,0.00264,0.00264,0.00264,0.00264,0,"29,995",GBC,0.0
568288,2018-01-08,0.00264,0.00264,0.00264,0.00264,0,"29,995",GBC,0.0
568289,2018-01-07,0.001326,0.00264,0.001326,0.00264,0,"15,066",GBC,0.9909502262443441
568290,2018-01-06,0.0018899999999999998,0.00266,0.001326,0.001326,3,"21,474",GBC,-0.29841269841269796
568291,2018-01-05,0.001816,0.0018899999999999998,0.001816,0.0018899999999999998,13,"20,631",GBC,0.0407488986784141
568292,2018-01-04,0.0023899999999999998,0.0023899999999999998,0.001326,0.001816,15,"27,155",GBC,-0.24016736401673605
568293,2018-01-03,0.00267,0.00267,0.0023899999999999998,0.0023899999999999998,10,"30,336",GBC,-0.104868913857678
568294,2018-01-02,0.00199,0.00267,0.00199,0.00267,0,"22,610",GBC,0.341708542713568
568295,2018-01-01,0.0028899999999999998,0.0028899999999999998,0.00199,0.00199,14,"32,836",GBC,-0.311418685121107
568296,2017-12-31,0.00294,0.00294,0.0028899999999999998,0.0028899999999999998,9,"33,404",GBC,-0.0170068027210883
568297,2017-12-30,0.00296,0.00296,0.00294,0.00294,52,"33,631",GBC,-0.00675675675675677
568298,2017-12-29,0.0037939999999999996,0.0037939999999999996,0.00296,0.00296,9,"43,107",GBC,-0.219820769636268
568299,2017-12-28,0.003336,0.0037939999999999996,0.003336,0.0037939999999999996,0,"37,905",GBC,0.13729016786570697
568300,2017-12-27,0.0019399999999999999,0.003336,0.00119,0.003336,236,"22,042",GBC,0.719587628865979
568301,2017-12-26,0.0012050000000000001,0.0019399999999999999,0.00119,0.0019399999999999999,0,"13,688",GBC,0.609958506224067
568302,2017-12-25,0.001181,0.0012050000000000001,0.001181,0.0012050000000000001,4,"13,422",GBC,0.0203217612193056
568303,2017-12-24,0.0012720000000000001,0.00196,0.001181,0.001181,41,"14,452",GBC,-0.0715408805031446
568304,2017-12-23,0.001986,0.001986,0.0012720000000000001,0.0012720000000000001,0,"22,565",GBC,-0.35951661631419896
568305,2017-12-22,0.0012109999999999998,0.001986,0.0012109999999999998,0.001986,0,"13,760",GBC,0.6399669694467379
568306,2017-12-21,0.001986,0.001986,0.0012109999999999998,0.0012109999999999998,1,"22,565",GBC,-0.39023162134944606
568307,2017-12-20,0.001121,0.001986,0.001121,0.001986,0,"12,731",GBC,0.7716324710080279
568308,2017-12-19,0.001997,0.001997,0.001121,0.001121,1,"22,690",GBC,-0.43865798698047104
568309,2017-12-18,0.001997,0.001997,0.001997,0.001997,40,"22,690",GBC,0.0
568310,2017-12-17,0.001103,0.001997,0.001103,0.001997,40,"12,527",GBC,0.810516772438803
568311,2017-12-16,0.0028,0.0028,0.000985,0.001103,65,"31,813",GBC,-0.6060714285714289
568312,2017-12-15,0.001509,0.0028,0.00108,0.0028,141,"17,141",GBC,0.855533465871438
568313,2017-12-14,0.00207,0.00207,0.00134,0.001509,42,"23,519",GBC,-0.271014492753623
568314,2017-12-13,0.0027300000000000002,0.0031850000000000003,0.00207,0.00207,65,"31,017",GBC,-0.24175824175824198
568315,2017-12-12,0.0041979999999999995,0.0041979999999999995,0.001513,0.0027300000000000002,153,"47,694",GBC,-0.349690328727966
568316,2017-12-11,0.001539,0.0047,0.001539,0.0041979999999999995,523,"17,486",GBC,1.7277452891488
568317,2017-12-10,0.001539,0.001539,0.001539,0.001539,0,"17,486",GBC,0.0
568318,2017-12-09,0.0011359999999999999,0.001549,0.001132,0.001539,0,"12,906",GBC,0.35475352112676
568319,2017-12-08,0.001204,0.001204,0.001117,0.0011359999999999999,44,"13,681",GBC,-0.0564784053156146
568320,2017-12-07,0.001549,0.001549,0.001204,0.001204,11,"17,600",GBC,-0.222724338282763
568321,2017-12-06,0.0011380000000000001,0.001549,0.0011380000000000001,0.001549,0,"12,928",GBC,0.36115992970123
568322,2017-12-05,0.0011,0.001549,0.001,0.0011380000000000001,10,"12,498",GBC,0.0345454545454544
568323,2017-12-04,0.0009939999999999999,0.0011,0.0009939999999999999,0.0011,1,"11,294",GBC,0.106639839034205
568324,2017-12-03,0.001549,0.001549,0.0009939999999999999,0.0009939999999999999,0,"17,600",GBC,-0.358295674628793
568325,2017-12-02,0.002,0.002,0.001549,0.001549,0,"22,724",GBC,-0.2255
568326,2017-12-01,0.0016,0.0021,0.0009480000000000001,0.002,17,"18,179",GBC,0.25
568327,2017-11-30,0.0009400000000000001,0.0017,0.0009400000000000001,0.0016,0,"10,680",GBC,0.702127659574468
568328,2017-11-29,0.002065,0.002065,0.0009400000000000001,0.0009400000000000001,0,"23,458",GBC,-0.5447941888619849
568329,2017-11-28,0.0017829999999999999,0.002078,0.001662,0.002065,7,"20,253",GBC,0.158160403813797
568330,2017-11-27,0.0018579999999999998,0.0018579999999999998,0.001745,0.0017829999999999999,84,"21,108",GBC,-0.0403659849300323
568331,2017-11-26,0.00091,0.001895,0.00091,0.0018579999999999998,77,"10,337",GBC,1.04175824175824
568332,2017-11-25,0.0009390000000000001,0.001547,0.00091,0.00091,58,"10,669",GBC,-0.0308839190628327
568333,2017-11-24,0.0012,0.0018989999999999999,0.0008210000000000001,0.0009390000000000001,86,"13,634",GBC,-0.2175
568334,2017-11-23,0.00215,0.00215,0.0012,0.0012,6,"24,428",GBC,-0.44186046511627897
568335,2017-11-22,0.002071,0.00215,0.0012029999999999999,0.00215,119,"23,532",GBC,0.0381458232737808
568336,2017-11-21,0.0022,0.0023,0.0015,0.002071,157,"24,997",GBC,-0.0586363636363637
568337,2017-11-20,0.0024,0.0024,0.0015,0.0022,34,"27,268",GBC,-0.0833333333333332
568338,2017-11-19,0.00158,0.0024,0.00158,0.0024,59,"17,950",GBC,0.518987341772152
568339,2017-11-18,0.0026,0.0026,0.00158,0.00158,59,"29,541",GBC,-0.392307692307692
568340,2017-11-17,0.002893,0.0029,0.002,0.0026,240,"32,874",GBC,-0.101278949187695
568341,2017-11-16,0.0027,0.002893,0.0027,0.002893,0,"30,677",GBC,0.0714814814814815
