Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
482025,2018-01-10,0.072075,0.072075,0.024428000000000002,0.033083,"27,902","366,947",GEERT,-0.5409920221990979
482026,2018-01-09,0.016593,0.073192,0.016536000000000002,0.07132999999999999,"53,109","84,479",GEERT,3.29880069908998
482027,2018-01-08,0.020961,0.026503,0.014978,0.016638,"11,748","106,716",GEERT,-0.20624016029769604
482028,2018-01-07,0.014308000000000001,0.023071,0.014100999999999999,0.02099,"6,534","72,845",GEERT,0.467011462119094
482029,2018-01-06,0.015447999999999998,0.016365,0.014012,0.014318,"3,270","78,647",GEERT,-0.0731486276540652
482030,2018-01-05,0.013877,0.016324,0.012981999999999999,0.015453,"2,835","70,649",GEERT,0.113569215248252
482031,2018-01-04,0.01728,0.017324000000000003,0.013056,0.013872999999999998,"5,910","87,975",GEERT,-0.19716435185185197
482032,2018-01-03,0.013166999999999998,0.017152,0.013103,0.017122,"2,592","67,036",GEERT,0.300372142477406
482033,2018-01-02,0.012692,0.014843,0.011455,0.013106999999999999,"2,066","64,619",GEERT,0.0326977623699969
482034,2018-01-01,0.011170999999999999,0.013296,0.010740999999999999,0.012695999999999999,"1,187","56,873",GEERT,0.13651418852385602
482035,2017-12-31,0.012272,0.013893,0.008659,0.011134,"4,392","62,477",GEERT,-0.0927314211212516
482036,2017-12-30,0.018718000000000002,0.018831999999999998,0.010661,0.012404,"8,092","95,299",GEERT,-0.337322363500374
482037,2017-12-29,0.023624000000000003,0.028262,0.01715,0.018765999999999998,"88,259","120,274",GEERT,-0.205638333897731
482038,2017-12-28,0.01436,0.027425,0.010737,0.024874,"72,218","73,111",GEERT,0.732172701949861
482039,2017-12-27,0.015497,0.015612000000000001,0.010265,0.014388999999999999,"2,026","78,899",GEERT,-0.0714977092340453
482040,2017-12-26,0.016193,0.017684000000000002,0.009642,0.015478,"4,185","82,444",GEERT,-0.044154881739022996
482041,2017-12-25,0.016891999999999997,0.018014,0.008368,0.016205,"4,581","85,999",GEERT,-0.0406701397111059
482042,2017-12-24,0.027144,0.027705,0.014776,0.015931,"17,286","138,193",GEERT,-0.41309313292071903
482043,2017-12-23,0.003941,0.036247,0.003915,0.027208,"190,432","20,062",GEERT,5.90383151484395
482044,2017-12-22,0.0035979999999999996,0.004571,0.002825,0.0039030000000000002,"1,072","18,321",GEERT,0.0847693162868259
482045,2017-12-21,0.004241,0.004675,0.003078,0.0035859999999999998,478,"21,590",GEERT,-0.15444470643716102
482046,2017-12-20,0.003001,0.004248,0.002727,0.004229999999999999,721,"15,279",GEERT,0.40953015661446207
482047,2017-12-19,0.004534000000000001,0.00455,0.002477,0.0030039999999999997,84,"23,084",GEERT,-0.337450374944861
482048,2017-12-18,0.004786,0.006302,0.0044340000000000004,0.0045320000000000004,58,"24,368",GEERT,-0.053071458420393
482049,2017-12-17,0.004693999999999999,0.005111999999999999,0.0038810000000000003,0.004775,190,"23,898",GEERT,0.0172560715807413
482050,2017-12-16,0.004231,0.004771,0.004177,0.004644,113,"21,539",GEERT,0.0976128574805009
482051,2017-12-15,0.003949,0.004351,0.003512,0.004225,486,"20,108",GEERT,0.0698911116738413
482052,2017-12-14,0.003283,0.003958,0.003213,0.003944,321,"16,713",GEERT,0.201340237587572
482053,2017-12-13,0.002579,0.00375,0.002461,0.003293,216,"13,131",GEERT,0.276851492826677
482054,2017-12-12,0.004117,0.004446,0.002574,0.002577,142,"20,958",GEERT,-0.37405878066553294
482055,2017-12-11,0.0018809999999999999,0.0042049999999999995,0.001875,0.0040939999999999995,76,"9,577",GEERT,1.17650186071239
482056,2017-12-10,0.003157,0.003157,0.001825,0.0019309999999999998,0,"16,072",GEERT,-0.38834336395311997
482057,2017-12-09,0.00586,0.005947,0.002844,0.003145,285,"29,833",GEERT,-0.46331058020477794
482058,2017-12-08,0.003978,0.005866,0.002479,0.005866,342,"20,253",GEERT,0.47461035696329795
482059,2017-12-07,0.002889,0.004065999999999999,0.002852,0.0039689999999999994,19,"14,706",GEERT,0.37383177570093495
482060,2017-12-06,0.002459,0.003081,0.002459,0.002893,200,"12,521",GEERT,0.1764945099634
482061,2017-12-05,0.001831,0.002482,0.001816,0.0024649999999999997,18,"9,321",GEERT,0.346258874931731
482062,2017-12-04,0.002222,0.002291,0.00162,0.001827,38,"11,315",GEERT,-0.17776777677767802
482063,2017-12-03,0.002287,0.002352,0.002094,0.002215,92,"11,642",GEERT,-0.0314822912111937
482064,2017-12-02,0.002482,0.0025989999999999997,0.0020800000000000003,0.002283,95,"12,635",GEERT,-0.08017727639000799
482065,2017-12-01,0.001967,0.002762,0.0018100000000000002,0.002486,48,"10,014",GEERT,0.26385358413828197
482066,2017-11-30,0.0021149999999999997,0.0022670000000000004,0.0014810000000000001,0.001972,391,"10,769",GEERT,-0.0676122931442082
482067,2017-11-29,0.0026739999999999997,0.00268,0.001857,0.0020829999999999998,460,"13,615",GEERT,-0.221017202692595
482068,2017-11-28,0.00238,0.002686,0.002175,0.002677,164,"12,117",GEERT,0.124789915966387
