Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
460314,2018-01-10,0.350064,0.391036,0.297252,0.330915,"5,343","427,135",GP,-0.0547014260249554
460315,2018-01-09,0.32918800000000004,0.40415700000000004,0.297056,0.349588,"8,870","401,663",GP,0.0619706672175171
460316,2018-01-08,0.29268099999999997,0.35470300000000005,0.287302,0.32914699999999997,"4,639","357,118",GP,0.12459298690383
460317,2018-01-07,0.271865,0.368051,0.268637,0.293091,"4,420","331,719",GP,0.0780755154212567
460318,2018-01-06,0.260471,0.331675,0.232756,0.272065,"2,342","317,817",GP,0.0445116730845276
460319,2018-01-05,0.226077,0.26238,0.194393,0.260289,"1,488","275,850",GP,0.15132897198742
460320,2018-01-04,0.23418699999999998,0.234578,0.196116,0.226333,"2,313","285,746",GP,-0.0335373013873528
460321,2018-01-03,0.178384,0.240749,0.178249,0.22851,"9,273","217,657",GP,0.28100053816485804
460322,2018-01-02,0.150186,0.18149200000000001,0.13982,0.17901199999999998,422,"183,251",GP,0.19193533351976896
460323,2018-01-01,0.145949,0.150187,0.124556,0.150187,409,"178,081",GP,0.0290375405107263
460324,2017-12-31,0.161408,0.168139,0.12951700000000002,0.145526,729,"196,943",GP,-0.0983966098334656
460325,2017-12-30,0.11089,0.164877,0.103316,0.163077,"1,061","135,304",GP,0.470619532870412
460326,2017-12-29,0.127277,0.221032,0.104949,0.11117,"2,096","155,298",GP,-0.126550751510485
460327,2017-12-28,0.143332,0.146816,0.122931,0.125974,355,"174,888",GP,-0.121103452125136
460328,2017-12-27,0.112195,0.197918,0.111625,0.143609,173,"136,896",GP,0.2799946521681
460329,2017-12-26,0.133357,0.164262,0.10263699999999999,0.11210899999999999,344,"162,717",GP,-0.15933171861994502
460330,2017-12-25,0.12365699999999999,0.215743,0.119073,0.133422,197,"150,881",GP,0.0789684368859022
460331,2017-12-24,0.12365,0.13300499999999998,0.094747,0.12265699999999999,336,"150,873",GP,-0.0080307319045693
460332,2017-12-23,0.131442,0.13535899999999998,0.101024,0.12258699999999999,"1,009","160,381",GP,-0.0673681167358987
460333,2017-12-22,0.155337,0.178954,0.10833,0.13021300000000002,579,"189,536",GP,-0.16173867140475198
460334,2017-12-21,0.163249,0.22305500000000003,0.15322,0.154872,73,"199,191",GP,-0.0513142500107198
460335,2017-12-20,0.18525899999999998,0.231915,0.15451099999999998,0.162827,284,"226,045",GP,-0.121084535704068
460336,2017-12-19,0.288689,0.289723,0.119821,0.185441,"1,906","352,247",GP,-0.357644385480569
460337,2017-12-18,0.143429,0.295887,0.11588599999999999,0.288444,"3,174","175,006",GP,1.01105773588326
460338,2017-12-17,0.142197,0.148016,0.11571300000000001,0.142996,"3,788","173,503",GP,0.00561896523836665
460339,2017-12-16,0.123707,0.143031,0.09125599999999999,0.142,"1,603","150,942",GP,0.14787360456562698
460340,2017-12-15,0.128671,0.13550399999999999,0.111576,0.123484,431,"156,999",GP,-0.0403121138407257
460341,2017-12-14,0.112863,0.13236900000000001,0.11056500000000001,0.128658,242,"137,711",GP,0.139948433056006
460342,2017-12-13,0.12140899999999999,0.12308499999999999,0.110401,0.113227,391,"148,138",GP,-0.0673920384814965
460343,2017-12-12,0.10521400000000002,0.124105,0.096859,0.121307,876,"128,378",GP,0.152954929952288
460344,2017-12-11,0.110451,0.12235599999999999,0.102108,0.104707,276,"134,768",GP,-0.0520049614761297
460345,2017-12-10,0.130048,0.130048,0.092397,0.111265,"1,335","158,680",GP,-0.144431286909449
460346,2017-12-09,0.12195399999999999,0.135392,0.082843,0.129524,"1,758","148,803",GP,0.0620725847450678
460347,2017-12-08,0.128606,0.242089,0.106573,0.122076,"2,090","156,920",GP,-0.0507752359920999
460348,2017-12-07,0.127469,0.184924,0.09983500000000001,0.128305,"9,622","155,533",GP,0.00655845735041464
460349,2017-12-06,0.115415,0.13133399999999998,0.10898800000000002,0.127689,"1,857","140,825",GP,0.10634666204566098
460350,2017-12-05,0.10975399999999999,0.11618699999999998,0.096684,0.115672,84,"133,918",GP,0.0539205860378664
460351,2017-12-04,0.097812,0.12259600000000001,0.096801,0.10953900000000001,416,"119,346",GP,0.11989326463010698
460352,2017-12-03,0.117336,0.11898900000000001,0.092125,0.097488,368,"143,168",GP,-0.169155246471671
460353,2017-12-02,0.108768,0.11857100000000001,0.09940299999999999,0.117224,19,"132,715",GP,0.0777434539570461
460354,2017-12-01,0.11195899999999999,0.11733800000000001,0.094192,0.10886099999999999,250,"136,608",GP,-0.0276708437910307
460355,2017-11-30,0.098319,0.11356,0.077316,0.112516,592,"119,965",GP,0.144397318931234
460356,2017-11-29,0.08854,0.11833099999999999,0.08854,0.096954,79,"108,034",GP,0.0950304946916648
460357,2017-11-28,0.11283499999999999,0.12170299999999999,0.088474,0.088629,777,"137,676",GP,-0.21452563477644399
460358,2017-11-27,0.11224400000000001,0.117395,0.10847799999999999,0.112544,409,"136,955",GP,0.00267274865471659
460359,2017-11-26,0.097334,0.114656,0.097225,0.11221199999999999,761,"118,763",GP,0.152855117430703
460360,2017-11-25,0.077193,0.097366,0.076788,0.097366,678,"94,189",GP,0.26133198606091196
460361,2017-11-24,0.079426,0.092366,0.073137,0.07736599999999999,165,"96,912",GP,-0.0259360914561981
460362,2017-11-23,0.076698,0.080222,0.075665,0.079654,190,"93,584",GP,0.0385407702938799
460363,2017-11-22,0.074998,0.091446,0.074425,0.076749,405,"91,510",GP,0.023347289261047
460364,2017-11-21,0.075239,0.077577,0.071177,0.074816,307,"91,803",GP,-0.005622084291391521
460365,2017-11-20,0.07599199999999999,0.090987,0.075021,0.075225,240,"92,723",GP,-0.0100931677018634
460366,2017-11-19,0.07871399999999999,0.078749,0.071642,0.076028,345,"96,044",GP,-0.0341235358386057
460367,2017-11-18,0.068566,0.079467,0.06647,0.07886,66,"83,661",GP,0.15013271884024101
460368,2017-11-17,0.070529,0.086605,0.067876,0.06883,22,"86,056",GP,-0.024089381672787
460369,2017-11-16,0.067732,0.074327,0.06588200000000001,0.07064400000000001,102,"82,644",GP,0.0429929723026043
460370,2017-11-15,0.060157,0.07193,0.060157,0.067379,175,"73,401",GP,0.12005252921522001
460371,2017-11-14,0.07052699999999999,0.076179,0.059299,0.060115999999999996,73,"86,054",GP,-0.147617224609015
460372,2017-11-13,0.062053,0.070785,0.045036,0.070378,524,"75,715",GP,0.134159508806988
460373,2017-11-12,0.056587,0.06891,0.043438,0.061963,171,"69,046",GP,0.0950041528973086
460374,2017-11-11,0.064193,0.078885,0.046587,0.056628,325,"78,326",GP,-0.11784774040783301
460375,2017-11-10,0.082225,0.08779400000000001,0.056664,0.064425,60,"100,328",GP,-0.216479173000912
460376,2017-11-09,0.08819,0.08819,0.080724,0.081977,20,"107,606",GP,-0.0704501644177346
460377,2017-11-08,0.069883,0.088288,0.069467,0.088281,51,"85,268",GP,0.263268606098765
460378,2017-11-07,0.077453,0.08014500000000001,0.068884,0.070102,242,"94,506",GP,-0.09490917072289
460379,2017-11-06,0.064796,0.079542,0.055824,0.077578,891,"79,062",GP,0.19726526328785698
460380,2017-11-05,0.067203,0.06980399999999999,0.063938,0.064653,701,"81,998",GP,-0.037944734610062
460381,2017-11-04,0.076126,0.077564,0.064938,0.06733,85,"92,886",GP,-0.115545280193364
460382,2017-11-03,0.08229199999999999,0.082642,0.0657,0.076325,620,"100,409",GP,-0.0725100860350945
460383,2017-11-02,0.081206,0.084174,0.07874600000000001,0.082399,751,"99,084",GP,0.0146910326823141
460384,2017-11-01,0.083958,0.115685,0.07416,0.08111499999999999,379,"102,442",GP,-0.033862169179828
460385,2017-10-31,0.059770000000000004,0.087505,0.059735,0.084621,173,"72,929",GP,0.4157771457252801
460386,2017-10-30,0.091126,0.09852000000000001,0.059494000000000005,0.059976,77,"111,189",GP,-0.341834383161776
460387,2017-10-29,0.094019,0.099712,0.086126,0.091978,"1,078","114,718",GP,-0.0217083780937896
460388,2017-10-28,0.105183,0.10663299999999999,0.07861599999999999,0.094148,905,"128,341",GP,-0.10491239078558301
460389,2017-10-27,0.092177,0.10962999999999999,0.062484000000000005,0.104904,"1,030","112,471",GP,0.138071319309589
460390,2017-10-26,0.090209,0.09836900000000001,0.086747,0.092162,316,"110,069",GP,0.0216497245285947
460391,2017-10-25,0.10467,0.10488900000000001,0.073165,0.09021900000000001,372,"127,715",GP,-0.138062482086558
460392,2017-10-24,0.074808,0.117278,0.070465,0.104627,819,"91,278",GP,0.39860710084482903
460393,2017-10-23,0.090389,0.09171499999999999,0.074804,0.074973,781,"110,289",GP,-0.17055172642688798
460394,2017-10-22,0.090552,0.091351,0.08688,0.090536,99,"110,488",GP,-0.000176694054244945
460395,2017-10-21,0.096195,0.100695,0.08881599999999999,0.09052400000000001,245,"117,373",GP,-0.0589531680440772
460396,2017-10-20,0.090892,0.09944,0.089523,0.096398,3,"110,903",GP,0.0605773885490472
460397,2017-10-19,0.088659,0.09145700000000001,0.07180700000000001,0.090869,530,"108,179",GP,0.024926967369358996
460398,2017-10-18,0.089358,0.094354,0.082986,0.088614,"1,321","109,031",GP,-0.0083260592224536
460399,2017-10-17,0.106271,0.106575,0.08719500000000001,0.089351,194,"129,668",GP,-0.159215590330382
460400,2017-10-16,0.095319,0.10680999999999999,0.074254,0.106255,"1,275","116,304",GP,0.11473053640932002
460401,2017-10-15,0.09788999999999999,0.098205,0.091218,0.09530599999999999,414,"119,441",GP,-0.026396976197773
460402,2017-10-14,0.11156700000000001,0.11348299999999999,0.09474099999999999,0.097716,169,"136,130",GP,-0.124149614133211
460403,2017-10-13,0.10555,0.115003,0.09919,0.11153699999999998,114,"128,788",GP,0.0567219327333017
460404,2017-10-12,0.096247,0.105244,0.083722,0.105244,57,"117,437",GP,0.0934782382827517
460405,2017-10-11,0.088172,0.09719,0.078019,0.096166,365,"107,584",GP,0.0906637027627819
460406,2017-10-10,0.0775,0.094806,0.0775,0.088187,406,"94,563",GP,0.137896774193548
460407,2017-10-09,0.078194,0.09261799999999999,0.075943,0.07750599999999999,"1,678","95,410",GP,-0.008798629050822241
460408,2017-10-08,0.072035,0.082916,0.072035,0.07817400000000001,829,"87,895",GP,0.0852224613035329
460409,2017-10-07,0.061234000000000004,0.072397,0.061078999999999994,0.07222200000000001,49,"74,715",GP,0.17944279321945297
460410,2017-10-06,0.067219,0.07758,0.060729,0.061214,278,"82,018",GP,-0.0893348606792723
460411,2017-10-05,0.053961,0.08028300000000001,0.053934,0.067219,966,"65,842",GP,0.24569596560478896
460412,2017-10-04,0.059095,0.059132000000000004,0.053857,0.053915,49,"72,105",GP,-0.0876554700059227
460413,2017-10-03,0.057555999999999996,0.059025,0.051585,0.058958,317,"70,228",GP,0.0243588852595733
460414,2017-10-02,0.055715999999999995,0.060339,0.054741,0.057553999999999994,178,"67,983",GP,0.032988728551942
460415,2017-10-01,0.052417,0.056973,0.049997,0.055741,251,"63,957",GP,0.0634145410839995
460416,2017-09-30,0.051547,0.058106,0.047625,0.052389,78,"62,896",GP,0.0163346072516343
460417,2017-09-29,0.053683,0.058779,0.048678,0.051541,206,"65,501",GP,-0.0399008997261704
460418,2017-09-28,0.052176,0.062264,0.052118,0.053721000000000005,43,"63,664",GP,0.0296113155473781
460419,2017-09-27,0.049456,0.061314,0.049456,0.052177,"1,257","60,345",GP,0.0550186023940473
460420,2017-09-26,0.033413,0.051289,0.033413,0.049594,"1,036","40,769",GP,0.48427258851345295
460421,2017-09-25,0.028473000000000002,0.036508,0.026739,0.033381,691,"34,742",GP,0.172373827836898
460422,2017-09-24,0.030447000000000002,0.033779,0.027219,0.028501,199,"37,150",GP,-0.0639143429566131
460423,2017-09-23,0.027860000000000003,0.033723,0.022828,0.03045,163,"33,993",GP,0.0929648241206031
460424,2017-09-22,0.037594,0.040527,0.027704000000000003,0.027939,99,"45,870",GP,-0.256822897270841
460425,2017-09-21,0.026116000000000004,0.042577,0.020308,0.037637000000000004,894,"31,866",GP,0.4411471894623979
460426,2017-09-20,0.02449,0.028031999999999998,0.024062,0.026242,82,"29,881",GP,0.0715394038383013
460427,2017-09-19,0.028682999999999997,0.030137,0.022944,0.024597,669,"34,998",GP,-0.14245371823031103
460428,2017-09-18,0.026105,0.029599,0.026105,0.028613999999999997,87,"31,852",GP,0.09611185596628999
460429,2017-09-17,0.025222,0.027217,0.024429,0.026157,45,"30,775",GP,0.0370708111965743
460430,2017-09-16,0.027145,0.02847,0.021376,0.025232,26,"33,121",GP,-0.0704733836802357
460431,2017-09-15,0.021737,0.027387,0.018779,0.027217,50,"26,522",GP,0.252104706261214
460432,2017-09-14,0.025274,0.025578,0.021263,0.02157,96,"30,838",GP,-0.14655377067341901
460433,2017-09-13,0.025767,0.027037000000000002,0.02416,0.025274,248,"31,440",GP,-0.0191329995730974
460434,2017-09-12,0.019181,0.031304000000000005,0.019181,0.025865,372,"23,404",GP,0.34846983994578
460435,2017-09-11,0.032983,0.034472,0.019103,0.019163,59,"40,245",GP,-0.41900372919382706
460436,2017-09-10,0.033727,0.033727,0.024368,0.033039,432,"41,152",GP,-0.0203990867850684
460437,2017-09-09,0.037779,0.037877999999999995,0.0252,0.033814,576,"46,097",GP,-0.104952486831308
460438,2017-09-08,0.040004000000000005,0.040462,0.033339,0.037706,106,"48,812",GP,-0.0574442555744424
460439,2017-09-07,0.037889,0.044161,0.036034,0.039996,44,"46,231",GP,0.0556098075958721
460440,2017-09-06,0.035377,0.050672,0.035377,0.037955,164,"43,166",GP,0.0728722051050118
460441,2017-09-05,0.034857,0.035993,0.032798,0.035336,5,"42,531",GP,0.0137418595977852
460442,2017-09-04,0.041755,0.041755,0.034679,0.034679,24,"50,948",GP,-0.169464734762304
460443,2017-09-03,0.040677,0.042875,0.040677,0.041727999999999994,38,"49,632",GP,0.0258376969786367
460444,2017-09-02,0.040474,0.045337,0.032973,0.040583,349,"49,386",GP,0.00269308691999797
460445,2017-09-01,0.035966000000000005,0.043881,0.035966000000000005,0.040426,187,"43,884",GP,0.12400600567202401
460446,2017-08-31,0.04369,0.047281000000000004,0.035459,0.035970999999999996,384,"53,309",GP,-0.17667658503089897
460447,2017-08-30,0.042957999999999996,0.043858,0.039915,0.043766,814,"52,415",GP,0.0188090693235252
460448,2017-08-29,0.04198,0.044298000000000004,0.037579,0.043015,537,"51,222",GP,0.0246545974273462
460449,2017-08-28,0.044851,0.045439999999999994,0.040667,0.041908,61,"54,726",GP,-0.0656172660587278
460450,2017-08-27,0.037688,0.047902999999999994,0.037688,0.044898,57,"45,986",GP,0.191307578008915
460451,2017-08-26,0.044195,0.05204400000000001,0.036386,0.037697,289,"53,926",GP,-0.147030207036995
460452,2017-08-25,0.054246,0.057449,0.039904,0.044182,376,"66,189",GP,-0.185525200014748
460453,2017-08-24,0.059838999999999996,0.060133000000000006,0.046038,0.054331,366,"73,013",GP,-0.0920469927639166
460454,2017-08-23,0.044039,0.07977000000000001,0.041696,0.059813,962,"53,735",GP,0.35818252003905604
460455,2017-08-22,0.053841999999999994,0.08434,0.03659,0.044129,"3,679","65,696",GP,-0.180398202147023
460456,2017-08-21,0.035351,0.053716999999999994,0.031208,0.053716999999999994,372,"43,134",GP,0.519532686486945
460457,2017-08-20,0.039711,0.039711,0.031519,0.035486000000000004,238,"48,454",GP,-0.10639369444234599
460458,2017-08-19,0.038551,0.043245,0.038471,0.039896,39,"47,038",GP,0.0348888485382999
460459,2017-08-18,0.045909,0.046792,0.034443,0.038584,69,"56,017",GP,-0.15955477139558702
460460,2017-08-17,0.047439999999999996,0.047914,0.045097000000000005,0.04605,228,"57,885",GP,-0.0293001686340641
460461,2017-08-16,0.042532,0.048093000000000004,0.027842000000000002,0.047484,488,"51,896",GP,0.116429982131101
460462,2017-08-15,0.052951,0.053441999999999996,0.040288,0.042488,402,"64,609",GP,-0.19759777907877102
460463,2017-08-14,0.047519,0.057701999999999996,0.04331,0.052809,253,"57,981",GP,0.111323891496033
460464,2017-08-13,0.049511,0.056136,0.040466,0.047488999999999996,277,"60,412",GP,-0.0408394094241683
460465,2017-08-12,0.059922,0.060325,0.038431,0.049557,179,"73,114",GP,-0.17297486732752598
460466,2017-08-11,0.043485,0.060003999999999995,0.038120999999999995,0.059967999999999994,422,"53,059",GP,0.37905024721168196
460467,2017-08-10,0.046668,0.06512000000000001,0.042825999999999996,0.043488,541,"56,943",GP,-0.0681409102597069
460468,2017-08-09,0.047954000000000004,0.06790299999999999,0.043185,0.046664,365,"58,512",GP,-0.0269007799140843
460469,2017-08-08,0.042766000000000005,0.055098,0.035432,0.047987,619,"52,181",GP,0.12208296310152901
460470,2017-08-07,0.06425,0.067311,0.04247,0.042723000000000004,949,"78,395",GP,-0.33505058365758805
460471,2017-08-06,0.06427000000000001,0.068754,0.06230599999999999,0.06439299999999999,89,"78,420",GP,0.00191380115139275
460472,2017-08-05,0.062255,0.070089,0.061598,0.06425399999999999,23,"75,961",GP,0.0321098706931171
460473,2017-08-04,0.060519,0.062575,0.059566999999999995,0.062283000000000005,148,"73,843",GP,0.0291478709165716
460474,2017-08-03,0.053582000000000005,0.061285,0.053492,0.060533000000000003,196,"65,379",GP,0.129726400656937
460475,2017-08-02,0.057842,0.058328,0.052673000000000005,0.053480999999999994,602,"70,577",GP,-0.0753950416652259
460476,2017-08-01,0.061966999999999994,0.062966,0.057446000000000004,0.057853999999999996,262,"75,610",GP,-0.0663740377943099
460477,2017-07-31,0.059241999999999996,0.062849,0.058725,0.061937,192,"72,284",GP,0.0454913743627831
460478,2017-07-30,0.058771000000000004,0.059241999999999996,0.0559,0.059181,533,"71,709",GP,0.00697622977318747
460479,2017-07-29,0.06347699999999999,0.072052,0.058026,0.058779,304,"77,453",GP,-0.0740110591237772
460480,2017-07-28,0.059207,0.07281699999999999,0.05839,0.06371900000000001,261,"72,242",GP,0.0762072052291113
460481,2017-07-27,0.057916999999999996,0.063724,0.05736599999999999,0.059028,6,"70,668",GP,0.0191826234093616
460482,2017-07-26,0.067858,0.06906699999999999,0.056302,0.057753,156,"82,797",GP,-0.148913908455893
460483,2017-07-25,0.07425599999999999,0.07509400000000001,0.05633099999999999,0.067827,393,"90,604",GP,-0.0865788623141565
460484,2017-07-24,0.079657,0.079657,0.060875,0.074264,304,"97,195",GP,-0.0677027756506021
460485,2017-07-23,0.07549299999999999,0.0819,0.062064999999999995,0.07975,268,"92,113",GP,0.0563893341104473
460486,2017-07-22,0.073877,0.08229500000000001,0.060019,0.07549299999999999,509,"90,142",GP,0.0218741962992543
460487,2017-07-21,0.085386,0.08566900000000001,0.056867999999999995,0.073892,"1,045","104,185",GP,-0.13461223151336302
460488,2017-07-20,0.067777,0.087369,0.062716,0.084757,685,"82,699",GP,0.25052746506927104
460489,2017-07-19,0.06806799999999999,0.072184,0.060312,0.067968,225,"83,054",GP,-0.00146911911617798
460490,2017-07-18,0.047473,0.071437,0.047231999999999996,0.06796,505,"57,924",GP,0.43155056558464794
460491,2017-07-17,0.040262,0.054515999999999995,0.037148,0.047348,490,"49,126",GP,0.17599721822065498
460492,2017-07-16,0.046844,0.056613,0.039227,0.040308,385,"57,157",GP,-0.139526940483306
460493,2017-07-15,0.060636,0.060747,0.037857,0.046985,631,"73,986",GP,-0.22513028563889398
460494,2017-07-14,0.062615,0.062925,0.048586000000000004,0.060739999999999995,436,"76,400",GP,-0.0299449013814581
460495,2017-07-13,0.055304,0.06552000000000001,0.055058,0.06266000000000001,138,"67,480",GP,0.13301027050484598
460496,2017-07-12,0.050868000000000003,0.06526699999999999,0.048241,0.055263,550,"62,068",GP,0.0864000943618779
460497,2017-07-11,0.061689999999999995,0.065987,0.051122,0.051122,199,"75,272",GP,-0.17130815367158403
460498,2017-07-10,0.061827,0.070829,0.057624,0.061822,43,"75,439",GP,-8.08708169569615e-05
460499,2017-07-09,0.060247,0.07166499999999999,0.05205,0.061707000000000005,"1,464","73,511",GP,0.024233571796106003
460500,2017-07-08,0.049466,0.070797,0.048524,0.060192999999999997,536,"60,357",GP,0.21685602231836
460501,2017-07-07,0.071039,0.077636,0.047984,0.049425,83,"86,679",GP,-0.30425540900069004
460502,2017-07-06,0.07230299999999999,0.072351,0.051108,0.070987,566,"88,221",GP,-0.0182011811404784
460503,2017-07-05,0.072377,0.076652,0.051213,0.072267,377,"88,312",GP,-0.0015198198322671401
460504,2017-07-04,0.06714099999999999,0.07821900000000001,0.056487,0.072416,"1,042","81,923",GP,0.0785660028894414
460505,2017-07-03,0.047517000000000004,0.149903,0.037319,0.067294,"1,859","57,978",GP,0.416208935749311
460506,2017-07-02,0.052305,0.066988,0.042854,0.047064999999999996,752,"63,821",GP,-0.10018162699550699
460507,2017-07-01,0.053110000000000004,0.06838999999999999,0.04658,0.053928,318,"64,803",GP,0.0154019958576539
460508,2017-06-30,0.055804,0.060438,0.041277,0.05200900000000001,473,"68,090",GP,-0.0680058777148592
460509,2017-06-29,0.112265,0.11316199999999998,0.037533,0.05569299999999999,"1,333","136,981",GP,-0.5039148443415129
