Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
398887,2018-01-10,0.023788,0.023835,0.015721000000000002,0.023522,565,"1,034,010",GRT,-0.011182108626198001
398888,2018-01-09,0.015423,0.028860000000000004,0.015368000000000001,0.02376,823,"670,259",GRT,0.540556312001556
398889,2018-01-08,0.015675,0.028856,0.014108,0.015463999999999999,"4,049","681,062",GRT,-0.0134609250398725
398890,2018-01-07,0.017426,0.033826,0.012439,0.015688999999999998,390,"756,978",GRT,-0.0996786411109835
398891,2018-01-06,0.010295,0.073483,0.008145,0.017439,"9,100","447,093",GRT,0.6939290917921321
398892,2018-01-05,0.009198999999999999,0.011168,0.008905,0.01029,"1,035","399,415",GRT,0.11859984780954501
398893,2018-01-04,0.010416,0.010431000000000001,0.008615000000000001,0.009197,220,"452,175",GRT,-0.11703149001536099
398894,2018-01-03,0.009276000000000001,0.014193,0.009123000000000001,0.010368,815,"402,586",GRT,0.11772315653298801
398895,2018-01-02,0.008398000000000001,0.010608,0.008092,0.0093,"1,072","364,379",GRT,0.107406525363182
398896,2018-01-01,0.01172,0.01172,0.008289,0.008398000000000001,283,"508,412",GRT,-0.283447098976109
398897,2017-12-31,0.012028,0.012515,0.0077269999999999995,0.011683,557,"521,667",GRT,-0.0286830728300632
398898,2017-12-30,0.008440000000000001,0.012395999999999999,0.005889,0.012159,"8,393","365,969",GRT,0.44063981042654
398899,2017-12-29,0.007217,0.008544,0.006509,0.008459999999999999,521,"312,849",GRT,0.172232229458224
398900,2017-12-28,0.006045,0.007803,0.0048,0.007213,668,"262,012",GRT,0.19321753515301898
398901,2017-12-27,0.005389,0.007729000000000001,0.004882,0.006057,306,"233,492",GRT,0.12395620708851401
398902,2017-12-26,0.00585,0.007403,0.005118,0.005385,82,"253,436",GRT,-0.0794871794871795
398903,2017-12-25,0.005071,0.005927,0.004489,0.005856,214,"219,626",GRT,0.154801814237823
398904,2017-12-24,0.007761,0.007761,0.004076,0.005019,57,"336,043",GRT,-0.35330498647081604
398905,2017-12-23,0.004137,0.008015000000000001,0.004108,0.007679000000000001,135,"179,102",GRT,0.8561759729272421
398906,2017-12-22,0.005699,0.005815,0.004064,0.004098,37,"246,700",GRT,-0.280926478329531
398907,2017-12-21,0.004983,0.005872,0.004634,0.005696,106,"215,630",GRT,0.14308649407987198
398908,2017-12-20,0.005814,0.005814,0.0048130000000000004,0.004972,"1,819","251,559",GRT,-0.144822841417269
398909,2017-12-19,0.006114,0.0061340000000000006,0.005627,0.0058200000000000005,266,"264,455",GRT,-0.0480863591756624
398910,2017-12-18,0.006314,0.006324000000000001,0.005922,0.006109000000000001,97,"273,041",GRT,-0.0324675324675325
398911,2017-12-17,0.006425,0.006837,0.006212,0.006294,43,"277,820",GRT,-0.0203891050583658
398912,2017-12-16,0.010399,0.010494,0.005949,0.006423999999999999,639,"449,556",GRT,-0.382248293105106
398913,2017-12-15,0.00534,0.0057929999999999995,0.005339,0.005613,247,"230,787",GRT,0.0511235955056179
398914,2017-12-14,0.008515,0.009732,0.005315,0.005332,"1,024","367,939",GRT,-0.3738109219025251
398915,2017-12-13,0.005520000000000001,0.008625,0.005267,0.008543,566,"238,483",GRT,0.5476449275362321
398916,2017-12-12,0.005249,0.005683,0.005166,0.005516,16,"226,690",GRT,0.0508668317774814
398917,2017-12-11,0.005184,0.0067670000000000004,0.005151,0.0052369999999999995,347,"223,846",GRT,0.0102237654320988
398918,2017-12-10,0.005564,0.005564,0.004697,0.005222,27,"240,203",GRT,-0.0614665708123652
398919,2017-12-09,0.005529999999999999,0.005612,0.004605,0.005541,23,"238,656",GRT,0.00198915009041586
398920,2017-12-08,0.005727,0.0058130000000000005,0.0045060000000000005,0.005535,14,"247,147",GRT,-0.033525405971712996
398921,2017-12-07,0.004515,0.005714,0.004464,0.005714,248,"194,774",GRT,0.265559246954596
398922,2017-12-06,0.004446,0.004877,0.004304,0.004521,39,"191,783",GRT,0.0168690958164641
398923,2017-12-05,0.003848,0.005676,0.0038200000000000005,0.004456,131,"165,944",GRT,0.15800415800415804
398924,2017-12-04,0.004497,0.004636,0.003593,0.003841,924,"193,880",GRT,-0.14587502779630898
398925,2017-12-03,0.004919,0.006139,0.004235,0.004482,419,"212,047",GRT,-0.0888391949583248
398926,2017-12-02,0.004463,0.005398,0.004398,0.004915,46,"192,319",GRT,0.101277167824333
398927,2017-12-01,0.004097,0.004492,0.003879,0.0044659999999999995,24,"176,533",GRT,0.0900659018794241
398928,2017-11-30,0.003914,0.004353,0.00351,0.004118,49,"168,586",GRT,0.05212059274399599
398929,2017-11-29,0.0039700000000000004,0.005633,0.0037719999999999997,0.0038840000000000003,371,"170,983",GRT,-0.0216624685138538
398930,2017-11-28,0.003824,0.00399,0.003812,0.003974,24,"164,634",GRT,0.0392259414225941
398931,2017-11-27,0.003622,0.003821,0.003622,0.003817,477,"155,933",GRT,0.0538376587520708
398932,2017-11-26,0.0034990000000000004,0.0036659999999999996,0.0034950000000000003,0.003622,377,"150,571",GRT,0.0351529008288082
398933,2017-11-25,0.0034479999999999997,0.0035,0.0032649999999999997,0.0035,83,"148,363",GRT,0.0150812064965197
398934,2017-11-24,0.003215,0.003474,0.003154,0.0034549999999999997,28,"138,291",GRT,0.0746500777604977
398935,2017-11-23,0.00329,0.0033060000000000003,0.0032189999999999996,0.0032189999999999996,24,"141,497",GRT,-0.021580547112462
398936,2017-11-22,0.003246,0.0036060000000000003,0.003232,0.0032909999999999997,32,"139,555",GRT,0.0138632162661737
398937,2017-11-21,0.003214,0.0033420000000000004,0.003041,0.0032380000000000004,5,"138,176",GRT,0.00746733042937155
398938,2017-11-20,0.0031969999999999998,0.0032310000000000004,0.0031969999999999998,0.003214,26,"137,442",GRT,0.00531748514232082
398939,2017-11-19,0.0031149999999999997,0.0032450000000000005,0.0030789999999999997,0.003232,3,"133,845",GRT,0.0375601926163724
398940,2017-11-18,0.003228,0.0032770000000000004,0.003095,0.003121,35,"138,700",GRT,-0.0331474597273853
398941,2017-11-17,0.003379,0.003423,0.0031969999999999998,0.0032409999999999995,7,"145,144",GRT,-0.0408404853506955
398942,2017-11-16,0.003242,0.003421,0.003193,0.003382,305,"139,229",GRT,0.0431832202344232
398943,2017-11-15,0.0038350000000000003,0.00418,0.002993,0.0032310000000000004,21,"164,635",GRT,-0.15749674054758803
398944,2017-11-14,0.0026780000000000003,0.0038469999999999997,0.002635,0.003832,128,"114,932",GRT,0.43091859596714005
398945,2017-11-13,0.002407,0.002758,0.002388,0.002672,5,"103,294",GRT,0.11009555463232198
398946,2017-11-12,0.0025440000000000003,0.0025859999999999998,0.002215,0.002404,7,"109,168",GRT,-0.0550314465408805
398947,2017-11-11,0.003002,0.0036479999999999998,0.0025,0.002546,9,"128,787",GRT,-0.151898734177215
398948,2017-11-10,0.003072,0.003561,0.0029460000000000003,0.003008,12,"131,732",GRT,-0.0208333333333334
398949,2017-11-09,0.0032920000000000002,0.0032920000000000002,0.002999,0.0030629999999999998,153,"141,135",GRT,-0.0695625759416767
398950,2017-11-08,0.0031309999999999997,0.0033880000000000004,0.003112,0.0032939999999999996,66,"134,217",GRT,0.0520600447141488
398951,2017-11-07,0.0031320000000000002,0.003187,0.0030859999999999998,0.003141,4,"134,233",GRT,0.00287356321839091
398952,2017-11-06,0.0032530000000000002,0.0039829999999999996,0.003094,0.003135,61,"139,378",GRT,-0.036274208422993996
398953,2017-11-05,0.0031969999999999998,0.003327,0.002853,0.003246,233,"136,947",GRT,0.0153268689396309
398954,2017-11-04,0.003082,0.003082,0.003036,0.003036,151,"131,980",GRT,-0.0149253731343284
398955,2017-11-03,0.0032,0.003211,0.002986,0.00309,154,"137,012",GRT,-0.0343750000000001
398956,2017-11-02,0.002961,0.0032170000000000002,0.002961,0.003094,16,"126,734",GRT,0.0449172576832151
398957,2017-11-01,0.00293,0.003084,0.002898,0.002959,0,"125,380",GRT,0.00989761092150169
398958,2017-10-31,0.003432,0.003592,0.002868,0.002932,3,"146,828",GRT,-0.145687645687646
398959,2017-10-30,0.004002,0.0040409999999999995,0.0034159999999999998,0.003443,612,"171,197",GRT,-0.13968015992004001
398960,2017-10-29,0.0026969999999999997,0.004044,0.002456,0.004025,0,"115,331",GRT,0.492398961809418
398961,2017-10-28,0.0032,0.0032,0.002699,0.002699,1,"136,821",GRT,-0.1565625
398962,2017-10-27,0.0032,0.0032,0.0032,0.0032,1,"136,821",GRT,0.0
398963,2017-10-25,0.002152,0.002157,0.002144,0.0021449999999999998,253,"91,931",GRT,-0.00325278810408905
398964,2017-10-24,0.0022440000000000003,0.002264,0.002139,0.002151,254,"95,838",GRT,-0.0414438502673796
398965,2017-10-23,0.003135,0.003159,0.003052,0.003104,1,"133,849",GRT,-0.00988835725677838
398966,2017-10-22,0.003187,0.003215,0.003046,0.003137,1,"136,054",GRT,-0.0156887354879197
398967,2017-10-21,0.003222,0.003282,0.003128,0.003186,32,"137,513",GRT,-0.0111731843575419
398968,2017-10-20,0.0037649999999999997,0.004033,0.0037090000000000005,0.003939,0,"160,643",GRT,0.046215139442231
398969,2017-10-19,0.002764,0.003788,0.002416,0.003764,88,"117,906",GRT,0.361794500723589
398970,2017-10-18,0.002688,0.002774,0.002612,0.002763,1,"114,650",GRT,0.0279017857142857
398971,2017-10-17,0.002774,0.002782,0.002659,0.002688,20,"118,262",GRT,-0.0310021629416006
398972,2017-10-16,0.002561,0.002788,0.002517,0.002774,36,"109,169",GRT,0.0831706364701289
398973,2017-10-15,0.002926,0.002935,0.002475,0.002561,38,"124,668",GRT,-0.12474367737525599
398974,2017-10-14,0.002545,0.002924,0.002517,0.00292,45,"108,427",GRT,0.14734774066797598
398975,2017-10-13,0.0031,0.0031,0.0024850000000000002,0.0025440000000000003,61,"132,039",GRT,-0.179354838709677
398976,2017-10-12,0.0031,0.0031,0.0031,0.0031,0,"132,010",GRT,0.0
398977,2017-10-11,0.002127,0.002132,0.0019850000000000002,0.002025,21,"90,552",GRT,-0.0479548660084627
398978,2017-10-10,0.0026320000000000002,0.002702,0.002096,0.002127,24,"112,046",GRT,-0.19186930091185397
398979,2017-10-09,0.002624,0.0034579999999999997,0.002598,0.002633,19,"111,647",GRT,0.00342987804878045
398980,2017-10-08,0.0031550000000000003,0.003275,0.001819,0.002623,451,"134,229",GRT,-0.168621236133122
398981,2017-10-07,0.002781,0.003171,0.002779,0.003163,152,"118,284",GRT,0.137360661632506
398982,2017-10-06,0.001731,0.002783,0.0017280000000000002,0.002781,0,"73,625",GRT,0.606585788561525
398983,2017-10-05,0.002769,0.003055,0.001727,0.001731,444,"117,729",GRT,-0.374864572047671
398984,2017-10-04,0.0028510000000000002,0.003193,0.0016920000000000001,0.0027670000000000004,41,"121,187",GRT,-0.0294633461943177
398985,2017-10-03,0.002554,0.0029219999999999997,0.00255,0.002844,0,"108,524",GRT,0.11354737666405698
398986,2017-10-02,0.003295,0.0033490000000000004,0.001802,0.002554,296,"140,017",GRT,-0.224886191198786
