Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
584607,2018-01-10,0.484558,0.513495,0.43347299999999994,0.470325,"78,899",-,GRX,-0.0293731606949013
584608,2018-01-09,0.577155,0.589731,0.471466,0.48403599999999997,"87,363",-,GRX,-0.161341407420883
584609,2018-01-08,0.667289,0.667289,0.520628,0.577808,"128,287",-,GRX,-0.134096321084268
584610,2018-01-07,0.634104,0.702521,0.517323,0.636019,"177,700",-,GRX,0.00302000933600797
584611,2018-01-06,0.603155,0.799607,0.543858,0.63453,"207,722",-,GRX,0.0520181379579048
584612,2018-01-05,0.736759,0.779976,0.474243,0.6023649999999999,"272,430",-,GRX,-0.182412430659144
584613,2018-01-04,0.8279989999999999,0.876633,0.697037,0.737324,"306,135",-,GRX,-0.109511001824881
584614,2018-01-03,1.12,1.12,0.784366,0.8497319999999999,"615,481",-,GRX,-0.241310714285714
584615,2018-01-02,1.59,1.68,0.958498,1.11,"554,209",-,GRX,-0.30188679245283
584616,2018-01-01,1.69,1.9,1.46,1.58,"406,306",-,GRX,-0.0650887573964496
584617,2017-12-31,1.56,1.76,1.43,1.75,"322,620",-,GRX,0.12179487179487199
584618,2017-12-30,1.93,1.96,1.45,1.57,"398,269",-,GRX,-0.18652849740932603
584619,2017-12-29,1.83,1.97,1.7,1.94,"468,910",-,GRX,0.0601092896174863
584620,2017-12-28,2.09,2.1,1.67,1.77,"479,595",-,GRX,-0.15311004784689003
584621,2017-12-27,1.82,2.09,1.76,2.09,"438,415",-,GRX,0.148351648351648
584622,2017-12-26,1.54,1.85,1.52,1.84,"332,469",-,GRX,0.194805194805195
584623,2017-12-25,1.72,1.78,1.52,1.55,"324,139",-,GRX,-0.0988372093023255
584624,2017-12-24,1.78,1.81,1.54,1.71,"231,232",-,GRX,-0.0393258426966292
584625,2017-12-23,1.61,1.88,1.59,1.76,"267,848",-,GRX,0.09316770186335399
584626,2017-12-22,1.89,1.9,1.29,1.6,"330,602",-,GRX,-0.15343915343915301
584627,2017-12-21,2.15,2.15,1.73,1.89,"577,988",-,GRX,-0.12093023255813999
584628,2017-12-20,2.36,2.36,2.05,2.13,"598,330",-,GRX,-0.0974576271186441
584629,2017-12-19,2.32,2.65,2.22,2.36,"913,280",-,GRX,0.0172413793103448
584630,2017-12-18,2.38,2.46,2.13,2.3,"672,132",-,GRX,-0.0336134453781513
584631,2017-12-17,2.69,2.71,2.37,2.37,"763,907",-,GRX,-0.11895910780669099
584632,2017-12-16,3.32,3.41,2.21,2.72,"1,699,240",-,GRX,-0.180722891566265
584633,2017-12-15,1.93,3.67,1.92,3.18,"2,349,270",-,GRX,0.647668393782384
584634,2017-12-14,2.46,2.79,1.67,1.99,"1,885,700",-,GRX,-0.191056910569106
584635,2017-12-13,3.49,3.67,2.22,2.46,"1,547,670",-,GRX,-0.29512893982808003
584636,2017-12-12,3.89,4.15,3.02,3.49,"2,067,730",-,GRX,-0.102827763496144
584637,2017-12-11,5.04,5.21,3.75,3.82,"2,099,820",-,GRX,-0.242063492063492
584638,2017-12-10,5.1,5.33,4.64,5.03,"1,395,530",-,GRX,-0.0137254901960783
584639,2017-12-09,5.22,5.3,4.69,5.14,"931,533",-,GRX,-0.0153256704980843
584640,2017-12-08,4.29,5.41,4.04,5.22,"2,424,750",-,GRX,0.21678321678321696
584641,2017-12-07,5.48,5.87,3.69,4.19,"3,659,290",-,GRX,-0.235401459854015
584642,2017-12-06,6.25,6.58,5.43,5.51,"3,274,600",-,GRX,-0.1184
584643,2017-12-05,5.05,6.8,5.05,6.27,"5,284,130",-,GRX,0.241584158415842
584644,2017-12-04,4.24,5.1,4.2,5.04,"2,277,980",-,GRX,0.188679245283019
584645,2017-12-03,4.33,4.55,3.97,4.23,"1,045,640",-,GRX,-0.0230946882217089
584646,2017-12-02,4.54,4.67,4.1,4.25,"926,198",-,GRX,-0.0638766519823789
584647,2017-12-01,3.71,4.87,3.67,4.5,"2,501,080",-,GRX,0.21293800539083604
584648,2017-11-30,3.51,3.84,3.24,3.73,"775,275",-,GRX,0.0626780626780627
584649,2017-11-29,4.02,4.16,2.58,3.49,"1,704,210",-,GRX,-0.13184079601989998
584650,2017-11-28,5.09,5.22,3.71,4.02,"1,525,210",-,GRX,-0.21021611001964602
584651,2017-11-27,6.61,7.04,4.4,5.24,"2,309,110",-,GRX,-0.207261724659607
584652,2017-11-26,5.5,7.53,5.05,6.61,"1,863,720",-,GRX,0.201818181818182
584653,2017-11-25,5.07,5.6,4.3,5.5,"836,313",-,GRX,0.0848126232741617
584654,2017-11-24,4.24,5.28,3.7,5.07,"703,774",-,GRX,0.195754716981132
584655,2017-11-23,5.32,5.44,3.94,4.26,"887,847",-,GRX,-0.199248120300752
584656,2017-11-22,5.66,5.93,4.71,5.31,"1,063,310",-,GRX,-0.0618374558303888
584657,2017-11-21,5.86,7.08,5.26,5.65,"1,542,920",-,GRX,-0.0358361774744027
584658,2017-11-20,3.56,6.77,3.41,5.87,"1,587,330",-,GRX,0.6488764044943821
584659,2017-11-19,3.47,4.22,3.3,3.56,"607,770",-,GRX,0.0259365994236311
584660,2017-11-18,4.08,4.08,3.03,3.48,"900,801",-,GRX,-0.147058823529412
584661,2017-11-17,3.99,4.62,3.74,4.16,"1,445,690",-,GRX,0.0426065162907268
