Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
576786,2018-01-10,6.5,6.78,5.31,6.25,"607,218",-,HBC,-0.0384615384615385
576787,2018-01-09,5.16,6.8,5.07,6.49,"716,942",-,HBC,0.257751937984496
576788,2018-01-08,5.43,5.51,4.34,5.31,"459,474",-,HBC,-0.0220994475138122
576789,2018-01-07,6.14,6.14,4.41,5.42,"694,057",-,HBC,-0.11726384364820801
576790,2018-01-06,7.11,7.23,5.42,6.14,"729,909",-,HBC,-0.13642756680731402
576791,2018-01-05,8.33,8.37,6.6,7.18,"949,010",-,HBC,-0.138055222088836
576792,2018-01-04,9.01,9.85,7.51,8.33,"1,982,580",-,HBC,-0.0754716981132075
576793,2018-01-03,8.41,8.99,6.01,8.86,"1,591,800",-,HBC,0.0535077288941735
576794,2018-01-02,9.0,10.03,7.2,8.42,"1,448,590",-,HBC,-0.0644444444444445
576795,2018-01-01,11.05,11.09,8.43,9.0,"1,494,160",-,HBC,-0.18552036199094998
576796,2017-12-31,10.57,11.63,10.22,10.75,"2,403,170",-,HBC,0.0170293282876064
576797,2017-12-30,11.07,13.22,9.38,10.79,"4,656,270",-,HBC,-0.0252935862691961
576798,2017-12-29,6.31,11.13,6.11,11.13,"3,936,710",-,HBC,0.7638668779714741
576799,2017-12-28,6.12,6.63,5.9,6.48,"1,262,670",-,HBC,0.0588235294117648
