Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
213283,2018-01-10,0.060851,0.063012,0.050831,0.060694000000000005,"81,973","16,005,900",HGT,-0.0025800726364399
213284,2018-01-09,0.053123000000000004,0.074202,0.053123000000000004,0.060837,"73,781","13,973,300",HGT,0.145210172618263
213285,2018-01-08,0.055652999999999994,0.062314999999999995,0.041506,0.05386799999999999,"63,512","14,638,600",HGT,-0.0320737426553825
213286,2018-01-07,0.046944,0.055216999999999995,0.04056,0.055216999999999995,"125,170","12,348,000",HGT,0.176231254260395
213287,2018-01-06,0.056500999999999996,0.056824,0.042506,0.047948000000000005,"48,798","14,861,600",HGT,-0.151377851719439
213288,2018-01-05,0.042774,0.062387,0.042425,0.056235,"68,682","11,251,200",HGT,0.314700519006873
213289,2018-01-04,0.040855,0.0566,0.038426,0.044018,"49,742","10,746,300",HGT,0.0774201444131685
213290,2018-01-03,0.038821,0.041134,0.032757999999999995,0.040786,"48,766","10,211,300",HGT,0.0506169341335875
213291,2018-01-02,0.034355000000000004,0.040892000000000005,0.034105,0.038643000000000004,"67,652","9,036,500",HGT,0.12481443749090401
213292,2018-01-01,0.033109,0.034848000000000004,0.029385,0.034275,"101,918","8,708,860",HGT,0.035217010480533995
213293,2017-12-31,0.030701999999999997,0.033197000000000004,0.029155,0.033151,"59,946","8,075,620",HGT,0.0797667904371051
213294,2017-12-30,0.035983,0.035983,0.026708,0.030981,"34,457","9,464,880",HGT,-0.13901008809715698
213295,2017-12-29,0.038382,0.03985,0.031794,0.035993,"41,710","10,095,700",HGT,-0.0622427179407014
213296,2017-12-28,0.035460000000000005,0.044016,0.031037000000000002,0.037001,"102,634","9,327,340",HGT,0.0434574168076706
213297,2017-12-27,0.04117,0.04237,0.035048,0.035519999999999996,"47,529","10,829,100",HGT,-0.13723585134806898
213298,2017-12-26,0.04618,0.049351,0.038084,0.041077999999999996,"57,897","12,146,900",HGT,-0.1104807275877
213299,2017-12-25,0.038718999999999996,0.047639999999999995,0.033852999999999994,0.046,"51,955","10,184,500",HGT,0.188047211963119
213300,2017-12-24,0.039327999999999995,0.039327999999999995,0.029708999999999996,0.038572,"39,983","10,344,500",HGT,-0.0192229454841334
213301,2017-12-23,0.028041000000000003,0.051771000000000005,0.028041000000000003,0.03888,"93,839","7,375,760",HGT,0.386541136193431
213302,2017-12-22,0.030851999999999997,0.069107,0.025426,0.027802999999999998,"116,064","8,115,160",HGT,-0.0988266562945676
213303,2017-12-21,0.035470999999999996,0.037801,0.029833,0.031376,"44,835","9,330,020",HGT,-0.115446421019988
213304,2017-12-20,0.034736,0.036193,0.030775,0.035431,"78,143","9,136,740",HGT,0.0200080608014738
213305,2017-12-19,0.036939,0.040668,0.030163,0.034773,"84,405","9,716,170",HGT,-0.0586372127020223
213306,2017-12-18,0.031377999999999996,0.03874,0.025319,0.037025,"95,335","8,253,370",HGT,0.17996685575881197
213307,2017-12-17,0.028924000000000002,0.032451,0.023072,0.031419,"183,709","7,607,880",HGT,0.0862605448762275
213308,2017-12-16,0.023227,0.031917,0.021478,0.027882999999999998,"86,059","6,109,540",HGT,0.20045636543677597
213309,2017-12-15,0.030531,0.032204,0.02168,0.023184,"83,771","8,030,680",HGT,-0.240640660312469
213310,2017-12-14,0.031108999999999998,0.035026999999999996,0.025536,0.030438,"79,322","8,182,810",HGT,-0.0215693207753384
213311,2017-12-13,0.029441000000000002,0.038207,0.02307,0.031138,"145,051","7,744,130",HGT,0.0576407051390918
213312,2017-12-12,0.029956,0.033696,0.018527000000000002,0.029421,"70,635","7,879,410",HGT,-0.0178595273067165
213313,2017-12-11,0.0151,0.032503,0.013572999999999998,0.030149000000000002,"96,527","3,971,950",HGT,0.9966225165562909
213314,2017-12-10,0.022113999999999998,0.022113999999999998,0.014204,0.015105,"29,149","5,816,710",HGT,-0.316948539386814
213315,2017-12-09,0.020425,0.032579000000000004,0.016047,0.022043,"37,510","5,372,430",HGT,0.0792166462668299
213316,2017-12-08,0.013838999999999999,0.020531,0.011964,0.020425,"20,036","3,640,080",HGT,0.47590143796517104
213317,2017-12-07,0.012806999999999999,0.014068,0.012445999999999999,0.013818,"8,447","3,368,760",HGT,0.0789412040290466
213318,2017-12-06,0.014613,0.014643999999999999,0.012787999999999999,0.012851,"6,753","3,843,650",HGT,-0.120577567918976
213319,2017-12-05,0.008354,0.015123,0.00831,0.014639,"8,264","2,197,480",HGT,0.752334211156332
213320,2017-12-04,0.0076560000000000005,0.009778,0.006778,0.008348000000000001,"4,892","2,013,880",HGT,0.0903866248693835
213321,2017-12-03,0.005806,0.007529999999999999,0.005304,0.007522,"2,348","1,527,210",HGT,0.29555632104719204
213322,2017-12-02,0.005782,0.006672,0.005307,0.005804999999999999,"2,772","1,520,790",HGT,0.00397786233137331
213323,2017-12-01,0.0035590000000000005,0.006393,0.0033740000000000003,0.005783,"1,339","936,067",HGT,0.624894633323967
213324,2017-11-30,0.004814,0.00662,0.003423,0.003568,"7,598","1,266,220",HGT,-0.25882841711674304
213325,2017-11-29,0.00647,0.0066040000000000005,0.004676,0.004803,"5,941","1,701,840",HGT,-0.257650695517774
213326,2017-11-28,0.007245999999999999,0.00825,0.006423000000000001,0.00647,"2,126","1,905,880",HGT,-0.10709356886558098
213327,2017-11-27,0.007114,0.0076159999999999995,0.005869,0.007254000000000001,"5,196","1,871,190",HGT,0.0196795052010121
213328,2017-11-26,0.006795000000000001,0.007148000000000001,0.006383,0.007114,"4,564","1,787,360",HGT,0.0469462840323767
213329,2017-11-25,0.008304,0.008575,0.0067659999999999994,0.006795000000000001,"4,435","2,184,300",HGT,-0.181719653179191
213330,2017-11-24,0.009247,0.009761,0.007611,0.008312,"1,177","2,432,410",HGT,-0.10111387477019601
213331,2017-11-23,0.005519,0.010646,0.004887,0.009294,"3,589","1,451,580",HGT,0.68400072476898
213332,2017-11-22,0.004214,0.009141,0.00421,0.005501,"7,828","1,108,550",HGT,0.305410536307546
