Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
432702,2018-01-10,0.008397,0.009759,0.006567,0.006790000000000001,"16,259","898,890",ICOB,-0.191377873049899
432703,2018-01-09,0.007673,0.010704,0.006874,0.007547,"28,354","821,417",ICOB,-0.0164212172553109
432704,2018-01-08,0.00905,0.00971,0.006634,0.0076939999999999995,"20,497","968,834",ICOB,-0.14983425414364598
432705,2018-01-07,0.004622,0.009212,0.004214,0.009063,"48,389","494,774",ICOB,0.9608394634357421
432706,2018-01-06,0.004817,0.005031,0.003587,0.004625,"13,182","515,630",ICOB,-0.0398588332987337
432707,2018-01-05,0.003954999999999999,0.004825,0.0038929999999999998,0.004814,"11,733","423,171",ICOB,0.217193426042983
432708,2018-01-04,0.0036869999999999997,0.003952000000000001,0.0031829999999999996,0.003952000000000001,"5,483","393,391",ICOB,0.0718741524274477
432709,2018-01-03,0.0038659999999999996,0.004468,0.003204,0.003668,"3,344","412,534",ICOB,-0.0512157268494569
432710,2018-01-02,0.002979,0.004352,0.002875,0.003879,"4,997","317,854",ICOB,0.30211480362537796
432711,2018-01-01,0.0027489999999999997,0.003602,0.0027129999999999997,0.002979,"2,871","293,374",ICOB,0.0836667879228809
432712,2017-12-31,0.002168,0.0034549999999999997,0.002168,0.002745,"5,482","231,305",ICOB,0.266143911439115
432713,2017-12-30,0.002367,0.0027329999999999998,0.0019879999999999997,0.0021899999999999997,"2,129","252,518",ICOB,-0.0747782002534854
432714,2017-12-29,0.002641,0.0033159999999999995,0.002327,0.002327,"2,543","281,821",ICOB,-0.11889435819765198
432715,2017-12-28,0.002686,0.003163,0.0023769999999999998,0.002616,"2,369","286,604",ICOB,-0.0260610573343262
432716,2017-12-27,0.003333,0.0034409999999999996,0.002321,0.002691,"2,670","355,635",ICOB,-0.19261926192619297
432717,2017-12-26,0.003407,0.003735,0.002653,0.0033299999999999996,"2,475","363,499",ICOB,-0.0226005283240387
432718,2017-12-25,0.00364,0.0037630000000000003,0.002672,0.003409,"5,277","388,384",ICOB,-0.0634615384615384
432719,2017-12-24,0.004218,0.004251,0.00267,0.0036030000000000003,"10,948","450,032",ICOB,-0.14580369843527696
432720,2017-12-23,0.004209,0.0052829999999999995,0.003783,0.004173,"11,886","449,154",ICOB,-0.00855310049893097
432721,2017-12-22,0.0054789999999999995,0.005698,0.003457,0.00417,"29,386","584,597",ICOB,-0.238912210257346
432722,2017-12-21,0.008473,0.009767,0.0048590000000000005,0.0054600000000000004,"89,994","904,116",ICOB,-0.35560014162634296
432723,2017-12-20,0.013722999999999999,0.014037,0.007343000000000001,0.008451,"204,469","1,464,260",ICOB,-0.38417255702106
432724,2017-12-19,0.004067,0.021684000000000002,0.003999,0.013938999999999998,"1,086,820","433,942",ICOB,2.4273420211458103
432725,2017-12-18,0.000976,0.011145,0.000933,0.004065,647,"104,176",ICOB,3.1649590163934396
432726,2017-12-17,0.0011769999999999999,0.001186,0.000851,0.000973,205,"125,557",ICOB,-0.17332200509770598
432727,2017-12-16,0.001025,0.001169,0.000767,0.001169,286,"109,348",ICOB,0.14048780487804902
432728,2017-12-15,0.000995,0.001209,0.000987,0.001024,97,"106,206",ICOB,0.029145728643216
432729,2017-12-14,0.000986,0.0010279999999999998,0.000977,0.0009939999999999999,76,"105,164",ICOB,0.00811359026369188
432730,2017-12-13,0.001198,0.0014060000000000001,0.00098,0.0009880000000000002,128,"127,862",ICOB,-0.17529215358931602
432731,2017-12-12,0.000782,0.0012519999999999999,0.000665,0.001196,214,"83,418",ICOB,0.529411764705882
432732,2017-12-11,0.000915,0.002443,0.00074,0.000775,119,"97,662",ICOB,-0.153005464480874
432733,2017-12-10,0.0007509999999999999,0.0009390000000000001,0.000662,0.000924,23,"80,176",ICOB,0.23035952063914802
432734,2017-12-09,0.000553,0.000743,0.00045,0.000734,748,"58,990",ICOB,0.327305605786618
432735,2017-12-08,0.00078,0.000858,0.000552,0.000552,0,"83,236",ICOB,-0.29230769230769205
432736,2017-12-07,0.000713,0.0008869999999999999,0.0007099999999999999,0.000778,195,"76,128",ICOB,0.0911640953716691
432737,2017-12-06,0.000588,0.000715,0.000582,0.000713,38,"62,702",ICOB,0.212585034013605
432738,2017-12-05,0.00054,0.000629,0.000472,0.000591,45,"57,651",ICOB,0.0944444444444445
432739,2017-12-04,0.0005200000000000001,0.0005549999999999999,0.0005059999999999999,0.000539,2,"55,516",ICOB,0.0365384615384616
432740,2017-12-03,0.000278,0.000874,0.00027,0.000518,2,"29,680",ICOB,0.863309352517986
432741,2017-12-02,0.000544,0.0008230000000000001,0.000275,0.000275,4,"58,077",ICOB,-0.494485294117647
432742,2017-12-01,0.000553,0.000637,0.000468,0.000545,39,"59,056",ICOB,-0.0144665461121157
432743,2017-11-30,0.000583,0.00062,0.000488,0.000556,13,"62,252",ICOB,-0.0463121783876501
432744,2017-11-29,0.000524,0.000662,0.00044,0.000575,236,"55,920",ICOB,0.097328244274809
432745,2017-11-28,0.000674,0.000767,0.000519,0.000521,394,"71,916",ICOB,-0.22700296735904998
432746,2017-11-27,0.000557,0.000708,0.000557,0.000672,59,"59,424",ICOB,0.206463195691203
432747,2017-11-26,0.0005480000000000001,0.00057,0.00053,0.000557,23,"58,485",ICOB,0.0164233576642336
432748,2017-11-25,0.000478,0.0005809999999999999,0.000475,0.0005480000000000001,42,"50,982",ICOB,0.14644351464435099
432749,2017-11-24,0.000544,0.000546,0.00047699999999999994,0.000479,32,"57,998",ICOB,-0.11948529411764698
432750,2017-11-23,0.000576,0.000593,0.00047400000000000003,0.000544,404,"61,491",ICOB,-0.0555555555555556
432751,2017-11-22,0.000408,0.0005809999999999999,0.000408,0.0005769999999999999,751,"43,532",ICOB,0.41421568627451005
432752,2017-11-21,0.00042800000000000005,0.000488,0.000396,0.000407,106,"45,653",ICOB,-0.0490654205607476
432753,2017-11-20,0.000407,0.00046100000000000004,0.000405,0.00042800000000000005,8,"43,259",ICOB,0.0515970515970515
432754,2017-11-19,0.000517,0.000545,0.000396,0.000407,24,"54,969",ICOB,-0.21276595744680799
432755,2017-11-18,0.00045,0.000538,0.0004,0.000518,155,"47,886",ICOB,0.151111111111111
432756,2017-11-17,0.0004,0.000459,0.000394,0.000452,6,"42,572",ICOB,0.13
432757,2017-11-16,0.00041600000000000003,0.000452,0.00037200000000000004,0.00040199999999999996,5,"44,206",ICOB,-0.0336538461538461
432758,2017-11-15,0.000465,0.000504,0.00038700000000000003,0.000414,810,"49,470",ICOB,-0.109677419354839
432759,2017-11-14,0.00045700000000000005,0.000504,0.000404,0.000465,58,"48,615",ICOB,0.0175054704595187
432760,2017-11-13,0.00047000000000000004,0.000515,0.000381,0.00045599999999999997,8,"49,945",ICOB,-0.0297872340425531
432761,2017-11-12,0.00040899999999999997,0.00047000000000000004,0.00034500000000000004,0.000469,59,"43,539",ICOB,0.146699266503667
432762,2017-11-11,0.00044400000000000006,0.00046699999999999997,0.000401,0.00041,10,"47,219",ICOB,-0.0765765765765766
432763,2017-11-10,0.000449,0.000583,0.000437,0.00044800000000000005,43,"47,792",ICOB,-0.00222717149220495
432764,2017-11-09,0.0005480000000000001,0.000573,0.000446,0.00044800000000000005,50,"58,310",ICOB,-0.182481751824818
432765,2017-11-08,0.00036,0.000588,0.000279,0.000553,3,"38,259",ICOB,0.5361111111111111
432766,2017-11-07,0.00043099999999999996,0.000532,0.00035800000000000003,0.000361,88,"45,866",ICOB,-0.16241299303944298
432767,2017-11-06,0.00044400000000000006,0.00045,0.00042699999999999997,0.00043200000000000004,69,"47,173",ICOB,-0.0270270270270271
432768,2017-11-05,0.000443,0.00045700000000000005,0.00043799999999999997,0.000443,22,"47,126",ICOB,0.0
432769,2017-11-04,0.00047000000000000004,0.000596,0.000459,0.000592,16,"49,954",ICOB,0.25957446808510604
432770,2017-11-03,0.000421,0.00047999999999999996,0.000417,0.000471,66,"44,812",ICOB,0.11876484560570098
432771,2017-11-02,0.000343,0.00046699999999999997,0.000343,0.00042199999999999996,16,"36,484",ICOB,0.23032069970845498
432772,2017-11-01,0.00045,0.000468,0.000343,0.000343,30,"47,876",ICOB,-0.23777777777777803
432773,2017-10-31,0.000429,0.00045099999999999996,0.000328,0.00045099999999999996,270,"45,612",ICOB,0.0512820512820513
432774,2017-10-30,0.000462,0.000493,0.000321,0.00043,44,"49,123",ICOB,-0.0692640692640693
432775,2017-10-29,0.000458,0.00047400000000000003,0.00041900000000000005,0.000465,4,"48,729",ICOB,0.0152838427947598
432776,2017-10-28,0.000354,0.00046399999999999995,0.000352,0.000459,2,"37,616",ICOB,0.296610169491525
432777,2017-10-27,0.000412,0.00042,0.000343,0.00035299999999999996,37,"43,821",ICOB,-0.143203883495146
432778,2017-10-26,0.000433,0.000522,0.000397,0.000412,3,"46,096",ICOB,-0.048498845265589
432779,2017-10-25,0.00045599999999999997,0.000502,0.00038500000000000003,0.000434,5,"48,520",ICOB,-0.0482456140350878
432780,2017-10-24,0.000412,0.000523,0.000391,0.00045599999999999997,24,"43,689",ICOB,0.106796116504854
432781,2017-10-23,0.000495,0.0004980000000000001,0.00040300000000000004,0.000413,68,"52,482",ICOB,-0.165656565656566
432782,2017-10-22,0.000528,0.000533,0.000439,0.000496,16,"56,054",ICOB,-0.0606060606060606
432783,2017-10-21,0.000532,0.000594,0.000472,0.000528,386,"56,462",ICOB,-0.00751879699248118
432784,2017-10-20,0.000513,0.000553,0.000342,0.000533,344,"54,464",ICOB,0.0389863547758286
432785,2017-10-19,0.000553,0.000579,0.000505,0.000513,44,"58,668",ICOB,-0.0723327305605787
432786,2017-10-18,0.000542,0.0005549999999999999,0.000462,0.000553,11,"57,454",ICOB,0.0202952029520296
432787,2017-10-17,0.0005780000000000001,0.00058,0.0005,0.000542,40,"61,305",ICOB,-0.0622837370242215
432788,2017-10-16,0.000625,0.00074,0.0005110000000000001,0.0005780000000000001,97,"66,313",ICOB,-0.0752000000000001
432789,2017-10-15,0.000529,0.000646,0.000495,0.000625,362,"56,074",ICOB,0.18147448015122897
432790,2017-10-14,0.000586,0.000695,0.00045599999999999997,0.000528,242,"62,210",ICOB,-0.0989761092150171
432791,2017-10-13,0.000656,0.000709,0.000562,0.000586,93,"69,587",ICOB,-0.10670731707317099
432792,2017-10-12,0.0006,0.0006889999999999999,0.000598,0.000676,13,"63,621",ICOB,0.12666666666666698
432793,2017-10-11,0.000597,0.000602,0.000553,0.000584,9,"63,304",ICOB,-0.0217755443886097
432794,2017-10-10,0.0005740000000000001,0.000612,0.000542,0.000597,11,"60,927",ICOB,0.0400696864111499
