Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
481689,2018-01-10,0.277485,0.284819,0.197123,0.284819,"8,489","164,519",ICON,0.026430257491396
481690,2018-01-09,0.270023,0.292727,0.20693899999999998,0.277121,"8,391","160,095",ICON,0.02628664965577
481691,2018-01-08,0.315765,0.316949,0.207947,0.27076100000000003,"3,402","187,215",ICON,-0.142523712254367
481692,2018-01-07,0.341298,0.341298,0.23055100000000003,0.316371,"1,061","202,354",ICON,-0.0730358806673346
481693,2018-01-06,0.305712,0.342466,0.233648,0.341549,"2,064","181,254",ICON,0.11722470822211802
481694,2018-01-05,0.297551,0.34568000000000004,0.217009,0.30546799999999996,"3,032","176,416",ICON,0.0266072034710016
481695,2018-01-04,0.243524,0.34775700000000004,0.23725900000000003,0.29749200000000003,"6,023","144,384",ICON,0.22161265419424803
481696,2018-01-03,0.11141600000000002,0.42457399999999995,0.111348,0.242198,"4,646","66,058",ICON,1.17381704602571
481697,2018-01-02,0.256392,0.42371000000000003,0.11081400000000001,0.11181300000000001,"7,239","152,013",ICON,-0.5638982495553679
481698,2018-01-01,0.265505,0.265505,0.171724,0.256412,223,"157,416",ICON,-0.0342479425999511
481699,2017-12-31,0.23521799999999998,0.270458,0.166521,0.264482,"2,099","139,459",ICON,0.12441224736202199
481700,2017-12-30,0.18670599999999998,0.25369400000000003,0.149125,0.23778600000000003,626,"110,697",ICON,0.273585208830996
481701,2017-12-29,0.18287,0.1915,0.15831900000000002,0.187176,765,"108,422",ICON,0.023546781866900002
481702,2017-12-28,0.201707,0.202377,0.142921,0.180996,714,"119,591",ICON,-0.10267863782615401
481703,2017-12-27,0.11180899999999999,0.368533,0.110921,0.202131,"5,782","66,291",ICON,0.8078240570973709
481704,2017-12-26,0.32205300000000003,0.382506,0.11058,0.366678,"8,608","190,943",ICON,0.13856414937914
481705,2017-12-25,0.246662,0.32759699999999997,0.23813,0.322383,"8,455","146,244",ICON,0.306982834810388
481706,2017-12-24,0.252399,0.277766,0.219541,0.244127,"1,723","149,646",ICON,-0.0327735054417806
481707,2017-12-23,0.22504699999999997,0.26155100000000003,0.217398,0.249642,"2,022","133,429",ICON,0.109288282003315
481708,2017-12-22,0.158859,0.258877,0.137312,0.222942,"3,460","94,186",ICON,0.403395463901951
481709,2017-12-21,0.115218,0.22148400000000001,0.11377999999999999,0.15830999999999998,"4,795","68,312",ICON,0.37400406186533397
481710,2017-12-20,0.110293,0.164268,0.077247,0.114917,"2,473","65,392",ICON,0.0419246915035406
481711,2017-12-19,0.059697,0.115069,0.05909299999999999,0.110402,627,"35,394",ICON,0.8493726652930629
481712,2017-12-18,0.07346699999999999,0.152873,0.055992999999999994,0.059646000000000005,"2,876","43,558",ICON,-0.18812528073829105
481713,2017-12-17,0.09699400000000001,0.139577,0.07245499999999999,0.073245,"2,737","57,507",ICON,-0.244850196919397
481714,2017-12-16,0.055764,0.097551,0.055060000000000005,0.096787,245,"33,062",ICON,0.7356538268416899
481715,2017-12-15,0.048602,0.089823,0.048592,0.055686,"1,107","28,816",ICON,0.145755318711164
481716,2017-12-14,0.047161,0.0639,0.046629000000000004,0.048529,101,"27,962",ICON,0.0290070185110579
481717,2017-12-13,0.074632,0.089163,0.046979,0.047313,"1,348","44,249",ICON,-0.366049415800193
481718,2017-12-12,0.10691300000000001,0.10921600000000001,0.074318,0.07457000000000001,523,"63,388",ICON,-0.302516999803579
481719,2017-12-11,0.079437,0.10943399999999999,0.07363600000000001,0.106571,730,"47,098",ICON,0.341578861235948
481720,2017-12-10,0.06015,0.134203,0.058191999999999994,0.080015,"5,168","35,663",ICON,0.330257689110557
481721,2017-12-09,0.06782,0.068825,0.054176999999999996,0.059907,6,"40,210",ICON,-0.11667649660867
481722,2017-12-08,0.091463,0.15323900000000001,0.06229,0.067889,491,"54,228",ICON,-0.25774356843751
481723,2017-12-07,0.09725,0.18266500000000002,0.08152999999999999,0.091248,"4,075","57,659",ICON,-0.0617172236503857
481724,2017-12-06,0.063184,0.143732,0.061666,0.09741699999999999,"4,008","37,462",ICON,0.541798556596607
481725,2017-12-05,0.09325,0.09325,0.030170999999999996,0.063325,"2,259","55,287",ICON,-0.32091152815013396
481726,2017-12-04,0.055422000000000006,0.10218200000000001,0.036012999999999996,0.093067,"11,534","32,859",ICON,0.6792428999314349
481727,2017-12-03,0.053892999999999996,0.072599,0.053426999999999995,0.055238999999999996,333,"31,953",ICON,0.0249754142467482
481728,2017-12-02,0.05366,0.06403500000000001,0.053555,0.053841999999999994,371,"31,815",ICON,0.00339172568020875
481729,2017-12-01,0.05786,0.0621,0.051789,0.053706,289,"34,305",ICON,-0.0717939854821985
481730,2017-11-30,0.056711000000000004,0.061689,0.044454,0.058148000000000005,121,"33,624",ICON,0.0253389994886354
481731,2017-11-29,0.057383,0.06332,0.052439,0.055853999999999994,83,"34,022",ICON,-0.026645522192983995
481732,2017-11-28,0.048094,0.05770700000000001,0.047629000000000005,0.057441,299,"28,515",ICON,0.194348567388863
481733,2017-11-27,0.046961,0.049032,0.046758999999999995,0.04797,145,"27,843",ICON,0.0214859138434019
481734,2017-11-26,0.053614999999999996,0.058330999999999994,0.046787999999999996,0.046952,91,"31,788",ICON,-0.12427492306257598
481735,2017-11-25,0.040886,0.05363300000000001,0.040655000000000004,0.05363300000000001,56,"24,241",ICON,0.311769309788192
481736,2017-11-24,0.04123,0.042862,0.040444,0.040968,190,"24,445",ICON,-0.00635459616783908
481737,2017-11-23,0.042524,0.042732,0.040263,0.041286,63,"25,212",ICON,-0.0291129714984478
481738,2017-11-22,0.040003,0.042746,0.039833999999999994,0.042538,1,"23,717",ICON,0.0633702472314577
481739,2017-11-21,0.04129,0.04185,0.039058999999999996,0.039906,145,"24,480",ICON,-0.0335190118672803
481740,2017-11-20,0.039814999999999996,0.0509,0.039338,0.041282,540,"23,606",ICON,0.0368454100213486
481741,2017-11-19,0.032783,0.040152999999999994,0.032402,0.039833,262,"19,437",ICON,0.215050483482293
481742,2017-11-18,0.044967,0.044967,0.032152999999999994,0.032844,81,"26,661",ICON,-0.269597704983655
481743,2017-11-17,0.039223,0.047614,0.038686,0.04514,28,"23,255",ICON,0.150855365474339
481744,2017-11-16,0.043672,0.044664999999999996,0.037453,0.039288,252,"25,893",ICON,-0.10038468583989801
481745,2017-11-15,0.042908999999999996,0.044935,0.041006,0.043445,212,"25,441",ICON,0.012491551888881
481746,2017-11-14,0.058386,0.060086,0.040038,0.04288,43,"34,617",ICON,-0.26557736443668
481747,2017-11-13,0.030351999999999997,0.059851999999999995,0.030116000000000004,0.058263,516,"17,996",ICON,0.919576963626779
481748,2017-11-12,0.039567000000000005,0.039859,0.029271,0.030307999999999998,24,"23,459",ICON,-0.23400813809487697
