Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
169962,2018-01-10,9.13,9.71,8.03,9.68,"1,272,660","30,101,100",IOP,0.0602409638554216
169963,2018-01-09,9.6,9.82,8.84,9.12,"1,498,810","31,635,200",IOP,-0.05
169964,2018-01-08,10.56,11.25,7.98,9.59,"2,300,750","34,809,700",IOP,-0.0918560606060607
169965,2018-01-07,9.96,10.79,9.46,10.58,"2,729,880","32,808,000",IOP,0.0622489959839357
169966,2018-01-06,9.22,10.91,8.56,9.96,"2,371,950","30,372,400",IOP,0.0802603036876356
169967,2018-01-05,10.32,11.81,8.62,8.99,"4,368,510","34,009,200",IOP,-0.128875968992248
169968,2018-01-04,11.27,11.69,10.14,10.38,"5,107,430","37,149,200",IOP,-0.0789707187222714
169969,2018-01-03,10.66,11.6,9.37,11.2,"7,662,450","35,125,500",IOP,0.0506566604127579
169970,2018-01-02,7.2,12.38,7.2,10.58,"25,693,200","23,722,700",IOP,0.46944444444444394
169971,2018-01-01,7.05,7.35,6.56,7.16,"1,261,900","23,240,400",IOP,0.0156028368794327
169972,2017-12-31,6.72,7.39,6.51,7.03,"1,730,300","22,147,700",IOP,0.0461309523809525
169973,2017-12-30,8.16,8.16,5.81,6.81,"2,600,830","26,900,100",IOP,-0.165441176470588
169974,2017-12-29,7.31,8.71,6.97,8.11,"3,414,190","24,075,300",IOP,0.109439124487004
169975,2017-12-28,7.4,7.78,6.23,7.19,"3,605,020","24,392,900",IOP,-0.0283783783783784
169976,2017-12-27,6.9,7.73,6.61,7.34,"3,429,390","22,746,400",IOP,0.0637681159420289
169977,2017-12-26,7.26,8.24,5.96,6.83,"5,525,070","13,180,600",IOP,-0.059228650137741
169978,2017-12-25,6.3,7.91,6.05,7.24,"5,483,770","11,443,400",IOP,0.14920634920634898
169979,2017-12-24,6.17,6.46,5.11,6.24,"2,683,750","11,197,500",IOP,0.0113452188006483
169980,2017-12-23,5.64,7.06,5.47,6.08,"3,210,490","10,250,100",IOP,0.0780141843971632
169981,2017-12-22,7.18,7.18,4.08,5.62,"2,884,960","13,041,500",IOP,-0.217270194986072
169982,2017-12-21,6.16,8.66,6.12,7.2,"12,216,200","11,182,600",IOP,0.168831168831169
169983,2017-12-20,6.2,6.51,5.45,6.22,"3,066,580","11,265,700",IOP,0.00322580645161283
169984,2017-12-19,6.96,7.39,5.94,6.15,"3,941,140","12,648,500",IOP,-0.116379310344828
169985,2017-12-18,6.29,7.09,5.92,6.97,"4,658,710","11,415,700",IOP,0.108108108108108
169986,2017-12-17,6.19,6.83,5.8,6.23,"6,187,390","11,235,500",IOP,0.00646203554119548
169987,2017-12-16,6.36,6.52,5.91,6.24,"4,744,510","11,545,500",IOP,-0.0188679245283019
169988,2017-12-15,7.2,7.66,5.44,6.35,"7,829,640","13,081,400",IOP,-0.11805555555555601
169989,2017-12-14,5.88,7.29,5.84,7.1,"9,877,000","10,679,200",IOP,0.20748299319727898
169990,2017-12-13,5.72,6.98,5.64,5.97,"8,373,260","10,394,900",IOP,0.0437062937062937
169991,2017-12-12,5.72,7.05,5.25,5.7,"9,140,560","10,391,300",IOP,-0.0034965034965034197
169992,2017-12-11,4.23,5.69,4.14,5.54,"5,761,980","7,674,600",IOP,0.309692671394799
169993,2017-12-10,4.93,5.08,3.68,4.3,"2,158,730","8,957,050",IOP,-0.127789046653144
169994,2017-12-09,5.3,5.69,4.2,4.88,"4,725,660","9,629,020",IOP,-0.0792452830188679
169995,2017-12-08,3.76,7.47,3.26,4.98,"24,595,800","6,829,900",IOP,0.32446808510638303
169996,2017-12-07,4.78,4.81,3.42,3.75,"4,216,460","8,681,140",IOP,-0.215481171548117
169997,2017-12-06,5.73,6.01,4.52,4.88,"7,153,010","10,412,900",IOP,-0.148342059336824
169998,2017-12-05,6.46,6.46,5.15,5.8,"8,685,830","11,734,600",IOP,-0.10216718266253899
