Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
512860,2018-01-10,0.22319299999999997,1.45,0.05284,1.4,465,"5,137,970",JNS,5.272598154960059
512861,2018-01-09,0.16759300000000002,0.24873299999999998,0.070236,0.22402600000000003,424,"3,858,050",JNS,0.336726474256085
512862,2018-01-08,0.114372,0.137257,0.067651,0.072765,77,"2,632,890",JNS,-0.363786591123702
512863,2018-01-07,0.082178,0.16481800000000002,0.072888,0.114374,804,"1,891,770",JNS,0.3917836890652
512864,2018-01-06,0.07133300000000001,0.08263999999999999,0.06872400000000001,0.08217200000000001,23,"1,642,100",JNS,0.151949308174337
512865,2018-01-05,0.063913,0.07188,0.062959,0.071276,35,"1,471,290",JNS,0.115203479730258
512866,2018-01-04,0.091237,0.09268799999999999,0.060837999999999996,0.0639,283,"2,100,300",JNS,-0.29962624812302
512867,2018-01-03,0.07635800000000001,0.786978,0.055151,0.090745,309,"1,757,800",JNS,0.18841509730480102
512868,2018-01-02,0.057108000000000006,0.096858,0.047796,0.076675,82,"1,314,650",JNS,0.342631505218183
512869,2018-01-01,0.080812,0.080812,0.054758,0.057098,41,"1,860,320",JNS,-0.293446517843884
512870,2017-12-31,0.053528,0.082319,0.052996,0.080501,193,"1,232,230",JNS,0.5039044985801819
512871,2017-12-30,0.08713,0.087159,0.054112,0.054112,160,"2,005,750",JNS,-0.378950992769425
512872,2017-12-29,0.108125,0.108125,0.08405399999999999,0.08735,836,"2,489,070",JNS,-0.19213872832369897
512873,2017-12-28,0.067313,0.306115,0.063028,0.10681900000000001,"6,564","1,549,570",JNS,0.586900004456791
512874,2017-12-27,0.532722,0.7679729999999999,0.064481,0.06764099999999999,98,"12,263,400",JNS,-0.8730275828668609
512875,2017-12-26,0.053246,0.5369149999999999,0.052564,0.5369149999999999,82,"1,225,730",JNS,9.08366825677046
512876,2017-12-25,0.065566,0.067232,0.060021000000000005,0.060548000000000005,628,"1,509,340",JNS,-0.0765335692279535
512877,2017-12-24,0.157799,0.172778,0.058579,0.064872,637,"3,632,580",JNS,-0.588894733173214
512878,2017-12-23,0.07560700000000001,0.187943,0.065992,0.158045,"8,920","1,740,500",JNS,1.09034877722962
512879,2017-12-22,0.11102200000000001,0.11698199999999999,0.057244,0.075289,"1,198","2,555,760",JNS,-0.321855127812506
512880,2017-12-21,0.16755899999999999,0.204975,0.06651599999999999,0.10990599999999999,956,"3,857,260",JNS,-0.344075818070053
512881,2017-12-20,0.077346,0.177519,0.070418,0.166879,"1,897","1,780,540",JNS,1.1575647092286598
512882,2017-12-19,0.14635499999999999,0.157977,0.05836,0.077423,803,"3,369,130",JNS,-0.470991766594923
512883,2017-12-18,0.103027,0.49132200000000004,0.09837,0.146788,46,"2,371,720",JNS,0.424752734720025
512884,2017-12-17,0.10483699999999999,0.11545599999999999,0.090063,0.10273399999999999,675,"2,413,370",JNS,-0.0200597117429914
512885,2017-12-16,0.10784400000000001,0.121496,0.078861,0.10488900000000001,179,"2,482,590",JNS,-0.02740068988539
512886,2017-12-15,0.255363,0.443878,0.107698,0.107698,585,"5,878,530",JNS,-0.578255267991056
512887,2017-12-14,0.104803,0.25521,0.104072,0.251424,78,"2,412,600",JNS,1.3990152953636799
512888,2017-12-13,0.109703,0.163822,0.08190900000000001,0.10514100000000001,"1,117","2,525,390",JNS,-0.0415850067910631
512889,2017-12-12,0.10691300000000001,0.11276800000000001,0.104406,0.10961099999999999,412,"2,461,170",JNS,0.0252354718322375
512890,2017-12-11,0.095599,0.111152,0.09518099999999999,0.106571,401,"2,200,710",JNS,0.11477107501124499
512891,2017-12-10,0.076842,0.09811399999999999,0.053569000000000006,0.096294,300,"1,768,920",JNS,0.25314281252440096
512892,2017-12-09,0.11798099999999999,0.11972999999999999,0.069007,0.076532,210,"2,715,970",JNS,-0.351319280223087
512893,2017-12-08,0.092787,0.141447,0.06312100000000001,0.1181,"1,345","2,135,980",JNS,0.27280761313546104
