Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
287563,2018-01-10,8.28,8.55,7.7,8.17,"1,084,400","4,965,220",KLN,-0.0132850241545893
287564,2018-01-09,8.52,8.54,8.03,8.3,"662,407","5,114,430",KLN,-0.0258215962441313
287565,2018-01-08,9.13,9.22,8.05,8.47,"1,043,340","5,477,120",KLN,-0.07228915662650601
287566,2018-01-07,8.67,9.26,8.5,9.11,"1,150,340","5,202,060",KLN,0.0507497116493656
287567,2018-01-06,8.19,8.86,8.15,8.75,"1,217,770","4,912,020",KLN,0.0683760683760684
287568,2018-01-05,7.93,8.29,7.77,8.23,"1,532,980","4,755,000",KLN,0.0378310214375789
287569,2018-01-04,8.0,8.1,7.78,7.96,"1,239,730","4,801,240",KLN,-0.005
287570,2018-01-03,8.03,8.14,7.8,8.04,"1,531,490","4,817,400",KLN,0.00124533001245327
287571,2018-01-02,7.39,8.13,6.88,8.02,"1,227,690","4,432,770",KLN,0.0852503382949932
287572,2018-01-01,7.37,7.57,7.13,7.38,"628,173","4,424,220",KLN,0.00135685210312073
287573,2017-12-31,7.39,7.56,7.26,7.31,"412,162","4,436,620",KLN,-0.0108254397834912
287574,2017-12-30,8.33,8.34,7.17,7.36,"527,239","4,995,100",KLN,-0.11644657863145301
287575,2017-12-29,8.23,8.4,8.04,8.27,"549,057","4,939,480",KLN,0.0048602673147022
287576,2017-12-28,8.31,8.46,7.66,8.22,"526,189","4,986,510",KLN,-0.0108303249097473
287577,2017-12-27,8.22,8.42,7.77,8.33,"381,898","4,929,690",KLN,0.0133819951338199
287578,2017-12-26,8.31,8.7,8.08,8.18,"945,901","4,983,910",KLN,-0.0156438026474128
287579,2017-12-25,8.27,8.48,8.07,8.33,"700,142","4,960,950",KLN,0.00725513905683198
287580,2017-12-24,8.43,8.88,7.59,8.22,"1,199,560","5,058,080",KLN,-0.0249110320284696
287581,2017-12-23,6.71,8.79,6.68,8.47,"590,142","4,024,540",KLN,0.262295081967213
287582,2017-12-22,7.72,7.86,5.52,6.62,"353,345","4,629,620",KLN,-0.142487046632124
287583,2017-12-21,7.77,7.93,6.99,7.69,"990,726","4,664,440",KLN,-0.0102960102960102
287584,2017-12-20,7.5,8.04,6.94,7.8,"1,175,200","4,499,530",KLN,0.04
