Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
250900,2018-01-10,0.752378,1.14,0.643346,0.6733560000000001,"404,776","11,171,700",LINX,-0.105029652648004
250901,2018-01-09,0.702832,0.8695379999999999,0.559775,0.753798,"525,598","10,387,700",LINX,0.0725151956655359
250902,2018-01-08,0.472008,0.67494,0.39367199999999997,0.67494,"259,642","6,944,070",LINX,0.42993339095947497
250903,2018-01-07,0.46821899999999994,0.514537,0.406405,0.471396,"121,830","6,856,160",LINX,0.006785286372402629
250904,2018-01-06,0.381522,0.573978,0.371719,0.46856400000000004,"223,886","5,560,510",LINX,0.22814411750829602
250905,2018-01-05,0.505818,0.530008,0.32800799999999997,0.381994,"214,352","7,337,670",LINX,-0.244799512868265
250906,2018-01-04,0.570454,0.61752,0.464264,0.5059600000000001,"291,024","8,236,280",LINX,-0.113057319257995
250907,2018-01-03,0.364872,0.611684,0.323723,0.567422,"413,397","5,242,890",LINX,0.55512618123616
250908,2018-01-02,0.25868,0.387178,0.25294,0.373701,"246,238","3,699,270",LINX,0.4446458945415179
250909,2018-01-01,0.206831,0.265893,0.201047,0.252909,"61,005","2,943,620",LINX,0.22278091775410802
250910,2017-12-31,0.235684,0.24521500000000002,0.199009,0.206064,"37,315","3,338,140",LINX,-0.125676753619253
250911,2017-12-30,0.252224,0.252224,0.204778,0.238186,"59,133","3,555,020",LINX,-0.0556568764273027
250912,2017-12-29,0.153799,0.274406,0.14895,0.252859,"181,589","2,157,280",LINX,0.644087412792021
250913,2017-12-28,0.178982,0.186501,0.143982,0.152227,"49,835","2,498,240",LINX,-0.14948430568437
250914,2017-12-27,0.207485,0.21497399999999997,0.131849,0.179344,"114,424","2,881,850",LINX,-0.135629081620358
250915,2017-12-26,0.189459,0.243115,0.180258,0.20733000000000001,"110,810","2,618,620",LINX,0.0943264769686317
250916,2017-12-25,0.186118,0.205394,0.178377,0.189635,"55,627","2,559,720",LINX,0.0188966139760797
250917,2017-12-24,0.19839,0.199168,0.166421,0.18422,"44,149","2,714,890",LINX,-0.0714249710166844
250918,2017-12-23,0.155662,0.220404,0.152381,0.196209,"45,409","2,119,530",LINX,0.260481042258226
250919,2017-12-22,0.186473,0.188302,0.12395199999999999,0.158046,"32,138","2,526,340",LINX,-0.152445662374714
250920,2017-12-21,0.184846,0.228338,0.131864,0.185829,"82,776","2,491,710",LINX,0.00531794033952579
250921,2017-12-20,0.236657,0.24488200000000002,0.173453,0.184368,"54,558","3,173,860",LINX,-0.22094846127517898
250922,2017-12-19,0.274964,0.28124699999999997,0.224834,0.23675100000000002,"65,366","3,668,810",LINX,-0.138974556669237
250923,2017-12-18,0.22938899999999998,0.269407,0.19933,0.265971,"65,928","3,044,980",LINX,0.15947582490877898
