Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
133404,2018-01-10,0.188846,0.19407,0.18019100000000002,0.189523,"142,194","50,154,700",LKK,0.00358493163741876
133405,2018-01-09,0.194036,0.197728,0.18842899999999999,0.189924,"130,396","51,533,100",LKK,-0.0211919437630129
133406,2018-01-08,0.19296,0.198606,0.181911,0.19375799999999999,"127,645","51,174,100",LKK,0.00413557213930359
133407,2018-01-07,0.19785,0.201811,0.190952,0.1927,"160,532","52,470,400",LKK,-0.0260298205711397
133408,2018-01-06,0.19543,0.201027,0.19530899999999998,0.196021,"91,802","51,828,500",LKK,0.0030241007010183103
133409,2018-01-05,0.211182,0.21398899999999998,0.19556199999999999,0.195975,"50,258","56,006,100",LKK,-0.0720089780379009
133410,2018-01-04,0.21516,0.21516,0.207748,0.211254,"19,999","57,058,800",LKK,-0.0181539319576129
133411,2018-01-03,0.22236599999999998,0.2252,0.20830900000000002,0.214995,"143,641","58,947,600",LKK,-0.0331480532095735
133412,2018-01-02,0.22602199999999997,0.231879,0.21829099999999999,0.22211599999999998,"168,334","59,916,900",LKK,-0.0172815035704489
133413,2018-01-01,0.22785500000000003,0.231026,0.21775999999999998,0.22585100000000002,"181,391","60,402,700",LKK,-0.00879506703824803
133414,2017-12-31,0.22151500000000002,0.2305,0.216667,0.227704,"75,730","58,539,500",LKK,0.0279394171952238
133415,2017-12-30,0.218113,0.223452,0.202787,0.22216999999999998,"164,521","57,638,200",LKK,0.0186004502253419
133416,2017-12-29,0.218362,0.219637,0.20495100000000002,0.21821,"79,735","57,704,000",LKK,-0.00069609181084627
133417,2017-12-28,0.22219099999999997,0.22477800000000003,0.21167600000000003,0.217313,"189,856","58,715,800",LKK,-0.0219540845488791
133418,2017-12-27,0.22662100000000002,0.233618,0.217577,0.22229699999999997,"125,590","59,886,500",LKK,-0.0190803147104637
133419,2017-12-26,0.22641999999999998,0.24682800000000002,0.214497,0.226606,"104,060","59,833,500",LKK,0.000821482201218937
133420,2017-12-25,0.208484,0.24046199999999998,0.202755,0.22657399999999997,"54,363","55,093,600",LKK,0.0867692484794996
133421,2017-12-24,0.22869499999999998,0.23772100000000002,0.204911,0.20777800000000002,"36,035","60,410,100",LKK,-0.0914624281247951
133422,2017-12-23,0.237931,0.249833,0.21492399999999998,0.227825,"66,710","62,847,900",LKK,-0.0424744989093477
133423,2017-12-22,0.255101,0.25623,0.216739,0.236896,"266,579","67,383,400",LKK,-0.071363891164676
133424,2017-12-21,0.260048,0.26442899999999997,0.23583099999999999,0.25452199999999997,"194,547","68,692,200",LKK,-0.0212499230911215
133425,2017-12-20,0.273239,0.273239,0.24893099999999999,0.259947,"133,022","72,176,300",LKK,-0.0486460571148336
133426,2017-12-19,0.276497,0.276719,0.257694,0.273361,"218,099","73,037,600",LKK,-0.0113418952104362
133427,2017-12-18,0.280606,0.28465100000000004,0.271333,0.276088,"151,376","74,074,400",LKK,-0.0161008674083948
133428,2017-12-17,0.288618,0.29225999999999996,0.272845,0.277951,"202,296","76,189,500",LKK,-0.036958886833115
133429,2017-12-16,0.293748,0.297622,0.288084,0.288461,"98,983","77,543,800",LKK,-0.0179984204147772
133430,2017-12-15,0.290173,0.308249,0.282246,0.293598,"144,569","76,554,300",LKK,0.0118033035465051
133431,2017-12-14,0.290078,0.30051500000000003,0.286476,0.290054,"203,241","76,529,000",LKK,-8.27363674598694e-05
133432,2017-12-13,0.290738,0.299941,0.280354,0.29288400000000003,"306,829","76,704,000",LKK,0.007381216077705641
133433,2017-12-12,0.289833,0.334417,0.266957,0.290554,"436,395","76,463,500",LKK,0.0024876394337427802
133434,2017-12-11,0.285882,0.292796,0.280329,0.290104,"108,981","75,391,400",LKK,0.0147683309897089
133435,2017-12-10,0.28501,0.291218,0.267646,0.28627199999999997,"83,731","75,154,000",LKK,0.0044279148100068106
133436,2017-12-09,0.30537800000000004,0.30537800000000004,0.266664,0.284491,"342,653","80,525,200",LKK,-0.0683971995363123
133437,2017-12-08,0.293534,0.306714,0.28570100000000004,0.305442,"169,117","77,321,100",LKK,0.040567702548937996
133438,2017-12-07,0.298674,0.309195,0.267906,0.29341100000000003,"258,884","78,667,000",LKK,-0.017621219121852
133439,2017-12-06,0.28936100000000003,0.300706,0.2882,0.29882800000000004,"211,544","76,213,700",LKK,0.0327169176219325
133440,2017-12-05,0.271328,0.29277800000000004,0.268843,0.289529,"102,412","71,462,900",LKK,0.0670811711286707
133441,2017-12-04,0.27615,0.280364,0.26374899999999996,0.27113000000000004,"248,122","72,732,800",LKK,-0.0181785261633171
133442,2017-12-03,0.288525,0.298448,0.26765500000000003,0.276067,"296,286","75,992,300",LKK,-0.0431782341218264
133443,2017-12-02,0.312899,0.314423,0.284575,0.29301,"262,826","82,318,100",LKK,-0.0635636419419685
133444,2017-12-01,0.322168,0.322606,0.305371,0.313091,"347,706","84,749,200",LKK,-0.028174741128851998
133445,2017-11-30,0.307796,0.3283,0.291466,0.322735,"259,259","80,969,500",LKK,0.048535393572366
133446,2017-11-29,0.325397,0.346159,0.298511,0.30512100000000003,"519,970","85,583,900",LKK,-0.0623115763206176
133447,2017-11-28,0.339144,0.340509,0.325237,0.325394,"237,939","89,215,300",LKK,-0.0405432500648692
133448,2017-11-27,0.349603,0.35028200000000004,0.336312,0.33916199999999996,"321,327","91,957,000",LKK,-0.0298653043595163
133449,2017-11-26,0.350339,0.357809,0.328484,0.349596,"272,754","92,150,500",LKK,-0.00212080299367183
133450,2017-11-25,0.35449,0.35475100000000004,0.345665,0.350355,"177,517","84,734,700",LKK,-0.0116646449829332
133451,2017-11-24,0.35623699999999997,0.368877,0.342999,0.354846,"597,492","93,510,000",LKK,-0.00390470389094909
133452,2017-11-23,0.358103,0.360756,0.33276999999999995,0.356473,"109,500","93,996,200",LKK,-0.004551763040242671
133453,2017-11-22,0.345855,0.358873,0.341903,0.357774,"404,444","90,781,500",LKK,0.0344624192219281
133454,2017-11-21,0.355427,0.35749000000000003,0.341681,0.34578600000000004,"278,602","93,294,300",LKK,-0.0271251199261733
133455,2017-11-20,0.358222,0.362925,0.35359,0.355669,"286,693","94,025,000",LKK,-0.00712686546331597
133456,2017-11-19,0.359141,0.362072,0.355385,0.35868099999999997,"307,812","94,266,200",LKK,-0.0012808339899926802
133457,2017-11-18,0.35888200000000003,0.36,0.355043,0.359319,"369,139","94,199,800",LKK,0.0012176704320640802
133458,2017-11-17,0.36629,0.370397,0.35580300000000004,0.359402,"367,482","96,098,200",LKK,-0.0188047721750526
133459,2017-11-16,0.36896599999999996,0.37188000000000004,0.365713,0.366639,"130,833","96,800,300",LKK,-0.0063068141780002
133460,2017-11-15,0.359435,0.37116,0.355864,0.368526,"168,268","94,300,300",LKK,0.0252924729088709
133461,2017-11-14,0.361256,0.366815,0.356114,0.359116,"134,963","94,778,000",LKK,-0.0059237770445336
133462,2017-11-13,0.346882,0.36445,0.345007,0.36098600000000003,"119,834","90,666,700",LKK,0.0406593596669759
133463,2017-11-12,0.355275,0.361639,0.336293,0.346721,"214,260","92,860,300",LKK,-0.0240771233551474
133464,2017-11-11,0.36444699999999997,0.36698000000000003,0.353916,0.355259,"155,553","95,257,500",LKK,-0.0252107988267156
133465,2017-11-10,0.366179,0.373062,0.35802,0.364831,"143,328","95,710,000",LKK,-0.0036812597117802
133466,2017-11-09,0.373278,0.374848,0.36486399999999997,0.36585700000000004,"192,112","97,565,700",LKK,-0.0198806251640869
133467,2017-11-08,0.361259,0.379515,0.360784,0.373743,"235,490","94,417,000",LKK,0.034556924533368
133468,2017-11-07,0.357641,0.364052,0.356164,0.361526,"78,492","96,318,500",LKK,0.0108628484989138
133469,2017-11-06,0.35731399999999996,0.362714,0.34736300000000003,0.35749000000000003,"175,997","96,157,900",LKK,0.0004925639633486339
133470,2017-11-05,0.357658,0.36794899999999997,0.353018,0.35704,"123,051","96,263,400",LKK,-0.00172790766598245
133471,2017-11-04,0.352698,0.361912,0.3273,0.357867,"53,896","94,927,900",LKK,0.0146555977068199
133472,2017-11-03,0.350477,0.35706,0.348955,0.35294899999999996,"136,452","94,330,700",LKK,0.007053244578103641
133473,2017-11-02,0.324994,0.337943,0.324994,0.332714,"232,300","87,463,800",LKK,0.0237542846944867
133474,2017-11-01,0.362639,0.362639,0.318841,0.324912,"231,809","97,593,300",LKK,-0.10403459087412
133475,2017-10-31,0.362178,0.368089,0.36037800000000003,0.362565,"88,041","97,469,400",LKK,0.00106853536106563
133476,2017-10-30,0.362649,0.36754899999999996,0.353784,0.363,"93,675","97,598,300",LKK,0.000967878030823166
133477,2017-10-29,0.352244,0.36687800000000004,0.351929,0.363483,"79,327","94,798,100",LKK,0.0319068600174879
133478,2017-10-28,0.357128,0.361915,0.349494,0.352441,"21,384","96,112,900",LKK,-0.0131241459644721
133479,2017-10-27,0.373313,0.375759,0.330671,0.359095,"170,277","100,437,000",LKK,-0.0380860028983722
133480,2017-10-26,0.36183899999999997,0.378975,0.360717,0.37385300000000005,"190,898","97,353,400",LKK,0.0332026122115083
133481,2017-10-25,0.351632,0.364888,0.340396,0.363082,"119,089","94,608,900",LKK,0.032562451654002
133482,2017-10-24,0.348401,0.36225599999999997,0.33976999999999996,0.351539,"177,182","93,736,800",LKK,0.00900686278167966
133483,2017-10-23,0.369731,0.376656,0.340179,0.34881999999999996,"373,422","99,475,600",LKK,-0.0565573349272849
133484,2017-10-22,0.3797,0.383331,0.354211,0.370227,"276,672","102,158,000",LKK,-0.0249486436660522
133485,2017-10-21,0.38039,0.386773,0.37286199999999997,0.379631,"93,002","102,343,000",LKK,-0.001995320592024
133486,2017-10-20,0.371381,0.38651399999999997,0.365848,0.380796,"136,509","99,919,700",LKK,0.0253513238426306
133487,2017-10-19,0.373077,0.37385100000000004,0.369174,0.371327,"108,924","100,375,000",LKK,-0.00469072068232556
133488,2017-10-18,0.37838499999999997,0.37839,0.365325,0.372602,"175,037","101,804,000",LKK,-0.0152833753980735
133489,2017-10-17,0.386874,0.38727,0.377229,0.378222,"175,048","104,087,000",LKK,-0.0223638704074195
133490,2017-10-16,0.386304,0.395202,0.384115,0.387074,"314,679","103,934,000",LKK,0.00199324884029157
133491,2017-10-15,0.396853,0.398372,0.380519,0.386952,"239,336","106,771,000",LKK,-0.0249487845625458
133492,2017-10-14,0.38272,0.406087,0.382353,0.397341,"583,597","102,960,000",LKK,0.0382028637123746
133493,2017-10-13,0.367115,0.384753,0.365755,0.382735,"598,903","98,666,900",LKK,0.0425479754300423
133494,2017-10-12,0.350139,0.37595500000000004,0.349958,0.367125,"366,112","94,104,200",LKK,0.0485121623126815
133495,2017-10-11,0.348561,0.355362,0.343866,0.350074,"148,064","93,680,300",LKK,0.00434070363580546
133496,2017-10-10,0.34583800000000003,0.34991,0.341708,0.348565,"187,509","92,948,400",LKK,0.00788519480219072
133497,2017-10-09,0.330996,0.348364,0.329577,0.345677,"109,975","88,959,400",LKK,0.0443540103203664
133498,2017-10-08,0.338388,0.340079,0.329192,0.330905,"112,145","90,946,100",LKK,-0.0221136683333925
133499,2017-10-07,0.341951,0.34692199999999995,0.33708899999999997,0.33875700000000003,"61,729","91,904,000",LKK,-0.00934051954812248
133500,2017-10-06,0.329937,0.351472,0.329588,0.342127,"233,088","88,675,000",LKK,0.0369464473520704
133501,2017-10-05,0.327408,0.33324499999999996,0.32642,0.329891,"75,411","87,927,700",LKK,0.00758380980305922
133502,2017-10-04,0.329892,0.333468,0.326903,0.327366,"45,253","88,589,700",LKK,-0.007657051398639641
133503,2017-10-03,0.329504,0.335606,0.326474,0.329664,"47,412","88,491,400",LKK,0.00048557832378360596
133504,2017-10-02,0.334677,0.337841,0.328125,0.329467,"158,410","89,880,700",LKK,-0.0155672484216125
133505,2017-10-01,0.335625,0.338357,0.329376,0.334769,"66,107","90,135,400",LKK,-0.0025504655493483
133506,2017-09-30,0.335696,0.343006,0.335302,0.335591,"92,611","90,061,400",LKK,-0.00031278299413761804
133507,2017-09-29,0.333215,0.337212,0.324194,0.335569,"101,205","89,395,900",LKK,0.00706450790030468
133508,2017-09-28,0.332039,0.338671,0.327813,0.33348099999999997,"193,299","89,080,400",LKK,0.00434286333834295
133509,2017-09-27,0.331502,0.335331,0.327502,0.332056,"238,424","88,935,600",LKK,0.00167118147100168
133510,2017-09-26,0.332969,0.333923,0.295942,0.33171,"142,081","89,329,300",LKK,-0.0037811327781265202
133511,2017-09-25,0.33133,0.335134,0.32266500000000004,0.332933,"179,428","88,841,100",LKK,0.00483807684181923
133512,2017-09-24,0.334256,0.338912,0.328437,0.331671,"205,073","89,625,600",LKK,-0.00773359341343163
133513,2017-09-23,0.323497,0.33425900000000003,0.323245,0.33425900000000003,"25,748","86,741,000",LKK,0.0332676964546812
133514,2017-09-22,0.32582300000000003,0.334731,0.316178,0.323502,"94,546","87,364,700",LKK,-0.00712349956878416
133515,2017-09-21,0.330671,0.333798,0.313295,0.325868,"195,590","88,664,700",LKK,-0.0145250112649733
133516,2017-09-20,0.322897,0.336834,0.321236,0.33234,"124,590","86,580,100",LKK,0.0292446198013609
133517,2017-09-19,0.347398,0.349404,0.32214299999999996,0.323009,"366,219","93,143,400",LKK,-0.0702047795324095
133518,2017-09-18,0.31716300000000003,0.34668899999999997,0.314029,0.34668899999999997,"712,190","85,042,100",LKK,0.0930940872674305
133519,2017-09-17,0.31792800000000004,0.323179,0.304894,0.317245,"361,703","85,247,400",LKK,-0.0021482851463224
133520,2017-09-16,0.309681,0.324914,0.309621,0.318283,"205,157","83,035,700",LKK,0.0277769704954453
133521,2017-09-15,0.280483,0.311083,0.262871,0.309746,"848,715","75,169,900",LKK,0.104330743752741
133522,2017-09-14,0.316761,0.318583,0.279533,0.279533,"604,044","84,867,600",LKK,-0.117527094560252
133523,2017-09-13,0.32316500000000004,0.32703899999999997,0.294658,0.316552,"416,901","86,583,500",LKK,-0.0204632308573019
133524,2017-09-12,0.323366,0.335629,0.31759699999999996,0.32379600000000003,"838,684","86,636,200",LKK,0.0013297625600712099
133525,2017-09-11,0.325342,0.329961,0.30443200000000004,0.323154,"304,806","87,127,500",LKK,-0.00672523068033031
133526,2017-09-10,0.3172,0.328431,0.307221,0.325975,"227,162","84,937,300",LKK,0.0276639344262296
133527,2017-09-09,0.32232,0.326219,0.31333,0.317612,"374,607","86,310,900",LKK,-0.0146066021345247
133528,2017-09-08,0.334016,0.341963,0.31461300000000003,0.321525,"706,518","89,443,300",LKK,-0.037396412147921
133529,2017-09-07,0.33850399999999997,0.33933,0.333177,0.33366,"465,308","90,567,000",LKK,-0.0143100229243968
133530,2017-09-06,0.330284,0.491953,0.32440599999999997,0.338427,"499,191","88,369,200",LKK,0.0246545397294448
133531,2017-09-05,0.320931,0.332308,0.313772,0.329436,"644,178","85,859,000",LKK,0.0265010235845088
133532,2017-09-04,0.342571,0.342571,0.318436,0.320775,"1,112,730","91,468,900",LKK,-0.0636247668366559
133533,2017-09-03,0.33529899999999996,0.342781,0.310317,0.34236500000000003,"509,399","89,527,500",LKK,0.0210737282246591
133534,2017-09-02,0.351093,0.35157,0.310297,0.334795,"616,504","93,737,000",LKK,-0.0464207489183777
133535,2017-09-01,0.351873,0.35618299999999997,0.343727,0.350937,"386,648","93,946,600",LKK,-0.00266005064327184
133536,2017-08-31,0.3534,0.355223,0.343959,0.351682,"404,434","94,354,400",LKK,-0.0048613469156762795
133537,2017-08-30,0.357338,0.36101300000000003,0.343696,0.353777,"514,381","95,416,100",LKK,-0.009965354930066159
133538,2017-08-29,0.361749,0.37343200000000004,0.357968,0.357968,"883,306","96,593,500",LKK,-0.0104519984851374
133539,2017-08-28,0.35067800000000005,0.361673,0.34329499999999996,0.361673,"363,374","93,637,300",LKK,0.0313535494100002
133540,2017-08-27,0.345158,0.351666,0.33526500000000004,0.3509,"235,650","92,163,500",LKK,0.0166358595194084
133541,2017-08-26,0.35508,0.355727,0.334571,0.34523000000000004,"467,367","94,813,200",LKK,-0.027740227554354003
133542,2017-08-25,0.352488,0.359989,0.350993,0.354854,"409,856","94,120,500",LKK,0.00671228524091594
133543,2017-08-24,0.354761,0.356119,0.350045,0.35284099999999996,"322,316","94,727,400",LKK,-0.00541209433956939
133544,2017-08-23,0.346887,0.355538,0.345879,0.354526,"249,663","92,535,800",LKK,0.0220215805146921
133545,2017-08-22,0.35338400000000003,0.35558,0.339356,0.347173,"536,014","94,269,000",LKK,-0.0175757815860366
133546,2017-08-21,0.351511,0.360195,0.347445,0.353342,"368,428","93,769,000",LKK,0.00520894082973213
133547,2017-08-20,0.37109899999999996,0.37109899999999996,0.349358,0.35175,"520,460","98,994,300",LKK,-0.0521397255179885
133548,2017-08-19,0.369756,0.372973,0.367537,0.371842,"257,520","98,635,900",LKK,0.00564155821677007
133549,2017-08-18,0.382189,0.38448000000000004,0.361171,0.369674,"579,456","101,954,000",LKK,-0.0327455787581537
133550,2017-08-17,0.387559,0.392815,0.379787,0.38288,"454,609","102,812,000",LKK,-0.0120730004979887
133551,2017-08-16,0.381132,0.387225,0.368927,0.38603899999999997,"576,478","99,552,000",LKK,0.0128748045296642
133552,2017-08-15,0.392941,0.39494,0.363669,0.380947,"1,100,750","102,644,000",LKK,-0.0305236664028442
133553,2017-08-14,0.391766,0.39514299999999997,0.388098,0.392266,"420,549","102,338,000",LKK,0.00127627206036256
133554,2017-08-13,0.38159,0.399708,0.38147800000000004,0.39158000000000004,"999,025","99,687,400",LKK,0.0261799313399198
