Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
378219,2018-01-10,1.82,2.19,1.23,1.89,"6,364","1,532,970",LTB,0.0384615384615384
378220,2018-01-09,1.2,1.94,0.966669,1.82,"19,905","1,010,930",LTB,0.516666666666667
378221,2018-01-08,1.34,1.54,1.06,1.21,"1,657","1,126,320",LTB,-0.0970149253731344
378222,2018-01-07,1.39,1.76,1.28,1.34,"4,190","1,160,360",LTB,-0.0359712230215826
378223,2018-01-06,0.7474649999999999,2.0,0.726201,1.39,"5,047","625,007",LTB,0.8596188450295329
378224,2018-01-05,0.905967,0.965715,0.706548,0.74687,872,"756,720",LTB,-0.175610149155543
378225,2018-01-04,0.6334380000000001,1.46,0.542957,0.9055770000000001,"6,185","528,452",LTB,0.42962215718033997
378226,2018-01-03,0.5532090000000001,0.681177,0.539834,0.630135,"2,284","460,945",LTB,0.13905413686328302
378227,2018-01-02,0.511822,0.634084,0.492541,0.557796,826,"425,959",LTB,0.0898241966933816
378228,2018-01-01,0.510261,0.564442,0.47790900000000003,0.500105,715,"422,293",LTB,-0.0199035395611264
378229,2017-12-31,0.46821999999999997,0.579458,0.46166899999999994,0.508738,682,"387,500",LTB,0.0865362436461492
378230,2017-12-30,0.5358850000000001,0.58907,0.46698500000000004,0.473286,477,"443,500",LTB,-0.11681424186159299
378231,2017-12-29,0.5206350000000001,0.668756,0.513414,0.537299,771,"430,878",LTB,0.0320070682916055
378232,2017-12-28,0.5535220000000001,0.688353,0.494806,0.5153409999999999,939,"457,772",LTB,-0.0689782881258557
378233,2017-12-27,0.558933,0.699697,0.521369,0.554657,"1,165","461,671",LTB,-0.00765029082197698
378234,2017-12-26,0.546582,0.610827,0.530475,0.558191,754,"450,938",LTB,0.0212392651056932
378235,2017-12-25,0.605087,0.608526,0.519601,0.543027,558,"498,605",LTB,-0.10256376355796801
378236,2017-12-24,0.700327,0.8321440000000001,0.467815,0.524737,872,"576,375",LTB,-0.250725732407861
378237,2017-12-23,0.560956,0.73339,0.523724,0.693891,977,"461,181",LTB,0.236979370931053
378238,2017-12-22,0.583377,0.7560899999999999,0.453296,0.55575,"1,176","479,040",LTB,-0.0473570264168798
378239,2017-12-21,0.8055859999999999,0.9918319999999999,0.5345810000000001,0.58167,"1,261","660,274",LTB,-0.27795418490390805
378240,2017-12-20,0.8911040000000001,0.9646309999999999,0.799454,0.83186,547,"730,366",LTB,-0.0664838223147915
378241,2017-12-19,0.767066,1.69,0.75173,1.05,"2,007","628,517",LTB,0.36885222392857997
378242,2017-12-18,1.25,1.35,0.756389,0.767066,567,"1,022,060",LTB,-0.3863472
378243,2017-12-17,0.8977360000000001,1.41,0.8850030000000001,1.25,"2,039","734,074",LTB,0.39239152713047
378244,2017-12-16,0.8972549999999999,1.02,0.814367,0.896652,497,"733,681",LTB,-0.000672049751742838
378245,2017-12-15,1.07,1.15,0.8406049999999999,0.896565,"1,801","874,117",LTB,-0.162088785046729
378246,2017-12-14,0.87426,1.24,0.740179,1.07,"8,560","713,665",LTB,0.22389220597991397
378247,2017-12-13,0.692501,0.884077,0.63454,0.877077,"3,456","564,559",LTB,0.266535355183603
378248,2017-12-12,0.740846,0.95499,0.575808,0.691639,"2,016","603,346",LTB,-0.0664200117163351
378249,2017-12-11,0.494414,0.8634629999999999,0.492363,0.738459,"1,270","402,147",LTB,0.49360455003296794
378250,2017-12-10,0.452059,0.635177,0.397969,0.49809899999999996,"1,137","367,204",LTB,0.101845113137887
378251,2017-12-09,0.33762,0.862425,0.321967,0.450292,"2,947","273,908",LTB,0.333724305432143
