Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
398063,2018-01-10,0.039724,0.042857,0.034815,0.039146,"4,661","1,123,360",MARS,-0.0145503977444367
398064,2018-01-09,0.040511,0.044607,0.034954,0.039672000000000006,"8,706","1,145,610",MARS,-0.0207104243291945
398065,2018-01-08,0.043481,0.044134,0.034470999999999995,0.040622000000000005,"6,283","1,229,600",MARS,-0.0657528575699731
398066,2018-01-07,0.030104000000000002,0.044049,0.029398,0.043542000000000004,"16,347","851,326",MARS,0.446385862343875
398067,2018-01-06,0.027051,0.037886,0.024191,0.037873000000000004,"12,114","764,962",MARS,0.40005914753613503
398068,2018-01-05,0.02505,0.028213,0.020822,0.027066000000000003,"3,574","708,400",MARS,0.0804790419161677
398069,2018-01-04,0.026151,0.028827,0.022394,0.024447999999999998,"4,528","739,522",MARS,-0.0651217926656724
398070,2018-01-03,0.029320999999999996,0.030235,0.009944,0.026014,"22,298","829,183",MARS,-0.11278605777429199
398071,2018-01-02,0.02622,0.034470999999999995,0.023799,0.025716000000000003,"8,507","741,470",MARS,-0.0192219679633868
398072,2018-01-01,0.030732,0.03433,0.024624,0.026217,"6,232","869,084",MARS,-0.146915267473643
398073,2017-12-31,0.018627,0.040597,0.017107,0.030024000000000002,"22,192","526,746",MARS,0.611853760669995
398074,2017-12-30,0.020215,0.022113999999999998,0.013484000000000001,0.018808000000000002,"8,335","571,662",MARS,-0.0696017808558003
398075,2017-12-29,0.030773000000000002,0.032157,0.017268000000000002,0.019806999999999998,"22,775","870,236",MARS,-0.35635134695999704
398076,2017-12-28,0.044357,0.05683099999999999,0.020734,0.032050999999999996,"57,827","1,254,380",MARS,-0.277430845187907
398077,2017-12-27,0.010216,0.076664,0.010193,0.041549,"291,339","288,904",MARS,3.06705168363352
398078,2017-12-26,0.009226,0.014346000000000001,0.008199,0.010212,"1,052","260,896",MARS,0.10687188380663401
398079,2017-12-25,0.006489,0.00923,0.0056,0.00923,"1,224","183,495",MARS,0.42240715056249
398080,2017-12-24,0.00643,0.0065,0.005671,0.006431,127,"181,826",MARS,0.000155520995334391
398081,2017-12-23,0.0067540000000000005,0.007956,0.005956,0.00636,710,"190,998",MARS,-0.0583358010068107
398082,2017-12-22,0.008859,0.008896,0.004398,0.0056560000000000004,154,"250,510",MARS,-0.36155322271136703
398083,2017-12-21,0.00602,0.013087999999999999,0.00602,0.008837000000000001,618,"170,235",MARS,0.467940199335548
398084,2017-12-20,0.007392,0.011014,0.005686,0.006019,231,"209,029",MARS,-0.18574134199134196
398085,2017-12-19,0.00804,0.010029000000000001,0.006651000000000001,0.007387,158,"227,377",MARS,-0.0812189054726368
398086,2017-12-18,0.009223,0.010114,0.007217,0.008031,76,"260,808",MARS,-0.12924211211102699
398087,2017-12-17,0.013628,0.013628,0.006854000000000001,0.009248000000000001,229,"385,387",MARS,-0.321397123569122
398088,2017-12-16,0.005992,0.014491999999999998,0.005974,0.01321,665,"169,455",MARS,1.2046061415220302
398089,2017-12-15,0.005804,0.0064540000000000005,0.005803,0.00599,221,"164,131",MARS,0.0320468642315644
398090,2017-12-14,0.0060420000000000005,0.007121,0.005626,0.005795000000000001,454,"170,863",MARS,-0.0408805031446541
398091,2017-12-13,0.006462999999999999,0.006714,0.005459,0.006057,107,"182,758",MARS,-0.0628191242457063
398092,2017-12-12,0.005693999999999999,0.0067540000000000005,0.005232,0.006445,294,"161,026",MARS,0.131893220934317
398093,2017-12-11,0.00414,0.007312999999999999,0.003917,0.005677000000000001,114,"117,086",MARS,0.3712560386473429
398094,2017-12-10,0.004547,0.006196,0.003778,0.00417,80,"128,598",MARS,-0.0829118099846052
398095,2017-12-09,0.005183,0.0054340000000000005,0.004032,0.004538,27,"146,564",MARS,-0.124445301948678
398096,2017-12-08,0.006024,0.006143,0.003311,0.005188,"1,318","170,342",MARS,-0.138778220451527
398097,2017-12-07,0.004775,0.0060149999999999995,0.004225,0.0060149999999999995,258,"135,035",MARS,0.259685863874346
398098,2017-12-06,0.004089,0.004769,0.004089,0.004769,51,"115,638",MARS,0.166299828809
