Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
190946,2018-01-10,0.953433,1.37,0.916485,1.24,"16,262,000","18,043,900",MEME,0.30056333271451696
190947,2018-01-09,1.04,1.04,0.935153,0.951889,"1,231,680","19,713,700",MEME,-0.0847221153846154
190948,2018-01-08,0.925002,1.08,0.8572850000000001,1.04,"3,903,290","17,477,000",MEME,0.124321893358068
190949,2018-01-07,0.8841700000000001,1.04,0.8582120000000001,0.9311530000000001,"1,847,440","16,691,100",MEME,0.0531379712046326
190950,2018-01-06,0.8790879999999999,0.9591930000000001,0.79345,0.8607899999999999,"1,765,620","16,580,700",MEME,-0.0208147534717798
190951,2018-01-05,0.968727,0.995719,0.8342790000000001,0.878381,"1,694,440","18,256,300",MEME,-0.0932626013314381
190952,2018-01-04,0.9386469999999999,1.1,0.851144,0.968383,"4,397,620","17,674,800",MEME,0.0316796410152059
190953,2018-01-03,1.0,1.05,0.8489959999999999,0.9354950000000001,"2,364,320","18,828,000",MEME,-0.06450499999999999
190954,2018-01-02,1.01,1.08,0.9208219999999999,1.0,"5,246,790","18,927,000",MEME,-0.00990099009900991
190955,2018-01-01,0.9936360000000001,1.23,0.802505,1.03,"13,521,500","18,666,200",MEME,0.036596902688711
190956,2017-12-31,0.718374,0.899675,0.7062470000000001,0.880906,"1,623,140","13,485,000",MEME,0.226249836436174
190957,2017-12-30,0.868557,0.8698620000000001,0.6950029999999999,0.7299439999999999,"1,814,570","16,291,400",MEME,-0.159589986609975
190958,2017-12-29,0.871066,0.9712209999999999,0.79056,0.8707469999999999,"3,468,740","16,325,400",MEME,-0.000366217944449626
190959,2017-12-28,0.861132,0.879042,0.657948,0.859136,"2,758,490","16,126,900",MEME,-0.00231787925660642
190960,2017-12-27,0.831153,0.8956799999999999,0.784567,0.8562569999999999,"3,079,820","15,553,300",MEME,0.0302038252884848
190961,2017-12-26,0.835773,0.879742,0.715039,0.8148880000000001,"2,387,800","15,627,000",MEME,-0.0249888426642163
190962,2017-12-25,0.725477,0.92214,0.691481,0.85545,"5,941,620","13,554,300",MEME,0.17915523166137604
190963,2017-12-24,0.6908920000000001,0.740112,0.576871,0.7281979999999999,"3,542,260","12,897,800",MEME,0.0539968620276397
190964,2017-12-23,0.605908,0.735746,0.583341,0.6914359999999999,"1,777,850","11,302,400",MEME,0.141156743267955
190965,2017-12-22,0.817095,0.826731,0.43101300000000003,0.599693,"1,494,040","15,229,400",MEME,-0.26606698119557703
190966,2017-12-21,0.796959,0.8884489999999999,0.717484,0.812707,"3,585,430","14,842,100",MEME,0.0197601131300355
190967,2017-12-20,0.882166,0.882166,0.708336,0.792412,"2,783,870","16,406,800",MEME,-0.10174275589855
190968,2017-12-19,0.9754200000000001,1.07,0.8134399999999999,0.883036,"7,902,750","18,136,300",MEME,-0.0947120214881794
190969,2017-12-18,0.874822,0.961968,0.801044,0.961968,"4,481,990","16,253,100",MEME,0.0996156932495983
190970,2017-12-17,0.8494079999999999,0.907286,0.8224379999999999,0.859025,"3,207,620","15,767,900",MEME,0.0113220030892104
190971,2017-12-16,0.8871049999999999,0.930894,0.8352200000000001,0.8932959999999999,"4,725,380","16,454,400",MEME,0.00697888074128761
190972,2017-12-15,0.929019,1.0,0.745575,0.9833069999999999,"8,011,620","17,217,300",MEME,0.0584358339280467
190973,2017-12-14,1.05,1.24,0.914068,0.965934,"18,433,800","19,367,600",MEME,-0.0800628571428572
190974,2017-12-13,1.16,1.31,0.88938,1.02,"16,770,700","21,546,000",MEME,-0.12068965517241399
190975,2017-12-12,0.811526,1.64,0.7261350000000001,1.18,"102,042,000","15,005,800",MEME,0.4540507636231
190976,2017-12-11,0.351672,1.2,0.350273,0.872693,"80,143,400","5,788,100",MEME,1.48155383425465
190977,2017-12-10,0.411653,0.411653,0.30533499999999997,0.36481399999999997,"394,135","6,775,320",MEME,-0.11378272477062
190978,2017-12-09,0.42220100000000005,0.443776,0.352263,0.409992,"531,393","6,948,930",MEME,-0.0289175061167547
190979,2017-12-08,0.347298,0.501034,0.347298,0.42311499999999996,"2,319,410","5,716,100",MEME,0.218305317047608
190980,2017-12-07,0.459264,0.46496099999999996,0.346656,0.346656,"1,442,450","7,558,940",MEME,-0.24519230769230801
190981,2017-12-06,0.517173,0.5298510000000001,0.426069,0.470229,"1,648,670","8,512,040",MEME,-0.0907703998468597
190982,2017-12-05,0.552384,0.5870310000000001,0.520153,0.525943,"2,428,720","9,091,580",MEME,-0.0478670634920634
190983,2017-12-04,0.5370159999999999,0.6344390000000001,0.489975,0.550719,"5,763,080","8,838,640",MEME,0.0255169305942466
190984,2017-12-03,0.567463,0.648111,0.49143000000000003,0.5462199999999999,"5,421,080","9,339,750",MEME,-0.037435039817574
190985,2017-12-02,0.493403,0.590398,0.464454,0.5460619999999999,"4,441,460","8,120,820",MEME,0.10672614475388302
190986,2017-12-01,0.35646300000000003,0.594302,0.32666300000000004,0.495565,"4,321,380","5,866,950",MEME,0.39022843885620706
190987,2017-11-30,0.32002600000000003,0.363254,0.27805799999999997,0.358038,"817,515","5,267,240",MEME,0.118777849299745
190988,2017-11-29,0.382277,0.436913,0.288302,0.320405,"1,656,130","6,291,810",MEME,-0.16185122306599697
190989,2017-11-28,0.278019,0.583101,0.26903299999999997,0.382757,"20,055,800","4,575,860",MEME,0.3767296479737
190990,2017-11-27,0.259775,0.295132,0.259775,0.277301,"305,268","4,275,590",MEME,0.06746607641228
190991,2017-11-26,0.24410700000000002,0.268925,0.24289499999999997,0.259726,"136,091","4,017,710",MEME,0.0639842364209139
190992,2017-11-25,0.22749899999999998,0.244189,0.22456500000000001,0.244189,"47,984","3,744,360",MEME,0.07336295983718599
190993,2017-11-24,0.22294499999999998,0.23437,0.21365,0.22796,"64,208","3,669,400",MEME,0.0224943371683599
190994,2017-11-23,0.23046399999999997,0.232974,0.220146,0.22679000000000002,"65,089","3,793,170",MEME,-0.0159417522910303
190995,2017-11-22,0.219271,0.24304299999999998,0.218196,0.23053800000000002,"229,082","3,608,940",MEME,0.051383903936225
190996,2017-11-21,0.227491,0.23246999999999998,0.20459000000000002,0.218739,"84,574","3,744,230",MEME,-0.038471851633691004
190997,2017-11-20,0.225215,0.23228800000000002,0.21741999999999997,0.22720300000000002,"83,148","3,706,770",MEME,0.00882712075128206
190998,2017-11-19,0.22792199999999999,0.237157,0.215294,0.22532,"92,524","3,751,330",MEME,-0.0114161862391521
190999,2017-11-18,0.22514499999999998,0.23541399999999998,0.213358,0.228346,"102,206","3,705,610",MEME,0.0142175042750227
191000,2017-11-17,0.237614,0.277463,0.224929,0.228171,"647,384","3,910,840",MEME,-0.0397409243563089
191001,2017-11-16,0.2088,0.253013,0.19917100000000001,0.236983,"873,852","3,436,590",MEME,0.134976053639847
191002,2017-11-15,0.186712,0.226343,0.18595799999999998,0.206404,"609,317","3,073,050",MEME,0.105467243669395
191003,2017-11-14,0.186328,0.200019,0.179546,0.18651800000000002,"78,726","3,066,740",MEME,0.00101970718303205
191004,2017-11-13,0.15587,0.19506400000000002,0.15587,0.193233,"210,599","2,565,430",MEME,0.23970616539423897
191005,2017-11-12,0.183202,0.183202,0.138149,0.155643,"180,723","3,015,290",MEME,-0.15042958046309501
191006,2017-11-11,0.196193,0.21311799999999997,0.173698,0.183337,"338,680","3,229,100",MEME,-0.0655273123913697
191007,2017-11-10,0.21671700000000002,0.224144,0.179229,0.19122,"264,312","3,566,900",MEME,-0.11765113027589001
191008,2017-11-09,0.22282800000000003,0.228579,0.204853,0.21600500000000003,"310,196","3,667,470",MEME,-0.0306200297987685
191009,2017-11-08,0.217754,0.22629899999999997,0.20005599999999998,0.22156199999999998,"500,406","3,583,960",MEME,0.0174876236487045
191010,2017-11-07,0.209961,0.301948,0.209961,0.216798,"2,261,360","3,455,710",MEME,0.0325631903067712
191011,2017-11-06,0.199621,0.385285,0.191531,0.20834699999999998,"4,796,530","3,285,520",MEME,0.0437128358238863
191012,2017-11-05,0.169154,0.267556,0.163375,0.202203,"534,589","2,784,070",MEME,0.195378176099885
191013,2017-11-04,0.17172,0.193153,0.16226600000000002,0.169401,"78,153","2,826,300",MEME,-0.0135045422781273
191014,2017-11-03,0.15697,0.180991,0.15640199999999999,0.17216700000000001,"47,222","2,583,540",MEME,0.0968146779639421
191015,2017-11-02,0.183086,0.191538,0.156993,0.15773900000000002,"109,566","3,013,370",MEME,-0.138443136012584
191016,2017-11-01,0.18049500000000002,0.20480700000000002,0.17236700000000002,0.182882,"138,088","2,970,730",MEME,0.013224743067675
191017,2017-10-31,0.171456,0.183976,0.16330699999999998,0.180627,"82,702","2,821,950",MEME,0.053488941769317
191018,2017-10-30,0.163476,0.181534,0.161439,0.172163,"66,213","2,690,610",MEME,0.0531392987349825
191019,2017-10-29,0.163475,0.192459,0.163287,0.16957,"218,603","2,690,610",MEME,0.0372839883774277
191020,2017-10-28,0.162414,0.17658800000000002,0.15451600000000001,0.16627999999999998,"73,856","2,673,130",MEME,0.0238033667048408
191021,2017-10-27,0.157416,0.162485,0.146972,0.158695,"39,712","2,590,880",MEME,0.00812496823702802
191022,2017-10-26,0.16171,0.167104,0.153038,0.15738,"22,843","2,661,550",MEME,-0.0267763279945582
191023,2017-10-25,0.157493,0.16741199999999998,0.143798,0.16172899999999998,"80,457","2,592,140",MEME,0.0268964334922823
191024,2017-10-24,0.137725,0.18542899999999998,0.126277,0.157209,"252,646","2,266,790",MEME,0.141470321292431
191025,2017-10-23,0.155462,0.15551199999999998,0.129666,0.13802899999999999,"66,590","2,558,710",MEME,-0.112136727946379
191026,2017-10-22,0.162388,0.16749,0.146446,0.155712,"28,483","2,672,710",MEME,-0.0411114121733134
191027,2017-10-21,0.16107,0.190857,0.14455199999999999,0.162339,"103,010","2,651,010",MEME,0.00787856211585038
191028,2017-10-20,0.163102,0.18513800000000002,0.14469300000000002,0.161409,"117,907","2,684,460",MEME,-0.0103800076026045
191029,2017-10-19,0.178513,0.18457,0.16231099999999998,0.163056,"53,749","2,938,110",MEME,-0.0865875314402872
191030,2017-10-18,0.175835,0.187303,0.16351300000000002,0.178421,"56,780","2,894,040",MEME,0.0147069696021839
191031,2017-10-17,0.179096,0.18193099999999998,0.168035,0.175823,"46,766","2,947,700",MEME,-0.018275115022111
191032,2017-10-16,0.183279,0.19783,0.158415,0.179068,"220,134","3,016,550",MEME,-0.0229759001304022
191033,2017-10-15,0.181892,0.20785,0.172217,0.178759,"266,682","2,993,730",MEME,-0.0172245068502188
191034,2017-10-14,0.160916,0.24259699999999998,0.143583,0.181451,"894,091","2,648,490",MEME,0.12761316463247901
191035,2017-10-13,0.163221,0.190882,0.140037,0.16076,"96,287","2,686,420",MEME,-0.0150777167153737
191036,2017-10-12,0.167429,0.182873,0.154555,0.16272,"126,311","2,755,670",MEME,-0.0281253546279318
191037,2017-10-11,0.149785,0.20586100000000002,0.145739,0.167287,"238,956","2,465,280",MEME,0.116847481389992
191038,2017-10-10,0.13832,0.167234,0.126125,0.149713,"69,820","2,276,590",MEME,0.0823669751301331
191039,2017-10-09,0.142084,0.16170299999999999,0.119153,0.134023,"114,821","2,338,540",MEME,-0.0567340446496438
191040,2017-10-08,0.169882,0.170133,0.139539,0.142003,"138,884","2,796,050",MEME,-0.164108027925266
191041,2017-10-07,0.191425,0.191425,0.163543,0.17393499999999998,"87,477","3,150,620",MEME,-0.0913673762570197
191042,2017-10-06,0.20892,0.213304,0.18617999999999998,0.191624,"139,065","3,438,570",MEME,-0.0827876699215011
191043,2017-10-05,0.24398000000000003,0.269859,0.195512,0.20905,"476,745","4,015,620",MEME,-0.14316747274366698
191044,2017-10-04,0.18643900000000002,0.270402,0.184054,0.257251,"430,238","3,068,560",MEME,0.379813236500947
191045,2017-10-03,0.21931399999999998,0.23762199999999997,0.176839,0.182776,"276,030","3,609,640",MEME,-0.166601311361792
191046,2017-10-02,0.276476,0.294863,0.206979,0.219218,"658,271","4,550,470",MEME,-0.20709935039569397
191047,2017-10-01,0.299879,0.32972199999999996,0.264328,0.276862,"782,075","4,935,650",MEME,-0.0767542908973286
191048,2017-09-30,0.24738400000000002,0.318431,0.23555500000000001,0.294984,"907,849","4,071,650",MEME,0.192413413963716
191049,2017-09-29,0.269624,0.366684,0.24573299999999998,0.25185599999999997,"2,902,370","4,437,690",MEME,-0.0658991781147077
191050,2017-09-28,0.16320199999999999,0.329173,0.158671,0.268574,"3,010,290","2,686,110",MEME,0.6456538522812221
191051,2017-09-27,0.15051099999999998,0.16906500000000002,0.148378,0.163196,"50,530","2,477,230",MEME,0.084279554318289
191052,2017-09-26,0.15701800000000002,0.15775999999999998,0.14658800000000002,0.150894,"26,738","2,584,320",MEME,-0.0390018978715815
191053,2017-09-25,0.134419,0.15975599999999998,0.130236,0.157033,"64,277","2,212,370",MEME,0.16823514532915695
191054,2017-09-24,0.139227,0.141422,0.12796400000000002,0.133972,"44,500","2,291,520",MEME,-0.0377441157246797
191055,2017-09-23,0.142032,0.14897,0.138295,0.138444,"54,573","2,337,680",MEME,-0.0252619128083811
191056,2017-09-22,0.147803,0.164929,0.135195,0.142434,"40,730","2,432,660",MEME,-0.0363253790518459
191057,2017-09-21,0.151504,0.165699,0.14182,0.149349,"54,849","2,493,570",MEME,-0.014224046889851003
191058,2017-09-20,0.148774,0.167291,0.144573,0.152251,"59,513","2,448,640",MEME,0.0233710191296867
191059,2017-09-19,0.152723,0.16722,0.14804900000000001,0.155083,"87,100","2,513,640",MEME,0.0154528132632282
191060,2017-09-18,0.14193499999999998,0.156023,0.138518,0.152354,"28,760","2,336,070",MEME,0.0734068411596857
191061,2017-09-17,0.136134,0.151268,0.1224,0.142218,"32,990","2,240,600",MEME,0.0446912600819781
191062,2017-09-16,0.132349,0.155672,0.125049,0.136227,"91,399","2,178,310",MEME,0.0293013169725498
191063,2017-09-15,0.119629,0.136443,0.09789500000000001,0.132695,"44,551","1,968,950",MEME,0.109221008283945
191064,2017-09-14,0.155633,0.162971,0.11726900000000001,0.11870399999999999,"104,406","2,561,530",MEME,-0.23728258145766
191065,2017-09-13,0.134248,0.180118,0.125006,0.155602,"282,271","2,209,560",MEME,0.159063822179846
191066,2017-09-12,0.13716099999999998,0.162999,0.130859,0.134719,"79,967","2,257,510",MEME,-0.0178038946930979
191067,2017-09-11,0.132614,0.14757699999999999,0.13008599999999998,0.13702999999999999,"20,044","2,182,660",MEME,0.0332996516204926
191068,2017-09-10,0.132445,0.137231,0.121853,0.132838,"18,722","2,179,880",MEME,0.0029672694325947
191069,2017-09-09,0.139071,0.14194500000000002,0.128085,0.132786,"15,189","2,288,950",MEME,-0.0451927432750179
191070,2017-09-08,0.157735,0.161296,0.133495,0.138802,"14,938","2,596,130",MEME,-0.12003043078581199
191071,2017-09-07,0.14330299999999999,0.174129,0.142975,0.170397,"72,479","2,358,600",MEME,0.189067919024724
191072,2017-09-06,0.145836,0.155791,0.13529000000000002,0.14357799999999998,"20,062","2,400,280",MEME,-0.0154831454510545
191073,2017-09-05,0.127369,0.163575,0.116654,0.14567,"43,619","2,096,340",MEME,0.14368488407697302
191074,2017-09-04,0.16484100000000002,0.16496,0.125138,0.126712,"30,720","2,713,080",MEME,-0.231307745039159
191075,2017-09-03,0.164874,0.170042,0.15723399999999998,0.164786,"24,159","2,713,620",MEME,-0.000533740917306578
191076,2017-09-02,0.17234000000000002,0.177093,0.161026,0.165642,"12,432","2,836,510",MEME,-0.0388650342346523
191077,2017-09-01,0.166345,0.182058,0.16237200000000002,0.172125,"15,237","2,737,830",MEME,0.0347470618293307
191078,2017-08-31,0.165805,0.17244,0.157628,0.16781500000000002,"17,357","2,728,950",MEME,0.012122674225747001
191079,2017-08-30,0.167844,0.169925,0.157346,0.165928,"22,785","2,762,510",MEME,-0.0114153618836539
191080,2017-08-29,0.163089,0.169602,0.15379,0.168068,"19,042","2,684,250",MEME,0.0305293428741361
191081,2017-08-28,0.1635,0.166761,0.147518,0.162813,"20,405","2,691,010",MEME,-0.004201834862385279
191082,2017-08-27,0.168899,0.171269,0.155584,0.163671,"19,870","2,779,880",MEME,-0.0309534100261102
191083,2017-08-26,0.158019,0.168981,0.15094100000000002,0.16893699999999998,"19,294","2,600,810",MEME,0.0690929571760359
191084,2017-08-25,0.160553,0.166984,0.151322,0.157972,"25,987","2,642,510",MEME,-0.0160756884019607
191085,2017-08-24,0.164251,0.169772,0.15495799999999998,0.160807,"25,600","2,703,030",MEME,-0.0209679088711789
191086,2017-08-23,0.169354,0.180802,0.153352,0.16418,"46,164","1,692,700",MEME,-0.0305513893973571
191087,2017-08-22,0.168478,0.180492,0.137623,0.151971,"56,807","1,683,950",MEME,-0.0979771839646719
191088,2017-08-21,0.168944,0.191173,0.155324,0.16808599999999999,"33,869","1,688,610",MEME,-0.00507860592859171
191089,2017-08-20,0.180534,0.185515,0.15703399999999998,0.16958800000000002,"38,089","1,804,450",MEME,-0.0606312384370812
191090,2017-08-19,0.15942699999999999,0.199996,0.140045,0.181381,"233,727","1,593,480",MEME,0.13770565838910598
191091,2017-08-18,0.149955,0.15950799999999998,0.139552,0.15950799999999998,"18,114","2,119,530",MEME,0.0637057784001868
191092,2017-08-17,0.14305199999999998,0.154722,0.138215,0.15041500000000002,"20,423","2,021,940",MEME,0.0514707938372059
191093,2017-08-16,0.137196,0.171185,0.130902,0.14318399999999998,"58,067","1,939,180",MEME,0.0436455873349077
191094,2017-08-15,0.139622,0.144496,0.12421300000000002,0.137045,"32,138","1,973,460",MEME,-0.0184569766942172
