Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
550974,2018-01-10,0.00628,0.006899,0.0056700000000000006,0.006899,122,"99,648",MND,0.0985668789808917
550975,2018-01-09,0.006024,0.006634,0.005959000000000001,0.006272,53,"95,586",MND,0.0411686586985392
550976,2018-01-08,0.007328,0.0073560000000000006,0.005699,0.00604,71,"116,282",MND,-0.175764192139738
550977,2018-01-07,0.005677000000000001,0.007431999999999999,0.005403,0.007338,94,"90,078",MND,0.29258411132640505
550978,2018-01-06,0.005944,0.005944,0.0054,0.005681,8,"94,324",MND,-0.0442462987886944
550979,2018-01-05,0.005313,0.00599,0.005227000000000001,0.00594,3,"84,312",MND,0.118012422360248
550980,2018-01-04,0.005476,0.005564,0.004190999999999999,0.005312,34,"86,890",MND,-0.0299488677867056
550981,2018-01-03,0.005193,0.0055,0.004083,0.005446,88,"82,393",MND,0.0487194300019258
550982,2018-01-02,0.00351,0.00532,0.003389,0.005211,8,"55,701",MND,0.484615384615385
550983,2018-01-01,0.0034270000000000004,0.003571,0.0034219999999999997,0.003511,1,"54,380",MND,0.024511234315727996
550984,2017-12-31,0.003433,0.003636,0.003399,0.003587,2,"54,472",MND,0.0448587241479756
550985,2017-12-30,0.004059,0.005167000000000001,0.0032869999999999996,0.0034700000000000004,17,"64,404",MND,-0.14510963291451098
550986,2017-12-29,0.00434,0.004538,0.004035,0.004069,4,"68,870",MND,-0.0624423963133641
550987,2017-12-28,0.00481,0.00483,0.004137,0.004296,103,"76,323",MND,-0.10686070686070699
550988,2017-12-27,0.006335,0.006624,0.0047409999999999996,0.0048200000000000005,8,"100,519",MND,-0.23914759273875302
550989,2017-12-26,0.004457,0.006456,0.004439,0.00633,30,"70,730",MND,0.420237828135517
550990,2017-12-25,0.00479,0.005074,0.0042369999999999994,0.004462,7,"75,999",MND,-0.0684759916492693
550991,2017-12-24,0.004528,0.004967,0.003896,0.00474,379,"71,849",MND,0.0468197879858658
