Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
454168,2018-01-10,0.706819,0.717738,0.5610069999999999,0.6403300000000001,"9,505","445,539",MST,-0.0940679296962872
454169,2018-01-09,0.43028599999999995,0.7531720000000001,0.410029,0.7058939999999999,"8,626","271,228",MST,0.6405228150578921
454170,2018-01-08,0.454892,0.531291,0.388418,0.43145900000000004,"2,306","286,738",MST,-0.0515133262400746
454171,2018-01-07,0.390382,0.550076,0.338835,0.455529,"4,091","246,075",MST,0.166880132793008
454172,2018-01-06,0.537076,0.741359,0.389726,0.390669,"3,365","338,542",MST,-0.272600153423352
454173,2018-01-05,0.56698,0.614743,0.34876799999999997,0.5366489999999999,424,"357,392",MST,-0.0534957141345374
454174,2018-01-04,0.39014299999999996,0.570751,0.306969,0.566867,"2,382","245,924",MST,0.45297237166884996
454175,2018-01-03,0.29254600000000003,0.388771,0.29236799999999996,0.388017,"3,590","184,405",MST,0.32634525852344604
454176,2018-01-02,0.240188,0.30094,0.201434,0.293647,"1,974","151,401",MST,0.22257148566955898
454177,2018-01-01,0.280796,0.280796,0.213015,0.24623699999999998,798,"176,998",MST,-0.123075115030129
454178,2017-12-31,0.227609,0.285995,0.22132600000000002,0.27971399999999996,402,"143,472",MST,0.22892328510735502
454179,2017-12-30,0.256314,0.256366,0.2096,0.230095,410,"161,566",MST,-0.10229250060472699
454180,2017-12-29,0.21295100000000003,0.276067,0.20984,0.25695999999999997,"1,289","134,232",MST,0.206662565566727
454181,2017-12-28,0.198438,0.296937,0.191949,0.210769,"1,741","125,084",MST,0.0621403158669207
454182,2017-12-27,0.208447,0.24788400000000002,0.19200599999999998,0.198855,"1,276","131,393",MST,-0.0460164934012003
454183,2017-12-26,0.146591,0.253231,0.14628,0.20829699999999998,"1,090","92,403",MST,0.4209398939907629
454184,2017-12-25,0.154728,0.19739,0.116477,0.146741,209,"97,532",MST,-0.05161961635903
454185,2017-12-24,0.161444,0.161444,0.095206,0.153137,564,"101,765",MST,-0.0514543742721935
454186,2017-12-23,0.178203,0.24214899999999998,0.142,0.15968,603,"112,329",MST,-0.10394325572521199
454187,2017-12-22,0.137378,0.193012,0.126797,0.176535,130,"86,595",MST,0.28503108212377504
454188,2017-12-21,0.171426,0.184755,0.13591,0.136903,89,"108,057",MST,-0.20138718747447898
454189,2017-12-20,0.19214,0.19506400000000002,0.16395,0.170978,26,"121,114",MST,-0.11013844072030801
454190,2017-12-19,0.197914,0.20647600000000002,0.18569000000000002,0.192329,76,"124,754",MST,-0.0282193275867296
454191,2017-12-18,0.20610799999999999,0.246617,0.19383,0.197746,325,"129,919",MST,-0.040570962796204
454192,2017-12-17,0.197688,0.31611500000000003,0.194709,0.205486,165,"124,612",MST,0.0394459957104124
454193,2017-12-16,0.179584,0.199225,0.176978,0.197663,58,"113,199",MST,0.100671552031361
454194,2017-12-15,0.175251,0.216011,0.16989400000000002,0.179332,314,"110,468",MST,0.0232866003617668
454195,2017-12-14,0.158889,0.30917,0.15778,0.174988,640,"100,154",MST,0.101322306767618
454196,2017-12-13,0.20901,0.228687,0.158276,0.1594,115,"131,748",MST,-0.23735706425529898
454197,2017-12-12,0.157302,0.208835,0.155617,0.208835,117,"99,155",MST,0.32760549770505104
454198,2017-12-11,0.167326,0.299791,0.15128699999999998,0.156799,627,"105,473",MST,-0.0629131157142345
454199,2017-12-10,0.14541800000000002,0.173316,0.128566,0.168543,599,"91,663",MST,0.159024329862878
