Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
501682,2018-01-10,,,,,"5,234","16,768",NANOX,
501683,2018-01-09,,,,,"1,617","18,835",NANOX,
501684,2018-01-08,,,,,"2,314","15,294",NANOX,
501685,2018-01-07,,,,,"2,665","20,195",NANOX,
501686,2018-01-06,,,,,"7,185","20,263",NANOX,
501687,2018-01-05,,,,,"12,315","21,387",NANOX,
501688,2018-01-04,,,,,"8,182","33,714",NANOX,
501689,2018-01-03,,,,,"6,528","32,882",NANOX,
501690,2018-01-02,,,,,"4,036","25,043",NANOX,
501691,2018-01-01,,,,,"12,166","33,921",NANOX,
501692,2017-12-31,,,,,"12,313","33,932",NANOX,
501693,2017-12-30,,,,,"15,726","55,590",NANOX,
501694,2017-12-29,,,,,"23,790","74,618",NANOX,
501695,2017-12-28,,,,,"37,305","66,789",NANOX,
501696,2017-12-27,,,,,"54,631","178,487",NANOX,
501697,2017-12-26,,,,,"134,610","179,881",NANOX,
501698,2017-12-25,,,,,"126,628","147,514",NANOX,
501699,2017-12-24,,,,,"322,658","113,172",NANOX,
501700,2017-12-23,,,,,"64,003","41,011",NANOX,
501701,2017-12-22,,,,,"4,511","36,893",NANOX,
501702,2017-12-21,,,,,"2,075","55,472",NANOX,
501703,2017-12-20,,,,,"50,944","75,978",NANOX,
501704,2017-12-19,95667.7,,88793.4,,"52,119","7,487",NANOX,
501705,2017-12-18,80564.4,95586.7,76950.9,95586.7,197,"6,305",NANOX,0.18646325175884101
501706,2017-12-17,,,79454.9,80321.2,643,"9,451",NANOX,
501707,2017-12-16,88234.2,,71438.4,,"1,745","6,906",NANOX,
501708,2017-12-15,66350.6,90373.2,66337.8,88110.5,611,"5,193",NANOX,0.327953326721989
501709,2017-12-14,81877.4,90438.0,65840.3,66251.0,149,"6,408",NANOX,-0.19085119947629
501710,2017-12-13,41617.7,83991.7,39666.3,82141.1,"1,555","3,257",NANOX,0.973705899172708
501711,2017-12-12,67209.7,68301.5,33436.9,41583.0,227,"5,260",NANOX,-0.381294664311848
501712,2017-12-11,30494.0,33836.4,30360.6,33112.7,51,"2,387",NANOX,0.0858759100150848
501713,2017-12-10,53984.7,53984.7,27628.5,30715.7,461,"4,225",NANOX,-0.431029532441599
501714,2017-12-09,73024.6,74106.5,48623.5,53766.8,34,"5,715",NANOX,-0.26371661056685003
501715,2017-12-08,63867.8,78849.0,54447.8,73098.2,56,"4,999",NANOX,0.144523531419588
501716,2017-12-07,67305.8,69551.6,53355.2,63717.9,663,"5,268",NANOX,-0.0533074415577855
501717,2017-12-06,52653.5,67516.5,52653.5,67421.7,220,"4,121",NANOX,0.28047898050462
501718,2017-12-05,61778.2,61990.9,38260.8,52770.5,395,"4,835",NANOX,-0.145807097001855
501719,2017-12-04,67451.8,87404.3,57708.1,61657.0,106,"5,279",NANOX,-0.0859102351605147
501720,2017-12-03,76521.8,78432.8,57842.4,67228.9,58,"5,989",NANOX,-0.12144121021721901
501721,2017-12-02,33886.3,80787.1,33820.0,76448.8,756,"2,652",NANOX,1.2560385760617099
501722,2017-12-01,64955.0,65674.5,32573.0,33915.1,260,"5,084",NANOX,-0.47786775459933795
501723,2017-11-30,58972.0,69493.6,58492.3,65278.5,20,"4,615",NANOX,0.10694058197110501
501724,2017-11-29,59567.7,68633.3,36375.1,58079.9,194,"4,662",NANOX,-0.0249766232370898
501725,2017-11-28,58532.2,59805.7,57966.5,59627.0,38,"4,581",NANOX,0.0187042345922416
501726,2017-11-27,55907.1,58450.1,47422.6,58381.0,212,"4,376",NANOX,0.0442501936247811
501727,2017-11-26,56850.9,67765.7,53040.3,55896.4,57,"4,449",NANOX,-0.0167895319159415
501728,2017-11-25,57880.3,69667.0,56020.9,56869.9,136,"4,530",NANOX,-0.0174567167067206
501729,2017-11-24,60277.8,62542.2,45566.7,57997.5,428,"4,718",NANOX,-0.0378298478046645
501730,2017-11-23,,,60360.3,60360.3,951,"9,720",NANOX,
501731,2017-11-22,73034.9,,73034.9,,792,"5,716",NANOX,
501732,2017-11-21,74181.2,82175.2,70173.6,72857.9,348,"5,806",NANOX,-0.0178387515974398
501733,2017-11-20,72398.6,95932.9,71532.5,74167.5,"1,051","5,666",NANOX,0.0244327928993101
501734,2017-11-19,77869.1,97339.5,69451.1,72432.3,396,"6,094",NANOX,-0.06981973594147099
501735,2017-11-18,84554.0,,67005.1,78013.7,"2,300","6,618",NANOX,-0.0773505688672328
501736,2017-11-17,56481.7,,55995.9,84879.5,"1,364","4,420",NANOX,0.5027787761345711
501737,2017-11-16,73030.5,,56037.1,56574.4,840,"5,716",NANOX,-0.225331881884966
501738,2017-11-15,79339.2,,71351.6,72649.8,"1,013","6,209",NANOX,-0.084313933087301
501739,2017-11-14,81635.9,,78690.6,79284.9,"5,516","6,389",NANOX,-0.0287986045355046
501740,2017-11-13,88062.2,,74513.6,81463.3,"86,520","6,892",NANOX,-0.0749345349082807
501741,2017-11-12,44528.4,98990.7,43329.3,87934.1,"16,894","3,485",NANOX,0.974786877588236
501742,2017-11-11,40928.5,74392.3,40305.3,44561.2,"24,371","3,203",NANOX,0.0887572229619946
501743,2017-11-10,92675.1,95349.1,41046.7,41074.7,270,"7,253",NANOX,-0.556788177191069
501744,2017-11-09,,,64860.8,92400.8,"2,017","8,825",NANOX,
501745,2017-11-08,47678.1,,47394.6,,"1,888","3,731",NANOX,
501746,2017-11-07,49493.9,61423.0,37435.3,47828.2,109,"3,874",NANOX,-0.0336546523915069
501747,2017-11-06,73933.6,74162.6,34856.9,49573.3,836,"5,786",NANOX,-0.329488892736185
501748,2017-11-05,95898.4,96303.9,72954.6,73769.8,202,"7,505",NANOX,-0.230750460904457
501749,2017-11-04,53751.9,98145.0,35623.4,96080.3,458,"4,207",NANOX,0.7874772798728981
501750,2017-11-03,70232.8,94457.8,50823.5,53892.0,583,"5,497",NANOX,-0.23266621863288897
501751,2017-11-02,84938.4,85059.5,70054.9,70324.9,393,"6,648",NANOX,-0.172048213764328
501752,2017-10-31,72369.3,72941.0,71985.7,72362.4,13,"5,664",NANOX,-9.534429654575529e-05
501753,2017-10-30,,,71280.7,72615.9,142,"11,324",NANOX,
501754,2017-10-29,68037.6,,68037.6,,193,"5,325",NANOX,
501755,2017-10-28,66279.4,67510.4,65242.9,66010.3,19,"5,187",NANOX,-0.00406008503396216
501756,2017-10-27,,,57299.0,66099.0,642,"8,339",NANOX,
501757,2017-10-26,,,,,67,"8,078",NANOX,
501758,2017-10-25,,,98364.9,,124,"10,797",NANOX,
501759,2017-10-24,,,,,48,"11,477",NANOX,
501760,2017-10-23,,,,,342,"9,359",NANOX,
501761,2017-10-22,,,,,24,"9,413",NANOX,
501762,2017-10-21,,,,,96,"9,400",NANOX,
501763,2017-10-20,,,,,226,"9,385",NANOX,
501764,2017-10-19,,,,,508,"12,243",NANOX,
501765,2017-10-18,,,,,853,"10,516",NANOX,
501766,2017-10-17,,,,,"2,615","10,403",NANOX,
501767,2017-10-16,,,,,140,"11,180",NANOX,
501768,2017-10-15,,,,,19,"14,801",NANOX,
501769,2017-10-14,,,,,30,"11,951",NANOX,
501770,2017-10-13,,,,,21,"12,774",NANOX,
501771,2017-10-12,,,,,76,"11,332",NANOX,
501772,2017-10-11,,,,,72,"14,966",NANOX,
501773,2017-10-10,,,,,645,"14,234",NANOX,
501774,2017-10-09,,,,,164,"14,085",NANOX,
501775,2017-10-08,,,,,84,"14,607",NANOX,
501776,2017-10-07,,,,,115,"14,720",NANOX,
501777,2017-10-06,,,,,"5,741","15,904",NANOX,
501778,2017-10-05,,,,,"1,024","13,381",NANOX,
501779,2017-10-04,,,,,409,"13,186",NANOX,
501780,2017-10-03,,,,,"31,496","13,783",NANOX,
501781,2017-10-02,,,,,98,"17,883",NANOX,
501782,2017-10-01,,,,,"1,944","13,487",NANOX,
501783,2017-09-30,,,,,68,"12,734",NANOX,
501784,2017-09-29,,,,,85,"19,036",NANOX,
501785,2017-09-28,,,,,135,"12,513",NANOX,
501786,2017-09-27,,,,,428,"24,956",NANOX,
501787,2017-09-26,,,,,171,"27,706",NANOX,
501788,2017-09-25,,,,,"16,535","26,557",NANOX,
501789,2017-09-24,,,,,"17,450","17,761",NANOX,
501790,2017-09-23,,,,,"14,222","10,864",NANOX,
501791,2017-09-22,,,,,248,"13,319",NANOX,
501792,2017-09-21,,,,,74,"13,663",NANOX,
501793,2017-09-20,,,,,144,"14,702",NANOX,
501794,2017-09-19,,,,,386,"14,451",NANOX,
501795,2017-09-18,,,,,173,-,NANOX,
501796,2017-09-17,,,,,140,-,NANOX,
501797,2017-09-16,,,,,30,-,NANOX,
501798,2017-09-15,,,94158.5,,55,-,NANOX,
501799,2017-09-14,,,,,198,-,NANOX,
501800,2017-09-13,,,94679.7,,279,-,NANOX,
501801,2017-09-12,96820.6,,94358.5,,41,-,NANOX,
501802,2017-09-11,,,96834.7,96851.7,40,-,NANOX,
501803,2017-09-10,,,,,16,-,NANOX,
501804,2017-09-09,,,,,217,-,NANOX,
501805,2017-09-08,,,,,51,-,NANOX,
501806,2017-09-07,,,,,427,-,NANOX,
501807,2017-09-06,92908.7,,92870.2,,101,-,NANOX,
501808,2017-09-05,,,92403.6,92802.9,74,-,NANOX,
501809,2017-09-04,,,,,71,-,NANOX,
501810,2017-09-03,,,,,139,-,NANOX,
501811,2017-09-02,,,,,497,-,NANOX,
501812,2017-09-01,,,,,421,-,NANOX,
501813,2017-08-31,,,92207.2,,791,-,NANOX,
501814,2017-08-30,,,,,"1,243",-,NANOX,
501815,2017-08-29,,,,,232,-,NANOX,
501816,2017-08-28,,,,,243,-,NANOX,
501817,2017-08-27,,,,,778,-,NANOX,
501818,2017-08-26,,,,,440,-,NANOX,
501819,2017-08-25,,,,,399,-,NANOX,
501820,2017-08-24,,,,,378,-,NANOX,
501821,2017-08-23,,,,,23,-,NANOX,
501822,2017-08-22,,,,,167,-,NANOX,
501823,2017-08-21,,,,,340,-,NANOX,
501824,2017-08-20,,,,,644,-,NANOX,
501825,2017-08-19,,,,,886,-,NANOX,
501826,2017-08-18,,,,,"1,069",-,NANOX,
501827,2017-08-17,,,,,290,-,NANOX,
501828,2017-08-16,,,,,221,-,NANOX,
501829,2017-08-15,,,,,431,-,NANOX,
501830,2017-08-14,,,,,727,-,NANOX,
501831,2017-08-13,,,,,371,-,NANOX,
501832,2017-08-12,,,,,119,-,NANOX,
501833,2017-08-11,,,,,52,-,NANOX,
501834,2017-08-10,,,,,34,-,NANOX,
501835,2017-08-09,,,,,71,-,NANOX,
501836,2017-08-08,,,,,34,-,NANOX,
501837,2017-08-07,,,,,192,-,NANOX,
501838,2017-08-06,,,,,306,-,NANOX,
501839,2017-08-05,,,,,165,-,NANOX,
501840,2017-08-04,,,,,634,-,NANOX,
501841,2017-08-03,,,,,19,-,NANOX,
501842,2017-08-02,,,,,19,-,NANOX,
501843,2017-08-01,,,,,254,-,NANOX,
501844,2017-07-31,,,,,393,-,NANOX,
501845,2017-07-30,,,,,379,-,NANOX,
501846,2017-07-29,,,,,27,-,NANOX,
501847,2017-07-28,,,,,180,-,NANOX,
501848,2017-07-27,,,,,55,-,NANOX,
501849,2017-07-26,,,,,492,-,NANOX,
501850,2017-07-25,,,,,282,-,NANOX,
501851,2017-07-24,,,,,935,-,NANOX,
501852,2017-07-23,,,,,"37,923",-,NANOX,
501853,2017-07-22,,,,,85,-,NANOX,
501854,2017-07-21,,,,,211,-,NANOX,
501855,2017-07-20,,,,,390,-,NANOX,
501856,2017-07-19,,,,,"2,227",-,NANOX,
501857,2017-07-18,,,,,169,-,NANOX,
501858,2017-07-17,,,,,44,-,NANOX,
501859,2017-07-16,,,,,14,-,NANOX,
501860,2017-07-15,,,,,261,-,NANOX,
501861,2017-07-14,,,,,"1,031",-,NANOX,
501862,2017-07-13,,,,,181,-,NANOX,
501863,2017-07-12,,,,,91,-,NANOX,
501864,2017-07-11,,,,,262,-,NANOX,
501865,2017-07-10,,,,,251,-,NANOX,
501866,2017-07-09,,,,,177,-,NANOX,
501867,2017-07-08,,,,,274,-,NANOX,
501868,2017-07-07,,,,,324,-,NANOX,
501869,2017-07-06,,,,,533,-,NANOX,
501870,2017-07-05,,,,,534,-,NANOX,
501871,2017-07-04,,,,,416,-,NANOX,
501872,2017-07-03,,,,,537,-,NANOX,
501873,2017-07-02,,,,,"1,029",-,NANOX,
501874,2017-07-01,,,,,"7,353",-,NANOX,
501875,2017-06-30,,,,,302,-,NANOX,
501876,2017-06-29,,,,,801,-,NANOX,
501877,2017-06-28,,,,,"3,250",-,NANOX,
501878,2017-06-27,,,,,325,-,NANOX,
501879,2017-06-26,,,,,"1,043",-,NANOX,
501880,2017-06-25,,,,,"2,466",-,NANOX,
501881,2017-06-24,,,,,970,-,NANOX,
501882,2017-06-23,,,,,128,-,NANOX,
501883,2017-06-22,,,,,320,-,NANOX,
501884,2017-06-21,,,,,159,-,NANOX,
501885,2017-06-20,,,,,47,-,NANOX,
501886,2017-06-19,,,,,545,-,NANOX,
501887,2017-06-18,,,,,807,-,NANOX,
501888,2017-06-17,,,,,625,-,NANOX,
501889,2017-06-16,,,,,244,-,NANOX,
501890,2017-06-15,,,,,107,-,NANOX,
501891,2017-06-14,,,,,85,-,NANOX,
501892,2017-06-13,,,,,72,-,NANOX,
501893,2017-06-12,,,,,313,-,NANOX,
501894,2017-06-11,,,,,34,-,NANOX,
501895,2017-06-10,,,,,248,-,NANOX,
501896,2017-06-09,,,,,441,-,NANOX,
501897,2017-06-08,,,,,353,-,NANOX,
501898,2017-06-07,,,,,"1,299",-,NANOX,
501899,2017-06-06,,,,,733,-,NANOX,
501900,2017-06-05,,,,,463,-,NANOX,
501901,2017-06-04,,,,,259,-,NANOX,
501902,2017-06-03,,,,,407,-,NANOX,
501903,2017-06-02,,,,,"1,198",-,NANOX,
501904,2017-06-01,,,,,"3,771",-,NANOX,
501905,2017-05-31,,,,,"1,948",-,NANOX,
501906,2017-05-30,,,,,"1,546",-,NANOX,
