Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
383925,2018-01-10,0.025898,0.029584,0.016600999999999998,0.019919,"115,496","1,704,160",NTO,-0.230867248436173
383926,2018-01-09,0.035477,0.035477,0.021188,0.025863999999999998,"69,618","2,334,440",NTO,-0.270964286720974
383927,2018-01-08,0.020063,0.042136,0.019202,0.035578,"127,002","1,320,170",NTO,0.7733140607087671
383928,2018-01-07,0.017917,0.020143,0.012865000000000001,0.020086,"33,721","1,178,990",NTO,0.12105821287045801
383929,2018-01-06,0.018153,0.02018,0.014271,0.01793,"17,047","1,194,540",NTO,-0.0122844708863547
383930,2018-01-05,0.016372,0.019675,0.014941999999999999,0.01814,"21,165","1,077,280",NTO,0.10798924993891999
383931,2018-01-04,0.022591999999999998,0.022632,0.012958,0.016368,"51,540","1,486,620",NTO,-0.275495750708215
383932,2018-01-03,0.011079,0.024408000000000003,0.010186,0.020524,"97,004","729,017",NTO,0.852513764780215
383933,2018-01-02,0.00921,0.011831,0.008762,0.011117,"14,570","606,050",NTO,0.207057546145494
383934,2018-01-01,0.00944,0.010135,0.008487999999999999,0.00921,"7,857","621,192",NTO,-0.0243644067796611
383935,2017-12-31,0.008865999999999999,0.010094,0.008264,0.009405,"8,812","583,395",NTO,0.0607940446650123
383936,2017-12-30,0.009139,0.010839,0.007348,0.008962000000000001,"11,270","601,361",NTO,-0.0193675456833352
383937,2017-12-29,0.009972,0.010947,0.008733,0.009161,"9,392","656,165",NTO,-0.081327717609306
383938,2017-12-28,0.010541,0.012605,0.008131999999999999,0.00987,"9,649","693,601",NTO,-0.0636561996015558
383939,2017-12-27,0.0106,0.010659,0.008323,0.010536,"10,847","697,482",NTO,-0.00603773584905659
383940,2017-12-26,0.00808,0.011016,0.007972,0.010745999999999999,"238,915","531,702",NTO,0.329950495049505
383941,2017-12-25,0.007839,0.009662,0.0077150000000000005,0.008089,"258,330","515,817",NTO,0.0318918229365991
383942,2017-12-24,0.008364,0.009426,0.006790000000000001,0.007756,"6,372","550,360",NTO,-0.0726924916307987
383943,2017-12-23,0.008748,0.009965,0.008097,0.008272,"5,435","575,608",NTO,-0.0544124371284866
383944,2017-12-22,0.01053,0.010634000000000001,0.007326000000000001,0.008666,"4,818","692,934",NTO,-0.17701804368471
383945,2017-12-21,0.009396,0.011706,0.009087999999999999,0.010494,"411,591","618,283",NTO,0.116858237547893
383946,2017-12-20,0.012861000000000001,0.012861000000000001,0.008121,0.009372,"443,008","846,306",NTO,-0.27128528108234196
383947,2017-12-19,0.014929,0.01494,0.012277,0.012874000000000002,"392,888","982,355",NTO,-0.137651550673186
383948,2017-12-18,0.012243,0.016085,0.011001,0.014916,"373,992","805,633",NTO,0.21832884097035002
383949,2017-12-17,0.011108,0.014939,0.009475,0.012206,"601,071","730,922",NTO,0.0988476773496579
383950,2017-12-16,0.010041,0.012206999999999999,0.009807999999999999,0.011301,"419,691","660,718",NTO,0.125485509411413
383951,2017-12-15,0.009953,0.01135,0.009628,0.010027,"291,094","654,906",NTO,0.00743494423791816
383952,2017-12-14,0.009824,0.010461,0.009245999999999999,0.009937999999999999,"339,137","646,467",NTO,0.0116042345276874
383953,2017-12-13,0.011222,0.011387999999999999,0.009562000000000001,0.010020000000000001,"281,689","738,461",NTO,-0.10711103190162198
383954,2017-12-12,0.009668000000000001,0.011363,0.009111,0.011212999999999999,"234,002","636,151",NTO,0.159805544062888
383955,2017-12-11,0.011885,0.012830000000000001,0.00919,0.009637,"6,912","782,053",NTO,-0.18914598233066898
383956,2017-12-10,0.012772,0.012772,0.009879,0.011970999999999999,"279,072","840,423",NTO,-0.0627153147510178
383957,2017-12-09,0.008620000000000001,0.012726000000000001,0.007739,0.01272,"294,050","567,224",NTO,0.47563805104408396
383958,2017-12-08,0.008678,0.008995999999999999,0.006856999999999999,0.008629000000000001,"422,731","571,015",NTO,-0.00564646231850662
383959,2017-12-07,0.00797,0.009365,0.007568999999999999,0.008657,"351,518","524,432",NTO,0.08619824341279801
383960,2017-12-06,0.008061,0.008683,0.006540000000000001,0.007984,"315,763","530,443",NTO,-0.009552164743828391
383961,2017-12-05,0.00875,0.00878,0.00784,0.008079000000000001,"13,627","575,770",NTO,-0.0766857142857144
383962,2017-12-04,0.008435,0.008872,0.007997,0.008733,"214,542","555,064",NTO,0.0353289863663307
383963,2017-12-03,0.008961,0.010029000000000001,0.0075120000000000004,0.008407,"382,976","589,687",NTO,-0.0618234572034372
383964,2017-12-02,0.009478,0.00968,0.007803,0.008953000000000001,"237,241","623,671",NTO,-0.0553914327917283
383965,2017-12-01,0.009159,0.011661,0.008094,0.009699,"325,304","602,705",NTO,0.0589584015722239
383966,2017-11-30,0.006981,0.0136,0.0067670000000000004,0.009205,"351,256","459,388",NTO,0.318579000143246
383967,2017-11-29,0.0037310000000000004,0.01031,0.003722,0.006876,"389,836","245,524",NTO,0.842937550254623
383968,2017-11-28,0.004683,0.004696,0.003453,0.003735,"8,171","308,149",NTO,-0.202434336963485
383969,2017-11-27,0.005418,0.005618,0.004323,0.004671,"359,542","356,519",NTO,-0.137873754152824
383970,2017-11-26,0.00551,0.005602,0.004915,0.005417,"11,685","362,584",NTO,-0.0168784029038113
383971,2017-11-25,0.006074,0.006074,0.005011,0.0055119999999999995,"218,898","399,713",NTO,-0.0925255186038854
383972,2017-11-24,0.004822,0.006177,0.004822,0.0060869999999999995,"373,040","317,314",NTO,0.262339278307756
383973,2017-11-23,0.005265,0.0060869999999999995,0.004816,0.004829,"18,583","346,445",NTO,-0.0828110161443494
383974,2017-11-22,0.0052770000000000004,0.006834000000000001,0.004975,0.005267,"234,910","347,253",NTO,-0.0018950161076368398
383975,2017-11-21,0.005683,0.005767,0.004872,0.0052640000000000004,"337,347","373,967",NTO,-0.07372866443779699
383976,2017-11-20,0.006595999999999999,0.006679999999999999,0.00511,0.005682,"276,678","434,049",NTO,-0.138568829593693
383977,2017-11-19,0.006853,0.007151,0.006174,0.006599,"236,973","450,940",NTO,-0.0370640595359696
383978,2017-11-18,0.0066879999999999995,0.008490000000000001,0.006099,0.006866,"2,488,090","440,072",NTO,0.0266148325358851
383979,2017-11-17,0.007453,0.009481999999999999,0.006404000000000001,0.006714,"727,665","490,395",NTO,-0.0991547028042399
383980,2017-11-16,0.006354,0.007968000000000001,0.006095000000000001,0.0077,"1,119,360","418,131",NTO,0.21183506452628303
383981,2017-11-15,0.006606999999999999,0.007201000000000001,0.006219,0.006321,"321,915","434,733",NTO,-0.0432874224307552
383982,2017-11-14,0.006923,0.008217,0.005719,0.006601999999999999,"685,005","455,537",NTO,-0.0463671818575762
383983,2017-11-13,0.006340999999999999,0.007492,0.006340999999999999,0.006908,"631,507","417,248",NTO,0.0894180728591704
383984,2017-11-12,0.006961,0.0077,0.005886,0.006332,"736,398","458,057",NTO,-0.0903605803763827
383985,2017-11-11,0.007889,0.008206,0.006677,0.007146,"1,006,080","519,084",NTO,-0.0941817720877171
383986,2017-11-10,0.009269,0.012625,0.006640999999999999,0.007917,"1,028,240","609,928",NTO,-0.14586255259467001
383987,2017-11-09,0.007989,0.010657999999999999,0.006963,0.009242,"889,833","525,686",NTO,0.156840655901865
383988,2017-11-08,0.008748,0.009503,0.007025,0.007923000000000001,"411,761","575,618",NTO,-0.0943072702331963
383989,2017-11-07,0.008079000000000001,0.009974,0.007328,0.008775,"246,537","531,592",NTO,0.0861492759004828
383990,2017-11-06,0.006628,0.0104,0.005035,0.008092,"296,138","436,160",NTO,0.220881110440555
383991,2017-11-05,0.00509,0.005886,0.004799,0.005886,"50,588","334,940",NTO,0.15638506876227898
383992,2017-11-04,0.005113,0.0062770000000000005,0.0046429999999999996,0.0051,"270,329","336,438",NTO,-0.00254253862702914
383993,2017-11-03,0.006417,0.0078,0.004213000000000001,0.005125,"7,612","422,285",NTO,-0.201340190119994
383994,2017-11-02,0.007405,0.008884,0.005881,0.006426,"348,047","487,281",NTO,-0.132207967589467
383995,2017-11-01,0.007215000000000001,0.009278,0.007045,0.007397,"712,648","474,757",NTO,0.0252252252252252
383996,2017-10-31,0.007317000000000001,0.010036,0.006942,0.007156999999999999,"229,948","481,460",NTO,-0.02186688533552
383997,2017-10-30,0.006778,0.008609,0.00673,0.007305,"948,265","446,022",NTO,0.0777515491295367
383998,2017-10-29,0.007903,0.009673000000000001,0.006929,0.007431,"211,099","520,049",NTO,-0.0597241553840314
383999,2017-10-28,0.00806,0.00875,0.006698000000000001,0.007914000000000001,"259,611","530,361",NTO,-0.0181141439205956
384000,2017-10-27,0.007328,0.009148,0.006911,0.008038,"187,657","482,231",NTO,0.0968886462882096
384001,2017-10-26,0.009014,0.009201,0.007084,0.007783,"700,620","593,146",NTO,-0.136565342800089
384002,2017-10-25,0.008944,0.009259,0.006876999999999999,0.009015,"39,153","588,509",NTO,0.00793828264758496
384003,2017-10-24,0.008298,0.009883,0.007968000000000001,0.00894,"875,975","546,055",NTO,0.0773680404916848
384004,2017-10-23,0.010574,0.010735,0.007784999999999999,0.008317,"354,248","695,769",NTO,-0.213448080196709
384005,2017-10-22,0.010655,0.011097,0.009389,0.010591,"1,586,150","701,099",NTO,-0.0060065696855936
384006,2017-10-21,0.011728,0.012283,0.009797,0.011040000000000001,"1,121,690","771,704",NTO,-0.0586630286493862
384007,2017-10-20,0.012389,0.012594,0.010125,0.011752,"1,040,310","815,236",NTO,-0.0514165792235048
384008,2017-10-19,0.011099,0.012994,0.011015,0.012386,"825,176","730,355",NTO,0.11595639246778998
384009,2017-10-18,0.011595000000000001,0.015186000000000002,0.010473999999999999,0.011093,"90,261","763,003",NTO,-0.0432945235015092
384010,2017-10-17,0.009945,0.023715,0.007443000000000001,0.011595000000000001,"1,878,190","654,420",NTO,0.165912518853695
384011,2017-10-16,0.011515000000000001,0.012545,0.007468000000000001,0.009944,"592,264","757,713",NTO,-0.13643074250977
384012,2017-10-15,0.013791999999999999,0.019466,0.009907,0.011512999999999999,"555,652","907,556",NTO,-0.16524071925754097
384013,2017-10-14,0.009602,0.034473000000000004,0.009004999999999999,0.013768,"2,849,890","631,830",NTO,0.43386794417829605
384014,2017-10-13,0.00978,0.011907,0.008123,0.009599,"614,123","643,564",NTO,-0.0185071574642127
384015,2017-10-12,0.009618999999999999,0.00975,0.007940000000000001,0.00975,"198,662","632,958",NTO,0.0136188793013826
384016,2017-10-11,0.009415,0.010620000000000001,0.008125,0.009611,"495,917","619,550",NTO,0.020817843866171002
384017,2017-10-10,0.011454,0.011643,0.008659,0.009417,"161,697","753,715",NTO,-0.17784180199057104
384018,2017-10-09,0.013027,0.013799,0.010604,0.011455,"313,393","857,214",NTO,-0.120672449527904
384019,2017-10-08,0.015955,0.016004,0.011831999999999999,0.013022999999999998,"5,617","1,049,870",NTO,-0.18376684424945197
384020,2017-10-07,0.013553,0.016035,0.011215000000000001,0.015997,"110,977","891,848",NTO,0.18032907843281898
384021,2017-10-06,0.012536,0.014008000000000001,0.007812999999999999,0.013538999999999999,"138,693","824,893",NTO,0.0800095724313976
384022,2017-10-05,0.015612000000000001,0.015622,0.010793,0.012536,"105,787","1,027,270",NTO,-0.19702792723545998
384023,2017-10-04,0.017377,0.017388,0.010962999999999999,0.015597,"158,511","1,143,460",NTO,-0.10243425217241198
384024,2017-10-03,0.012985,0.016132,0.010753,0.016114,"172,339","854,462",NTO,0.24097035040431303
384025,2017-10-02,0.015831,0.016276,0.012667,0.012985,"2,961","1,041,700",NTO,-0.179773861411155
384026,2017-10-01,0.016944,0.01702,0.012738,0.015837999999999998,"215,021","1,114,920",NTO,-0.0652738432483475
384027,2017-09-30,0.018599,0.019362,0.016013,0.016934,"230,798","1,223,890",NTO,-0.0895209419861283
384028,2017-09-29,0.016866,0.018892,0.016268,0.018597,"3,519","1,109,830",NTO,0.102632515119175
384029,2017-09-28,0.018896,0.020208,0.015472999999999999,0.016878999999999998,"534,295","1,243,390",NTO,-0.10674216765453
384030,2017-09-27,0.018890999999999998,0.020916999999999998,0.016622,0.018895,"139,870","1,243,070",NTO,0.00021174104070706
384031,2017-09-26,0.016308,0.021716,0.016307,0.018855,"14,088","1,073,080",NTO,0.156181015452539
384032,2017-09-25,0.015059000000000001,0.017787,0.015053,0.016309,"466,892","990,901",NTO,0.0830068397635966
384033,2017-09-24,0.015816999999999998,0.019663,0.015074,0.015074,"121,856","1,040,800",NTO,-0.0469747739773662
384034,2017-09-23,0.017879,0.022192,0.015678,0.015818000000000002,"11,470","1,176,510",NTO,-0.11527490351809401
384035,2017-09-22,0.015733,0.017937,0.012464,0.01793,"488,239","1,035,290",NTO,0.139642789042141
384036,2017-09-21,0.024231,0.025281,0.015659,0.015750999999999998,"14,451","1,594,430",NTO,-0.349964920969007
384037,2017-09-20,0.025543,0.027208999999999997,0.024062,0.02435,"489,747","1,680,800",NTO,-0.0467055553380574
384038,2017-09-19,0.027181999999999998,0.030243,0.022956,0.025577000000000003,"491,097","1,788,650",NTO,-0.0590464277830918
384039,2017-09-18,0.022389,0.027315,0.022389,0.027117000000000002,"553,704","1,473,270",NTO,0.211175130644513
384040,2017-09-17,0.025437,0.029081,0.022064,0.022434,"18,333","1,673,790",NTO,-0.118056374572473
384041,2017-09-16,0.031016000000000002,0.03403,0.019879,0.025397,"346,536","2,040,940",NTO,-0.18116456022698
384042,2017-09-15,0.041902999999999996,0.049257999999999996,0.027612,0.03065,"363,188","2,757,300",NTO,-0.268548791255996
384043,2017-09-14,0.112436,0.28512600000000005,0.038674,0.042207,"184,542","7,398,570",NTO,-0.6246131132377529
384044,2017-09-13,0.169351,0.187594,0.103728,0.11243,"169,031","11,143,700",NTO,-0.33611257093256
