Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
170370,2018-01-10,0.968368,1.03,0.8687280000000001,1.01,"274,087","29,051,100",OCT,0.0429919204269451
170371,2018-01-09,1.04,1.06,0.8924780000000001,0.9698110000000001,"205,003","31,344,900",OCT,-0.0674894230769231
170372,2018-01-08,1.12,1.16,0.796199,1.04,"548,116","33,697,600",OCT,-0.0714285714285715
170373,2018-01-07,0.8899540000000001,1.09,0.8899540000000001,1.08,"318,419","26,698,600",OCT,0.213545868662875
170374,2018-01-06,0.891134,1.03,0.8454520000000001,0.883441,"260,652","26,734,000",OCT,-0.00863282065323503
170375,2018-01-05,0.854189,1.12,0.826076,0.8874280000000001,"188,105","25,625,700",OCT,0.038912933788658
170376,2018-01-04,0.9094709999999999,0.9329850000000001,0.830374,0.8570030000000001,"134,572","27,284,100",OCT,-0.0576906795268899
170377,2018-01-03,0.812392,1.04,0.7741239999999999,0.9334549999999999,"179,323","24,371,800",OCT,0.14902042363785
170378,2018-01-02,0.8222870000000001,0.8709610000000001,0.75468,0.808303,"90,887","24,668,600",OCT,-0.0170062277525973
170379,2018-01-01,0.7716149999999999,1.06,0.7214189999999999,0.823937,"70,593","23,148,500",OCT,0.0678084277781017
170380,2017-12-31,0.8200649999999999,0.8402129999999999,0.715633,0.7710060000000001,"77,986","24,602,000",OCT,-0.059823306689104
170381,2017-12-30,0.885352,0.9307979999999999,0.611483,0.8276,"135,953","26,560,600",OCT,-0.0652305523678718
170382,2017-12-29,0.9370780000000001,1.02,0.839958,0.889114,"71,155","28,112,400",OCT,-0.0511846399125793
170383,2017-12-28,0.9101899999999999,0.973382,0.784799,0.936177,"137,175","27,305,700",OCT,0.0285511816214197
170384,2017-12-27,0.9958370000000001,1.03,0.8370139999999999,0.9122030000000001,"115,304","29,875,100",OCT,-0.0839836238259876
170385,2017-12-26,0.967377,1.01,0.925975,0.994102,"85,349","29,021,300",OCT,0.0276262511926581
170386,2017-12-25,0.938895,1.02,0.9122520000000001,0.9667040000000001,"123,629","28,166,800",OCT,0.0296188604689555
170387,2017-12-24,0.890357,0.9380799999999999,0.743624,0.935184,"258,818","26,710,700",OCT,0.0503472202723178
170388,2017-12-23,0.84265,0.972993,0.7913140000000001,0.8847280000000001,"87,773","25,279,500",OCT,0.0499353230878775
170389,2017-12-22,1.11,1.12,0.5667409999999999,0.843715,"167,207","33,164,900",OCT,-0.239896396396396
170390,2017-12-21,0.9395600000000001,1.22,0.9208780000000001,1.1,"321,589","28,186,800",OCT,0.170760781642471
170391,2017-12-20,0.952916,1.03,0.8289049999999999,0.930198,"249,736","28,587,500",OCT,-0.0238405064035025
170392,2017-12-19,0.969944,1.25,0.8684200000000001,1.05,"530,318","29,098,300",OCT,0.0825367237696197
170393,2017-12-18,0.93014,0.977325,0.7922710000000001,0.8696389999999999,"71,989","27,904,200",OCT,-0.0650450469821746
170394,2017-12-17,0.8501110000000001,1.31,0.84134,0.934124,"153,191","25,503,300",OCT,0.0988259180271753
170395,2017-12-16,0.6271800000000001,0.8841899999999999,0.599381,0.850052,"352,139","18,815,400",OCT,0.35535571925125203
170396,2017-12-15,0.668834,0.678056,0.5794189999999999,0.627833,"241,320","20,065,000",OCT,-0.0613022065265822
170397,2017-12-14,0.676385,0.7024279999999999,0.572879,0.6719609999999999,"69,904","20,291,500",OCT,-0.00654065362182778
170398,2017-12-13,0.645629,0.7233510000000001,0.564719,0.671233,"52,282","19,368,900",OCT,0.0396574503313822
170399,2017-12-12,0.603878,0.712202,0.591742,0.642023,"96,077","18,116,300",OCT,0.0631667323532236
170400,2017-12-11,0.535242,0.651632,0.520526,0.608654,"42,286","16,057,300",OCT,0.137156650636535
170401,2017-12-10,0.571084,0.5867399999999999,0.5107470000000001,0.536558,"18,264","17,132,500",OCT,-0.0604569555441932
170402,2017-12-09,0.617125,0.657101,0.539304,0.569103,"72,086","18,513,800",OCT,-0.0778156775369658
170403,2017-12-08,0.592564,0.626045,0.547075,0.618109,"70,118","17,776,900",OCT,0.043109267522158
170404,2017-12-07,0.632223,0.676868,0.521249,0.5935560000000001,"62,443","18,966,700",OCT,-0.0611603817007607
170405,2017-12-06,0.667262,0.806547,0.6087819999999999,0.63237,"81,200","20,017,900",OCT,-0.052291303865647995
170406,2017-12-05,0.7289140000000001,0.775019,0.613232,0.674036,"80,011","21,867,400",OCT,-0.0752873452835314
170407,2017-12-04,0.645605,1.18,0.570783,0.741783,"151,537","19,368,200",OCT,0.14897344351422304
170408,2017-12-03,0.6449819999999999,0.754564,0.592884,0.636465,"27,414","19,349,500",OCT,-0.0132050196749678
170409,2017-12-02,0.609649,0.744158,0.580542,0.644757,"29,635","18,289,500",OCT,0.05758723462188901
170410,2017-12-01,0.577972,0.734063,0.505231,0.606545,"63,341","17,339,200",OCT,0.0494366509104247
170411,2017-11-30,0.469462,0.5831850000000001,0.45818000000000003,0.574298,"24,817","14,083,800",OCT,0.22331093890453302
170412,2017-11-23,0.340665,0.342329,0.055773,0.055969000000000005,887,"10,220,000",OCT,-0.8357066326156201
170413,2017-11-22,0.296505,0.342445,0.258889,0.34077399999999997,58,"8,895,160",OCT,0.149302709903712
170414,2017-11-21,0.340368,0.357692,0.294102,0.297926,"16,153","10,211,000",OCT,-0.124694448361773
170415,2017-11-20,0.309172,0.35736999999999997,0.306596,0.340977,"12,936","9,275,150",OCT,0.102871540760483
170416,2017-11-19,0.356671,0.35989499999999996,0.306666,0.30880799999999997,"19,000","10,700,100",OCT,-0.134193696712096
170417,2017-11-18,0.305756,0.36030700000000004,0.291959,0.356989,"11,504","9,172,670",OCT,0.16756171587802
170418,2017-11-17,0.302593,0.520683,0.27584000000000003,0.306081,"2,911","9,077,780",OCT,0.0115270346637232
170419,2017-11-16,0.305579,0.376655,0.30286199999999996,0.30294699999999997,"7,488","9,167,380",OCT,-0.008613157317747509
170420,2017-11-15,0.266606,0.35882800000000004,0.26552600000000004,0.305669,"19,497","7,998,170",OCT,0.14651958320517902
170421,2017-11-14,0.267874,0.27119099999999996,0.24169899999999997,0.266805,"3,596","8,036,210",OCT,-0.00399068218640102
170422,2017-11-13,0.266527,0.26892,0.26415700000000003,0.26892,629,"7,995,810",OCT,0.00897845246447819
170423,2017-11-11,0.232118,0.24060900000000002,0.229397,0.23737399999999997,"2,334","6,963,550",OCT,0.0226436553821764
170424,2017-11-10,0.23296999999999998,0.264899,0.227244,0.231981,"2,278","6,989,100",OCT,-0.00424518178306227
