Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
484211,2018-01-10,0.087627,0.127148,0.04029,0.074692,"4,468","229,799",OFF,-0.14761431978728
484212,2018-01-09,0.07108300000000001,0.090657,0.063058,0.087512,"4,888","186,410",OFF,0.231124178776923
484213,2018-01-08,0.089242,0.092124,0.05707,0.071277,"1,337","234,028",OFF,-0.201306559691625
484214,2018-01-07,0.090657,0.101713,0.06465499999999999,0.089367,"1,393","237,738",OFF,-0.0142294582878322
484215,2018-01-06,0.080261,0.090918,0.062726,0.090724,469,"210,470",OFF,0.130362193344215
484216,2018-01-05,0.073477,0.165804,0.07030700000000001,0.080206,"1,050","192,678",OFF,0.0915796779944744
484217,2018-01-04,0.09095299999999999,0.092401,0.065953,0.073462,554,"238,506",OFF,-0.192308115180368
484218,2018-01-03,0.079186,0.09049,0.053477,0.09045399999999999,"1,748","207,648",OFF,0.14229788093855
484219,2018-01-02,0.040871,0.079846,0.038543,0.079426,937,"107,175",OFF,0.9433339042352771
484220,2018-01-01,0.042643,0.042643,0.032612999999999996,0.04088,193,"111,822",OFF,-0.041343245081256
484221,2017-12-31,0.037655,0.043438,0.037655,0.042479,37,"98,743",OFF,0.12811047669632197
484222,2017-12-30,0.046016,0.046306,0.036167000000000005,0.038064999999999995,153,"120,665",OFF,-0.172787726008345
484223,2017-12-29,0.041116,0.067235,0.034449,0.046122,436,"107,817",OFF,0.12175308882187
484224,2017-12-28,0.033912,0.040726,0.030299,0.040726,18,"88,927",OFF,0.20093182354328898
484225,2017-12-27,0.04276,0.063916,0.027977999999999996,0.03398,482,"112,128",OFF,-0.20533208606174
484226,2017-12-26,0.030188999999999997,0.04353,0.030064999999999998,0.042729,74,"79,164",OFF,0.41538308655470507
484227,2017-12-25,0.032258999999999996,0.033518,0.029644,0.030217,61,"84,592",OFF,-0.0633001642952355
484228,2017-12-24,0.027313999999999998,0.031927,0.025355000000000003,0.031927,23,"71,625",OFF,0.16888774987186
484229,2017-12-23,0.023441999999999998,0.02928,0.023112999999999998,0.027016000000000002,12,"61,473",OFF,0.15246139407900303
484230,2017-12-22,0.035983,0.036337,0.023028,0.023223,34,"94,357",OFF,-0.35461190006391896
484231,2017-12-21,0.031813,0.038350999999999996,0.031416,0.035858999999999995,41,"83,422",OFF,0.12718071228743
484232,2017-12-20,0.029776,0.031831,0.026327,0.03173,47,"78,080",OFF,0.0656233207952714
484233,2017-12-19,0.030996,0.036556,0.028769,0.029805,72,"81,281",OFF,-0.0384243128145566
484234,2017-12-18,0.039029,0.041842000000000004,0.02995,0.030969999999999998,42,"102,345",OFF,-0.206487483665992
484235,2017-12-17,0.031163,0.039381,0.030189999999999998,0.038911,64,"81,717",OFF,0.248628180855502
484236,2017-12-16,0.028411000000000002,0.031405,0.028052999999999998,0.031159,25,"74,503",OFF,0.0967231002076661
484237,2017-12-15,0.036989999999999995,0.040306,0.028064,0.028372,35,"96,999",OFF,-0.23298188699648603
484238,2017-12-14,0.037045999999999996,0.037152,0.036706,0.036935,810,"97,144",OFF,-0.0029962749014738397
484239,2017-12-13,0.023198,0.023985,0.02228,0.023852,9,"60,832",OFF,0.0281920855246143
484240,2017-12-12,0.015153,0.024029,0.014990999999999999,0.023163,94,"39,735",OFF,0.5286081963967529
484241,2017-12-11,0.014180000000000002,0.016279,0.014118,0.015104,20,"37,183",OFF,0.0651622002820874
484242,2017-12-10,0.013972,0.014553,0.013172,0.014283,88,"36,639",OFF,0.0222588033209276
484243,2017-12-08,0.018397,0.018671,0.017131,0.017131,33,"48,241",OFF,-0.0688155677556123
