Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
95875,2018-01-10,19.13,19.25,15.47,16.54,"2,603,390","90,922,700",ONION,-0.135389440669106
95876,2018-01-09,11.31,18.88,11.29,18.75,"3,693,840","53,673,800",ONION,0.657824933687003
95877,2018-01-08,11.52,12.16,9.48,11.34,"2,167,380","54,606,600",ONION,-0.015625
95878,2018-01-07,7.23,12.22,6.96,11.55,"2,575,200","34,221,100",ONION,0.597510373443983
95879,2018-01-06,6.26,7.3,5.75,7.24,"732,667","29,564,900",ONION,0.15654952076677303
95880,2018-01-05,6.56,7.1,5.97,6.4,"648,906","30,936,700",ONION,-0.0243902439024389
95881,2018-01-04,6.88,7.63,6.43,6.56,"553,297","32,364,200",ONION,-0.0465116279069768
95882,2018-01-03,6.62,7.56,6.11,6.93,"677,318","31,116,000",ONION,0.0468277945619335
95883,2018-01-02,7.25,8.07,5.61,6.59,"1,238,770","34,000,200",ONION,-0.0910344827586207
95884,2018-01-01,7.09,8.14,6.51,7.25,"628,492","33,169,600",ONION,0.0225669957686883
95885,2017-12-31,7.75,8.24,6.96,7.33,"712,145","36,210,000",ONION,-0.0541935483870968
95886,2017-12-30,6.28,8.42,6.26,7.84,"1,652,780","29,274,200",ONION,0.248407643312102
95887,2017-12-29,7.36,7.56,5.81,6.35,"1,299,240","34,241,300",ONION,-0.13722826086956502
95888,2017-12-28,6.36,8.29,4.96,7.23,"1,239,720","29,548,300",ONION,0.136792452830189
95889,2017-12-27,4.48,7.08,4.42,6.37,"1,199,640","20,781,300",ONION,0.421875
95890,2017-12-26,3.33,4.85,3.27,4.55,"775,876","15,414,300",ONION,0.366366366366366
95891,2017-12-25,3.15,3.41,2.98,3.28,"396,341","14,550,600",ONION,0.0412698412698412
95892,2017-12-24,3.31,3.31,2.78,3.12,"301,737","15,249,300",ONION,-0.0574018126888217
95893,2017-12-23,3.11,3.54,2.93,3.28,"307,424","14,331,600",ONION,0.0546623794212218
95894,2017-12-22,3.77,3.81,2.31,2.98,"247,211","17,350,800",ONION,-0.209549071618037
95895,2017-12-21,3.19,4.1,3.19,3.76,"260,095","14,636,000",ONION,0.178683385579937
95896,2017-12-20,3.79,3.86,3.07,3.14,"297,044","17,351,700",ONION,-0.171503957783641
95897,2017-12-19,3.85,4.46,3.66,3.78,"297,900","17,628,800",ONION,-0.0181818181818183
95898,2017-12-18,3.79,4.07,3.37,3.85,"274,578","17,325,200",ONION,0.0158311345646438
95899,2017-12-17,3.73,4.25,3.58,3.78,"486,307","17,013,200",ONION,0.0134048257372654
