Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
366995,2018-01-10,0.060462,0.063739,0.051530999999999993,0.057295000000000006,"36,924","1,658,650",ONX,-0.0523800072772982
366996,2018-01-09,0.05873300000000001,0.073048,0.052036,0.060383000000000006,"53,889","1,611,210",ONX,0.0280932354894182
366997,2018-01-08,0.056835000000000004,0.062074000000000004,0.049565,0.058892999999999994,"27,105","1,559,130",ONX,0.0362100818157826
366998,2018-01-07,0.047651,0.062429,0.044672,0.056914,"23,473","1,307,200",ONX,0.19439256259050197
366999,2018-01-06,0.043309,0.066841,0.04144,0.047686,"27,804","1,188,090",ONX,0.101064443880025
367000,2018-01-05,0.060729,0.062946,0.041678,0.043275,"22,447","1,665,970",ONX,-0.28740799288643
367001,2018-01-04,0.066937,0.066937,0.055906,0.061172000000000004,"42,045","1,836,260",ONX,-0.0861257600430255
367002,2018-01-03,0.06944600000000001,0.077925,0.061096000000000004,0.067781,"65,215","1,905,110",ONX,-0.0239754629496299
367003,2018-01-02,0.09343,0.09343,0.058751,0.077137,"124,447","2,563,040",ONX,-0.174387241785294
367004,2018-01-01,0.062916,0.126358,0.056915999999999994,0.09087100000000001,"69,981","1,725,960",ONX,0.44432258884862297
367005,2017-12-31,0.055073000000000004,0.07106,0.047068,0.062673,"24,095","1,510,800",ONX,0.137998656328873
367006,2017-12-30,0.056669000000000004,0.063104,0.048437,0.055674,"11,532","1,554,600",ONX,-0.0175581005488009
367007,2017-12-29,0.05943,0.06758099999999999,0.054465999999999994,0.056677,"13,426","1,630,320",ONX,-0.0463234056873633
367008,2017-12-28,0.057564,0.061389,0.052939,0.058813,"10,022","1,579,140",ONX,0.0216975887707595
367009,2017-12-27,0.08078300000000001,0.08078300000000001,0.0556,0.057685,"13,619","2,216,100",ONX,-0.28592649443571
367010,2017-12-26,0.086503,0.08947999999999999,0.06076,0.080724,"24,833","2,373,020",ONX,-0.0668069315515068
367011,2017-12-25,0.09241,0.100936,0.083874,0.08854400000000001,"22,828","2,535,070",ONX,-0.0418352992100423
367012,2017-12-24,0.10316700000000001,0.104956,0.08212,0.09146,"21,222","2,830,160",ONX,-0.113476208477517
367013,2017-12-23,0.10783499999999999,0.11773900000000001,0.100609,0.10203999999999999,"26,415","2,958,220",ONX,-0.0537395094357119
367014,2017-12-22,0.13356099999999999,0.135104,0.098549,0.106826,"26,956","3,663,950",ONX,-0.20017070851521002
367015,2017-12-21,0.10912000000000001,0.167882,0.105496,0.133099,"54,392","2,993,460",ONX,0.219748900293255
367016,2017-12-20,0.147645,0.147645,0.10673599999999998,0.11508199999999999,"39,599","4,050,320",ONX,-0.22054929052795605
367017,2017-12-19,0.200902,0.20143699999999998,0.131733,0.147791,"113,524","5,511,310",ONX,-0.264362724114245
367018,2017-12-18,0.218678,0.22577199999999997,0.143037,0.200732,"173,931","5,998,940",ONX,-0.0820658685373015
367019,2017-12-17,0.227877,0.24425700000000003,0.207117,0.21801700000000002,"45,876","6,251,320",ONX,-0.0432689564984619
