Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
351374,2018-01-10,0.168079,0.169206,0.115093,0.136426,"7,262","2,545,490",OPAL,-0.18832215803282998
351375,2018-01-09,0.138519,0.175452,0.12111400000000001,0.16785799999999998,"9,471","2,097,820",OPAL,0.211804878753095
351376,2018-01-08,0.111811,0.141585,0.10004400000000001,0.13881400000000002,"9,905","1,693,340",OPAL,0.241505755247695
351377,2018-01-07,0.070912,0.145715,0.070016,0.112201,"3,810","1,073,930",OPAL,0.582256881768953
351378,2018-01-06,0.090581,0.098824,0.082337,0.08627,"3,616","1,371,810",OPAL,-0.0475927622790651
351379,2018-01-05,0.07824600000000001,0.10015700000000001,0.07747799999999999,0.090674,"3,030","1,185,000",OPAL,0.15883240037829402
351380,2018-01-04,0.077123,0.088674,0.061498000000000004,0.078166,"1,153","1,168,000",OPAL,0.0135238515099257
351381,2018-01-03,0.06425399999999999,0.086701,0.064069,0.076721,"1,865","973,100",OPAL,0.194026831014411
351382,2018-01-02,0.06664199999999999,0.070987,0.056125,0.064557,"2,122","1,009,250",OPAL,-0.0312865760331323
351383,2018-01-01,0.05146799999999999,0.078335,0.044943000000000004,0.06652899999999999,864,"779,449",OPAL,0.292628429315303
351384,2017-12-31,0.050845,0.054572,0.04225,0.051423,353,"770,022",OPAL,0.0113678827810011
351385,2017-12-30,0.090586,0.090586,0.037355,0.037355,232,"1,371,870",OPAL,-0.587629435012033
351386,2017-12-29,0.048125,0.090985,0.043014,0.090761,502,"728,822",OPAL,0.885942857142857
351387,2017-12-28,0.054110000000000005,0.054325,0.041998,0.047636000000000005,226,"819,461",OPAL,-0.11964516725189399
351388,2017-12-27,0.058972000000000004,0.059927,0.049658,0.054224,184,"893,091",OPAL,-0.0805127857288204
351389,2017-12-26,0.055591999999999996,0.07157100000000001,0.055364,0.05890499999999999,456,"841,898",OPAL,0.0595949057418333
351390,2017-12-25,0.057002,0.062412999999999996,0.043355,0.055649000000000004,"1,229","863,235",OPAL,-0.0237360092628329
351391,2017-12-24,0.059538,0.059637,0.051512999999999996,0.056415999999999994,348,"901,642",OPAL,-0.0524370989955994
351392,2017-12-23,0.053632000000000006,0.06335299999999999,0.049226,0.05902,226,"812,203",OPAL,0.10046241050119302
351393,2017-12-22,0.056523000000000004,0.057668,0.040119999999999996,0.05313300000000001,67,"855,980",OPAL,-0.0599755851600233
351394,2017-12-21,0.047070999999999995,0.069518,0.046816,0.056335,615,"712,846",OPAL,0.196809075651675
351395,2017-12-20,0.076286,0.076286,0.045047000000000004,0.046949,273,"1,155,270",OPAL,-0.38456597540833204
351396,2017-12-19,0.077546,0.07879,0.063718,0.07571599999999999,160,"1,174,340",OPAL,-0.0235988961390658
351397,2017-12-18,0.112371,0.112371,0.060091,0.077124,"1,162","1,701,740",OPAL,-0.313666337400219
351398,2017-12-17,0.17634,0.193082,0.076459,0.112232,487,"2,670,480",OPAL,-0.363547691958716
351399,2017-12-16,0.058504999999999995,0.177529,0.052986,0.169514,248,"885,998",OPAL,1.8974275702931398
351400,2017-12-15,0.07205399999999999,0.07549199999999999,0.043595,0.058476,714,"1,091,180",OPAL,-0.188442001831959
351401,2017-12-14,0.11450999999999999,0.11794600000000001,0.062821,0.071906,217,"1,734,120",OPAL,-0.37205484237184494
351402,2017-12-13,0.083061,0.127906,0.061841,0.11311800000000001,"1,364","1,257,870",OPAL,0.36186657998338595
351403,2017-12-12,0.235456,0.244961,0.082745,0.082974,781,"3,565,710",OPAL,-0.6476029491709699
351404,2017-12-11,0.036416000000000004,0.243141,0.036257,0.23503600000000002,400,"551,469",OPAL,5.4541959578207395
351405,2017-12-10,0.07045499999999999,0.071174,0.034364,0.036677999999999995,"2,195","1,066,960",OPAL,-0.4794123908878011
351406,2017-12-09,0.089318,0.090641,0.045536,0.07030399999999999,277,"1,352,610",OPAL,-0.21287982265612698
351407,2017-12-08,0.07272999999999999,0.08942,0.051488,0.089408,"3,668","1,101,400",OPAL,0.22931390072872304
351408,2017-12-07,0.059301,0.080209,0.043619,0.072561,"3,152","898,033",OPAL,0.223604998229372
351409,2017-12-06,0.056625999999999996,0.068366,0.056625999999999996,0.059403,297,"857,524",OPAL,0.0490410765372796
351410,2017-12-05,0.04073,0.057004,0.034582,0.056752,818,"616,805",OPAL,0.39337097962190004
351411,2017-12-04,0.034477,0.040803,0.034439,0.040605,52,"522,109",OPAL,0.177741682861038
351412,2017-12-03,0.034248,0.049682,0.032357,0.034363,355,"518,639",OPAL,0.00335786031301089
351413,2017-12-02,0.026632999999999997,0.038841,0.025855,0.034214999999999995,22,"403,323",OPAL,0.28468441407276696
351414,2017-12-01,0.028249,0.050243,0.026229000000000002,0.026656,398,"427,795",OPAL,-0.0563913766859004
351415,2017-11-30,0.028269,0.033073000000000005,0.021838,0.02839,102,"428,098",OPAL,0.0042803070501255605
351416,2017-11-29,0.034955,0.043973000000000005,0.02525,0.027842000000000002,"1,348","529,338",OPAL,-0.20349020168788395
351417,2017-11-28,0.034871,0.035879,0.029412,0.03495,173,"528,073",OPAL,0.00226549281638045
351418,2017-11-27,0.032473,0.040063999999999995,0.02317,0.032812,375,"491,747",OPAL,0.0104394419979675
351419,2017-11-26,0.02011,0.046139,0.020085,0.032466,"1,592","304,530",OPAL,0.614420686225759
351420,2017-11-25,0.031881,0.032493,0.018926,0.020116,101,"482,785",OPAL,-0.36902857501333103
351421,2017-11-24,0.018984,0.031816000000000004,0.018634,0.031816000000000004,95,"287,474",OPAL,0.675937631689844
351422,2017-11-23,0.018904,0.019146,0.015143,0.019009,128,"286,276",OPAL,0.0055543800253915
351423,2017-11-22,0.017490000000000002,0.019865999999999998,0.017385,0.018943,196,"264,855",OPAL,0.0830760434534021
351424,2017-11-21,0.017025,0.019931,0.016808,0.017447999999999998,357,"257,812",OPAL,0.0248458149779738
351425,2017-11-20,0.020603,0.021022,0.016361,0.017022,127,"312,000",OPAL,-0.17380963937290697
351426,2017-11-19,0.018697,0.061732,0.018645,0.020594,554,"283,130",OPAL,0.10146012729314902
351427,2017-11-18,0.014278,0.020909,0.013841,0.018726,12,"216,209",OPAL,0.31152822524163
351428,2017-11-17,0.018549,0.019207,0.014138999999999999,0.014332,269,"280,886",OPAL,-0.227343792118174
351429,2017-11-16,0.021943,0.021943,0.017072999999999998,0.018579,33,"332,291",OPAL,-0.153306293578818
351430,2017-11-15,0.013406999999999999,0.024956,0.013406999999999999,0.021828999999999998,247,"203,020",OPAL,0.6281793093160289
351431,2017-11-14,0.014943000000000001,0.015312000000000001,0.0133,0.013397,28,"226,288",OPAL,-0.103459813959714
351432,2017-11-13,0.011976,0.01547,0.011976,0.014912,40,"181,360",OPAL,0.24515698062792202
351433,2017-11-12,0.012806999999999999,0.012806999999999999,0.011068999999999999,0.011959000000000001,5,"193,944",OPAL,-0.0662137893339581
351434,2017-11-11,0.012164,0.014584999999999999,0.011752,0.012816999999999999,10,"184,192",OPAL,0.0536829990134825
351435,2017-11-10,0.014472,0.014889,0.01212,0.012206999999999999,19,"219,140",OPAL,-0.15650912106135997
351436,2017-11-09,0.01647,0.026237,0.014381,0.014428999999999999,14,"249,403",OPAL,-0.12392228293867599
351437,2017-11-08,0.015229,0.016967,0.013158000000000001,0.01651,1,"230,601",OPAL,0.0841158316370084
351438,2017-11-07,0.014396,0.015438,0.014396,0.015277,0,"218,000",OPAL,0.0611975548763545
351439,2017-11-06,0.014908000000000001,0.015146000000000001,0.014367,0.014419999999999999,1,"225,752",OPAL,-0.0327341024953045
351440,2017-11-04,0.014549000000000001,0.014549000000000001,0.014215,0.014301,1,"220,308",OPAL,-0.0170458450752629
351441,2017-11-03,0.014537999999999999,0.015156999999999999,0.014155000000000001,0.014587000000000001,1,"220,146",OPAL,0.00337047736965186
351442,2017-11-02,0.013636,0.015135,0.013636,0.014556999999999999,1,"206,478",OPAL,0.0675418011146964
351443,2017-11-01,0.013074,0.015629,0.012915000000000001,0.013619999999999998,133,"197,966",OPAL,0.0417622762735199
351444,2017-10-31,0.022691,0.02292,0.013031000000000001,0.013083000000000001,214,"343,602",OPAL,-0.42342779075404297
