Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
49797,2018-01-10,3.85,3.93,3.28,3.59,"21,191,800","402,889,000",PAY,-0.0675324675324676
49798,2018-01-09,3.9,4.3,3.82,3.85,"23,811,700","408,224,000",PAY,-0.0128205128205128
49799,2018-01-08,3.95,4.08,3.24,3.91,"25,176,900","413,826,000",PAY,-0.010126582278480999
49800,2018-01-07,3.72,4.18,3.69,3.97,"33,424,500","388,865,000",PAY,0.0672043010752688
49801,2018-01-06,3.94,4.1,3.49,3.73,"32,369,500","412,251,000",PAY,-0.0532994923857868
49802,2018-01-05,4.64,5.1,3.76,3.92,"45,959,500","485,746,000",PAY,-0.155172413793103
49803,2018-01-04,4.58,5.11,4.25,4.65,"37,993,800","479,655,000",PAY,0.0152838427947599
49804,2018-01-03,4.22,4.68,3.83,4.59,"31,290,500","441,640,000",PAY,0.0876777251184834
49805,2018-01-02,4.01,4.7,3.9,4.24,"34,190,000","419,409,000",PAY,0.0573566084788031
49806,2018-01-01,4.05,4.15,3.74,4.03,"16,548,300","423,356,000",PAY,-0.00493827160493817
49807,2017-12-31,3.6,4.36,3.51,4.08,"22,511,900","377,274,000",PAY,0.133333333333333
49808,2017-12-30,4.18,4.2,3.24,3.62,"14,236,400","437,833,000",PAY,-0.133971291866029
49809,2017-12-29,4.13,4.65,4.05,4.22,"19,693,700","432,614,000",PAY,0.0217917675544794
49810,2017-12-28,4.11,4.23,3.24,4.18,"25,092,700","429,942,000",PAY,0.0170316301703162
49811,2017-12-27,4.4,4.61,3.96,4.15,"26,603,000","460,462,000",PAY,-0.0568181818181818
49812,2017-12-26,4.53,4.78,4.04,4.39,"35,774,200","473,906,000",PAY,-0.0309050772626933
49813,2017-12-25,4.78,5.4,4.29,4.58,"55,733,200","500,566,000",PAY,-0.0418410041841005
49814,2017-12-24,3.88,5.33,3.3,4.68,"84,506,600","405,998,000",PAY,0.206185567010309
49815,2017-12-23,2.95,4.25,2.95,3.79,"25,941,600","308,923,000",PAY,0.284745762711864
49816,2017-12-22,3.64,3.75,2.18,2.92,"14,858,200","381,241,000",PAY,-0.19780219780219802
49817,2017-12-21,3.57,4.29,3.31,3.62,"28,856,500","373,258,000",PAY,0.0140056022408964
