Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
547295,2018-01-10,0.005988,0.008029999999999999,0.005767,0.007949,238,"102,330",PLNC,0.32748830995324
547296,2018-01-09,0.007681,0.008,0.005183,0.00598,347,"131,257",PLNC,-0.221455539643276
547297,2018-01-08,0.007817000000000001,0.007845999999999999,0.007121,0.007702,151,"133,586",PLNC,-0.0147115261609313
547298,2018-01-07,0.004817,0.007927,0.0047469999999999995,0.007828,"1,597","82,316",PLNC,0.625077849283787
547299,2018-01-06,0.0037359999999999997,0.004825,0.0032939999999999996,0.0048200000000000005,545,"63,855",PLNC,0.2901498929336189
547300,2018-01-05,0.003036,0.0037649999999999997,0.002987,0.0037329999999999998,14,"51,888",PLNC,0.22957839262187102
547301,2018-01-04,0.003346,0.0033520000000000004,0.002746,0.003036,9,"57,188",PLNC,-0.0926479378362223
547302,2018-01-03,0.003264,0.0034020000000000005,0.003228,0.0033280000000000002,7,"55,778",PLNC,0.0196078431372548
547303,2018-01-02,0.00216,0.0032979999999999997,0.0020859999999999997,0.003275,1,"36,917",PLNC,0.5162037037037039
547304,2018-01-01,0.003076,0.00318,0.002106,0.00216,108,"52,566",PLNC,-0.29778933680103997
547305,2017-12-31,0.0016530000000000002,0.003133,0.0016359999999999999,0.003064,300,"28,247",PLNC,0.8535995160314581
547306,2017-12-30,0.0023190000000000003,0.00232,0.001583,0.0016710000000000002,33,"39,636",PLNC,-0.27943078913324704
547307,2017-12-29,0.002604,0.002723,0.002306,0.002325,48,"44,504",PLNC,-0.107142857142857
547308,2017-12-28,0.002948,0.002961,0.001661,0.002577,95,"50,381",PLNC,-0.12584803256445098
547309,2017-12-27,0.003009,0.003146,0.002797,0.002954,7,"51,423",PLNC,-0.0182784978398139
547310,2017-12-26,0.002647,0.0030670000000000003,0.002636,0.003007,24,"45,230",PLNC,0.13600302228938402
547311,2017-12-25,0.0016899999999999999,0.002691,0.001643,0.002649,79,"28,889",PLNC,0.5674556213017751
547312,2017-12-24,0.0018989999999999999,0.0020109999999999998,0.001525,0.001673,37,"32,450",PLNC,-0.119010005265929
547313,2017-12-23,0.001655,0.002018,0.0016309999999999999,0.0018780000000000001,50,"28,279",PLNC,0.134743202416918
547314,2017-12-22,0.0017280000000000002,0.001827,0.0014039999999999999,0.001639,143,"29,538",PLNC,-0.0515046296296296
547315,2017-12-21,0.0031320000000000002,0.003303,0.001666,0.0017219999999999998,415,"53,522",PLNC,-0.45019157088122597
547316,2017-12-20,0.0033280000000000002,0.003389,0.002995,0.003124,7,"56,881",PLNC,-0.0612980769230769
547317,2017-12-18,0.003635,0.0036659999999999996,0.003472,0.003542,43,"62,122",PLNC,-0.0255845942228336
547318,2017-12-17,0.003116,0.0037939999999999996,0.003116,0.003624,46,"53,256",PLNC,0.16302952503209303
547319,2017-12-16,0.001941,0.0037259999999999997,0.001936,0.003116,182,"33,174",PLNC,0.6053580628541989
547320,2017-12-15,0.002156,0.00235,0.001917,0.0019379999999999998,132,"36,852",PLNC,-0.101113172541744
547321,2017-12-14,0.0019649999999999997,0.002367,0.001943,0.002153,155,"33,582",PLNC,0.0956743002544528
547322,2017-12-13,0.002071,0.002078,0.001912,0.001971,12,"35,394",PLNC,-0.048285852245292
547323,2017-12-12,0.001852,0.0019140000000000001,0.001809,0.001894,24,"31,651",PLNC,0.0226781857451405
547324,2017-12-11,0.001816,0.001925,0.001813,0.001846,25,"31,040",PLNC,0.0165198237885463
547325,2017-12-10,0.001955,0.0020329999999999997,0.001721,0.0020039999999999997,6,"33,408",PLNC,0.0250639386189258
547326,2017-12-09,0.002114,0.002146,0.0016239999999999998,0.001947,154,"36,133",PLNC,-0.0789971617786187
547327,2017-12-08,0.00243,0.002466,0.001961,0.002116,44,"41,524",PLNC,-0.129218106995885
547328,2017-12-07,0.0023350000000000003,0.0025280000000000003,0.0018850000000000002,0.002424,28,"39,906",PLNC,0.0381156316916489
547329,2017-12-06,0.001287,0.002339,0.001287,0.002339,1,"21,996",PLNC,0.8174048174048171
547330,2017-12-05,0.001389,0.001395,0.0012640000000000001,0.0012900000000000001,82,"23,738",PLNC,-0.0712742980561556
547331,2017-12-02,0.001306,0.001343,0.001287,0.0013109999999999999,1,"22,321",PLNC,0.0038284839203675397
547332,2017-12-01,0.00137,0.001408,0.001189,0.001307,49,"23,405",PLNC,-0.0459854014598539
547333,2017-11-30,0.001376,0.001497,0.00126,0.001385,2,"23,516",PLNC,0.0065406976744185295
547334,2017-11-29,0.0018859999999999999,0.002065,0.001273,0.001355,35,"32,236",PLNC,-0.28154825026511104
547335,2017-11-28,0.001854,0.0019850000000000002,0.0010869999999999999,0.001888,195,"31,676",PLNC,0.0183387270765911
547336,2017-11-27,0.002236,0.0023350000000000003,0.001318,0.001849,272,"38,217",PLNC,-0.17307692307692302
547337,2017-11-26,0.001924,0.002254,0.001841,0.002236,133,"32,884",PLNC,0.162162162162162
547338,2017-11-25,0.0018059999999999999,0.001925,0.001796,0.001925,1,"30,867",PLNC,0.065891472868217
547339,2017-11-24,0.001768,0.002072,0.001734,0.0018100000000000002,4,"30,217",PLNC,0.0237556561085972
547340,2017-11-23,0.001645,0.001805,0.00162,0.001771,1,"28,113",PLNC,0.0765957446808511
547341,2017-11-22,0.0017850000000000001,0.00249,0.001644,0.0016460000000000001,143,"30,507",PLNC,-0.0778711484593838
547342,2017-11-21,0.00206,0.002065,0.0016879999999999998,0.0017809999999999998,39,"35,211",PLNC,-0.135436893203884
547343,2017-11-20,0.0017699999999999999,0.002071,0.0017649999999999999,0.00206,860,"30,241",PLNC,0.163841807909605
547344,2017-11-19,0.001947,0.002012,0.0017050000000000001,0.0017699999999999999,8,"33,269",PLNC,-0.0909090909090908
547345,2017-11-18,0.0019219999999999999,0.0019649999999999997,0.0018629999999999999,0.00195,1,"32,841",PLNC,0.0145681581685743
547346,2017-11-17,0.001961,0.002007,0.001718,0.001929,26,"33,516",PLNC,-0.0163182049974503
547347,2017-11-16,0.0014609999999999998,0.002001,0.001428,0.001964,9,"24,961",PLNC,0.344284736481862
547348,2017-11-15,0.0015869999999999999,0.001662,0.0013779999999999999,0.0014529999999999999,24,"27,118",PLNC,-0.0844360428481411
547349,2017-11-14,0.001739,0.0017469999999999999,0.001542,0.001586,32,"29,719",PLNC,-0.0879815986198966
547350,2017-11-12,0.00159,0.001609,0.001384,0.0014789999999999998,148,"27,178",PLNC,-0.069811320754717
547351,2017-11-11,0.001621,0.001621,0.001575,0.001591,169,"27,706",PLNC,-0.0185070943861814
547352,2017-11-10,0.002139,0.0022,0.001935,0.002007,2,"36,549",PLNC,-0.0617110799438989
547353,2017-11-09,0.001875,0.002159,0.001622,0.002132,101,"32,050",PLNC,0.137066666666667
547354,2017-11-08,0.0017079999999999999,0.0017850000000000001,0.001698,0.001771,8,"29,187",PLNC,0.0368852459016393
547355,2017-11-07,0.0025050000000000003,0.002592,0.0016769999999999999,0.001713,7,"42,813",PLNC,-0.316167664670659
547356,2017-11-06,0.002144,0.002673,0.002062,0.002509,88,"36,641",PLNC,0.17024253731343303
547357,2017-11-05,0.001918,0.002193,0.0018989999999999999,0.002139,1,"32,777",PLNC,0.11522419186652802
547358,2017-11-04,0.002007,0.0020329999999999997,0.001848,0.0019219999999999999,29,"34,294",PLNC,-0.0423517688091679
547359,2017-11-03,0.001967,0.002091,0.001945,0.002012,10,"33,607",PLNC,0.0228774783934926
547360,2017-11-02,0.002153,0.002925,0.001689,0.0019690000000000003,"1,534","36,797",PLNC,-0.0854621458430098
547361,2017-11-01,0.00232,0.002356,0.00147,0.002151,"1,947","39,645",PLNC,-0.0728448275862068
547362,2017-10-31,0.002293,0.002322,0.002293,0.002322,1,"39,182",PLNC,0.0126471870911469
547363,2017-10-30,0.00197,0.001975,0.0019510000000000003,0.001972,3,"33,670",PLNC,0.00101522842639585
547364,2017-10-29,0.002062,0.002106,0.0018449999999999999,0.001982,4,"35,240",PLNC,-0.0387972841901068
547365,2017-10-28,0.002079,0.002079,0.002059,0.002065,3,"35,521",PLNC,-0.00673400673400679
547366,2017-10-27,0.0021780000000000002,0.002219,0.002134,0.002134,3,"37,223",PLNC,-0.0202020202020201
547367,2017-10-26,0.00218,0.002264,0.002146,0.0021780000000000002,20,"37,257",PLNC,-0.000917431192660672
547368,2017-10-25,0.001876,0.0019140000000000001,0.00183,0.001889,1,"32,064",PLNC,0.00692963752665245
547369,2017-10-24,0.001994,0.001994,0.001865,0.001875,1,"34,082",PLNC,-0.0596790371113341
547370,2017-10-23,0.002212,0.002228,0.0019260000000000002,0.001999,8,"37,808",PLNC,-0.0962929475587704
547371,2017-10-22,0.002179,0.002221,0.002176,0.002216,18,"37,235",PLNC,0.0169802661771455
547372,2017-10-21,0.0021620000000000003,0.002229,0.002125,0.002171,12,"36,945",PLNC,0.0041628122109159706
547373,2017-10-20,0.002415,0.002444,0.002164,0.002166,14,"41,272",PLNC,-0.10310559006211201
547374,2017-10-19,0.0020670000000000003,0.002124,0.002048,0.002094,60,"35,329",PLNC,0.0130624092888244
547375,2017-10-18,0.002072,0.002076,0.0019,0.002066,84,"35,414",PLNC,-0.00289575289575286
547376,2017-10-17,0.0025629999999999997,0.002582,0.002059,0.002072,22,"43,805",PLNC,-0.191572376121732
547377,2017-10-16,0.002618,0.00265,0.002561,0.002614,1,"44,745",PLNC,-0.00152788388082509
547378,2017-10-15,0.002926,0.002935,0.002519,0.002618,1,"49,998",PLNC,-0.10526315789473699
547379,2017-10-14,0.002884,0.002924,0.00207,0.00292,3,"49,293",PLNC,0.0124826629680999
547380,2017-10-13,0.0020670000000000003,0.002907,0.002019,0.002884,93,"35,332",PLNC,0.395258829221093
547381,2017-10-12,0.003137,0.003175,0.002007,0.002061,213,"53,611",PLNC,-0.34300286898310495
547382,2017-10-11,0.002905,0.003208,0.002768,0.003134,"2,616","49,650",PLNC,0.07882960413080901
547383,2017-10-10,0.003973,0.004294,0.002885,0.0029059999999999997,"8,748","67,889",PLNC,-0.268562798892524
547384,2017-10-09,0.003998,0.004621,0.003848,0.003973,186,"68,320",PLNC,-0.0062531265632816
547385,2017-10-08,0.004755,0.004889,0.004738,0.004887,2,"81,255",PLNC,0.0277602523659306
547386,2017-10-07,0.004374,0.004779,0.004337,0.004767,45,"74,747",PLNC,0.0898491083676269
547387,2017-10-06,0.004497,0.004497,0.003616,0.004372,154,"76,845",PLNC,-0.0277963086502113
547388,2017-10-05,0.003968,0.004541,0.0035740000000000004,0.004497,22,"67,814",PLNC,0.133316532258065
547389,2017-10-04,0.0047079999999999995,0.004738,0.0037770000000000004,0.003965,33,"80,466",PLNC,-0.157816482582838
547390,2017-10-03,0.005019,0.0050479999999999995,0.003525,0.004698,78,"85,777",PLNC,-0.0639569635385535
547391,2017-10-02,0.005229,0.005314,0.003592,0.005019,37,"89,361",PLNC,-0.0401606425702811
547392,2017-10-01,0.0057350000000000005,0.005761,0.003389,0.005231,145,"98,012",PLNC,-0.0878814298169136
547393,2017-09-30,0.004881,0.005733,0.004877,0.005732,257,"83,419",PLNC,0.174349518541283
547394,2017-09-29,0.0052840000000000005,0.005302,0.0030600000000000002,0.004881,32,"90,301",PLNC,-0.0762679788039364
547395,2017-09-28,0.004628,0.005767,0.003038,0.005288,105,"79,095",PLNC,0.142610198789974
547396,2017-09-27,0.0051329999999999995,0.005743,0.004598,0.004628,127,"87,720",PLNC,-0.0983830118838886
547397,2017-09-26,0.004327,0.005265,0.0035399999999999997,0.005147,853,"73,941",PLNC,0.18950774208458498
547398,2017-09-25,0.00426,0.004520000000000001,0.003515,0.004327,52,"72,801",PLNC,0.0157276995305165
547399,2017-09-24,0.0041670000000000006,0.0043159999999999995,0.00302,0.004264,992,"71,219",PLNC,0.0232781377489803
547400,2017-09-23,0.002525,0.004168,0.002209,0.004168,"2,061","43,153",PLNC,0.650693069306931
547401,2017-09-22,0.002426,0.0025510000000000003,0.0020670000000000003,0.002532,286,"41,459",PLNC,0.0436933223413025
547402,2017-09-21,0.0025989999999999997,0.002617,0.002368,0.0024289999999999997,133,"44,420",PLNC,-0.0654097729896114
547403,2017-09-20,0.002583,0.002703,0.0025,0.002612,204,"44,142",PLNC,0.0112272551296943
547404,2017-09-19,0.002462,0.002649,0.0023190000000000003,0.0025859999999999998,206,"42,072",PLNC,0.0503655564581641
547405,2017-09-18,0.002365,0.002624,0.002365,0.002456,7,"40,415",PLNC,0.0384778012684989
547406,2017-09-17,0.002404,0.002419,0.002363,0.00237,66,"41,078",PLNC,-0.01414309484193
547407,2017-09-16,0.002374,0.002484,0.0022760000000000002,0.002393,44,"40,570",PLNC,0.00800336983993275
547408,2017-09-15,0.0018170000000000003,0.002448,0.001797,0.00238,113,"31,052",PLNC,0.309851403412218
547409,2017-09-14,0.002287,0.002318,0.0018030000000000001,0.0018030000000000001,117,"39,092",PLNC,-0.211630957586358
547410,2017-09-13,0.001952,0.002338,0.0018399999999999998,0.002288,544,"33,353",PLNC,0.172131147540984
547411,2017-09-12,0.002149,0.0022329999999999997,0.001493,0.001959,203,"36,725",PLNC,-0.0884132154490461
547412,2017-09-11,0.001913,0.002184,0.0017280000000000002,0.002147,133,"32,685",PLNC,0.12232096184004199
547413,2017-09-10,0.001819,0.001947,0.001417,0.001916,276,"31,088",PLNC,0.0533260032985156
547414,2017-09-09,0.001775,0.002175,0.0017239999999999998,0.0018239999999999999,23,"30,331",PLNC,0.0276056338028169
547415,2017-09-08,0.001946,0.001973,0.0016989999999999998,0.001771,2,"33,260",PLNC,-0.0899280575539568
547416,2017-09-07,0.001939,0.002623,0.0018899999999999998,0.001946,11,"33,130",PLNC,0.0036101083032491297
547417,2017-09-06,0.002475,0.0027,0.0019039999999999999,0.0019420000000000001,2,"42,300",PLNC,-0.215353535353535
547418,2017-09-05,0.002196,0.002519,0.001552,0.002472,359,"37,531",PLNC,0.12568306010929
547419,2017-09-04,0.002171,0.002529,0.001952,0.0021850000000000003,840,"37,100",PLNC,0.0064486411791799605
547420,2017-09-03,0.002721,0.0029170000000000003,0.0020829999999999998,0.00217,38,"46,493",PLNC,-0.20249908122014001
547421,2017-09-02,0.002363,0.0032119999999999996,0.002229,0.002719,328,"40,391",PLNC,0.15065594583157002
547422,2017-09-01,0.003127,0.003296,0.0023469999999999997,0.002361,797,"53,442",PLNC,-0.244963223536936
547423,2017-08-31,0.00229,0.003144,0.0022890000000000002,0.003127,2,"39,131",PLNC,0.36550218340611396
547424,2017-08-30,0.002297,0.003048,0.0022649999999999997,0.002294,163,"39,255",PLNC,-0.00130605137135392
547425,2017-08-29,0.001887,0.003017,0.001876,0.0023,64,"32,252",PLNC,0.218865924748278
547426,2017-08-28,0.001564,0.0028539999999999998,0.001511,0.001884,524,"26,721",PLNC,0.20460358056265998
547427,2017-08-27,0.001558,0.002096,0.001556,0.001565,13,"26,624",PLNC,0.00449293966623881
547428,2017-08-26,0.002315,0.00232,0.002263,0.002301,40,"39,559",PLNC,-0.00604751619870397
547429,2017-08-25,0.002381,0.002411,0.0017239999999999998,0.002314,76,"40,687",PLNC,-0.0281394372112557
547430,2017-08-24,0.00145,0.002402,0.001438,0.002385,"1,152","24,781",PLNC,0.644827586206897
547431,2017-08-23,0.001553,0.001616,0.001429,0.001449,31,"26,535",PLNC,-0.0669671603348358
547432,2017-08-22,0.00112,0.001562,0.0010140000000000001,0.001556,125,"19,145",PLNC,0.389285714285715
547433,2017-08-21,0.00146,0.001472,0.001092,0.001118,43,"24,959",PLNC,-0.234246575342466
547434,2017-08-20,0.001036,0.001585,0.0009720000000000001,0.001466,173,"17,711",PLNC,0.415057915057915
547435,2017-08-19,0.0009449999999999999,0.001159,0.0009449999999999999,0.001041,3,"16,149",PLNC,0.10158730158730199
547436,2017-08-18,0.0014550000000000001,0.00148,0.0009140000000000001,0.0009460000000000001,81,"24,868",PLNC,-0.34982817869415805
547437,2017-08-17,0.001273,0.001521,0.00123,0.00146,16,"21,751",PLNC,0.14689709347996802
547438,2017-08-16,0.0014119999999999998,0.001478,0.001239,0.001274,8,"24,135",PLNC,-0.0977337110481587
547439,2017-08-15,0.0015140000000000002,0.0015279999999999998,0.001159,0.001411,3,"25,882",PLNC,-0.0680317040951123
547440,2017-08-14,0.00134,0.001511,0.001314,0.00151,16,"22,908",PLNC,0.126865671641791
547441,2017-08-13,0.001315,0.001424,0.001307,0.00134,0,"22,473",PLNC,0.0190114068441065
