Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
499621,2018-01-10,0.00628,0.006294,0.003012,0.0033,717,"50,568",AGLC,-0.4745222929936311
499622,2018-01-09,0.005873,0.007714,0.003307,0.006272,469,"47,202",AGLC,0.0679380214541121
499623,2018-01-08,0.00456,0.008173,0.003834,0.005889,"1,656","36,522",AGLC,0.291447368421053
499624,2018-01-07,0.013762,0.016522,0.004057,0.004566,"1,393","110,169",AGLC,-0.668216828949281
499625,2018-01-06,0.005944,0.013809,0.005857,0.013772,"2,855","47,513",AGLC,1.3169582772543702
499626,2018-01-05,0.005313,0.00599,0.005227000000000001,0.00594,45,"42,413",AGLC,0.118012422360248
499627,2018-01-04,0.004563,0.005312,0.002165,0.005312,531,"36,238",AGLC,0.16414639491562602
499628,2018-01-03,0.004006,0.004639,0.0040030000000000005,0.004538,182,"31,781",AGLC,0.132800798801797
499629,2018-01-02,0.0036450000000000002,0.004104,0.00352,0.00402,59,"28,896",AGLC,0.10288065843621401
499630,2018-01-01,0.003356,0.003708,0.003228,0.003646,270,"26,586",AGLC,0.0864123957091776
499631,2017-12-31,0.0030510000000000003,0.003343,0.0025329999999999997,0.003343,313,"24,148",AGLC,0.0957063257948214
499632,2017-12-30,0.002754,0.0031260000000000003,0.0011380000000000001,0.003085,545,"21,754",AGLC,0.120188816267248
499633,2017-12-29,0.003472,0.0036,0.001018,0.002761,176,"27,356",AGLC,-0.204781105990783
499634,2017-12-28,0.0009310000000000001,0.003527,0.0008550000000000001,0.003437,12,"7,325",AGLC,2.69172932330827
499635,2017-12-27,0.008394,0.008776,0.0009109999999999999,0.000933,372,"65,747",AGLC,-0.8888491779842751
499636,2017-12-26,0.007383,0.008554,0.007352,0.008388,61,"57,519",AGLC,0.136123527021536
499637,2017-12-25,0.010143000000000001,0.01024,0.007144,0.007390000000000001,53,"78,920",AGLC,-0.27141871241250104
499638,2017-12-24,0.010517,0.010517,0.009048,0.010038,403,"81,770",AGLC,-0.0455453075972236
499639,2017-12-23,0.002896,0.011274,0.002855,0.010402,589,"22,476",AGLC,2.59185082872928
499640,2017-12-22,0.0033,0.003332,0.002404,0.002869,11,"25,555",AGLC,-0.130606060606061
499641,2017-12-21,0.003564,0.0035770000000000003,0.003181,0.003288,125,"27,595",AGLC,-0.0774410774410774
499642,2017-12-20,0.0037,0.0037450000000000005,0.003368,0.0035210000000000003,143,"28,621",AGLC,-0.0483783783783785
499643,2017-12-19,0.004018,0.004032,0.0035810000000000004,0.003704,151,"31,042",AGLC,-0.0781483325037332
499644,2017-12-18,0.003826,0.004052,0.0035909999999999996,0.0040149999999999995,961,"29,534",AGLC,0.0493988499738631
499645,2017-12-17,0.0038950000000000005,0.003994,0.003774,0.003815,3,"30,050",AGLC,-0.0205391527599487
499646,2017-12-16,0.003529,0.003926,0.0034850000000000003,0.0038950000000000005,3,"27,204",AGLC,0.10371209974497
499647,2017-12-15,0.001161,0.0036149999999999997,0.001161,0.0035240000000000002,8,"8,852",AGLC,2.03531438415159
499648,2017-12-14,0.001146,0.001194,0.0011330000000000001,0.001159,1,"8,717",AGLC,0.0113438045375218
499649,2017-12-13,0.0057009999999999995,0.005777,0.001116,0.00115,1,"43,266",AGLC,-0.798281003332749
499650,2017-12-12,0.005556,0.00586,0.005425999999999999,0.005696,12,"42,123",AGLC,0.025197984161267003
499651,2017-12-11,0.0054859999999999996,0.005776,0.005478,0.005538,11,"41,585",AGLC,0.009478672985781979
499652,2017-12-09,0.005529999999999999,0.005612,0.004605,0.005076,52,"41,786",AGLC,-0.0820976491862569
499653,2017-12-08,0.005901,0.005989,0.004788000000000001,0.005535,57,"44,538",AGLC,-0.0620233858668022
499654,2017-12-07,0.005220000000000001,0.005887,0.000771,0.005887,250,"39,262",AGLC,0.12777777777777802
499655,2017-12-06,0.004446,0.005236,0.004446,0.005229,52,"33,370",AGLC,0.17611336032388697
499656,2017-12-05,0.005945000000000001,0.006051,0.001974,0.004456,313,"44,461",AGLC,-0.250462573591253
499657,2017-12-04,0.001929,0.005933,0.0019149999999999998,0.005933,131,"14,421",AGLC,2.07568688439606
499658,2017-12-02,0.006204,0.006381,0.006115,0.00626,5,"46,281",AGLC,0.009026434558349391
499659,2017-12-01,0.005696,0.006246,0.005393,0.006209,5,"42,391",AGLC,0.0900632022471911
499660,2017-11-30,0.005209,0.005778,0.004769,0.005724,4,"38,708",AGLC,0.0988673449798426
499661,2017-11-29,0.006354,0.006957,0.001715,0.00513,270,"47,154",AGLC,-0.192634560906516
499662,2017-11-28,0.006243,0.0063869999999999994,0.006183,0.00636,1,"45,761",AGLC,0.0187409899086977
499663,2017-11-27,0.001417,0.006294,0.00047400000000000003,0.006227,951,"10,356",AGLC,3.39449541284404
499664,2017-11-26,0.001662,0.0017170000000000002,0.0016600000000000002,0.0017010000000000003,0,"12,124",AGLC,0.0234657039711191
499665,2017-11-25,0.00156,0.001662,0.001551,0.001662,0,"11,367",AGLC,0.0653846153846154
499666,2017-11-24,0.001562,0.001584,0.001546,0.0015630000000000002,0,"11,342",AGLC,0.000640204865556924
499667,2017-11-23,0.0015630000000000002,0.00157,0.001539,0.001553,13,"11,286",AGLC,-0.006397952655150371
499668,2017-11-22,0.001542,0.001577,0.001535,0.0015630000000000002,13,"11,126",AGLC,0.0136186770428015
499669,2017-11-21,0.001978,0.002009,0.001516,0.001538,57,"14,228",AGLC,-0.222446916076845
499670,2017-11-20,0.0019809999999999997,0.0019879999999999997,0.001963,0.001978,110,"14,241",AGLC,-0.00151438667339726
499671,2017-11-18,0.001999,0.002023,0.0019370000000000001,0.002023,121,"14,330",AGLC,0.0120060030015008
499672,2017-11-17,0.0020399999999999997,0.002088,0.001967,0.002006,120,"14,609",AGLC,-0.0166666666666668
499673,2017-11-16,0.0018989999999999999,0.002081,0.0018559999999999998,0.002043,123,"13,535",AGLC,0.0758293838862559
499674,2017-11-15,0.001322,0.00281,0.001322,0.001889,209,"9,414",AGLC,0.42889561270801796
499675,2017-11-14,0.001959,0.004767,0.001172,0.0013210000000000001,181,"13,899",AGLC,-0.325676365492598
499676,2017-11-13,0.002172,0.00238,0.001882,0.001955,82,"15,375",AGLC,-0.0999079189686923
499677,2017-11-12,0.005661,0.005703,0.001549,0.002169,127,"39,901",AGLC,-0.6168521462639109
499678,2017-11-11,0.005852,0.0060609999999999995,0.005546,0.005666,56,"41,222",AGLC,-0.0317840054682161
499679,2017-11-10,0.005204,0.00617,0.004928,0.005873,58,"36,640",AGLC,0.128554957724827
499680,2017-11-09,0.005451,0.005451,0.005147,0.005189,44,"38,319",AGLC,-0.0480645753072831
499681,2017-11-08,0.0019210000000000002,0.010083,0.0019100000000000002,0.005457,157,"13,494",AGLC,1.84070796460177
499682,2017-11-07,0.001253,0.010724,0.001253,0.001927,876,"8,791",AGLC,0.5379090183559461
499683,2017-11-06,0.0014789999999999998,0.001485,0.00125,0.001255,50,"10,363",AGLC,-0.151453684922245
499684,2017-11-05,0.001328,0.0014880000000000002,0.001315,0.001475,44,"9,293",AGLC,0.11069277108433699
499685,2017-11-04,0.005375,0.005436,0.001328,0.00133,112,"37,545",AGLC,-0.752558139534884
499686,2017-11-03,0.001615,0.005525,0.0015970000000000001,0.005389,89,"11,243",AGLC,2.3368421052631603
499687,2017-11-02,0.001615,0.0055439999999999994,0.001367,0.0016170000000000002,53,"11,230",AGLC,0.00123839009287929
499688,2017-11-01,0.005477,0.005601,0.001557,0.0016129999999999999,49,"38,052",AGLC,-0.705495709329925
499689,2017-10-31,0.0016539999999999999,0.005481000000000001,0.0015119999999999999,0.005481000000000001,18,"11,446",AGLC,2.31378476420798
499690,2017-10-30,0.001847,0.007408,0.001486,0.0016600000000000002,240,"12,749",AGLC,-0.10124526258798
499691,2017-10-29,0.001718,0.0018969999999999998,0.001714,0.0018579999999999998,6,"11,846",AGLC,0.0814901047729919
499692,2017-10-28,0.006915999999999999,0.007045,0.001702,0.001721,5,"47,621",AGLC,-0.7511567379988431
499693,2017-10-27,0.009831,0.010014,0.001369,0.0068969999999999995,103,"67,577",AGLC,-0.29844369850472996
499694,2017-10-26,0.009576000000000001,0.009994,0.009514,0.009829000000000001,242,"65,584",AGLC,0.0264202172096909
499695,2017-10-25,0.006125,0.009595000000000001,0.005974,0.009578,236,"41,910",AGLC,0.563755102040816
499696,2017-10-24,0.005866,0.006377000000000001,0.005565,0.006123,15,"40,104",AGLC,0.0438117967950904
499697,2017-10-23,0.004783,0.005907,0.004531,0.005879,10,"32,629",AGLC,0.22914488814551504
499698,2017-10-22,0.004811,0.0048530000000000005,0.004598,0.004790999999999999,4,"32,789",AGLC,-0.0041571398877572295
499699,2017-10-21,0.006606,0.006764,0.00481,0.00481,126,"44,916",AGLC,-0.27187405389040303
499700,2017-10-20,0.004564,0.006722,0.004496,0.00662,0,"30,991",AGLC,0.45048203330411896
499701,2017-10-19,0.005643,0.008422,0.004499,0.004562,91,"38,265",AGLC,-0.19156477051213897
499702,2017-10-18,0.006951000000000001,0.007509999999999999,0.005622,0.00564,52,"47,118",AGLC,-0.188605955977557
499703,2017-10-17,0.009709,0.009737,0.0093,0.009384,96,"65,527",AGLC,-0.0334740961994027
499704,2017-10-16,0.009562000000000001,0.009758,0.009352,0.009706999999999999,99,"64,487",AGLC,0.0151641915917173
499705,2017-10-15,0.007314,0.009658,0.0068189999999999995,0.009561,153,"49,243",AGLC,0.307219031993437
499706,2017-10-14,0.00707,0.009844,0.0070030000000000005,0.007301,10,"47,550",AGLC,0.0326732673267327
499707,2017-10-13,0.008759999999999999,0.011179999999999999,0.006904,0.0070680000000000005,228,"58,689",AGLC,-0.193150684931507
499708,2017-10-12,0.007722,0.008733,0.007702,0.008733,17,"51,363",AGLC,0.130924630924631
499709,2017-10-11,0.009382999999999999,0.009493999999999999,0.007673999999999999,0.0077150000000000005,8,"62,354",AGLC,-0.177768304380262
499710,2017-10-10,0.009429,0.009709,0.009316,0.009384,32,"62,591",AGLC,-0.00477251034043906
499711,2017-10-09,0.009067,0.009594,0.008979000000000001,0.009429,32,"60,052",AGLC,0.0399250027572515
499712,2017-10-08,0.008754000000000001,0.009086,0.008723999999999999,0.009065,43,"57,908",AGLC,0.0355266164039297
499713,2017-10-07,0.008485,0.008798,0.008427,0.008777,42,"56,015",AGLC,0.0344136711844432
499714,2017-10-06,0.008604,0.008805,0.008401,0.008483,17,"56,764",AGLC,-0.0140632264063228
499715,2017-10-05,0.008738,0.009037,0.002494,0.008604,847,"57,587",AGLC,-0.0153353170061798
499716,2017-10-04,0.00108,0.008995999999999999,0.001074,0.00873,16,"7,105",AGLC,7.08333333333333
499717,2017-10-03,0.008938,0.008988,0.001062,0.001077,11,"58,721",AGLC,-0.87950324457373
499718,2017-10-02,0.0010550000000000002,0.009065,0.0010539999999999998,0.008937,44,"6,904",AGLC,7.4710900473933695
499719,2017-10-01,0.00895,0.008990999999999999,0.001045,0.0010550000000000002,1,"58,553",AGLC,-0.882122905027933
499720,2017-09-30,0.008594,0.008976999999999999,0.008586,0.008945999999999999,11,"56,161",AGLC,0.0409588084710265
499721,2017-09-29,0.008974,0.009068000000000001,0.008554,0.008593,537,"58,412",AGLC,-0.0424559839536438
499722,2017-09-28,0.008415,0.00919,0.008322,0.008981,58,"54,517",AGLC,0.0672608437314318
499723,2017-09-27,0.008399,0.009009,0.008270999999999999,0.008415,399,"54,375",AGLC,0.0019049886891297
499724,2017-09-26,0.007840999999999999,0.008468,0.007821,0.008423,171,"50,709",AGLC,0.0742252263741869
499725,2017-09-25,0.007821999999999999,0.008105,0.007819,0.008064,336,"50,431",AGLC,0.0309383789312195
499726,2017-09-24,0.00807,0.00807,0.007751000000000001,0.00783,327,"51,966",AGLC,-0.0297397769516729
499727,2017-09-23,0.000974,0.008126999999999999,0.000965,0.00807,337,"6,262",AGLC,7.285420944558519
499728,2017-09-22,0.005431,0.005536,0.0009550000000000001,0.000977,40,"34,878",AGLC,-0.820106794328853
499729,2017-09-21,0.001196,0.0058579999999999995,0.001183,0.005438,73,"7,638",AGLC,3.5468227424749204
499730,2017-09-19,0.006114,0.006146,0.00576,0.005868,3,"38,934",AGLC,-0.0402355250245338
499731,2017-09-18,0.005543,0.006194,0.005543,0.006099,5,"35,132",AGLC,0.10030669312646599
499732,2017-09-17,0.004829,0.005557,0.001075,0.005554,30,"30,516",AGLC,0.15013460343756502
499733,2017-09-16,0.004822,0.004964,0.0009960000000000001,0.004832,1,"30,443",AGLC,0.00207382828701793
499734,2017-09-15,0.004047,0.004972,0.003886,0.004835,3,"25,484",AGLC,0.194712132443785
499735,2017-09-14,0.0077150000000000005,0.007818,0.007529999999999999,0.007593000000000001,1,"48,459",AGLC,-0.0158133506156837
499736,2017-09-13,0.008263,0.008293,0.007520999999999999,0.007716,1,"51,606",AGLC,-0.0661987171729396
499737,2017-09-12,0.004232,0.008712000000000001,0.004229,0.008295,59,"26,351",AGLC,0.960066162570889
499738,2017-09-09,0.009523,0.009698,0.009251,0.009534,29,"59,009",AGLC,0.00115509818334565
499739,2017-09-08,0.009268,0.0111,0.009187,0.009505,218,"57,298",AGLC,0.0255718601640051
499740,2017-09-07,0.009290999999999999,0.0093,0.009266,0.009266,0,"57,443",AGLC,-0.0026907760198041897
499741,2017-09-05,0.012574,0.013086000000000002,0.011845999999999999,0.013086000000000002,29,"77,048",AGLC,0.0407189438523939
499742,2017-09-04,0.020046,0.020061000000000002,0.008912999999999999,0.012509000000000001,170,"122,510",AGLC,-0.37598523396188793
499743,2017-09-03,0.004573,0.021588,0.004573,0.020040000000000002,"1,033","27,864",AGLC,3.38224360376121
499744,2017-09-02,0.003693,0.0037359999999999997,0.0033729999999999997,0.003469,3,"22,354",AGLC,-0.0606552937990794
499745,2017-09-01,0.004691,0.0048130000000000004,0.003618,0.0036880000000000003,3,"28,353",AGLC,-0.213813685781283
499746,2017-08-31,0.0036899999999999997,0.004716,0.0036850000000000003,0.00469,25,"22,281",AGLC,0.2710027100271
499747,2017-08-30,0.004594,0.004651,0.004493,0.004587,47,"27,580",AGLC,-0.00152372659991294
499748,2017-08-29,0.004372999999999999,0.0046429999999999996,0.004089,0.0046,162,"26,223",AGLC,0.0519094443174022
499749,2017-08-27,0.007168000000000001,0.0072629999999999995,0.007128,0.0071920000000000005,22,"42,392",AGLC,0.00334821428571425
499750,2017-08-26,0.006987999999999999,0.0071849999999999995,0.006853,0.007169,22,"41,283",AGLC,0.0259015455065827
499751,2017-08-25,0.006920999999999999,0.0071400000000000005,0.006878,0.006986,108,"40,655",AGLC,0.00939170640080913
499752,2017-08-23,0.006007,0.006255,0.005986,0.006174,3,"35,173",AGLC,0.0278008989512235
499753,2017-08-22,0.013083000000000001,0.013083000000000001,0.005737,0.006019,27,"75,966",AGLC,-0.539937323243904
499754,2017-08-21,0.006005,0.013225,0.005874,0.013053,139,"34,807",AGLC,1.1736885928393
499755,2017-08-20,0.015296,0.015296,0.014943000000000001,0.015072,101,"88,582",AGLC,-0.0146443514644352
499756,2017-08-19,0.008228000000000001,0.015397,0.008145,0.015368000000000001,155,"47,572",AGLC,0.867768595041322
499757,2017-08-17,0.017468,0.01784,0.016694999999999998,0.017006999999999998,3,"100,794",AGLC,-0.0263911151820471
499758,2017-08-16,0.019107,0.019308000000000002,0.0022010000000000003,0.017484,217,"109,798",AGLC,-0.0849426911603077
499759,2017-08-15,0.004327,0.019305000000000003,0.00425,0.019086000000000002,74,"24,853",AGLC,3.41090825051999
499760,2017-08-14,0.008246,0.008593,0.004219,0.004315,27,"47,330",AGLC,-0.47671598350715505
499761,2017-08-13,0.015471,0.016723,0.008148,0.008241,22,"88,723",AGLC,-0.467325964708164
499762,2017-08-12,0.009483,0.015837,0.009445,0.015484999999999999,20,"54,242",AGLC,0.632922071074554
499763,2017-08-11,0.021624,0.022622999999999997,0.021528,0.022619999999999998,81,"123,512",AGLC,0.0460599334073252
499764,2017-08-10,0.03343,0.034132,0.016993,0.021625,93,"190,679",AGLC,-0.3531259347891121
499765,2017-08-09,0.016969,0.033831,0.016934,0.033427,287,"96,627",AGLC,0.9698862631858091
499766,2017-08-08,0.047382,0.048382,0.046991000000000005,0.048151,5,"269,067",AGLC,0.0162297919040986
499767,2017-08-07,0.023507,0.047546,0.023302,0.047335,5,"133,347",AGLC,1.01365550687029
499768,2017-08-06,0.006516,0.04702,0.006516,0.02356,544,"36,924",AGLC,2.6157151626764903
