Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
539102,2018-01-10,0.012706,0.013049000000000002,0.010951,0.013049000000000002,160,"221,910",ANTI,0.0269951204155517
539103,2018-01-09,0.012348999999999999,0.013166999999999998,0.011805,0.012689,11,"215,679",ANTI,0.027532593732285997
539104,2018-01-08,0.013191,0.01324,0.011679,0.012383,29,"230,380",ANTI,-0.0612538852247744
539105,2018-01-07,0.013762,0.014603999999999999,0.013209,0.013209,116,"240,356",ANTI,-0.0401831129196338
539106,2018-01-06,0.012398000000000001,0.013809,0.012022,0.013772,63,"216,538",ANTI,0.110824326504275
539107,2018-01-05,0.011082,0.012493,0.010391,0.012388,52,"193,553",ANTI,0.11784876376105399
539108,2018-01-04,0.011104000000000001,0.011283,0.009958,0.01108,215,"193,931",ANTI,-0.00216138328530257
539109,2018-01-03,0.010237000000000001,0.011065,0.010124,0.011043,21,"178,785",ANTI,0.0787340041027646
539110,2018-01-02,0.008371,0.010487999999999999,0.008081999999999999,0.010273000000000001,2,"146,199",ANTI,0.22721299725241895
539111,2018-01-01,0.008668,0.008674,0.008005,0.008372,0,"151,395",ANTI,-0.0341485925242272
539112,2017-12-31,0.007756,0.009715000000000001,0.007679000000000001,0.008634999999999999,3,"135,457",ANTI,0.113331614234141
539113,2017-12-30,0.008842000000000001,0.008845,0.007640000000000001,0.007840999999999999,17,"154,434",ANTI,-0.11320968106763199
539114,2017-12-29,0.008825,0.009226999999999999,0.008617,0.008865000000000001,11,"154,133",ANTI,0.00453257790368273
539115,2017-12-28,0.011016,0.011063,0.008312,0.008735,4,"192,402",ANTI,-0.20706245461147402
539116,2017-12-27,0.011086,0.011590999999999999,0.010452,0.011040000000000001,6,"193,617",ANTI,-0.00414937759336108
539117,2017-12-26,0.009751000000000001,0.01162,0.009751000000000001,0.011078,86,"170,298",ANTI,0.13608860629679
539118,2017-12-25,0.008593,0.010198,0.008093000000000001,0.009761,10,"150,078",ANTI,0.135924589782381
539119,2017-12-24,0.00891,0.00891,0.007666,0.008505,9,"155,613",ANTI,-0.0454545454545454
539120,2017-12-23,0.008964,0.009586,0.008772,0.008813,22,"156,557",ANTI,-0.0168451584114235
539121,2017-12-22,0.009899,0.009997,0.0072109999999999995,0.009027,4,"172,891",ANTI,-0.0880897060309122
539122,2017-12-21,0.009890000000000001,0.011293000000000001,0.009664,0.009865,9,"172,729",ANTI,-0.0025278058645095
539123,2017-12-20,0.009514,0.010166,0.008797,0.009864,5,"166,166",ANTI,0.0367878915282741
539124,2017-12-19,0.013968000000000001,0.014018000000000001,0.009208,0.009524,43,"243,944",ANTI,-0.31815578465063005
539125,2017-12-18,0.009757,0.014278,0.009691,0.013956,56,"170,412",ANTI,0.430357691913498
539126,2017-12-17,0.014608000000000001,0.014816,0.009623,0.009728,696,"255,123",ANTI,-0.33406352683461105
539127,2017-12-16,0.012882,0.014721000000000001,0.009614,0.014606000000000001,15,"224,990",ANTI,0.133830150597733
539128,2017-12-15,0.008957,0.013382,0.008956,0.012863999999999999,12,"156,441",ANTI,0.436195154627666
539129,2017-12-14,0.008351,0.009054000000000001,0.008256999999999999,0.008944,26,"145,860",ANTI,0.0710094599449167
539130,2017-12-13,0.008842000000000001,0.008928,0.008126999999999999,0.008378,332,"154,424",ANTI,-0.0524768152001809
539131,2017-12-12,0.010102,0.010655,0.009865,0.01057,3,"176,433",ANTI,0.0463274599089289
