Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
313904,2018-01-10,0.009493000000000001,0.009514,0.007769,0.009448999999999999,744,"3,233,310",BBP,-0.004634994206257129
313905,2018-01-09,0.007982,0.009946,0.00775,0.00948,"2,090","2,702,460",BBP,0.18767226259083
313906,2018-01-08,0.010911,0.010952,0.003947,0.008004,"12,396","3,672,560",BBP,-0.26642837503436895
313907,2018-01-07,0.009977,0.011065,0.008631,0.010926,"2,214","3,281,390",BBP,0.0951187731783101
313908,2018-01-06,0.01213,0.012211,0.009165999999999999,0.009984999999999999,"1,040","3,965,480",BBP,-0.176834295136026
313909,2018-01-05,0.012333,0.013179,0.010875,0.012121,"24,257","4,006,720",BBP,-0.0171896537744264
313910,2018-01-04,0.011968000000000001,0.012329999999999999,0.008961,0.012329999999999999,"15,254","3,864,260",BBP,0.0302473262032087
313911,2018-01-03,0.011872,0.01259,0.010801999999999999,0.011902,"16,775","3,809,310",BBP,0.00252695417789747
313912,2018-01-02,0.004668,0.050626,0.004345,0.011875,"86,746","1,488,260",BBP,1.5439160239931398
313913,2018-01-01,0.00509,0.005111,0.004291,0.004668,"1,830","1,612,350",BBP,-0.0829076620825147
313914,2017-12-31,0.00371,0.0053,0.0032329999999999998,0.00507,"4,119","1,167,700",BBP,0.366576819407008
313915,2017-12-30,0.003914,0.003915,0.0033020000000000002,0.003751,"4,329","1,224,060",BBP,-0.0416453755748595
313916,2017-12-29,0.004919,0.00512,0.003016,0.003924,"48,494","1,527,900",BBP,-0.20227688554584303
313917,2017-12-28,0.004469,0.004956,0.003967,0.004869,"3,488","1,379,100",BBP,0.0895054822107855
313918,2017-12-27,0.005742000000000001,0.005888,0.004026,0.004479,"4,472","1,759,980",BBP,-0.219958202716823
313919,2017-12-26,0.004448,0.005909,0.004367,0.005738,"39,104","1,354,040",BBP,0.290017985611511
313920,2017-12-25,0.005136,0.005182,0.003012,0.004442,"29,677","1,552,560",BBP,-0.1351246105919
313921,2017-12-24,0.006058,0.006058,0.0047740000000000005,0.005083,"11,265","1,818,500",BBP,-0.16094420600858403
313922,2017-12-23,0.005792,0.006576,0.00571,0.005992,"7,683","1,726,200",BBP,0.0345303867403314
313923,2017-12-22,0.006599,0.006664,0.004807,0.005737,"6,959","1,952,770",BBP,-0.130625852401879
313924,2017-12-21,0.006923,0.0073019999999999995,0.006362,0.0065769999999999995,"7,977","2,034,030",BBP,-0.0499783330925899
313925,2017-12-20,0.0074,0.007490999999999999,0.006620999999999999,0.006905,"8,375","2,158,140",BBP,-0.066891891891892
313926,2017-12-19,0.007462000000000001,0.008771,0.005258,0.0074069999999999995,"8,985","2,160,220",BBP,-0.00737067810238535
313927,2017-12-18,0.005166,0.008326,0.004582999999999999,0.007456,"24,801","1,482,360",BBP,0.44328300425861406
313928,2017-12-17,0.00409,0.005168,0.004009,0.00515,"6,542","1,166,770",BBP,0.25916870415647897
313929,2017-12-16,0.004412,0.004501,0.003773,0.00409,"3,392","1,248,220",BBP,-0.0729827742520399
313930,2017-12-15,0.005138,0.005768,0.004091,0.004406,"9,429","1,449,360",BBP,-0.142467886337096
313931,2017-12-14,0.003436,0.007253,0.0031149999999999997,0.00513,"42,379","966,322",BBP,0.493015133876601
313932,2017-12-13,0.002246,0.003447,0.002072,0.003447,"3,912","629,595",BBP,0.534728406055209
313933,2017-12-12,0.002189,0.0023079999999999997,0.0021379999999999997,0.0022440000000000003,"22,722","611,669",BBP,0.0251256281407035
313934,2017-12-11,0.002592,0.002636,0.001993,0.002182,"22,094","722,090",BBP,-0.15817901234567902
313935,2017-12-10,0.004058,0.004058,0.002,0.002611,"17,839","1,126,700",BBP,-0.3565795958600301
313936,2017-12-09,0.0034159999999999998,0.0046159999999999994,0.003075,0.0040420000000000005,"11,500","944,775",BBP,0.18325526932084304
313937,2017-12-08,0.004372999999999999,0.0052710000000000005,0.0026780000000000003,0.0034189999999999997,"38,121","1,205,350",BBP,-0.21815687171278303
313938,2017-12-07,0.002684,0.007286,0.0024649999999999997,0.0043630000000000006,"105,529","737,032",BBP,0.625558867362146
313939,2017-12-06,0.001521,0.0027600000000000003,0.001521,0.002689,"19,228","415,985",BBP,0.7679158448389221
313940,2017-12-05,0.001516,0.002229,0.001157,0.001524,"86,093","412,636",BBP,0.00527704485488125
313941,2017-12-04,0.0012369999999999998,0.001513,0.00098,0.001513,"4,582","334,994",BBP,0.22312045270816502
313942,2017-12-03,0.0013109999999999999,0.0014199999999999998,0.001165,0.001233,"1,984","353,646",BBP,-0.0594965675057209
313943,2017-12-02,0.001524,0.00155,0.00118,0.00131,"2,402","409,173",BBP,-0.14041994750656198
313944,2017-12-01,0.001198,0.001534,0.001041,0.001525,"5,408","320,310",BBP,0.272954924874791
313945,2017-11-30,0.001573,0.001615,0.0009,0.001204,"3,214","418,568",BBP,-0.234583598219962
313946,2017-11-29,0.000849,0.00165,0.0008289999999999999,0.001549,"8,862","224,862",BBP,0.8244994110718492
313947,2017-11-28,0.000781,0.000886,0.0007769999999999999,0.000852,159,"205,595",BBP,0.0909090909090909
313948,2017-11-27,0.000932,0.000975,0.000759,0.000973,"1,451","244,261",BBP,0.0439914163090129
313949,2017-11-26,0.000875,0.0009390000000000001,0.000789,0.000932,885,"228,018",BBP,0.0651428571428571
313950,2017-11-25,0.0009029999999999999,0.000956,0.000781,0.000875,"2,411","234,196",BBP,-0.0310077519379845
313951,2017-11-24,0.000884,0.000917,0.000867,0.0009050000000000001,456,"211,993",BBP,0.0237556561085972
313952,2017-11-23,0.0009050000000000001,0.000909,0.0008849999999999999,0.0008849999999999999,446,"216,956",BBP,-0.0220994475138121
313953,2017-11-22,0.000811,0.000909,0.000808,0.0009050000000000001,456,"194,569",BBP,0.11590628853267598
313954,2017-11-21,0.000824,0.0008349999999999999,0.0007019999999999999,0.0008089999999999999,780,"197,623",BBP,-0.0182038834951455
313955,2017-11-20,0.000884,0.000908,0.000736,0.000742,593,"211,860",BBP,-0.160633484162896
313956,2017-11-19,0.000779,0.000884,0.000771,0.000884,283,"186,723",BBP,0.134788189987163
313957,2017-11-18,0.0008460000000000001,0.0008560000000000001,0.000745,0.00078,738,"202,753",BBP,-0.0780141843971631
313958,2017-11-17,0.000784,0.000878,0.0007570000000000001,0.000849,655,"188,109",BBP,0.0829081632653062
313959,2017-11-16,0.0008029999999999999,0.0008029999999999999,0.000714,0.000786,109,"192,633",BBP,-0.0211706102117061
313960,2017-11-15,0.000661,0.0008029999999999999,0.000661,0.000799,832,"158,540",BBP,0.208774583963691
313961,2017-11-14,0.000718,0.000735,0.000643,0.000661,237,"172,265",BBP,-0.0793871866295264
313962,2017-11-13,0.000528,0.000711,0.000524,0.0006519999999999999,285,"126,699",BBP,0.234848484848485
313963,2017-11-12,0.0007,0.000708,0.0005099999999999999,0.000528,253,"167,789",BBP,-0.245714285714286
313964,2017-11-11,0.000657,0.000814,0.000567,0.0007,532,"157,533",BBP,0.06544901065448999
