Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
154350,2018-01-10,5.24,5.64,3.4,3.5,678,"52,419,100",BCAP,-0.33206106870228996
154351,2018-01-09,2.99,5.29,2.99,5.24,"44,896","29,881,900",BCAP,0.7525083612040129
154352,2018-01-08,4.24,4.49,2.9,3.0,"94,642","42,414,100",BCAP,-0.29245283018867896
154353,2018-01-07,4.16,4.54,2.84,4.2,"5,958","41,569,400",BCAP,0.009615384615384621
154354,2018-01-06,4.46,4.49,3.84,4.16,"12,176","44,555,900",BCAP,-0.0672645739910313
154355,2018-01-05,3.7,4.69,3.67,4.43,"23,150","36,988,400",BCAP,0.197297297297297
154356,2018-01-04,4.22,4.8,3.68,3.71,"8,311","42,224,200",BCAP,-0.12085308056872
154357,2018-01-03,3.58,4.69,3.57,4.22,"15,859","35,753,900",BCAP,0.17877094972067
154358,2018-01-02,3.55,3.67,3.13,3.56,"42,029","35,468,400",BCAP,0.00281690140845077
154359,2018-01-01,1.85,3.59,1.81,3.54,"7,167","18,530,000",BCAP,0.913513513513513
154360,2017-12-31,3.27,3.32,1.78,1.86,"3,773","32,665,700",BCAP,-0.43119266055045896
154361,2017-12-30,2.88,3.34,2.32,3.3,"9,370","28,842,100",BCAP,0.145833333333333
154362,2017-12-29,2.87,3.21,2.66,2.89,"80,891","28,725,500",BCAP,0.006968641114982579
154363,2017-12-28,2.78,2.93,2.55,2.68,"37,109","27,765,400",BCAP,-0.0359712230215826
154364,2017-12-27,3.01,3.22,2.66,2.78,"4,643","30,141,300",BCAP,-0.0764119601328904
154365,2017-12-26,3.63,3.78,2.95,3.01,"32,715","36,319,500",BCAP,-0.17079889807162502
154366,2017-12-25,2.47,3.74,2.47,3.63,"14,622","24,705,000",BCAP,0.46963562753036403
154367,2017-12-24,3.24,3.24,2.24,2.46,"9,582","32,371,700",BCAP,-0.24074074074074103
154368,2017-12-23,2.05,4.05,2.05,3.2,"18,858","20,468,000",BCAP,0.5609756097560981
154369,2017-12-22,2.89,2.9,1.52,2.03,"1,192","28,895,300",BCAP,-0.29757785467128
154370,2017-12-21,2.92,3.07,2.79,2.88,285,"29,178,200",BCAP,-0.0136986301369863
154371,2017-12-20,2.97,3.35,2.64,2.91,"9,325","29,748,200",BCAP,-0.0202020202020202
154372,2017-12-19,2.91,3.64,2.85,2.98,"25,700","29,145,700",BCAP,0.0240549828178694
154373,2017-12-18,2.62,3.16,2.41,2.92,"65,203","26,215,700",BCAP,0.114503816793893
154374,2017-12-17,2.38,2.76,2.38,2.63,"176,974","23,792,500",BCAP,0.10504201680672301
154375,2017-12-16,2.4,2.67,2.32,2.37,"54,880","23,961,200",BCAP,-0.0124999999999999
154376,2017-12-15,2.26,2.4,2.0,2.39,"116,722","22,573,000",BCAP,0.0575221238938055
154377,2017-12-14,1.91,2.36,1.78,2.26,"53,350","19,084,500",BCAP,0.18324607329842899
154378,2017-12-13,2.25,2.75,1.89,1.91,"32,948","22,487,000",BCAP,-0.151111111111111
154379,2017-12-12,1.79,2.49,1.74,2.25,"56,424","17,869,800",BCAP,0.25698324022346397
154380,2017-12-11,1.49,1.8,1.49,1.8,"11,103","14,889,100",BCAP,0.20805369127516798
154381,2017-12-10,1.61,1.61,1.47,1.49,"6,175","16,144,900",BCAP,-0.0745341614906833
154382,2017-12-09,1.88,2.08,1.57,1.61,"8,008","18,824,200",BCAP,-0.143617021276596
154383,2017-12-08,1.44,1.89,1.4,1.88,45,"14,366,600",BCAP,0.305555555555556
