Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
187202,2018-01-10,0.442572,0.566554,0.41261800000000004,0.566554,"735,889","17,440,000",BELA,0.280139728676916
187203,2018-01-09,0.47627200000000003,0.489059,0.431903,0.441992,"540,320","18,758,200",BELA,-0.0719756777639668
187204,2018-01-08,0.46703599999999995,0.503329,0.39364099999999996,0.48766499999999996,"512,555","18,390,300",BELA,0.0441700425663118
187205,2018-01-07,0.496946,0.496946,0.45479200000000003,0.47367600000000004,"386,417","19,559,000",BELA,-0.0468260132891703
187206,2018-01-06,0.451049,0.511988,0.426962,0.49562,"511,142","17,745,100",BELA,0.0988163148571442
187207,2018-01-05,0.475768,0.533487,0.40929499999999996,0.445111,"1,425,680","18,709,700",BELA,-0.0644368683896354
187208,2018-01-04,0.5093439999999999,0.5319560000000001,0.441377,0.475521,"1,443,940","20,021,000",BELA,-0.0664050229314569
187209,2018-01-03,0.344665,0.52056,0.344665,0.503857,"1,201,180","13,541,400",BELA,0.46187457386157604
187210,2018-01-02,0.33729499999999996,0.391261,0.330342,0.35299899999999995,"1,024,710","13,245,800",BELA,0.0465586504395262
187211,2018-01-01,0.294953,0.348502,0.29115100000000005,0.33718200000000004,"469,877","11,578,200",BELA,0.143171962990714
187212,2017-12-31,0.272121,0.313295,0.269047,0.299047,"366,265","10,677,400",BELA,0.0989486294699784
187213,2017-12-30,0.31890599999999997,0.326061,0.266377,0.276879,"321,225","12,507,500",BELA,-0.131784914677052
187214,2017-12-29,0.273656,0.324181,0.266414,0.321008,"316,529","10,727,800",BELA,0.173034758967463
187215,2017-12-28,0.27664,0.289362,0.247915,0.270852,"222,250","10,840,100",BELA,-0.0209224985540776
187216,2017-12-27,0.27920700000000004,0.303198,0.267102,0.274789,"211,179","10,935,600",BELA,-0.0158233855168387
187217,2017-12-26,0.312225,0.323895,0.258241,0.279163,"525,503","12,223,100",BELA,-0.105891584594443
187218,2017-12-25,0.328462,0.35049600000000003,0.282954,0.31461,"567,783","12,852,300",BELA,-0.0421723060810687
187219,2017-12-24,0.30280999999999997,0.327045,0.24981399999999998,0.327045,"820,544","11,841,700",BELA,0.0800336844886231
187220,2017-12-23,0.265191,0.394038,0.26027100000000003,0.29637600000000003,"1,483,060","10,370,600",BELA,0.11759448850074099
187221,2017-12-22,0.290617,0.30775,0.182554,0.259573,"885,450","11,362,300",BELA,-0.106821004965298
187222,2017-12-21,0.255325,0.351528,0.25388,0.289613,"1,089,230","9,977,870",BELA,0.13429158915108197
187223,2017-12-20,0.23603000000000002,0.278875,0.214961,0.254658,"468,326","9,220,660",BELA,0.0789221709104775
187224,2017-12-19,0.244236,0.264788,0.216126,0.236087,"394,681","9,541,250",BELA,-0.0333652696572169
187225,2017-12-18,0.21662399999999998,0.260644,0.204775,0.24403000000000002,"306,361","8,459,730",BELA,0.126514144323805
187226,2017-12-17,0.191686,0.227346,0.18982000000000002,0.21597,"195,160","7,483,820",BELA,0.126686351637574
187227,2017-12-16,0.174682,0.201655,0.173413,0.191856,"83,934","6,816,680",BELA,0.0983157967048694
187228,2017-12-15,0.17359000000000002,0.18473299999999998,0.167099,0.17831,"155,742","6,771,190",BELA,0.0271905063655741
187229,2017-12-14,0.16876300000000002,0.183641,0.165016,0.17332899999999998,"144,084","6,580,840",BELA,0.0270556934873166
187230,2017-12-13,0.159425,0.19045,0.15398199999999998,0.168817,"285,482","6,216,660",BELA,0.0589117139720871
187231,2017-12-12,0.142245,0.163471,0.134502,0.15929200000000002,"92,666","5,544,060",BELA,0.11984252522057001
187232,2017-12-11,0.12197100000000001,0.150316,0.121438,0.14163,"60,623","4,751,560",BELA,0.161177656984037
187233,2017-12-10,0.13608900000000002,0.13806,0.111864,0.123011,"111,219","5,299,170",BELA,-0.09609887647054499
187234,2017-12-09,0.139714,0.164639,0.12243299999999999,0.138236,"151,812","5,437,710",BELA,-0.0105787537397827
187235,2017-12-08,0.150826,0.150826,0.116051,0.139854,"126,600","5,867,740",BELA,-0.0727460782623684
187236,2017-12-07,0.142716,0.161733,0.136388,0.149607,"162,529","5,549,720",BELA,0.0482847052888252
187237,2017-12-06,0.154379,0.157498,0.136899,0.14874,"183,686","6,000,290",BELA,-0.0365269887743798
187238,2017-12-05,0.137427,0.166686,0.134078,0.154722,"291,317","5,338,260",BELA,0.125848632364819
187239,2017-12-04,0.11875,0.139649,0.116709,0.13634300000000002,"81,740","4,611,700",BELA,0.148151578947368
187240,2017-12-03,0.11280799999999999,0.13887,0.108135,0.11835799999999999,"129,510","4,378,820",BELA,0.0491986383944401
