Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
484738,2018-01-10,1.14,1.34,0.9867809999999999,1.22,"30,737","132,437",BITEUR,0.0701754385964913
484739,2018-01-09,1.19,1.22,1.12,1.14,"41,366","137,618",BITEUR,-0.0420168067226891
484740,2018-01-08,1.2,1.35,1.06,1.19,"13,415","143,305",BITEUR,-0.00833333333333334
484741,2018-01-07,1.22,1.22,1.16,1.2,"79,438","149,668",BITEUR,-0.0163934426229508
484742,2018-01-06,1.13,1.34,1.1,1.23,"3,105","133,337",BITEUR,0.08849557522123899
484743,2018-01-05,1.21,1.41,1.1,1.13,"2,392","143,983",BITEUR,-0.0661157024793389
484744,2018-01-04,1.32,1.45,1.19,1.22,"1,122","156,240",BITEUR,-0.0757575757575758
484745,2018-01-03,1.26,1.41,1.22,1.32,"1,962","150,085",BITEUR,0.0476190476190477
484746,2018-01-02,1.29,1.38,1.16,1.26,"10,019","154,895",BITEUR,-0.0232558139534884
484747,2018-01-01,1.3,1.38,1.2,1.29,"10,437","144,660",BITEUR,-0.0076923076923077
484748,2017-12-31,1.24,1.32,1.17,1.3,"1,947","137,339",BITEUR,0.0483870967741936
484749,2017-12-30,1.23,1.37,1.1,1.24,"2,584","135,366",BITEUR,0.008130081300813021
484750,2017-12-29,1.3,1.39,1.18,1.22,315,"143,101",BITEUR,-0.0615384615384616
484751,2017-12-28,1.17,1.32,1.08,1.3,"4,481","137,831",BITEUR,0.111111111111111
484752,2017-12-27,1.18,1.25,1.11,1.17,"1,989","138,377",BITEUR,-0.00847457627118645
484753,2017-12-26,1.42,1.83,1.13,1.18,"3,053","167,312",BITEUR,-0.16901408450704197
484754,2017-12-25,1.22,1.49,1.18,1.42,"8,908","146,492",BITEUR,0.163934426229508
484755,2017-12-24,1.15,1.32,1.09,1.21,"3,680","138,408",BITEUR,0.0521739130434783
484756,2017-12-23,1.21,1.41,1.14,1.16,"1,530","145,822",BITEUR,-0.0413223140495868
484757,2017-12-22,1.23,1.75,0.945717,1.22,"55,417","140,953",BITEUR,-0.008130081300813021
484758,2017-12-21,1.27,1.35,1.18,1.22,"7,237","146,062",BITEUR,-0.0393700787401575
484759,2017-12-20,1.3,1.46,1.16,1.26,"14,863","137,737",BITEUR,-0.0307692307692308
484760,2017-12-19,1.27,1.35,1.1,1.3,"4,041","132,571",BITEUR,0.0236220472440945
484761,2017-12-18,1.26,1.32,1.23,1.26,"12,741","152,516",BITEUR,0.0
484762,2017-12-17,1.35,1.38,1.22,1.26,"8,517","176,445",BITEUR,-0.0666666666666667
484763,2017-12-16,1.23,1.49,1.18,1.35,"4,748","143,069",BITEUR,0.0975609756097562
484764,2017-12-15,1.48,1.48,1.23,1.23,"9,151","150,126",BITEUR,-0.168918918918919
484765,2017-12-14,1.3,1.48,1.16,1.47,"18,117","129,264",BITEUR,0.130769230769231
484766,2017-12-13,1.33,1.44,1.2,1.29,"16,249","130,646",BITEUR,-0.0300751879699248
484767,2017-12-12,1.22,1.32,1.2,1.32,"5,855","118,395",BITEUR,0.0819672131147542
484768,2017-12-11,1.22,1.38,1.01,1.22,"4,169","109,667",BITEUR,0.0
484769,2017-12-10,1.26,1.27,1.16,1.22,804,"115,420",BITEUR,-0.0317460317460318
484770,2017-12-09,1.29,1.37,1.19,1.26,"12,432","109,029",BITEUR,-0.0232558139534884
484771,2017-12-08,1.25,1.29,1.15,1.29,"23,875","102,706",BITEUR,0.032
484772,2017-12-07,1.16,1.27,1.12,1.26,"5,482","102,385",BITEUR,0.0862068965517242
484773,2017-12-06,1.21,1.45,1.14,1.16,"2,835","106,437",BITEUR,-0.0413223140495868
484774,2017-12-05,1.26,1.37,1.16,1.21,"7,811","105,962",BITEUR,-0.0396825396825397
484775,2017-12-04,1.27,1.38,1.18,1.26,"3,991","102,436",BITEUR,-0.0078740157480315
484776,2017-12-03,1.23,1.33,1.18,1.26,"1,881","99,449",BITEUR,0.024390243902439
484777,2017-12-02,1.21,1.26,1.16,1.23,"2,920","97,428",BITEUR,0.0165289256198347
484778,2017-12-01,1.25,1.26,1.18,1.2,"5,120","95,886",BITEUR,-0.04
484779,2017-11-30,1.25,1.36,1.11,1.25,"2,734","96,327",BITEUR,0.0
484780,2017-11-29,1.32,1.35,1.09,1.25,"12,167","99,727",BITEUR,-0.0530303030303031
484781,2017-11-28,1.25,1.32,1.21,1.32,"1,623","94,684",BITEUR,0.055999999999999994
484782,2017-11-27,1.19,1.3,1.19,1.25,850,"97,409",BITEUR,0.0504201680672269
484783,2017-11-26,1.18,1.25,1.18,1.19,"1,996","95,696",BITEUR,0.00847457627118645
484784,2017-11-25,1.14,1.25,1.11,1.18,"4,227","87,704",BITEUR,0.0350877192982456
484785,2017-11-24,1.07,1.18,1.06,1.15,"3,838","82,676",BITEUR,0.0747663551401868
484786,2017-11-23,1.07,1.12,1.06,1.07,"1,707","82,408",BITEUR,0.0
484787,2017-11-22,1.0,1.09,0.976975,1.07,"2,840","78,986",BITEUR,0.0700000000000001
484788,2017-11-21,1.07,1.21,1.0,1.01,"2,198","82,374",BITEUR,-0.0560747663551402
484789,2017-11-20,1.15,1.28,1.06,1.07,"7,333","85,926",BITEUR,-0.0695652173913042
484790,2017-11-19,1.13,1.17,1.11,1.15,889,"85,956",BITEUR,0.0176991150442478
484791,2017-11-18,1.14,1.19,1.13,1.13,"13,364","79,095",BITEUR,-0.00877192982456141
484792,2017-11-17,1.07,1.21,1.02,1.14,"9,136","69,143",BITEUR,0.0654205607476634
484793,2017-11-16,1.19,1.22,1.07,1.09,"7,093","71,415",BITEUR,-0.08403361344537798
484794,2017-11-15,1.18,1.23,1.16,1.19,634,"71,022",BITEUR,0.00847457627118645
484795,2017-11-14,1.2,1.25,1.14,1.18,526,"72,182",BITEUR,-0.0166666666666667
484796,2017-11-13,1.19,1.23,1.06,1.21,"3,998","70,096",BITEUR,0.0168067226890756
484797,2017-11-12,1.2,1.29,1.07,1.18,"7,773","68,306",BITEUR,-0.0166666666666667
484798,2017-11-11,1.17,1.23,1.1,1.2,"3,128","65,513",BITEUR,0.0256410256410257
484799,2017-11-10,1.22,1.22,1.09,1.17,"9,540","67,524",BITEUR,-0.0409836065573771
484800,2017-11-09,1.18,1.25,1.14,1.22,"5,170","64,986",BITEUR,0.0338983050847458
484801,2017-11-08,1.18,1.27,1.14,1.17,"1,518","65,003",BITEUR,-0.00847457627118645
484802,2017-11-07,1.47,1.52,1.17,1.18,134,"81,081",BITEUR,-0.197278911564626
484803,2017-11-06,1.18,1.48,1.14,1.47,"2,651","67,172",BITEUR,0.24576271186440699
484804,2017-11-05,1.29,1.29,1.17,1.18,"1,662","73,356",BITEUR,-0.0852713178294574
484805,2017-11-04,1.23,1.3,1.1,1.29,512,"70,062",BITEUR,0.0487804878048781
484806,2017-11-03,1.17,1.38,1.12,1.23,"1,001","66,481",BITEUR,0.0512820512820513
484807,2017-11-02,1.14,1.34,1.11,1.17,"7,012","66,446",BITEUR,0.0263157894736842
484808,2017-11-01,1.1,1.27,1.05,1.13,"1,303","63,964",BITEUR,0.0272727272727271
484809,2017-10-31,1.21,1.35,1.11,1.11,"1,122","69,524",BITEUR,-0.0826446280991734
484810,2017-10-30,1.22,1.24,1.19,1.21,82,"70,088",BITEUR,-0.00819672131147542
484811,2017-10-29,1.15,1.23,1.14,1.22,208,"66,281",BITEUR,0.0608695652173914
484812,2017-10-28,1.18,1.19,1.14,1.14,"1,640","70,055",BITEUR,-0.0338983050847458
484813,2017-10-27,1.28,1.39,1.17,1.18,829,"76,547",BITEUR,-0.0781250000000001
484814,2017-10-26,1.18,1.3,1.14,1.29,76,"70,502",BITEUR,0.0932203389830509
484815,2017-10-25,1.22,1.22,1.11,1.18,330,"73,040",BITEUR,-0.0327868852459017
484816,2017-10-24,1.21,1.25,1.16,1.22,603,"72,453",BITEUR,0.008264462809917359
484817,2017-10-23,1.26,1.26,1.16,1.21,575,"75,944",BITEUR,-0.0396825396825397
484818,2017-10-22,1.26,1.27,1.19,1.26,132,"76,155",BITEUR,0.0
484819,2017-10-21,1.22,1.29,1.19,1.27,"1,352","73,773",BITEUR,0.0409836065573771
484820,2017-10-20,1.23,1.26,1.18,1.23,"5,455","77,505",BITEUR,0.0
484821,2017-10-19,1.26,1.27,1.19,1.23,"1,304","79,873",BITEUR,-0.0238095238095238
484822,2017-10-18,1.23,1.31,1.14,1.26,389,"76,904",BITEUR,0.024390243902439
484823,2017-10-17,1.3,1.3,1.17,1.23,"7,124","85,785",BITEUR,-0.0538461538461539
484824,2017-10-16,1.22,1.35,1.16,1.3,"2,337","81,193",BITEUR,0.0655737704918033
484825,2017-10-15,1.23,1.26,1.14,1.22,571,"82,062",BITEUR,-0.008130081300813021
484826,2017-10-14,1.29,1.32,1.16,1.23,"1,133","86,412",BITEUR,-0.0465116279069768
484827,2017-10-13,1.2,1.32,1.18,1.29,986,"80,347",BITEUR,0.0750000000000001
484828,2017-10-12,1.19,1.27,1.15,1.2,"10,841","84,356",BITEUR,0.00840336134453782
484829,2017-10-11,1.13,1.26,1.09,1.19,"1,627","79,968",BITEUR,0.0530973451327434
484830,2017-10-10,1.21,1.27,1.12,1.13,"65,900","89,930",BITEUR,-0.0661157024793389
484831,2017-10-09,1.2,1.28,1.16,1.21,"7,870","95,829",BITEUR,0.00833333333333334
484832,2017-10-08,1.2,1.27,1.16,1.2,"1,291","95,506",BITEUR,0.0
484833,2017-10-07,1.17,1.22,1.15,1.2,"2,060","93,582",BITEUR,0.0256410256410257
484834,2017-10-06,1.15,1.23,0.925524,1.17,"1,001","91,941",BITEUR,0.0173913043478261
