Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
167945,2018-01-10,0.908977,0.993358,0.8851459999999999,0.951418,"10,714,300","26,407,100",BITUSD,0.0466909503760821
167946,2018-01-09,0.940607,0.9653879999999999,0.8803200000000001,0.907755,"4,967,430","27,315,100",BITUSD,-0.0349263826443988
167947,2018-01-08,0.944995,0.9814860000000001,0.8489040000000001,0.9699030000000001,"9,008,080","28,252,900",BITUSD,0.0263578114169916
167948,2018-01-07,0.937565,0.956694,0.914116,0.944634,"2,927,720","27,864,900",BITUSD,0.0075397439110888205
167949,2018-01-06,0.917847,0.9945200000000001,0.8948440000000001,0.939688,"4,370,840","26,706,700",BITUSD,0.023795904981985
167950,2018-01-05,0.928766,0.9856370000000001,0.873051,0.915301,"4,757,680","26,603,600",BITUSD,-0.0144977313984362
167951,2018-01-04,1.01,1.16,0.9128440000000001,0.9323379999999999,"5,010,770","28,134,900",BITUSD,-0.0768930693069307
167952,2018-01-03,0.9449069999999999,1.05,0.8996780000000001,1.02,"4,180,930","26,020,700",BITUSD,0.0794713130498557
167953,2018-01-02,0.9682040000000001,1.01,0.8900450000000001,0.94385,"9,761,840","25,784,300",BITUSD,-0.0251537899037806
167954,2018-01-01,0.963182,1.02,0.938256,0.9654459999999999,"4,874,320","24,863,100",BITUSD,0.0023505422651171302
167955,2017-12-31,1.01,1.01,0.920738,0.9668059999999999,"2,872,560","25,691,700",BITUSD,-0.0427663366336633
167956,2017-12-30,0.9365700000000001,1.06,0.900332,1.02,"5,735,110","23,325,600",BITUSD,0.089080367724783
167957,2017-12-29,1.01,1.1,0.921216,0.934997,"3,734,770","24,020,900",BITUSD,-0.074260396039604
167958,2017-12-28,0.944109,1.09,0.896075,1.0,"5,689,600","22,355,500",BITUSD,0.0591997322343077
167959,2017-12-27,0.9611559999999999,1.03,0.9125840000000001,0.9433739999999999,"2,435,150","22,856,600",BITUSD,-0.0185006388140947
167960,2017-12-26,0.9801979999999999,1.05,0.920851,0.959945,"3,306,450","23,763,000",BITUSD,-0.0206621519325687
167961,2017-12-25,1.0,1.08,0.9460870000000001,0.9822620000000001,"4,654,770","23,418,500",BITUSD,-0.017738
167962,2017-12-24,0.9022540000000001,1.05,0.901142,0.997447,"5,950,800","21,079,600",BITUSD,0.105505766668809
167963,2017-12-23,0.8969370000000001,1.09,0.8969370000000001,0.909884,"6,642,010","19,424,400",BITUSD,0.014434681588562
167964,2017-12-22,0.9763709999999999,1.3,0.7815989999999999,0.893388,"17,627,000","22,827,500",BITUSD,-0.0849912584458162
167965,2017-12-21,0.994748,1.05,0.907766,0.97203,"7,643,020","21,402,900",BITUSD,-0.0228379448865441
167966,2017-12-20,1.01,1.15,0.896278,0.992296,"12,936,100","18,621,000",BITUSD,-0.0175287128712872
167967,2017-12-19,1.02,1.12,0.941098,1.01,"5,354,090","17,609,400",BITUSD,-0.00980392156862746
167968,2017-12-18,0.9896299999999999,1.05,0.9791270000000001,1.02,"3,987,320","15,826,500",BITUSD,0.0306882370178754
167969,2017-12-17,1.04,1.07,0.975901,0.986876,"5,244,070","15,922,700",BITUSD,-0.0510807692307693
167970,2017-12-16,0.989866,1.14,0.955192,1.04,"4,787,170","13,746,600",BITUSD,0.0506472593260098
167971,2017-12-15,1.08,1.2,0.9323950000000001,0.989043,"5,523,540","13,508,300",BITUSD,-0.0842194444444445
167972,2017-12-14,1.01,1.15,0.9583969999999999,1.07,"4,274,280","11,506,400",BITUSD,0.0594059405940595
167973,2017-12-13,1.07,1.17,0.9623440000000001,1.01,"2,584,540","11,668,800",BITUSD,-0.0560747663551402
167974,2017-12-12,1.01,1.07,0.9869129999999999,1.07,"2,324,460","10,380,600",BITUSD,0.0594059405940595
167975,2017-12-11,0.96945,1.17,0.959525,1.01,"858,054","9,916,120",BITUSD,0.0418278405281345
167976,2017-12-10,0.968433,1.03,0.924942,0.9704790000000001,"944,816","9,781,560",BITUSD,0.0021126913271232897
167977,2017-12-09,1.01,1.17,0.9590190000000001,0.9691360000000001,"1,267,370","9,713,190",BITUSD,-0.0404594059405941
167978,2017-12-08,1.02,1.19,0.9436770000000001,1.01,"1,520,650","9,858,100",BITUSD,-0.00980392156862746
167979,2017-12-07,0.9320719999999999,1.06,0.8869299999999999,1.02,"2,336,060","9,043,960",BITUSD,0.0943360598752028
167980,2017-12-06,1.01,1.15,0.9227799999999999,0.929514,"1,806,990","9,713,960",BITUSD,-0.0796891089108911
167981,2017-12-05,1.05,1.05,0.9754139999999999,1.0,"1,104,700","9,824,990",BITUSD,-0.0476190476190477
167982,2017-12-04,1.05,1.11,1.0,1.06,"1,690,080","9,188,980",BITUSD,0.00952380952380953
167983,2017-12-03,1.0,1.08,0.9918020000000001,1.04,"1,316,660","8,601,530",BITUSD,0.04
167984,2017-12-02,0.996142,1.04,0.96549,1.0,"1,318,550","8,765,560",BITUSD,0.00387294180950108
167985,2017-12-01,0.9890680000000001,1.03,0.9423450000000001,0.994058,"822,850","8,143,580",BITUSD,0.00504515361936697
167986,2017-11-30,1.03,1.19,0.9476959999999999,0.9910479999999999,"1,660,770","7,989,000",BITUSD,-0.0378174757281553
167987,2017-11-29,1.05,1.1,0.907798,1.03,"2,651,200","7,745,470",BITUSD,-0.0190476190476191
167988,2017-11-28,1.03,1.28,0.9866799999999999,1.05,"1,706,530","6,459,130",BITUSD,0.0194174757281554
167989,2017-11-27,0.9867819999999999,1.02,0.965958,1.02,"984,678","5,616,490",BITUSD,0.0336629569651655
167990,2017-11-26,0.986784,1.02,0.9718979999999999,0.9853790000000001,"514,850","5,390,700",BITUSD,-0.00142381716768816
167991,2017-11-25,0.9382659999999999,1.04,0.925741,0.987931,"402,144","5,048,490",BITUSD,0.0529327504140616
167992,2017-11-24,0.9037200000000001,0.9909610000000001,0.88195,0.9410139999999999,"530,917","4,770,940",BITUSD,0.0412672066569292
167993,2017-11-23,0.896551,0.931853,0.8740000000000001,0.901343,"640,841","4,343,690",BITUSD,0.00534492739397984
167994,2017-11-22,0.846717,0.905803,0.818023,0.89602,"525,809","4,091,790",BITUSD,0.0582284281524996
167995,2017-11-21,0.902159,0.971994,0.817051,0.848686,"1,304,130","4,129,250",BITUSD,-0.0592722568859813
167996,2017-11-20,0.9347409999999999,0.9751850000000001,0.893109,0.9002370000000001,"894,330","4,319,850",BITUSD,-0.0369128988671729
