Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
19216,2018-01-10,17.71,17.71,15.17,17.39,"146,582,000","1,753,330,000",BNB,-0.018068887634105
19217,2018-01-09,18.17,20.32,16.8,17.41,"194,750,000","1,799,480,000",BNB,-0.0418271876719869
19218,2018-01-08,18.65,19.22,15.35,18.26,"296,618,000","1,846,270,000",BNB,-0.0209115281501339
19219,2018-01-07,22.77,22.77,18.24,18.66,"258,050,000","2,254,460,000",BNB,-0.18050065876152802
19220,2018-01-06,14.87,23.51,14.82,22.76,"637,021,000","1,472,230,000",BNB,0.530598520511096
19221,2018-01-05,9.15,16.72,9.09,14.92,"341,505,000","905,550,000",BNB,0.630601092896175
19222,2018-01-04,9.45,9.54,8.85,9.21,"158,819,000","935,270,000",BNB,-0.0253968253968252
19223,2018-01-03,8.77,9.58,8.53,9.54,"108,852,000","868,367,000",BNB,0.0877993158494868
19224,2018-01-02,8.46,9.12,8.22,8.84,"104,789,000","837,431,000",BNB,0.044917257683214994
19225,2018-01-01,8.63,8.7,7.96,8.41,"66,422,800","854,444,000",BNB,-0.0254924681344149
19226,2017-12-31,7.76,8.84,7.71,8.64,"74,927,900","768,676,000",BNB,0.11340206185566999
19227,2017-12-30,8.71,8.76,7.19,7.84,"72,933,900","862,785,000",BNB,-0.0998851894374283
19228,2017-12-29,9.32,9.53,8.54,8.81,"70,849,400","922,674,000",BNB,-0.0547210300429184
19229,2017-12-28,10.13,10.2,8.15,9.32,"109,298,000","1,002,640,000",BNB,-0.0799605133267523
19230,2017-12-27,9.25,11.3,8.49,10.11,"167,808,000","916,302,000",BNB,0.0929729729729729
19231,2017-12-26,6.56,10.62,6.5,9.03,"167,813,000","649,460,000",BNB,0.37652439024390205
19232,2017-12-25,5.31,6.96,5.25,6.56,"66,374,400","525,624,000",BNB,0.235404896421846
19233,2017-12-24,4.74,5.29,4.2,5.29,"43,676,900","469,508,000",BNB,0.116033755274262
19234,2017-12-23,4.39,5.13,4.31,4.84,"32,930,300","435,162,000",BNB,0.10250569476082001
19235,2017-12-22,5.21,5.21,3.51,4.34,"36,672,600","515,413,000",BNB,-0.16698656429942402
19236,2017-12-21,5.18,5.7,4.81,5.18,"46,905,500","513,379,000",BNB,0.0
19237,2017-12-20,5.79,5.79,4.93,5.18,"47,866,900","573,156,000",BNB,-0.105354058721934
19238,2017-12-19,5.65,6.55,5.58,5.79,"66,695,200","559,132,000",BNB,0.0247787610619468
