Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
592365,2018-01-10,2.92,3.0,2.57,3.0,"21,559",-,BOS,0.0273972602739726
592366,2018-01-09,2.65,3.28,2.56,2.92,"61,042",-,BOS,0.10188679245283
592367,2018-01-08,3.39,3.39,2.39,2.66,"47,688",-,BOS,-0.21533923303834804
592368,2018-01-07,2.94,3.51,2.76,3.39,"36,568",-,BOS,0.153061224489796
592369,2018-01-06,3.4,3.42,2.71,2.94,"18,506",-,BOS,-0.135294117647059
592370,2018-01-05,3.31,3.62,3.06,3.39,"34,770",-,BOS,0.0241691842900302
592371,2018-01-04,3.01,3.31,2.7,3.31,"38,050",-,BOS,0.0996677740863788
592372,2018-01-03,2.52,3.24,2.42,3.0,"52,638",-,BOS,0.19047619047619
592373,2018-01-02,2.28,2.54,2.2,2.53,"20,812",-,BOS,0.10964912280701801
592374,2018-01-01,2.26,2.36,2.07,2.28,"17,655",-,BOS,0.0088495575221239
592375,2017-12-31,2.11,2.33,2.08,2.26,"32,619",-,BOS,0.0710900473933649
592376,2017-12-30,2.65,2.65,2.02,2.13,"25,546",-,BOS,-0.19622641509434
592377,2017-12-29,2.39,2.72,2.06,2.66,"15,003",-,BOS,0.112970711297071
592378,2017-12-28,2.62,2.65,1.97,2.36,"19,514",-,BOS,-0.0992366412213741
592379,2017-12-27,2.76,2.9,2.49,2.63,"17,477",-,BOS,-0.0471014492753623
592380,2017-12-26,2.58,3.37,2.39,2.75,"78,436",-,BOS,0.065891472868217
592381,2017-12-25,2.65,2.8,1.89,2.58,"32,848",-,BOS,-0.0264150943396226
592382,2017-12-24,2.45,2.87,2.27,2.77,"9,119",-,BOS,0.130612244897959
592383,2017-12-23,2.34,3.08,2.17,2.43,"6,986",-,BOS,0.0384615384615386
592384,2017-12-22,2.55,2.78,1.37,2.32,"18,592",-,BOS,-0.0901960784313725
592385,2017-12-21,2.64,3.36,2.49,2.54,"19,447",-,BOS,-0.0378787878787879
592386,2017-12-20,3.12,3.61,2.36,2.63,"30,933",-,BOS,-0.157051282051282
592387,2017-12-19,3.06,3.66,2.94,3.3,"94,837",-,BOS,0.0784313725490195
592388,2017-12-18,2.79,3.17,2.48,3.06,"84,696",-,BOS,0.0967741935483871
592389,2017-12-17,2.01,3.3,2.01,2.78,"70,039",-,BOS,0.383084577114428
592390,2017-12-16,1.66,2.2,1.51,1.97,"8,182",-,BOS,0.186746987951807
592391,2017-12-15,1.33,2.1,1.33,1.66,"22,621",-,BOS,0.24812030075188
592392,2017-12-14,1.06,1.95,0.8923129999999999,1.33,"25,539",-,BOS,0.254716981132075
592393,2017-12-13,1.12,1.24,0.339432,1.07,"10,833",-,BOS,-0.0446428571428572
592394,2017-12-12,1.41,1.41,1.04,1.12,"2,739",-,BOS,-0.205673758865248
592395,2017-12-11,1.1,1.58,1.04,1.41,"8,437",-,BOS,0.281818181818182
592396,2017-12-10,1.13,1.28,0.934516,1.11,"10,349",-,BOS,-0.0176991150442476
592397,2017-12-09,1.2,1.37,1.03,1.12,"5,352",-,BOS,-0.0666666666666665
592398,2017-12-08,1.23,1.36,0.880783,1.2,"6,617",-,BOS,-0.024390243902439
592399,2017-12-07,1.13,1.62,1.05,1.23,"4,229",-,BOS,0.08849557522123899
592400,2017-12-06,1.28,1.66,1.14,1.14,"35,972",-,BOS,-0.109375
592401,2017-12-05,1.28,1.31,1.12,1.2,"5,332",-,BOS,-0.0625000000000001
592402,2017-12-04,1.07,1.32,0.992059,1.28,"13,262",-,BOS,0.19626168224299104
592403,2017-12-03,1.06,1.14,0.9700719999999999,1.06,"2,073",-,BOS,0.0
592404,2017-12-02,1.12,1.19,0.952261,1.06,"6,655",-,BOS,-0.0535714285714286
592405,2017-12-01,1.13,1.17,0.810466,1.12,"22,812",-,BOS,-0.00884955752212371
592406,2017-11-30,0.9926969999999999,1.33,0.9863139999999999,1.13,"2,329",-,BOS,0.138313100573488
592407,2017-11-29,1.18,1.32,0.8603709999999999,0.9776799999999999,"36,843",-,BOS,-0.171457627118644
592408,2017-11-28,1.26,1.28,1.09,1.18,"2,273",-,BOS,-0.0634920634920635
592409,2017-11-27,1.27,1.32,1.11,1.26,"6,882",-,BOS,-0.0078740157480315
592410,2017-11-26,1.18,1.38,1.13,1.27,"12,035",-,BOS,0.076271186440678
592411,2017-11-25,1.11,1.21,1.1,1.18,"7,555",-,BOS,0.0630630630630629
592412,2017-11-24,1.08,1.12,0.899014,1.11,"8,197",-,BOS,0.0277777777777778
592413,2017-11-23,1.12,1.19,0.964566,1.09,"4,217",-,BOS,-0.0267857142857143
592414,2017-11-22,1.04,1.15,1.04,1.12,"1,105",-,BOS,0.076923076923077
592415,2017-11-21,1.12,1.26,1.02,1.04,"11,044",-,BOS,-0.0714285714285715
592416,2017-11-20,1.39,1.4,1.04,1.12,"4,482",-,BOS,-0.194244604316547
592417,2017-11-19,1.31,1.4,1.11,1.39,"3,232",-,BOS,0.0610687022900762
