Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
524631,2018-01-06,1.15,1.16,1.14,1.15,"16,585","741,501",BRIA,0.0
524632,2018-01-05,0.933581,1.15,0.931251,1.15,"16,642","600,712",BRIA,0.231815985972294
524633,2018-01-04,0.871725,1.06,0.77886,0.9347219999999999,"12,807","560,883",BRIA,0.0722670566979266
524634,2018-01-03,0.7199,0.8720559999999999,0.6970000000000001,0.8716389999999999,"8,452","463,194",BRIA,0.21077788581747503
524635,2018-01-02,0.71,0.7199,0.6995,0.7199,"1,551","456,824",BRIA,0.013943661971831
524636,2018-01-01,0.5501,0.71,0.5501,0.71,35,"353,940",BRIA,0.29067442283221195
524637,2017-12-31,0.62,0.7198,0.5501,0.5501,304,"398,912",BRIA,-0.11274193548387101
524638,2017-12-30,0.662651,1.11,0.62,0.62,1,"426,348",BRIA,-0.0643641977451177
524639,2017-12-29,0.6641020000000001,0.7919229999999999,0.62,0.66297,239,"426,880",BRIA,-0.00170455743244264
524640,2017-12-28,0.75,1.11,0.66223,0.663682,107,"480,761",BRIA,-0.115090666666667
524641,2017-12-27,0.7209840000000001,0.840852,0.641755,0.75,716,"460,893",BRIA,0.0402449985020473
524642,2017-12-26,1.01,1.14,0.632984,0.7209800000000001,"4,346","645,253",BRIA,-0.28615841584158397
524643,2017-12-25,0.750139,1.02,0.6187,1.01,"11,723","476,826",BRIA,0.346417130691778
524644,2017-12-24,0.68,0.750131,0.590259,0.750131,"18,901","431,029",BRIA,0.10313382352941199
524645,2017-12-23,0.974295,1.02,0.68,0.68,"9,144","615,940",BRIA,-0.302059437849932
524646,2017-12-22,0.761959,1.04,0.740751,0.966499,"2,922","480,514",BRIA,0.268439640453095
524647,2017-12-21,0.8220000000000001,1.11,0.76,0.7618779999999999,742,"517,204",BRIA,-0.0731411192214111
524648,2017-12-20,0.9793,0.9793,0.73,0.92,197,"614,797",BRIA,-0.0605534565505973
524649,2017-12-19,0.9,1.12,0.7,0.9793,"1,478","563,686",BRIA,0.08811111111111099
524650,2017-12-18,1.25,1.25,0.9,0.9,"1,210","780,253",BRIA,-0.28
524651,2017-12-17,0.9461629999999999,1.26,0.9385700000000001,1.25,"4,466","589,862",BRIA,0.321125429762102
