Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
171396,2018-01-10,1.6,1.64,1.36,1.53,"634,077","28,528,300",BSD,-0.04375
171397,2018-01-09,1.68,1.72,1.53,1.57,"1,060,260","29,834,600",BSD,-0.0654761904761904
171398,2018-01-08,1.54,2.28,1.5,1.68,"5,707,200","27,290,400",BSD,0.0909090909090908
171399,2018-01-07,1.58,1.8,1.5,1.54,"1,415,710","28,098,800",BSD,-0.0253164556962026
171400,2018-01-06,1.47,1.61,1.42,1.58,"343,009","26,115,400",BSD,0.0748299319727892
171401,2018-01-05,1.38,1.58,1.35,1.48,"598,890","24,444,000",BSD,0.0724637681159421
171402,2018-01-04,1.38,1.47,1.28,1.39,"973,828","24,548,200",BSD,0.007246376811594209
171403,2018-01-03,1.44,1.44,1.27,1.36,"706,615","25,468,300",BSD,-0.0555555555555555
171404,2018-01-02,1.28,1.52,1.21,1.41,"964,795","22,601,200",BSD,0.1015625
171405,2018-01-01,1.26,1.31,1.19,1.28,"354,786","22,277,900",BSD,0.0158730158730159
171406,2017-12-31,1.2,1.34,1.17,1.29,"447,469","21,228,400",BSD,0.0750000000000001
171407,2017-12-30,1.33,1.33,1.11,1.21,"440,715","23,540,400",BSD,-0.0902255639097745
171408,2017-12-29,1.35,1.49,1.27,1.34,"776,666","23,907,200",BSD,-0.007407407407407409
171409,2017-12-28,1.45,1.45,1.15,1.33,"619,067","25,547,000",BSD,-0.0827586206896551
171410,2017-12-27,1.36,1.56,1.32,1.44,"1,428,490","23,919,500",BSD,0.0588235294117646
171411,2017-12-26,1.41,1.53,1.29,1.36,"924,709","24,802,200",BSD,-0.0354609929078013
171412,2017-12-25,1.33,1.5,1.24,1.44,"2,302,900","23,406,600",BSD,0.0827067669172931
171413,2017-12-24,1.21,1.5,1.11,1.34,"3,965,890","21,297,900",BSD,0.10743801652892598
171414,2017-12-23,1.13,1.32,1.1,1.2,"478,673","19,808,000",BSD,0.0619469026548673
171415,2017-12-22,1.33,1.34,0.9002629999999999,1.13,"397,679","23,323,800",BSD,-0.150375939849624
171416,2017-12-21,1.35,1.49,1.22,1.33,"911,364","23,633,300",BSD,-0.0148148148148148
171417,2017-12-20,1.43,1.46,1.25,1.34,"422,662","25,092,400",BSD,-0.0629370629370628
