Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
494231,2018-01-10,0.000292,0.000295,0.00013700000000000002,0.00015,"1,339","184,249",BSTAR,-0.486301369863014
494232,2018-01-09,0.000301,0.000308,0.000144,0.000292,448,"189,994",BSTAR,-0.0299003322259136
494233,2018-01-08,0.00032599999999999996,0.000327,0.000146,0.000302,"4,936","205,450",BSTAR,-0.0736196319018405
494234,2018-01-07,0.000172,0.00033,0.00015900000000000002,0.00032599999999999996,"5,956","108,513",BSTAR,0.895348837209302
494235,2018-01-06,0.00016999999999999999,0.000173,0.000164,0.000172,"1,336","107,134",BSTAR,0.0117647058823529
494236,2018-01-05,0.000152,0.000171,0.000149,0.00016999999999999999,251,"95,762",BSTAR,0.11842105263157901
494237,2018-01-04,0.000152,0.000155,0.000144,0.000152,175,"95,949",BSTAR,0.0
494238,2018-01-03,0.000148,0.000155,0.000147,0.000151,612,"93,583",BSTAR,0.0202702702702704
494239,2018-01-02,0.000135,0.000152,0.00013000000000000002,0.000149,"1,071","85,166",BSTAR,0.103703703703704
494240,2018-01-01,0.00014,0.00014,0.000129,0.000135,8,"88,194",BSTAR,-0.0357142857142856
494241,2017-12-31,0.000127,0.00014199999999999998,0.000126,0.000139,14,"80,202",BSTAR,0.0944881889763779
494242,2017-12-30,0.000145,0.000145,0.000122,0.000129,6,"91,439",BSTAR,-0.11034482758620698
494243,2017-12-29,0.000145,0.000151,0.00014099999999999998,0.000145,106,"91,261",BSTAR,0.0
494244,2017-12-28,0.000143,0.000146,0.000136,0.000143,26,"90,018",BSTAR,0.0
494245,2017-12-27,0.00015800000000000002,0.000166,0.000147,0.000151,15,"99,899",BSTAR,-0.0443037974683543
494246,2017-12-26,0.000139,0.000161,0.000139,0.00015800000000000002,16,"87,868",BSTAR,0.136690647482014
494247,2017-12-25,0.00014099999999999998,0.000145,0.000133,0.000139,52,"88,860",BSTAR,-0.0141843971631207
494248,2017-12-24,0.000146,0.000146,0.000126,0.000139,25,"92,137",BSTAR,-0.0479452054794521
494249,2017-12-23,0.000144,0.000157,0.000144,0.000144,8,"90,538",BSTAR,0.0
494250,2017-12-22,0.000157,0.00015900000000000002,0.00011399999999999999,0.000131,1,"99,117",BSTAR,-0.16560509554140102
494251,2017-12-21,0.000154,0.00015800000000000002,0.000153,0.000157,2,"96,975",BSTAR,0.0194805194805194
494252,2017-12-19,0.00019099999999999998,0.000192,0.000178,0.000182,9,"120,694",BSTAR,-0.0471204188481675
494253,2017-12-18,0.00018999999999999998,0.000193,0.000185,0.00019099999999999998,31,"120,033",BSTAR,0.00526315789473683
494254,2017-12-17,0.000195,0.0002,0.00019099999999999998,0.000194,2,"122,858",BSTAR,-0.00512820512820511
494255,2017-12-16,0.000176,0.000196,0.000174,0.000195,4,"111,269",BSTAR,0.107954545454545
494256,2017-12-14,0.000164,0.000166,0.00016299999999999998,0.00016299999999999998,"1,632","103,296",BSTAR,-0.00609756097560974
494257,2017-12-13,0.000173,0.000175,0.00015900000000000002,0.000164,"1,643","108,976",BSTAR,-0.0520231213872832
494258,2017-12-12,0.000173,0.000175,0.000172,0.000173,26,"109,335",BSTAR,0.0
494259,2017-12-08,0.000174,0.000176,0.000172,0.000174,2,"109,477",BSTAR,0.0
494260,2017-12-07,0.00014099999999999998,0.000173,0.000136,0.000173,2,"88,716",BSTAR,0.226950354609929
494261,2017-12-02,0.000109,0.00011200000000000001,0.00010700000000000001,0.00011,1,"68,658",BSTAR,0.009174311926605479
494262,2017-12-01,0.0001,0.00011,9.499999999999999e-05,0.000109,25,"63,352",BSTAR,0.09
494263,2017-11-24,8e-05,8.3e-05,7.900000000000001e-05,8.2e-05,1,"50,697",BSTAR,0.0249999999999999
494264,2017-11-23,8.2e-05,8.2e-05,8e-05,8e-05,1,"51,637",BSTAR,-0.024390243902439
494265,2017-11-22,8.1e-05,8.2e-05,8.1e-05,8.1e-05,814,"51,183",BSTAR,0.0
494266,2017-11-21,8.2e-05,8.4e-05,7.8e-05,8.1e-05,809,"51,913",BSTAR,-0.0121951219512195
494267,2017-11-20,8e-05,8.2e-05,7.900000000000001e-05,8.2e-05,1,"50,737",BSTAR,0.0249999999999999
494268,2017-11-19,7.8e-05,8.1e-05,7.7e-05,8e-05,1,"49,120",BSTAR,0.0256410256410257
494269,2017-11-18,7.7e-05,7.900000000000001e-05,7.5e-05,7.8e-05,10,"48,488",BSTAR,0.0129870129870129
494270,2017-11-17,7.7e-05,8e-05,7.6e-05,7.7e-05,12,"48,686",BSTAR,0.0
494271,2017-11-14,6.500000000000001e-05,6.7e-05,6.4e-05,6.6e-05,1,"41,196",BSTAR,0.0153846153846156
494272,2017-11-13,6.4e-05,6.6e-05,6.3e-05,6.500000000000001e-05,1,"40,245",BSTAR,0.015625
494273,2017-11-10,7.099999999999999e-05,7.3e-05,6.9e-05,6.9e-05,8,"44,969",BSTAR,-0.0281690140845072
494274,2017-11-09,7.099999999999999e-05,7.2e-05,7.099999999999999e-05,7.099999999999999e-05,8,"44,472",BSTAR,0.0
494275,2017-11-02,6.7e-05,7.099999999999999e-05,6.7e-05,7.099999999999999e-05,6,"42,444",BSTAR,0.0597014925373135
494276,2017-11-01,6.6e-05,6.7e-05,6.500000000000001e-05,6.7e-05,6,"41,372",BSTAR,0.0151515151515151
494277,2017-10-30,6.2e-05,6.2e-05,6.1e-05,6.1e-05,1,"38,838",BSTAR,-0.0161290322580646
494278,2017-10-29,5.6999999999999996e-05,6.3e-05,5.6999999999999996e-05,6.2e-05,311,"36,157",BSTAR,0.087719298245614
494279,2017-10-26,5.6999999999999996e-05,5.9999999999999995e-05,5.6999999999999996e-05,5.7999999999999994e-05,1,"36,172",BSTAR,0.0175438596491228
494280,2017-10-25,5.5e-05,5.6999999999999996e-05,5.5e-05,5.6999999999999996e-05,144,"34,982",BSTAR,0.0363636363636364
494281,2017-10-22,5.9999999999999995e-05,6.1e-05,5.6999999999999996e-05,5.9e-05,1,"37,934",BSTAR,-0.0166666666666667
494282,2017-10-21,5.9999999999999995e-05,6.2e-05,5.9e-05,5.9999999999999995e-05,4,"37,880",BSTAR,0.0
494283,2017-10-20,5.6999999999999996e-05,6.1e-05,5.6000000000000006e-05,5.9999999999999995e-05,30,"35,984",BSTAR,0.0526315789473684
494284,2017-10-19,5.6000000000000006e-05,5.6999999999999996e-05,5.5e-05,5.6999999999999996e-05,3,"35,244",BSTAR,0.0178571428571429
494285,2017-10-18,5.6000000000000006e-05,5.6000000000000006e-05,5.1e-05,5.6000000000000006e-05,1,"35,329",BSTAR,0.0
494286,2017-10-17,5.7999999999999994e-05,5.7999999999999994e-05,5.6000000000000006e-05,5.6000000000000006e-05,17,"36,454",BSTAR,-0.0344827586206897
494287,2017-10-16,5.6999999999999996e-05,5.7999999999999994e-05,5.6999999999999996e-05,5.7999999999999994e-05,29,"35,984",BSTAR,0.0175438596491228
494288,2017-10-15,5.9e-05,5.9e-05,5.7999999999999994e-05,5.7999999999999994e-05,178,"36,910",BSTAR,-0.0169491525423728
494289,2017-10-14,5.6999999999999996e-05,5.7999999999999994e-05,5.6000000000000006e-05,5.7999999999999994e-05,180,"35,676",BSTAR,0.0175438596491228
494290,2017-10-13,5.4000000000000005e-05,5.9e-05,5.4000000000000005e-05,5.6999999999999996e-05,"1,397","34,320",BSTAR,0.0555555555555557
494291,2017-10-12,4.8e-05,5.4000000000000005e-05,4.8e-05,5.4000000000000005e-05,39,"30,444",BSTAR,0.125
494292,2017-10-11,4.8e-05,4.9e-05,4.7e-05,4.8e-05,1,"30,043",BSTAR,0.0
494293,2017-10-10,4.8e-05,4.9e-05,4.7e-05,4.8e-05,32,"30,191",BSTAR,0.0
494294,2017-10-09,4.6e-05,4.9e-05,4.6e-05,4.8e-05,273,"29,034",BSTAR,0.0434782608695652
494295,2017-10-08,8.9e-05,9.1e-05,4.5e-05,4.6e-05,1,"56,060",BSTAR,-0.48314606741572996
494296,2017-10-07,4.4e-05,8.9e-05,4.3e-05,8.9e-05,7,"27,467",BSTAR,1.02272727272727
494297,2017-10-05,4.2e-05,4.3e-05,4.2e-05,4.3e-05,130,"26,629",BSTAR,0.0238095238095239
494298,2017-10-04,4.2e-05,4.2e-05,4.2e-05,4.2e-05,127,"26,634",BSTAR,0.0
494299,2017-10-03,4.4e-05,4.4e-05,4.2e-05,4.3e-05,4,"27,773",BSTAR,-0.0227272727272727
494300,2017-10-02,4.4e-05,4.5e-05,4.4e-05,4.4e-05,4,"27,718",BSTAR,0.0
494301,2017-10-01,4.3e-05,4.4e-05,4.3e-05,4.4e-05,1,"27,407",BSTAR,0.0232558139534883
494302,2017-09-30,4.2e-05,4.4e-05,4.2e-05,4.3e-05,1,"26,317",BSTAR,0.0238095238095239
494303,2017-09-29,4.2e-05,4.2e-05,4e-05,4.2e-05,4,"26,453",BSTAR,0.0
494304,2017-09-28,4.2e-05,4.3e-05,4.1e-05,4.2e-05,4,"26,541",BSTAR,0.0
494305,2017-09-27,3.9e-05,4.2e-05,3.9e-05,4.2e-05,1,"24,529",BSTAR,0.0769230769230769
494306,2017-09-26,7.900000000000001e-05,8e-05,3.9e-05,3.9e-05,7,"49,623",BSTAR,-0.506329113924051
494307,2017-09-25,3.7e-05,7.900000000000001e-05,3.7e-05,7.900000000000001e-05,23,"23,165",BSTAR,1.1351351351351398
494308,2017-09-24,7.6e-05,7.6e-05,3.7e-05,3.7e-05,6,"47,796",BSTAR,-0.513157894736842
494309,2017-09-23,3.6e-05,7.6e-05,3.6e-05,7.6e-05,2,"22,755",BSTAR,1.11111111111111
494310,2017-09-22,7.2e-05,7.5e-05,3.5e-05,3.6e-05,241,"45,681",BSTAR,-0.5
