Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
430229,2018-01-10,,,,,"1,561","707,918",BTWTY,
430230,2018-01-09,,,,,"1,252","751,266",BTWTY,
430231,2018-01-08,,,,,"7,395","816,032",BTWTY,
430232,2018-01-07,,,,,"3,661","839,900",BTWTY,
430233,2018-01-06,,,,,"5,040","777,322",BTWTY,
430234,2018-01-05,,,,,"3,314","813,479",BTWTY,
430235,2018-01-04,,,,,"3,810","886,997",BTWTY,
430236,2018-01-03,,,,,"21,436","925,591",BTWTY,
430237,2018-01-02,,,,,"3,959","725,815",BTWTY,
430238,2018-01-01,,,,,"1,641","686,533",BTWTY,
430239,2017-12-31,,,,,"9,795","679,461",BTWTY,
430240,2017-12-30,,,,,700,"583,826",BTWTY,
430241,2017-12-29,,,,,"1,950","551,409",BTWTY,
430242,2017-12-28,,,,,"7,772","937,685",BTWTY,
430243,2017-12-27,,,,,449,"657,776",BTWTY,
430244,2017-12-26,,,,,"1,398","639,643",BTWTY,
430245,2017-12-25,,,,,"7,803","876,892",BTWTY,
430246,2017-12-24,,,,,"2,156","567,002",BTWTY,
430247,2017-12-23,,,,,"5,995","787,433",BTWTY,
430248,2017-12-22,,,,,"6,191","723,805",BTWTY,
430249,2017-12-21,,,,,"5,355","801,683",BTWTY,
430250,2017-12-20,,,,,"8,458","505,811",BTWTY,
430251,2017-12-19,,,,,"3,623","674,852",BTWTY,
430252,2017-12-18,,,,,"4,659","467,656",BTWTY,
430253,2017-12-17,,,,,"1,462","527,706",BTWTY,
430254,2017-12-16,,,,,"1,953","396,159",BTWTY,
430255,2017-12-15,,,,,"2,419","356,975",BTWTY,
430256,2017-12-14,,,,,"6,997","433,065",BTWTY,
430257,2017-12-13,,,,,"3,003","444,217",BTWTY,
430258,2017-12-12,,,,,"1,567","423,335",BTWTY,
430259,2017-12-11,,,,,"1,554","386,543",BTWTY,
430260,2017-12-10,,,,,"3,957","598,870",BTWTY,
430261,2017-12-09,,,,,808,"735,522",BTWTY,
430262,2017-12-08,,,,,"10,276","552,349",BTWTY,
430263,2017-12-07,,,,,"12,887","411,109",BTWTY,
430264,2017-12-06,,,,,"6,221","379,761",BTWTY,
430265,2017-12-05,,,,,"1,257","401,867",BTWTY,
430266,2017-12-04,,,,,"3,454","351,212",BTWTY,
430267,2017-12-03,,,,,"1,252","319,839",BTWTY,
430268,2017-12-02,,,,,"1,157","307,217",BTWTY,
430269,2017-12-01,,,,,"1,557","282,266",BTWTY,
430270,2017-11-30,,,,,350,"270,271",BTWTY,
430271,2017-11-23,,,,,578,"295,897",BTWTY,
430272,2017-11-22,,,,,61,"236,528",BTWTY,
430273,2017-11-21,,,,,"1,078","223,477",BTWTY,
430274,2017-11-20,,,,,578,"216,856",BTWTY,
430275,2017-11-19,,,,,321,"212,581",BTWTY,
430276,2017-11-18,,,,,565,"230,519",BTWTY,
